t,o,c,h,l,s,v,Ticker,RSI
1652140800,4.72,4.19,4.8499,4.12,ok,919051.0,GWH,
1652227200,4.2,3.77,4.23,3.72,ok,906488.0,GWH,
1652313600,3.71,4.09,4.32,3.58,ok,2108663.0,GWH,
1652400000,4.31,4.95,5.2299,4.31,ok,2035886.0,GWH,
1652659200,5.05,5.38,5.48,4.91,ok,2636685.0,GWH,
1652745600,5.47,5.52,5.75,5.32,ok,2950085.0,GWH,
1652832000,5.35,5.37,5.75,5.21,ok,2521630.0,GWH,
1652918400,5.3,5.48,5.75,5.27,ok,2287528.0,GWH,
1653004800,5.45,5.19,5.7,5.04,ok,4843128.0,GWH,
1653264000,5.06,4.62,5.1373,4.58,ok,1379827.0,GWH,
1653350400,4.56,4.23,4.71,4.13,ok,1629537.0,GWH,
1653436800,4.3,4.24,4.32,4.14,ok,638047.0,GWH,
1653523200,4.25,4.05,4.3,4.05,ok,989653.0,GWH,
1653609600,4.1,4.33,4.4,4.1,ok,1494768.0,GWH,51.68269230769229
1653955200,4.34,4.13,4.365,3.97,ok,2735061.0,GWH,49.31192660550458
1654041600,4.12,3.85,4.215,3.85,ok,1275543.0,GWH,50.9478672985782
1654128000,3.87,4.04,4.06,3.8,ok,1398457.0,GWH,49.38875305623472
1654214400,4.02,3.91,4.02,3.83,ok,996694.0,GWH,34.52380952380953
1654473600,4.16,4.22,4.23,3.96,ok,1974464.0,GWH,32.09876543209876
1654560000,4.18,3.9,4.18,3.78,ok,1430357.0,GWH,26.31578947368422
1654646400,3.86,3.78,3.88,3.73,ok,657095.0,GWH,26.54867256637168
1654732800,3.71,3.46,3.72,3.45,ok,1252400.0,GWH,21.944444444444443
1654819200,3.45,3.24,3.4768,3.23,ok,1087000.0,GWH,22.37960339943342
1655078400,3.07,2.97,3.15,2.9307,ok,1337301.0,GWH,24.45820433436532
1655164800,3.0,2.98,3.07,2.89,ok,1364460.0,GWH,28.07017543859648
1655251200,3.05,3.31,3.355,2.97,ok,1492843.0,GWH,35.33123028391168
1655337600,3.21,3.32,3.365,3.11,ok,1251833.0,GWH,37.792642140468224
1655424000,3.31,3.65,3.65,3.25,ok,1676909.0,GWH,38.815789473684205
1655769600,3.69,3.59,3.835,3.56,ok,1406030.0,GWH,40.68965517241379
1655856000,3.5,3.56,3.69,3.45,ok,1122199.0,GWH,44.52830188679245
1655942400,3.56,3.93,3.93,3.54,ok,1608998.0,GWH,48.0565371024735
1656028800,3.96,3.58,3.99,3.58,ok,10014006.0,GWH,44.59016393442623
1656288000,3.55,3.36,3.65,3.255,ok,1449936.0,GWH,35.47297297297297
1656374400,3.34,3.11,3.46,3.075,ok,1520983.0,GWH,36.332179930795846
1656460800,3.04,2.91,3.1,2.79,ok,2405648.0,GWH,35.35353535353535
1656547200,2.91,2.81,2.925,2.8,ok,895449.0,GWH,38.18181818181818
1656633600,2.78,2.68,2.83,2.665,ok,932218.0,GWH,39.47368421052631
1656979200,2.71,2.94,2.94,2.59,ok,1028626.0,GWH,49.433962264150935
1657065600,2.92,3.05,3.07,2.92,ok,744878.0,GWH,51.27272727272727
1657152000,3.01,3.24,3.28,3.01,ok,811066.0,GWH,48.65900383141762
1657238400,3.2,3.3,3.445,3.18,ok,1116552.0,GWH,49.62406015037594
1657497600,3.24,2.96,3.29,2.96,ok,697683.0,GWH,37.07865168539326
1657584000,2.99,2.87,2.99,2.83,ok,459099.0,GWH,36.666666666666664
1657670400,2.73,2.8,2.87,2.68,ok,548258.0,GWH,36.131386861313864
1657756800,2.75,2.72,2.8,2.63,ok,1288862.0,GWH,25.306122448979593
1657843200,2.8,3.12,3.12,2.695,ok,1018649.0,GWH,40.8
1658102400,3.25,3.33,3.45,3.1912,ok,919098.0,GWH,49.397590361445786
1658188800,3.33,3.52,3.615,3.33,ok,1092186.0,GWH,58.436213991769556
1658275200,3.57,3.55,3.7299,3.44,ok,652988.0,GWH,64.15929203539824
1658361600,3.55,3.58,3.6,3.38,ok,649525.0,GWH,67.57990867579909
1658448000,3.56,3.27,3.6,3.22,ok,540531.0,GWH,62.447257383966246
1658707200,3.27,3.41,3.41,3.14,ok,379129.0,GWH,60.44444444444445
1658793600,3.38,3.18,3.38,3.175,ok,554973.0,GWH,52.74261603375528
1658880000,3.21,3.36,3.365,3.18,ok,443266.0,GWH,52.542372881355924
1658966400,3.49,3.68,3.69,3.49,ok,821510.0,GWH,57.25190839694657
1659052800,3.7,3.8,3.9,3.62,ok,860607.0,GWH,67.5
1659312000,3.86,3.8,3.86,3.63,ok,590118.0,GWH,70.12987012987013
1659398400,3.76,3.99,4.05,3.76,ok,592023.0,GWH,74.48559670781894
1659484800,4.02,3.96,4.02,3.8708,ok,527736.0,GWH,76.05042016806722
1659571200,3.98,4.21,4.25,3.94,ok,707376.0,GWH,74.43946188340806
1659657600,4.31,4.51,4.695,4.21,ok,1398212.0,GWH,75.4310344827586
1659916800,4.57,4.13,4.64,4.05,ok,1026401.0,GWH,62.15139442231075
1660003200,4.2,4.07,4.2,3.94,ok,695301.0,GWH,60.236220472440955
1660089600,4.15,4.36,4.425,4.09,ok,854782.0,GWH,63.92857142857143
1660176000,4.6,4.18,4.6,4.135,ok,987309.0,GWH,67.04119850187266
1660262400,4.54,4.95,5.1,4.52,ok,3594179.0,GWH,73.33333333333333
1660521600,5.02,4.92,5.06,4.73,ok,901427.0,GWH,78.06451612903226
1660608000,4.87,5.16,5.305,4.83,ok,4039871.0,GWH,78.48101265822784
1660694400,5.09,4.6,5.1,4.47,ok,1586488.0,GWH,63.52941176470588
1660780800,4.73,4.7,4.74,4.3,ok,837102.0,GWH,63.31360946745562
1660867200,4.57,4.07,4.57,4.0104,ok,1271610.0,GWH,53.366583541147136
1661126400,3.925,3.97,3.9901,3.81,ok,786129.0,GWH,49.74489795918368
1661212800,3.91,3.98,4.1499,3.91,ok,621261.0,GWH,50.256410256410255
1661299200,3.99,4.48,4.49,3.95,ok,930860.0,GWH,53.25301204819278
1661385600,4.52,4.47,4.57,4.3315,ok,1086285.0,GWH,49.4818652849741
1661472000,4.52,4.1,4.52,4.04,ok,1079449.0,GWH,49.6103896103896
1661731200,4.02,4.01,4.225,3.955,ok,948330.0,GWH,49.22680412371134
1661817600,4.0,3.93,4.1201,3.855,ok,651008.0,GWH,44.141689373297005
1661904000,3.99,4.44,4.48,3.98,ok,1162436.0,GWH,53.250000000000014
1661990400,4.36,4.3,4.44,4.18,ok,716163.0,GWH,40.35608308605342
1662076800,4.38,3.96,4.4,3.94,ok,854070.0,GWH,36.956521739130444
1662422400,4.0,3.62,4.04,3.62,ok,1490708.0,GWH,29.629629629629633
1662508800,3.6,3.71,3.755,3.46,ok,1217806.0,GWH,36.555891238670704
1662595200,3.65,3.81,3.825,3.53,ok,858982.0,GWH,36.5558912386707
1662681600,3.86,4.06,4.06,3.84,ok,719762.0,GWH,49.82935153583617
