t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,27.25,29.41,30.9994,17.21,ok,650717.0,HUDI,,25.87313333333333,16836087.703266665,650717.0,25.87313333333333,,0.0
1652227200,28.9,30.5,31.4,24.5,ok,243697.0,HUDI,,28.8,7018473.600000001,894414.0,7.8470077615064175,,0.0
1652313600,29.19,28.5,29.19,26.06,ok,81452.0,HUDI,,27.916666666666668,2273868.333333333,975866.0,2.330103040103184,,0.0
1652400000,28.05,28.8,29.49,26.8,ok,24367.0,HUDI,,28.363333333333333,691129.3433333334,1000233.0,0.6909683477083174,,0.0
1652659200,28.52,28.36,29.185,24.0803,ok,57577.0,HUDI,,27.20843333333333,1566579.9660333332,1057810.0,1.4809653586497888,,0.0
1652745600,27.835,28.57,30.0,26.0001,ok,32317.0,HUDI,,28.19003333333333,911017.3072333332,1090127.0,0.8356983243542571,,0.0
1652832000,29.21,29.0,30.0,28.28,ok,33633.0,HUDI,,29.093333333333334,978496.08,1123760.0,0.870734035737168,-0.013940836450187066,0.0
1652918400,28.21,29.21,30.5,26.01,ok,50571.0,HUDI,,28.57333333333333,1444982.04,1174331.0,1.2304725328719075,-0.0422950819672131,0.0
1653004800,29.2,28.78,30.49,26.8,ok,83972.0,HUDI,,28.69,2409156.68,1258303.0,1.914607753458428,0.009824561403508847,0.0
1653264000,29.15,27.9,29.15,27.0,ok,129074.0,HUDI,,28.016666666666666,3616223.233333333,1387377.0,2.606518079320425,-0.03125000000000011,0.0
1653350400,27.5,25.9,28.5,25.29,ok,114422.0,HUDI,,26.563333333333333,3039429.7266666666,1501799.0,2.023859202640744,-0.08674188998589571,0.0
1653436800,25.59,25.0,26.57,23.87,ok,109414.0,HUDI,,25.146666666666665,2751397.3866666663,1611213.0,1.7076559006578684,-0.12495624781239068,0.0
1653523200,24.7,23.5,25.48,23.45,ok,61304.0,HUDI,,24.14333333333333,1480082.9066666667,1672517.0,0.884943415622482,-0.18965517241379315,0.0
1653609600,23.22,24.22,24.81,23.22,ok,40661.0,HUDI,26.64266426642665,24.08333333333333,979252.4166666666,1713178.0,0.5715999252072269,-0.1708319068812051,0.0
1653955200,23.74,25.59,26.2,23.74,ok,28977.0,HUDI,34.69551282051282,25.176666666666662,729544.27,1742155.0,0.4187596798218299,-0.11084086170952057,0.0
1654041600,26.45,22.65,26.45,16.0,ok,267424.0,HUDI,22.6099092812282,21.7,5803100.8,2009579.0,2.8877196666565483,-0.18817204301075274,0.0
1654128000,22.82,24.24,24.57,21.2901,ok,122568.0,HUDI,34.698275862068954,23.3667,2864009.6856,2132147.0,1.343251513896556,-0.06409266409266412,0.0
1654214400,23.67,22.44,24.1885,21.75,ok,50610.0,HUDI,29.377431906614788,22.79283333333333,1153545.2950000002,2182757.0,0.5284808592985843,-0.10239999999999994,0.0
1654473600,22.47,23.47,23.87,22.39,ok,16374.0,HUDI,34.72829481574016,23.243333333333336,380586.34,2199131.0,0.173062150458522,-0.001276595744680864,0.0
1654560000,23.245,23.54,23.54,22.72,ok,9429.0,HUDI,34.15248897290485,23.266666666666666,219381.4,2208560.0,0.0993323251349295,-0.028075970272502082,0.0
1654646400,22.71,23.73,23.95,22.71,ok,4224.0,HUDI,33.141394753678824,23.46333333333333,99109.12,2212784.0,0.0447893332562057,-0.07268464243845252,0.0
1654732800,23.47,23.61,23.9997,23.05,ok,5483.0,HUDI,31.98198198198197,23.55323333333333,129142.37836666669,2218267.0,0.0582176890188001,0.042384105960264984,0.0
1654819200,22.68,25.64,25.69,22.12,ok,21325.0,HUDI,40.84014002333722,24.48333333333333,522107.0833333334,2239592.0,0.2331259815775969,0.057755775577557955,0.0
1655078400,25.0,27.75,27.99,24.59,ok,20824.0,HUDI,49.59172563962984,26.776666666666667,557597.3066666666,2260416.0,0.2466790655643327,0.2366310160427807,0.0
1655164800,27.46,26.28,27.46,24.93,ok,68030.0,HUDI,51.065022421524674,26.223333333333333,1783973.3666666667,2328446.0,0.7661648011878595,0.11972731146144033,0.0
1655251200,26.05,25.5,26.4,23.46,ok,17193.0,HUDI,51.41083521444696,25.12,431888.16,2345639.0,0.1841238826605458,0.08326253186066279,0.0
1655337600,24.04,24.02,25.28,23.41,ok,20974.0,HUDI,51.46892655367232,24.236666666666665,508339.8466666666,2366613.0,0.2147963552412949,0.012220817530552042,0.0
1655424000,24.72,23.64,24.72,23.0,ok,23626.0,HUDI,48.32949308755761,23.786666666666665,561983.7866666666,2390239.0,0.2351161480783581,0.0012706480304955914,0.0
1655769600,23.78,22.74,24.0,22.74,ok,13456.0,HUDI,41.56305506216697,23.16,311640.96,2403695.0,0.1296507918017884,-0.11310452418096728,0.0
1655856000,22.55,23.35,23.87,22.55,ok,10014.0,HUDI,52.40384615384616,23.25666666666667,232892.26000000004,2413709.0,0.0964872981788608,-0.1585585585585585,0.0
1655942400,23.14,21.46,23.15,21.26,ok,26820.0,HUDI,40.64602960969045,21.956666666666667,588877.8,2440529.0,0.2412910479654206,-0.18340943683409439,0.0
1656028800,21.7,20.77,22.3,20.6,ok,29543.0,HUDI,43.92727272727272,21.223333333333333,627000.9366666666,2470072.0,0.2538391337040647,-0.18549019607843142,0.0
1656288000,22.14,20.56,22.14,20.56,ok,4592.0,HUDI,38.747099767981446,21.08666666666667,96829.97333333334,2474664.0,0.0391285335436783,-0.1440466278101582,0.0
1656374400,20.07,20.27,21.6,19.0,ok,44002.0,HUDI,37.56653992395439,20.290000000000003,892800.5800000001,2518666.0,0.3544735903847513,-0.14255499153976314,0.0
