t,o,c,h,l,s,v,Ticker
1652140800,6.06,6.21,6.55,6.06,ok,509618.0,III
1652227200,6.22,6.27,6.57,6.21,ok,579508.0,III
1652313600,6.19,6.46,6.4827,6.1,ok,374394.0,III
1652400000,6.4,6.31,6.77,6.28,ok,505671.0,III
1652659200,6.27,6.31,6.43,6.16,ok,223584.0,III
1652745600,6.44,6.49,6.54,6.38,ok,207958.0,III
1652832000,6.46,6.3,6.479,6.225,ok,141494.0,III
1652918400,6.22,6.25,6.35,6.22,ok,157926.0,III
1653004800,6.37,6.24,6.37,6.1,ok,151139.0,III
1653264000,6.24,6.2,6.34,6.16,ok,1364198.0,III
1653350400,6.11,5.85,6.145,5.79,ok,244616.0,III
1653436800,5.85,5.98,6.07,5.81,ok,189294.0,III
1653523200,6.01,6.31,6.325,5.98,ok,250324.0,III
1653609600,6.3,6.54,6.555,6.3,ok,158126.0,III
1653955200,6.5,6.44,6.575,6.41,ok,239258.0,III
1654041600,6.49,6.62,6.69,6.49,ok,413317.0,III
1654128000,6.61,6.67,6.78,6.61,ok,162044.0,III
1654214400,6.61,6.47,6.63,6.44,ok,193684.0,III
1654473600,6.52,6.36,6.56,6.26,ok,299341.0,III
1654560000,6.28,6.01,6.46,5.99,ok,745741.0,III
1654646400,6.01,5.73,6.13,5.73,ok,368737.0,III
1654732800,5.74,5.74,5.75,5.57,ok,403802.0,III
1654819200,5.7,5.76,5.78,5.61,ok,215349.0,III
1655078400,5.56,5.52,5.61,5.445,ok,315753.0,III
1655164800,5.58,5.8,5.825,5.56,ok,253851.0,III
1655251200,5.8,5.8,6.01,5.8,ok,351670.0,III
1655337600,5.74,5.74,5.81,5.5,ok,410504.0,III
1655424000,5.79,5.86,5.9194,5.73,ok,393370.0,III
1655769600,5.91,5.96,6.22,5.86,ok,661265.0,III
1655856000,5.89,5.99,6.135,5.89,ok,569090.0,III
1655942400,5.97,5.97,6.09,5.88,ok,383350.0,III
1656028800,5.95,6.33,6.43,5.95,ok,7714445.0,III
1656288000,6.41,6.62,6.73,6.3275,ok,504055.0,III
1656374400,6.61,6.66,6.8,6.585,ok,700403.0,III
1656460800,6.64,6.52,6.66,6.47,ok,364596.0,III
1656547200,6.48,6.76,6.76,6.36,ok,517238.0,III
1656633600,6.71,6.76,6.8,6.41,ok,225964.0,III
1656979200,6.61,6.91,6.93,6.5,ok,347149.0,III
1657065600,6.94,6.77,6.94,6.72,ok,393319.0,III
1657152000,6.85,7.01,7.17,6.85,ok,562464.0,III
1657238400,6.99,7.03,7.08,6.92,ok,228359.0,III
1657497600,6.96,6.82,7.02,6.785,ok,209023.0,III
1657584000,6.85,7.12,7.17,6.83,ok,480606.0,III
1657670400,6.97,6.8,6.98,6.73,ok,349982.0,III
1657756800,6.79,6.74,6.82,6.72,ok,221539.0,III
1657843200,6.87,6.83,6.92,6.77,ok,210277.0,III
1658102400,6.86,6.87,6.96,6.84,ok,177970.0,III
1658188800,6.96,7.1,7.18,6.93,ok,204600.0,III
1658275200,7.1,7.19,7.21,7.05,ok,148578.0,III
1658361600,7.18,7.16,7.2207,7.1,ok,122222.0,III
1658448000,7.19,7.13,7.265,7.095,ok,155643.0,III
1658707200,7.12,7.13,7.23,7.1,ok,83808.0,III
1658793600,7.11,7.13,7.17,7.04,ok,110921.0,III
1658880000,7.25,7.4,7.42,7.23,ok,145492.0,III
1658966400,7.42,7.49,7.5,7.32,ok,106471.0,III
1659052800,7.48,7.46,7.49,7.33,ok,137938.0,III
1659312000,7.45,7.54,7.59,7.34,ok,105328.0,III
