t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,4.49,4.48,4.51,4.28,ok,434625.0,IMMR,,4.423333333333333,1922491.25,434625.0,4.423333333333333,,0
1652227200,4.38,4.42,4.54,4.37,ok,419931.0,IMMR,,4.443333333333333,1865893.41,854556.0,2.1834653434064006,,0
1652313600,4.34,4.44,4.465,4.28,ok,511602.0,IMMR,,4.3950000000000005,2248490.79,1366158.0,1.6458497406595722,,0
1652400000,4.82,5.31,5.44,4.79,ok,1212866.0,IMMR,,5.18,6282645.88,2579024.0,2.436055608633344,,0
1652659200,5.22,5.52,5.775,5.21,ok,1174156.0,IMMR,,5.501666666666666,6459814.926666666,3753180.0,1.7211577719871325,,0
1652745600,5.59,5.72,5.72,5.545,ok,384181.0,IMMR,,5.661666666666666,2175104.7616666663,4137361.0,0.5257227400912481,,0
1652832000,5.66,5.57,5.755,5.55,ok,503222.0,IMMR,,5.625,2830623.75,4640583.0,0.6099715811569365,0.2433035714285714,0
1652918400,5.53,5.75,5.75,5.49,ok,301776.0,IMMR,,5.663333333333334,1709058.0800000003,4942359.0,0.3457980450226299,0.30090497737556565,0
1653004800,5.79,5.4,5.79,5.295,ok,287651.0,IMMR,,5.495,1580642.245,5230010.0,0.3022254728002432,0.21621621621621623,0
1653264000,5.45,5.47,5.47,5.2766,ok,203110.0,IMMR,,5.4055333333333335,1097917.8753333334,5433120.0,0.2020787089799845,0.030131826741996326,0
1653350400,5.37,5.18,5.4,5.17,ok,368990.0,IMMR,,5.25,1937197.5,5802110.0,0.3338781064130118,-0.061594202898550665,0
1653436800,5.17,5.32,5.35,5.1586,ok,237902.0,IMMR,,5.2762,1255218.5324,6040012.0,0.2078172249326657,-0.0699300699300699,0
1653523200,5.33,5.46,5.5001,5.2846,ok,121371.0,IMMR,,5.4149,657211.8279,6161383.0,0.1066662838359504,-0.019748653500897717,0
1653609600,5.57,5.78,5.78,5.53,ok,449422.0,IMMR,71.66666666666667,5.696666666666666,2560207.3266666667,6610805.0,0.3872761829560343,0.00521739130434784,0
