t,o,c,h,l,s,v,Ticker
1652140800,1.37,1.22,1.37,1.14,ok,128056.0,IVDA
1652227200,1.21,1.12,1.21,0.9709,ok,159872.0,IVDA
1652313600,1.09,1.07,1.09,1.0187,ok,19774.0,IVDA
1652400000,1.0701,1.239,1.29,1.0701,ok,57391.0,IVDA
1652659200,1.27,1.21,1.28,1.2,ok,30876.0,IVDA
1652745600,1.3,1.28,1.3,1.22,ok,28241.0,IVDA
1652832000,1.55,1.45,1.57,1.24,ok,99703.0,IVDA
1652918400,1.42,1.34,1.45,1.34,ok,49395.0,IVDA
1653004800,1.31,1.5,1.505,1.31,ok,93981.0,IVDA
1653264000,1.33,1.47,1.529,1.33,ok,57124.0,IVDA
1653350400,1.43,1.4009,1.54,1.4,ok,14864.0,IVDA
1653436800,1.35,1.3822,1.4699,1.35,ok,24867.0,IVDA
1653523200,1.26,1.49,1.6099,1.26,ok,64373.0,IVDA
1653609600,1.4399,1.51,1.5758,1.3656,ok,8260.0,IVDA
1653955200,1.44,1.5,1.5438,1.44,ok,23249.0,IVDA
1654041600,1.4101,1.47,1.55,1.4101,ok,9782.0,IVDA
1654128000,1.55,1.69,1.7,1.52,ok,51240.0,IVDA
1654214400,1.7,1.6,1.7099,1.4981,ok,28796.0,IVDA
1654473600,1.55,1.48,1.6,1.47,ok,31891.0,IVDA
1654560000,1.5,1.5,1.5,1.33,ok,32124.0,IVDA
1654646400,1.66,1.46,1.66,1.42,ok,27157.0,IVDA
1654732800,1.6,1.68,1.69,1.4627,ok,55348.0,IVDA
1654819200,1.68,1.74,1.75,1.51,ok,41489.0,IVDA
1655078400,1.58,1.49,1.65,1.4801,ok,22320.0,IVDA
1655164800,1.45,1.46,1.55,1.38,ok,16445.0,IVDA
1655251200,1.39,1.42,1.58,1.3,ok,26741.0,IVDA
1655337600,1.5594,1.45,1.5594,1.37,ok,14398.0,IVDA
1655424000,1.45,1.26,1.5,1.26,ok,31809.0,IVDA
1655769600,1.27,1.29,1.3836,1.27,ok,12068.0,IVDA
1655856000,1.28,1.26,1.32,1.26,ok,9896.0,IVDA
1655942400,1.22,1.22,1.347,1.22,ok,5582.0,IVDA
1656028800,1.23,1.2,1.255,1.19,ok,34799.0,IVDA
1656288000,1.21,1.27,1.4093,1.21,ok,51924.0,IVDA
1656374400,1.45,1.52,1.55,1.32,ok,70646.0,IVDA
1656460800,1.5,1.45,1.5,1.36,ok,11291.0,IVDA
1656547200,1.37,1.32,1.4099,1.2501,ok,28603.0,IVDA
1656633600,1.28,1.4,1.45,1.28,ok,2958.0,IVDA
1656979200,1.45,1.3,1.45,1.29,ok,24600.0,IVDA
1657065600,1.29,1.23,1.375,1.22,ok,25781.0,IVDA
1657152000,1.28,1.3,1.3777,1.25,ok,10257.0,IVDA
1657238400,1.31,1.27,1.351,1.2632,ok,22561.0,IVDA
1657497600,1.25,1.23,1.25,1.22,ok,10614.0,IVDA
1657584000,1.21,1.24,1.25,1.21,ok,7285.0,IVDA
1657670400,1.22,1.23,1.25,1.21,ok,7419.0,IVDA
1657756800,1.21,1.24,1.25,1.17,ok,38203.0,IVDA
1657843200,1.221,1.23,1.2444,1.19,ok,8387.0,IVDA
1658102400,1.2,1.2,1.22,1.17,ok,16623.0,IVDA
1658188800,1.21,1.2,1.22,1.18,ok,8480.0,IVDA
1658275200,1.18,1.18,1.1916,1.13,ok,15563.0,IVDA
1658361600,1.15,1.16,1.2,1.15,ok,10946.0,IVDA
1658448000,1.13,1.16,1.2,1.11,ok,18741.0,IVDA
1658707200,1.15,1.135,1.16,1.11,ok,5910.0,IVDA
1658793600,1.12,1.19,1.2,1.08,ok,118125.0,IVDA
1658880000,1.2,1.2,1.2897,1.09,ok,83566.0,IVDA
1658966400,1.125,1.19,1.19,1.11,ok,23035.0,IVDA
1659052800,1.19,1.22,1.25,1.1501,ok,39775.0,IVDA
1659312000,1.23,1.28,1.28,1.19,ok,19962.0,IVDA
1659398400,1.23,1.26,1.29,1.1401,ok,44378.0,IVDA
1659484800,1.2599,1.26,1.2666,1.2159,ok,43236.0,IVDA
1659571200,1.34,1.33,1.54,1.183,ok,166512.0,IVDA
1659657600,1.2501,1.33,1.45,1.18,ok,280466.0,IVDA
1659916800,1.581,1.78,2.13,1.51,ok,18689263.0,IVDA
1660003200,1.55,1.4,1.61,1.27,ok,909283.0,IVDA
1660089600,1.35,1.36,1.38,1.25,ok,193023.0,IVDA
1660176000,1.32,1.25,1.35,1.23,ok,132822.0,IVDA
1660262400,1.31,1.21,1.31,1.17,ok,128199.0,IVDA
1660521600,1.2,1.25,1.35,1.2,ok,172340.0,IVDA
1660608000,1.24,1.26,1.3,1.22,ok,75490.0,IVDA
1660694400,1.29,1.31,1.38,1.27,ok,54986.0,IVDA
1660780800,1.36,1.24,1.37,1.24,ok,53333.0,IVDA
1660867200,1.27,1.21,1.2899,1.2,ok,37977.0,IVDA
1661126400,1.26,1.2,1.26,1.2,ok,27829.0,IVDA
1661212800,1.21,1.2,1.25,1.2,ok,21501.0,IVDA
1661299200,1.19,1.16,1.2201,1.1511,ok,92899.0,IVDA
1661385600,1.15,1.19,1.27,1.15,ok,116219.0,IVDA
1661472000,1.19,1.18,1.26,1.16,ok,20375.0,IVDA
1661731200,1.15,1.2,1.2499,1.15,ok,86640.0,IVDA
1661817600,1.2,1.21,1.22,1.18,ok,28639.0,IVDA
1661904000,1.24,1.22,1.2454,1.18,ok,55892.0,IVDA
1661990400,1.19,1.08,1.21,1.0,ok,161206.0,IVDA
1662076800,1.0916,1.05,1.11,1.05,ok,19847.0,IVDA
1662422400,1.05,0.9765,1.05,0.88,ok,86474.0,IVDA
1662508800,0.9731,0.938,0.9731,0.9,ok,35033.0,IVDA
1662595200,0.95,0.9,0.998,0.88,ok,40013.0,IVDA
1662681600,0.9235,0.9271,0.9358,0.8702,ok,22222.0,IVDA
1662940800,0.9359,0.93,0.9499,0.91,ok,10831.0,IVDA
1663027200,0.86,0.9048,0.9223,0.86,ok,8275.0,IVDA
1663113600,0.91,0.8601,0.93,0.81,ok,30882.0,IVDA
1663200000,0.875,0.8953,0.9849,0.8701,ok,41076.0,IVDA
