t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.78,2.8,2.92,2.69,ok,725882.0,IVVD,,2.8033333333333332,2034889.2066666665,725882.0,2.8033333333333332
1652227200,2.75,2.555,2.77,2.52,ok,1127497.0,IVVD,,2.615,2948404.6550000003,1853379.0,1.5908266226173924
1652313600,2.49,2.66,2.74,2.46,ok,905785.0,IVVD,,2.62,2373156.7,2759164.0,0.860099907073302
1652400000,2.7,2.72,2.865,2.52,ok,1727201.0,IVVD,,2.7016666666666667,4666321.368333333,4486365.0,1.0401118429582374
1652659200,2.74,2.87,3.07,2.67,ok,1321877.0,IVVD,,2.8699999999999997,3793786.9899999998,5808242.0,0.6531730237824113
1652745600,2.88,3.06,3.07,2.88,ok,1072285.0,IVVD,,3.0033333333333334,3220429.283333333,6880527.0,0.46804979957688314
1652832000,2.98,2.95,3.12,2.895,ok,1055930.0,IVVD,,2.9883333333333333,3155470.8166666664,7936457.0,0.39759187464465146
1652918400,2.91,2.97,3.025,2.865,ok,881183.0,IVVD,,2.9533333333333336,2602427.126666667,8817640.0,0.29513873629073845
1653004800,3.02,2.95,3.119,2.81,ok,777666.0,IVVD,,2.959666666666667,2301632.1380000003,9595306.0,0.23987063445397158
1653264000,2.95,2.67,2.968,2.58,ok,1202496.0,IVVD,,2.739333333333333,3294037.3759999997,10797802.0,0.3050655472289638
1653350400,2.62,2.63,2.635,2.53,ok,744523.0,IVVD,,2.598333333333333,1934518.9283333332,11542325.0,0.1676021883228321
1653436800,2.58,2.62,2.66,2.475,ok,1090393.0,IVVD,,2.585,2818665.905,12632718.0,0.22312426391533474
1653523200,2.6,2.7,2.745,2.58,ok,590535.0,IVVD,,2.6750000000000003,1579681.1250000002,13223253.0,0.11946236867735952
1653609600,2.72,2.98,3.0,2.645,ok,887868.0,IVVD,55.66037735849057,2.875,2552620.5,14111121.0,0.18089423937332832
1653955200,2.97,2.96,3.04,2.88,ok,571996.0,IVVD,54.96894409937889,2.9599999999999995,1693108.1599999997,14683117.0,0.11530985961631987
1654041600,2.96,2.94,3.02,2.87,ok,658563.0,IVVD,63.89891696750902,2.9433333333333334,1938370.43,15341680.0,0.12634668628207602
1654128000,2.92,3.08,3.13,2.905,ok,767476.0,IVVD,64.78873239436619,3.0383333333333336,2331847.9133333336,16109156.0,0.14475295374464892
1654214400,3.06,3.16,3.18,2.99,ok,932471.0,IVVD,65.27777777777777,3.11,2899984.81,17041627.0,0.17017065389355138
1654473600,3.17,3.35,3.44,3.16,ok,1734456.0,IVVD,66.21621621621622,3.3166666666666664,5752612.399999999,18776083.0,0.30637979178085223
1654560000,3.28,3.51,3.53,3.27,ok,1233301.0,IVVD,65.51724137931035,3.436666666666666,4238444.436666666,20009384.0,0.21182283455935802
1654646400,3.46,3.3,3.6,3.26,ok,993320.0,IVVD,61.29032258064515,3.3866666666666667,3364043.7333333334,21002704.0,0.16017193468675905
1654732800,3.26,3.1,3.26,3.1,ok,1171719.0,IVVD,53.757225433526,3.153333333333333,3694820.5799999996,22174423.0,0.16662533135585983
1654819200,3.04,2.96,3.08,2.86,ok,1236746.0,IVVD,50.27027027027025,2.9666666666666663,3669013.133333333,23411169.0,0.15672062908662668
1655078400,2.83,2.655,2.88,2.64,ok,746063.0,IVVD,49.6,2.7249999999999996,2033021.6749999998,24157232.0,0.0841578900678687
1655164800,2.71,2.64,2.71,2.55,ok,650549.0,IVVD,50.270270270270274,2.6333333333333333,1713112.3666666667,24807781.0,0.06905544541314142
1655251200,2.7,2.63,2.74,2.41,ok,1940238.0,IVVD,50.27027027027025,2.5933333333333333,5031683.88,26748019.0,0.18811426296653969
1655337600,2.58,2.54,2.61,2.42,ok,1379894.0,IVVD,45.69892473118279,2.523333333333333,3481932.5266666664,28127913.0,0.1237892241300187
1655424000,2.55,2.72,2.79,2.55,ok,1482978.0,IVVD,42.61363636363637,2.686666666666667,3984267.5600000005,29610891.0,0.13455412604774372
1655769600,2.75,2.96,3.045,2.75,ok,1717534.0,IVVD,50.0,2.918333333333333,5012336.723333333,31328425.0,0.1599932560712303
1655856000,2.92,3.09,3.205,2.8916,ok,1804774.0,IVVD,53.58851674641148,3.0622000000000003,5526578.9428,33133199.0,0.16679883348420418
1655942400,3.12,3.29,3.32,3.0101,ok,729899.0,IVVD,54.88372093023256,3.2067,2340567.1233,33863098.0,0.069118517251434
1656028800,3.29,3.36,3.41,3.21,ok,1899038.0,IVVD,54.67289719626168,3.3266666666666667,6317466.413333333,35762136.0,0.17665237930232502
1656288000,3.38,3.38,3.43,3.205,ok,429505.0,IVVD,50.76142131979695,3.3383333333333334,1433830.8583333334,36191641.0,0.0396177354415439
1656374400,3.35,3.25,3.41,3.2,ok,411628.0,IVVD,43.29896907216495,3.2866666666666666,1352884.0266666666,36603269.0,0.036960743223963595
1656460800,3.19,3.3,3.3,3.165,ok,359552.0,IVVD,50.0,3.2550000000000003,1170341.76,36962821.0,0.03166267423149332
1656547200,3.2,3.28,3.34,3.16,ok,341816.0,IVVD,55.62499999999999,3.26,1114320.16,37304637.0,0.029870821689003433
1656633600,3.32,3.5,3.52,3.27,ok,469245.0,IVVD,66.07142857142858,3.4299999999999997,1609510.3499999999,37773882.0,0.04260907973398127
1656979200,3.33,3.37,3.41,3.21,ok,684764.0,IVVD,73.75415282392028,3.33,2280264.12,38458646.0,0.05929132606488539
1657065600,3.38,3.78,3.88,3.36,ok,1218781.0,IVVD,80.0,3.6733333333333333,4476988.873333333,39677427.0,0.11283465718009722
1657152000,3.8,4.12,4.12,3.61,ok,1251158.0,IVVD,83.40807174887894,3.9500000000000006,4942074.100000001,40928585.0,0.12074871633114119
1657238400,4.01,4.13,4.24,3.99,ok,637064.0,IVVD,86.97674418604652,4.12,2624703.68,41565649.0,0.0631459809517229
1657497600,4.11,3.94,4.11,3.83,ok,463296.0,IVVD,78.24074074074075,3.9600000000000004,1834652.1600000001,42028945.0,0.04365211070608601
1657584000,3.96,4.17,4.195,3.9,ok,612576.0,IVVD,78.13953488372094,4.088333333333334,2504414.8800000004,42641521.0,0.058731837450169765
1657670400,4.12,4.15,4.26,4.015,ok,562728.0,IVVD,75.98039215686276,4.141666666666667,2330631.8,43204249.0,0.05394450439353777
1657756800,4.04,3.84,4.04,3.785,ok,376922.0,IVVD,62.7906976744186,3.888333333333333,1465598.3766666667,43581171.0,0.033629164683681094
1657843200,3.9,4.02,4.03,3.795,ok,346750.0,IVVD,64.60176991150442,3.948333333333333,1369084.5833333333,43927921.0,0.031166614585136712
1658102400,4.07,3.92,4.29,3.9,ok,545895.0,IVVD,61.53846153846155,4.036666666666666,2203596.15,44473816.0,0.04954816897205313
1658188800,3.96,4.21,4.23,3.91,ok,380770.0,IVVD,69.2,4.116666666666667,1567503.1666666667,44854586.0,0.03494633005121632
1658275200,4.2,4.35,4.52,4.11,ok,491434.0,IVVD,70.27027027027027,4.326666666666666,2126271.1066666665,45346020.0,0.04688991683650884
1658361600,4.27,4.4,4.4712,4.24,ok,304984.0,IVVD,71.37404580152673,4.3704,1332902.0736,45651004.0,0.029197650803036008
1658448000,4.4,4.16,4.4,4.14,ok,263497.0,IVVD,62.50000000000001,4.233333333333333,1115470.6333333333,45914501.0,0.024294517179514447
1658707200,4.18,4.05,4.25,4.01,ok,359452.0,IVVD,62.977099236641216,4.103333333333333,1474951.373333333,46273953.0,0.03187433270145157
1658793600,4.03,3.91,4.035,3.86,ok,219917.0,IVVD,52.765957446808514,3.935,865373.395,46493870.0,0.0186126342031756
1658880000,3.9,3.92,3.9932,3.72,ok,336914.0,IVVD,45.04950495049504,3.8777333333333335,1306462.6482666668,46830784.0,0.027897518185189187
1658966400,3.93,3.7,3.93,3.63,ok,430640.0,IVVD,40.35874439461884,3.753333333333334,1616335.4666666668,47261424.0,0.03419988925146789
1659052800,3.7,3.52,3.7,3.39,ok,633175.0,IVVD,40.54054054054053,3.5366666666666666,2239328.9166666665,47894599.0,0.04675535370212968
1659312000,3.61,3.4,3.61,3.37,ok,323589.0,IVVD,31.753554502369667,3.4600000000000004,1119617.9400000002,48218188.0,0.02321982609549741
1659398400,3.38,3.53,3.575,3.32,ok,374568.0,IVVD,36.03603603603602,3.4749999999999996,1301623.7999999998,48592756.0,0.026786375318987872
1659484800,3.59,3.57,3.78,3.542,ok,466191.0,IVVD,43.07692307692307,3.6306666666666665,1692584.1239999998,49058947.0,0.0345010284056851
1659571200,3.59,3.75,3.79,3.59,ok,332915.0,IVVD,43.07692307692309,3.7099999999999995,1235114.65,49391862.0,0.02500644033221505
1659657600,3.71,4.0,4.015,3.625,ok,722011.0,IVVD,51.90476190476191,3.8800000000000003,2801402.68,50113873.0,0.05590074189636072
1659916800,3.99,3.93,4.03,3.785,ok,410288.0,IVVD,42.55319148936171,3.9150000000000005,1606277.5200000003,50524161.0,0.0317922650907553
1660003200,3.86,3.81,3.95,3.72,ok,326911.0,IVVD,35.48387096774195,3.8266666666666667,1250979.4266666668,50851072.0,0.02460084669732561
1660089600,3.83,3.98,4.005,3.79,ok,338212.0,IVVD,39.39393939393939,3.9250000000000003,1327482.1,51189284.0,0.025932812422224935
1660176000,3.99,3.75,4.02,3.705,ok,395706.0,IVVD,39.59390862944162,3.8249999999999997,1513575.45,51584990.0,0.029341392719083592
1660262400,3.76,3.99,4.01,3.76,ok,543503.0,IVVD,48.57142857142858,3.92,2130531.76,52128493.0,0.04087077215142206
1660521600,4.0,3.99,4.09,3.9238,ok,585135.0,IVVD,52.0408163265306,4.001266666666667,2341281.171,52713628.0,0.04441510212501405
1660608000,3.93,3.89,3.95,3.75,ok,369347.0,IVVD,49.268292682926834,3.8633333333333333,1426910.5766666667,53082975.0,0.02688075746822153
1660694400,3.8,4.02,4.17,3.8,ok,2691292.0,IVVD,58.16326530612243,3.996666666666666,10756197.026666665,55774267.0,0.19285232429261087
1660780800,4.03,4.51,4.55,3.86,ok,2415452.0,IVVD,71.80616740088105,4.306666666666667,10402546.613333333,58189719.0,0.17876949385738283
1660867200,4.4,4.2,4.77,4.195,ok,1375848.0,IVVD,66.26016260162602,4.388333333333333,6037679.64,59565567.0,0.10136190997728603
1661126400,4.6,4.17,4.9,4.09,ok,1367666.0,IVVD,63.559322033898304,4.386666666666667,5999494.8533333335,60933233.0,0.09846014330690993
1661212800,4.16,4.48,4.51,3.8953,ok,444655.0,IVVD,67.3003802281369,4.295100000000001,1909837.6905000003,61377888.0,0.031116054213204604
1661299200,4.42,4.77,4.88,4.3967,ok,642928.0,IVVD,68.61313868613138,4.6822333333333335,3010338.9125333335,62020816.0,0.04853755733451384
1661385600,4.76,4.67,4.84,4.56,ok,499431.0,IVVD,62.93436293436294,4.6899999999999995,2342331.3899999997,62520247.0,0.037465165324762705
1661472000,4.65,4.59,4.75,4.535,ok,373940.0,IVVD,62.692307692307686,4.625,1729472.5,62894187.0,0.027498129517120558
1661731200,4.51,4.61,4.81,4.51,ok,293440.0,IVVD,66.00000000000001,4.6433333333333335,1362539.7333333334,63187627.0,0.021563394576177602
1661817600,4.65,4.48,4.66,4.42,ok,240968.0,IVVD,60.16260162601628,4.5200000000000005,1089175.36,63428595.0,0.01717167722223707
1661904000,4.5,4.56,4.685,4.46,ok,264625.0,IVVD,67.53246753246754,4.5683333333333325,1208895.208333333,63693220.0,0.01897996691536922
1661990400,4.57,4.63,4.65,4.41,ok,351009.0,IVVD,64.95327102803739,4.5633333333333335,1601771.07,64044229.0,0.02501038883612761
1662076800,4.71,4.78,4.84,4.65,ok,337873.0,IVVD,67.24890829694324,4.756666666666667,1607149.2366666668,64382102.0,0.024962671095557998
1662422400,4.78,4.55,4.8,4.53,ok,496848.0,IVVD,63.63636363636363,4.626666666666666,2298750.0799999996,64878950.0,0.03543136995897744
1662508800,4.47,4.61,4.82,4.46,ok,675357.0,IVVD,62.55319148936172,4.63,3126902.91,65554307.0,0.047699427438078174
1662595200,4.59,4.63,4.77,4.5,ok,474300.0,IVVD,53.19148936170213,4.633333333333333,2197590.0,66028607.0,0.033282392281878674
1662681600,4.64,4.6,4.645,4.46,ok,370835.0,IVVD,62.49999999999998,4.568333333333333,1694097.8916666666,66399442.0,0.025513736872467493
1662940800,4.62,4.64,4.74,4.4,ok,536354.0,IVVD,64.59627329192546,4.593333333333334,2463652.706666667,66935796.0,0.036806206154128156
1663027200,4.7,4.83,4.89,4.5092,ok,549975.0,IVVD,61.744966442953,4.7430666666666665,2608568.09,67485771.0,0.03865360136435279
1663113600,4.65,4.38,4.74,4.34,ok,457682.0,IVVD,38.1818181818182,4.486666666666667,2053466.5733333337,67943453.0,0.030223170631809567
1663200000,4.25,4.07,4.33,3.9803,ok,503436.0,IVVD,33.8709677419355,4.126766666666667,2077562.9036,68446889.0,0.030352919379579107
1663286400,4.02,3.84,4.08,3.67,ok,2279671.0,IVVD,31.34328358208957,3.8633333333333333,8807128.963333333,70726560.0,0.12452364378153459
1663545600,3.71,3.57,3.815,3.48,ok,376697.0,IVVD,26.991150442477878,3.6216666666666666,1364270.9683333333,71103257.0,0.019187179686203874
1663632000,3.47,3.44,3.67,3.41,ok,309423.0,IVVD,26.991150442477878,3.5066666666666664,1085043.3199999998,71412680.0,0.015193986838191759
1663718400,3.44,3.29,3.49,3.25,ok,269642.0,IVVD,22.746781115879852,3.3433333333333337,901503.0866666668,71682322.0,0.012576365574020702
