t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,22.9,22.200000000000003,23.4,21.5,ok,8429.1,JXJT,,22.366666666666664,188530.87,8429.1,22.366666666666664
1652227200,22.1,21.5,22.82,21.5,ok,5703.5,JXJT,,21.939999999999998,125134.79,14132.6,8.854336074041576
1652313600,21.6,22.200000000000003,22.373,21.4,ok,2268.6,JXJT,,21.991,49888.7826,16401.2,3.0417763700217053
1652400000,23.0,19.6,27.5,19.0,ok,127141.0,JXJT,,22.03333333333333,2801340.033333333,143542.2,19.515794193856113
1652659200,19.0,17.6,19.2,17.5,ok,11104.8,JXJT,,18.1,200996.88,154647.0,1.2997140584686415
1652745600,20.6,18.9,21.4,18.4,ok,21762.4,JXJT,,19.566666666666666,425817.6266666667,176409.4,2.4138034972437223
1652832000,18.5,18.5,19.57,17.8,ok,2053.8,JXJT,,18.623333333333335,38248.602000000006,178463.19999999998,0.21432206751868177
1652918400,18.146,17.9,19.2,17.9,ok,13366.5,JXJT,,18.333333333333332,245052.49999999997,191829.69999999998,1.277448174083575
1653004800,19.463,17.8,19.463,17.6,ok,5454.4,JXJT,,18.287666666666667,99748.24906666666,197284.09999999998,0.5056071374564228
1653264000,17.5,17.1,18.064,17.1,ok,3087.3,JXJT,,17.421333333333333,53784.8824,200371.39999999997,0.26842594502009776
1653350400,17.0,15.2,21.5,15.0,ok,324296.1,JXJT,,17.233333333333334,5588702.79,524667.5,10.651894371196997
1653436800,15.4,15.4,16.0,14.45,ok,31656.5,JXJT,,15.283333333333333,483816.8416666667,556324.0,0.8696673910646794
1653523200,15.1,14.7,15.1,12.8,ok,16747.3,JXJT,,14.199999999999998,237811.65999999995,573071.3,0.41497743823499783
1653609600,15.0,14.6,15.382,14.5,ok,11624.0,JXJT,18.33333333333333,14.827333333333334,172352.92266666668,584695.3,0.2947739150061009
1653955200,16.0,15.899,16.299999999999997,14.9,ok,19556.1,JXJT,26.310248890894044,15.699666666666666,307024.25129999995,604251.4,0.5081068100131831
1654041600,16.1,15.3,16.716,15.2,ok,15417.6,JXJT,26.511592665555384,15.738666666666667,242652.4672,619669.0,0.39158400242710223
1654128000,15.8,15.0,17.5,14.75,ok,36331.2,JXJT,21.870604781997173,15.75,572216.3999999999,656000.2,0.8722808316216976
1654214400,15.7,14.7,15.7,14.4,ok,5880.5,JXJT,26.662221375500067,14.933333333333332,87815.46666666666,661880.7,0.1326756720156165
1654473600,14.6,15.5,16.0,14.6,ok,27809.5,JXJT,38.70724887072487,15.366666666666667,427339.31666666665,689690.2,0.6196105391473834
1654560000,16.1,15.0,16.1,14.6,ok,12602.9,JXJT,27.05342433513769,15.233333333333334,191984.17666666667,702293.1,0.27336759633074376
1654646400,15.4,15.301,15.973,15.1,ok,16321.1,JXJT,30.95606619835695,15.458,252291.5638,718614.2,0.3510806825136492
1654732800,16.299999999999997,16.0,16.797,15.3,ok,31738.4,JXJT,38.820899035067086,16.032333333333334,508840.6082666667,750352.6,0.6781353303322554
1654819200,16.299999999999997,16.1,16.55,15.215,ok,39660.0,JXJT,39.99764650506002,15.955,632775.3,790012.6,0.800968617462557
