t,o,c,h,l,s,v,Ticker,RSI
1652140800,10.8,9.2,10.8,8.8,ok,48191.3,KERN,
1652227200,9.0,8.142,9.0,7.800000000000001,ok,33814.15,KERN,
1652313600,9.03,8.252,9.114,7.802,ok,14362.85,KERN,
1652400000,8.98,8.842,8.98,8.0,ok,17169.05,KERN,
1652659200,8.0,9.2,10.0,8.0,ok,44624.15,KERN,
1652745600,9.85,8.744,10.0,8.57,ok,46903.0,KERN,
1652832000,9.0,8.086,9.162,8.024000000000001,ok,13994.5,KERN,
1652918400,7.984,8.7,8.7,7.984,ok,20119.15,KERN,
1653004800,8.6,8.0,8.606,7.856,ok,17019.8,KERN,
1653264000,7.892,7.888,8.0,7.800000000000001,ok,10550.6,KERN,
1653350400,7.800000000000001,7.65,7.930000000000001,7.114000000000001,ok,10876.95,KERN,
1653436800,7.6,7.794,7.800000000000001,7.4,ok,7171.0,KERN,
1653523200,7.6,8.176,8.2,7.6,ok,7938.05,KERN,
1653609600,8.02,8.468,9.0,7.802,ok,100598.25,KERN,43.59243697478991
1653955200,8.362,8.004,8.6,7.66,ok,20616.3,KERN,40.31735751295336
1654041600,8.2,8.216,8.4,8.0,ok,8626.1,KERN,50.694183864915566
1654128000,8.51,8.166,8.51,7.762,ok,14093.0,KERN,49.184060721062615
1654214400,8.4,8.516,10.0,8.02,ok,17343.0,KERN,46.75944333996023
1654473600,8.56,8.408,8.798,8.0,ok,8785.0,KERN,41.71548117154811
1654560000,8.4,8.4,8.736,8.120000000000001,ok,10700.6,KERN,46.029547553093266
1654646400,8.382,8.782,8.8,8.219999999999999,ok,13859.95,KERN,58.57988165680474
1654732800,8.8,8.798,9.0,8.4,ok,9489.45,KERN,51.41700404858301
1654819200,8.7,8.134,8.8,8.0,ok,15539.25,KERN,51.957919345412044
1655078400,8.0,7.65,8.276,7.602,ok,8048.6,KERN,46.86346863468635
1655164800,7.6,7.358,8.0,7.356,ok,18991.65,KERN,46.205821205821195
1655251200,7.6,7.202,7.832,7.0,ok,15071.45,KERN,42.33160621761658
1655337600,7.45,6.593999999999999,7.816,6.0,ok,21110.95,KERN,30.64121390112578
1655424000,6.744,6.5280000000000005,6.744,6.4,ok,17517.65,KERN,24.870466321243512
1655769600,6.593999999999999,6.986,7.24,6.5600000000000005,ok,17074.55,KERN,36.792942397509066
1655856000,6.776,6.48,6.886,6.462,ok,22174.2,KERN,29.074252651880414
1655942400,6.4,7.438000000000001,8.396,6.4,ok,24450.65,KERN,42.800632911392405
1656028800,7.95,7.206,8.08,7.206,ok,13876.75,KERN,36.73552045362494
1656288000,7.66,6.806,7.85,6.800000000000001,ok,13412.25,KERN,34.68451242829828
1656374400,6.800000000000001,6.1,6.8100000000000005,6.048,ok,23414.2,KERN,30.600539811066113
1656460800,6.2,5.8740000000000006,6.302,5.8,ok,25274.05,KERN,24.809424809424797
1656547200,2.96,2.764,3.0780000000000003,2.598,ok,3537045.9,KERN,15.971125648544998
1656633600,2.88,3.02,3.224,2.76,ok,1901509.35,KERN,19.768266729723337
1656979200,2.86,3.28,3.46,2.84,ok,1246367.85,KERN,23.463687150837984
1657065600,3.24,3.2540000000000004,3.47,3.0,ok,1187998.1,KERN,24.246987951807228
1657152000,3.264,3.2379999999999995,3.51,3.1,ok,785581.55,KERN,24.680633622892188
1657238400,3.24,3.398,3.636,3.19,ok,1122061.65,KERN,28.34688346883469
1657497600,3.368,3.112,3.368,3.03,ok,612730.15,KERN,27.526315789473685
1657584000,3.16,3.05,3.18,2.86,ok,441032.8,KERN,22.681843420322053
1657670400,2.9559999999999995,2.96,3.044,2.906,ok,197061.0,KERN,24.071891573364766
1657756800,2.978,3.608,4.542,2.9,ok,4301374.45,KERN,20.438406915714722
1657843200,3.68,3.4000000000000004,3.7,3.25,ok,868002.65,KERN,20.5144096684227
1658102400,3.4000000000000004,3.438,3.85,3.224,ok,1091594.35,KERN,22.35718975705845
1658188800,3.2379999999999995,3.2,3.502,3.084,ok,885242.25,KERN,24.217638691322904
1658275200,3.14,3.354,3.59,3.14,ok,977915.3,KERN,27.30547550432277
1658361600,3.39,3.372,3.4960000000000004,3.26,ok,473881.45,KERN,62.357723577235774
1658448000,3.3200000000000003,3.0420000000000003,3.3800000000000003,3.004,ok,351816.0,KERN,50.434096290449894
1658707200,3.2,3.208,3.488,3.102,ok,689682.9,KERN,48.524590163934434
1658793600,3.12,2.832,3.14,2.76,ok,1018056.65,KERN,42.43727598566308
1658880000,2.9,2.868,3.018,2.83,ok,378555.3,KERN,43.416370106761576
1658966400,2.808,2.8100000000000005,2.92,2.738,ok,355496.95,KERN,39.14327917282127
1659052800,2.764,2.92,2.996,2.698,ok,438706.75,KERN,46.2085308056872
1659312000,2.9,2.8000000000000003,3.0,2.772,ok,183194.45,KERN,45.173745173745175
1659398400,2.76,2.8000000000000003,2.93,2.734,ok,509924.65,KERN,46.800000000000004
1659484800,2.9,2.904,2.99,2.824,ok,228053.15,KERN,32.00408997955007
1659571200,3.0,3.088,3.148,2.822,ok,250942.85,KERN,41.925465838509304
1659657600,3.056,2.9720000000000004,3.0980000000000003,2.96,ok,157243.75,KERN,38.40796019900497
1659916800,2.994,3.242,3.3000000000000003,2.96,ok,395242.3,KERN,51.02840352595494
1660003200,3.2,3.048,3.22,3.0120000000000005,ok,172869.0,KERN,42.65129682997117
1660089600,3.124,3.16,3.1979999999999995,3.03,ok,389662.7,KERN,45.12867647058823
1660176000,3.11,3.2,3.3000000000000003,3.044,ok,324311.9,KERN,54.18875927889714
1660262400,3.0620000000000003,3.074,3.276,3.024,ok,297103.75,KERN,46.37053087757312
1660521600,3.04,3.26,3.45,3.032,ok,749790.5,KERN,62.922705314009676
1660608000,3.292,3.1,3.292,3.072,ok,279188.95,KERN,56.51685393258428
1660694400,3.066,3.032,3.332,3.02,ok,456746.45,KERN,56.20111731843575
1660780800,3.028,2.84,3.082,2.7,ok,269240.05,KERN,47.86324786324786
1660867200,2.91,2.6500000000000004,2.91,2.626,ok,284084.9,KERN,46.13800205973223
1661126400,2.628,2.454,2.63,2.42,ok,463448.8,KERN,41.90832553788587
1661212800,2.48,2.49,2.51,2.446,ok,134933.7,KERN,40.00000000000001
1661299200,2.494,2.544,2.64,2.424,ok,148749.6,KERN,35.97938144329896
1661385600,2.52,2.734,2.748,2.52,ok,327307.65,KERN,44.09136047666334
1661472000,2.75,2.546,2.75,2.51,ok,303916.9,KERN,31.98757763975155
1661731200,2.53,2.54,2.636,2.49,ok,196741.85,KERN,35.43577981651377
1661817600,2.47,2.388,2.5280000000000005,2.38,ok,311585.2,KERN,28.363228699551556
1661904000,2.418,3.08,3.56,2.414,ok,2457923.95,KERN,47.53694581280788
1661990400,3.0,2.496,3.0,2.412,ok,927090.4,KERN,40.013821700069116
1662076800,2.6,2.412,2.6,2.398,ok,425592.3,KERN,34.8137535816619
1662422400,2.392,2.244,2.44,2.24,ok,355434.75,KERN,34.71428571428571
1662508800,2.24,2.224,2.25,2.132,ok,233476.5,KERN,35.31976744186046
1662595200,2.1,2.232,2.256,2.1,ok,176498.6,KERN,38.161993769470406
1662681600,2.222,2.354,2.442,2.222,ok,187548.95,KERN,44.08
1662940800,2.268,2.406,2.44,2.268,ok,183300.95,KERN,48.98132427843803
1663027200,2.364,2.6,2.88,2.222,ok,1337495.9,KERN,52.18774860779634
1663113600,3.794,3.3000000000000003,4.7620000000000005,3.14,ok,14617657.15,KERN,61.9620253164557
1663200000,2.91,2.788,3.1,2.612,ok,1728661.95,KERN,50.7754164273406
1663286400,2.618,2.6,2.798,2.5,ok,782375.55,KERN,50.775416427340616
1663545600,2.6,2.37,2.698,2.3000000000000003,ok,567285.8,KERN,47.706422018348626
1663632000,2.362,2.398,2.6740000000000004,2.242,ok,754483.0,KERN,50.13958682300391
1663718400,2.38,2.26,2.436,2.128,ok,482211.05,KERN,36.45970937912813
1663804800,2.2,2.236,2.286,2.112,ok,261328.5,KERN,44.732576985413296
1663891200,2.2,2.1,2.2,2.06,ok,332046.15,KERN,43.80952380952382
1664150400,2.14,2.04,2.258,2.04,ok,249551.25,KERN,45.77114427860696
1664236800,2.0,1.998,2.15,1.756,ok,401901.25,KERN,45.35743631881677
1664323200,2.0,2.06,2.1,1.96,ok,142412.25,KERN,46.543408360128616
1664409600,1.826,1.88,2.06,1.826,ok,199683.5,KERN,40.69128043990574
1664496000,1.84,1.7999999999999998,1.882,1.7599999999999998,ok,152741.45,KERN,38.22843822843822
1664755200,1.744,1.87,2.098,1.744,ok,132993.25,KERN,35.102040816326536
1664841600,1.994,2.0580000000000003,2.15,1.94,ok,178833.45,KERN,17.95665634674924
1664928000,2.06,1.942,2.08,1.824,ok,109313.95,KERN,22.568093385214027
1665014400,2.048,2.284,2.76,1.94,ok,1361483.5,KERN,40.683962264150935
1665100800,2.578,2.02,2.59,1.956,ok,1565880.1,KERN,39.884393063583815
1665360000,2.012,1.894,2.03,1.86,ok,332948.5,KERN,36.2144420131291
1665446400,1.86,1.872,1.99,1.81,ok,265898.75,KERN,38.668224299065436
1665532800,1.92,1.914,1.932,1.7879999999999998,ok,300413.75,KERN,40.69364161849711
1665619200,1.966,1.85,1.966,1.7979999999999998,ok,174221.6,KERN,42.46079613992762
1665705600,1.898,1.852,1.948,1.828,ok,107466.6,KERN,44.12500000000001
1665964800,1.824,1.904,2.08,1.824,ok,295340.2,KERN,47.0807453416149
1666051200,2.0460000000000003,2.02,2.12,1.98,ok,255897.9,KERN,48.79807692307692
1666137600,2.0,1.844,2.082,1.776,ok,284907.5,KERN,48.915662650602414
1666224000,1.91,1.9,2.0,1.848,ok,175540.0,KERN,53.05623471882641
1666310400,1.89,1.93,1.948,1.838,ok,92281.85,KERN,51.8796992481203
1666569600,1.88,1.89,1.942,1.7999999999999998,ok,157379.75,KERN,44.19889502762429
1666656000,1.976,1.98,1.99,1.846,ok,224075.15,KERN,51.33614627285514
1666742400,2.0,2.02,2.196,1.82,ok,248584.75,KERN,38.214285714285715
1666828800,2.0,2.012,2.12,1.97,ok,121932.45,KERN,49.53703703703704
1666915200,1.96,1.984,2.0,1.888,ok,72445.5,KERN,55.874673629242835
1667174400,2.0,2.0,2.144,1.88,ok,489813.9,KERN,58.421052631578945
1667260800,2.18,2.1,2.798,2.066,ok,1346456.5,KERN,61.36919315403424
1667347200,2.07,1.98,2.1,1.9,ok,319966.4,KERN,57.4370709382151
1667433600,1.92,1.958,2.06,1.9,ok,187754.1,KERN,55.92841163310961
1667520000,1.878,2.018,2.084,1.878,ok,182616.5,KERN,56.31929046563192
1667779200,2.006,1.58,2.084,1.2,ok,547668.65,KERN,32.02614379084967
1667865600,1.45,1.37,1.46,1.3,ok,403462.0,KERN,31.16057233704292
1667952000,1.27,1.33,1.47,1.23,ok,613896.0,KERN,27.053140096618364
1668038400,1.39,1.34,1.4295,1.31,ok,220518.0,KERN,25.859247135842878
1668124800,1.33,1.42,1.58,1.32,ok,632728.0,KERN,31.378763866877975
1668384000,1.73,1.33,1.73,1.261,ok,760391.0,KERN,24.247226624405698
1668470400,1.34,1.28,1.36,1.25,ok,256434.0,KERN,20.91194968553458
1668556800,1.26,1.16,1.28,1.14,ok,349872.0,KERN,19.219653179190743
1668643200,1.13,1.15,1.19,1.101,ok,209832.0,KERN,19.47291361639823
1668729600,1.18,1.08,1.2199,1.055,ok,236409.0,KERN,17.605633802816897
1668988800,1.06,1.02,1.06,0.92,ok,230489.0,KERN,10.869565217391283
1669075200,1.03,0.99,1.04,0.9603,ok,141121.0,KERN,11.627906976744171
1669161600,0.97,0.8949,1.008,0.8662,ok,295408.0,KERN,11.004328369158515
1669334400,0.93,0.9151,0.9435,0.9038,ok,58436.0,KERN,8.327665684274152
1669593600,0.889,0.8729,0.9227,0.861,ok,119267.0,KERN,11.88140161725066
1669680000,0.85,0.8722,1.04,0.85,ok,241670.0,KERN,15.343915343915327
1669766400,0.8916,0.86,0.9029,0.82,ok,188908.0,KERN,15.961761297798347
1669852800,0.8794,0.9448,0.98,0.8173,ok,550312.0,KERN,24.17668583376893
1669939200,0.9399,1.06,1.08,0.87,ok,1183006.0,KERN,27.511244377811096
1670198400,1.09,0.9878,1.32,0.96,ok,1455313.0,KERN,28.136979299770005
1670284800,1.04,1.0,1.04,1.0,ok,424003.0,KERN,31.203007518796994
1670371200,0.99,0.892,0.99,0.8505,ok,188019.0,KERN,31.71397379912665
1670457600,0.872,0.8734,0.92,0.8612,ok,170621.0,KERN,31.34610196924737
1670544000,0.8866,1.0,1.04,0.8701,ok,196524.0,KERN,44.987468671679196
1670803200,0.98,1.03,1.0572,0.9701,ok,178551.0,KERN,50.65104166666667
1670889600,1.01,1.0,1.1,0.97,ok,186278.0,KERN,50.65104166666667
1670976000,0.9673,0.9289,1.02,0.9,ok,208584.0,KERN,52.284946236559136
1671062400,0.901,0.8888,0.9215,0.85,ok,108933.0,KERN,48.27857049352009
1671148800,0.86,0.9245,0.9245,0.86,ok,178374.0,KERN,53.406390282545544
1671408000,0.89,0.9129,0.9298,0.8714,ok,40150.0,KERN,52.6487049329689
1671494400,0.86,0.8266,0.9,0.8266,ok,162395.0,KERN,48.01756885090219
1671580800,0.84,0.8399,0.86,0.822,ok,41212.0,KERN,43.19626410688806
1671667200,0.8399,0.79,0.86,0.76,ok,124247.0,KERN,30.867346938775512
1671753600,0.7862,0.7916,0.838,0.7828,ok,31549.0,KERN,34.55118110236219
1672099200,0.79,0.735,0.79,0.7,ok,115093.0,KERN,30.497497792169554
1672185600,0.77,0.7157,0.78,0.7101,ok,84859.0,KERN,35.0770272557982
1672272000,0.6997,0.7184,0.76,0.6811,ok,102395.0,KERN,36.51704940848992
1672358400,0.72,0.6902,0.76,0.6617,ok,97364.0,KERN,17.485306465155332
1672704000,0.7,0.715,0.74,0.6892,ok,67764.0,KERN,16.574702886247863
1672790400,0.7,0.73,0.775,0.69,ok,133974.0,KERN,20.407715914072767
1672876800,0.7288,0.8052,0.83,0.7288,ok,141533.0,KERN,36.563111014555716
1672963200,0.8016,0.86,0.89,0.79,ok,108687.0,KERN,46.96842105263157
1673222400,0.92,0.9105,0.94,0.86,ok,63919.0,KERN,48.57084524295631
1673308800,0.85,0.9682,0.97,0.85,ok,70110.0,KERN,55.15954469117372
1673395200,0.9299,0.99,0.9916,0.919,ok,1640680.0,KERN,67.3313534153585
1673481600,1.35,1.65,2.05,1.22,ok,23032748.0,KERN,86.22663446918881
1673568000,1.5,1.62,1.65,1.4,ok,1328895.0,KERN,87.78910945183029
1673913600,1.61,1.7,1.79,1.44,ok,887341.0,KERN,88.60275369709333
