t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.6,2.46,2.69,2.42,ok,683923.0,LAB,
1652227200,2.47,2.065,2.47,2.065,ok,764468.0,LAB,
1652313600,2.03,2.12,2.29,2.0,ok,762786.0,LAB,
1652400000,2.25,2.22,2.37,2.135,ok,762472.0,LAB,
1652659200,2.2,2.17,2.31,2.14,ok,669287.0,LAB,
1652745600,2.24,2.1,2.26,2.06,ok,704024.0,LAB,
1652832000,2.05,2.19,2.25,1.92,ok,6988823.0,LAB,
1652918400,2.17,2.05,2.2,2.035,ok,992023.0,LAB,
1653004800,2.06,1.95,2.09,1.85,ok,786361.0,LAB,
1653264000,1.91,2.6,2.62,1.87,ok,2299363.0,LAB,
1653350400,2.41,1.95,2.45,1.915,ok,2077257.0,LAB,
1653436800,1.9,1.68,1.93,1.64,ok,2466347.0,LAB,
1653523200,1.69,2.02,2.17,1.68,ok,2632836.0,LAB,
1653609600,2.02,2.03,2.13,1.86,ok,1400134.0,LAB,42.636986301369866
1653955200,2.04,1.89,2.19,1.89,ok,2063589.0,LAB,40.68627450980393
1654041600,1.88,1.74,1.95,1.74,ok,808821.0,LAB,44.227353463587924
1654128000,1.76,1.99,2.02,1.7,ok,1011575.0,LAB,47.840531561461795
1654214400,1.96,1.97,2.025,1.91,ok,1377129.0,LAB,45.73378839590443
1654473600,1.91,1.94,2.04,1.9,ok,1333938.0,LAB,46.04810996563574
1654560000,1.89,1.93,2.03,1.87,ok,1647058.0,LAB,47.01754385964912
1654646400,1.94,2.07,2.15,1.935,ok,1394081.0,LAB,47.93103448275862
1654732800,2.1,1.93,2.1,1.9,ok,646191.0,LAB,47.93103448275862
1654819200,1.89,1.78,1.89,1.775,ok,613880.0,LAB,47.11864406779661
1655078400,1.71,1.74,1.79,1.62,ok,1033784.0,LAB,31.623931623931625
1655164800,1.77,1.81,1.84,1.695,ok,903351.0,LAB,46.02272727272727
1655251200,1.84,1.86,1.91,1.795,ok,623232.0,LAB,55.84415584415585
1655337600,1.79,1.82,1.87,1.74,ok,804070.0,LAB,41.935483870967744
1655424000,1.77,1.82,1.97,1.75,ok,1235404.0,LAB,41.463414634146346
1655769600,1.87,1.75,1.87,1.73,ok,787871.0,LAB,43.96551724137932
1655856000,1.74,1.8,1.89,1.74,ok,772242.0,LAB,52.83018867924528
1655942400,1.8,1.99,2.05,1.77,ok,1234378.0,LAB,50.0
1656028800,2.04,1.75,2.11,1.75,ok,11660729.0,LAB,40.98360655737705
1656288000,1.81,1.8,1.86,1.73,ok,2234561.0,LAB,44.35483870967742
1656374400,1.77,1.75,1.84,1.73,ok,490829.0,LAB,42.96875000000001
1656460800,1.78,1.61,1.78,1.585,ok,1519096.0,LAB,32.031250000000014
1656547200,1.58,1.6,1.665,1.565,ok,682026.0,LAB,35.6521739130435
1656633600,1.6,1.59,1.635,1.51,ok,884748.0,LAB,40.594059405940605
1656979200,1.59,1.74,1.75,1.52,ok,824610.0,LAB,50.0
1657065600,1.74,1.69,1.76,1.675,ok,338736.0,LAB,44.54545454545454
1657152000,1.71,1.82,1.865,1.68,ok,884668.0,LAB,48.30508474576271
1657238400,1.8,1.75,1.88,1.74,ok,1173655.0,LAB,47.107438016528924
