t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.17,1.29,1.29,1.17,ok,937824.0,LCTX,,1.25,1172280.0,937824.0,1.25
1652227200,1.26,1.19,1.265,1.16,ok,771691.0,LCTX,,1.2049999999999998,929887.6549999999,1709515.0,0.5439482280061888
1652313600,1.2,1.18,1.23,1.145,ok,729448.0,LCTX,,1.1849999999999998,864395.8799999999,2438963.0,0.3544112313306925
1652400000,1.29,1.12,1.29,1.1,ok,1028347.0,LCTX,,1.1700000000000002,1203165.9900000002,3467310.0,0.34700271680351635
1652659200,1.11,1.15,1.195,1.1,ok,651051.0,LCTX,,1.1483333333333332,747623.565,4118361.0,0.1815342474834042
1652745600,1.17,1.21,1.21,1.15,ok,377325.0,LCTX,,1.19,449016.75,4495686.0,0.09987724898936447
1652832000,1.18,1.2,1.21,1.12,ok,770528.0,LCTX,,1.1766666666666667,906654.6133333334,5266214.0,0.17216440754844625
1652918400,1.17,1.24,1.27,1.17,ok,640683.0,LCTX,,1.2266666666666666,785904.48,5906897.0,0.13304861757366007
1653004800,1.24,1.25,1.285,1.2,ok,429891.0,LCTX,,1.2449999999999999,535214.2949999999,6336788.0,0.084461448765526
1653264000,1.25,1.25,1.275,1.2,ok,394717.0,LCTX,,1.2416666666666665,490106.9416666666,6731505.0,0.07280792952937963
1653350400,1.23,1.25,1.26,1.19,ok,580491.0,LCTX,,1.2333333333333334,715938.9,7311996.0,0.09791292281888557
1653436800,1.2,1.22,1.25,1.19,ok,377276.0,LCTX,,1.22,460276.72,7689272.0,0.059859596591198744
1653523200,1.21,1.25,1.26,1.21,ok,421796.0,LCTX,,1.24,523027.04,8111068.0,0.06448312848566921
1653609600,1.25,1.31,1.31,1.205,ok,350545.0,LCTX,52.27272727272727,1.2750000000000001,446944.87500000006,8461613.0,0.05282029265578561
1653955200,1.3,1.25,1.32,1.25,ok,412635.0,LCTX,45.99999999999999,1.2733333333333334,525421.9,8874248.0,0.05920748439755121
1654041600,1.25,1.23,1.285,1.23,ok,558353.0,LCTX,54.761904761904766,1.2483333333333333,697010.6616666666,9432601.0,0.0738937925675714
1654128000,1.25,1.31,1.32,1.23,ok,536952.0,LCTX,63.26530612244899,1.2866666666666666,690878.24,9969553.0,0.0692988181115041
1654214400,1.28,1.4,1.45,1.28,ok,660867.0,LCTX,76.9230769230769,1.3766666666666667,909793.5700000001,10630420.0,0.08558397222311066
1654473600,1.4,1.41,1.41,1.32,ok,1220536.0,LCTX,76.0,1.38,1684339.68,11850956.0,0.1421269035173196
1654560000,1.37,1.5,1.51,1.355,ok,1519338.0,LCTX,77.35849056603773,1.455,2210636.79,13370294.0,0.16533943008283886
1654646400,1.48,1.49,1.51,1.415,ok,622108.0,LCTX,77.35849056603773,1.4716666666666667,915535.6066666667,13992402.0,0.06543091076619059
1654732800,1.45,1.53,1.55,1.42,ok,769077.0,LCTX,77.35849056603773,1.5,1153615.5,14761479.0,0.07815040078301097
1654819200,1.44,1.4,1.4783,1.38,ok,560025.0,LCTX,61.53846153846152,1.4194333333333333,794918.1525,15321504.0,0.051882514438530314
1655078400,1.38,1.3,1.38,1.27,ok,682894.0,LCTX,53.33333333333334,1.3166666666666667,899143.7666666666,16004398.0,0.056181042652567535
