t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.8647,3.9552,3.9697,3.8647,ok,7091.0,LGL,,3.929866666666667,27866.684533333333,7091.0,3.929866666666667
1652227200,3.9138,3.9439,3.9439,3.9138,ok,1089.0,LGL,,3.933866666666667,4283.9808,8180.0,0.5237140342298289
1652313600,3.7591,3.7972,3.9175,3.7591,ok,4431.0,LGL,,3.8246,16946.802600000003,12611.0,1.3438111648560782
1652400000,3.9552,3.9929,3.9967,3.9402,ok,22026.0,LGL,,3.9766,87588.5916,34637.0,2.528758021768629
1652659200,3.9289,3.9779,4.091,3.8497,ok,8903.0,LGL,,3.9728666666666665,35370.43193333333,43540.0,0.812366374215281
1652745600,4.0533,4.0571,4.0751,3.9816,ok,3254.0,LGL,,4.037933333333333,13139.435066666667,46794.0,0.28079315866706556
1652832000,4.0721,4.1513,4.2418,4.0721,ok,6302.0,LGL,,4.1550666666666665,26185.23013333333,53096.0,0.4931676610918587
1652918400,4.1287,4.1551,4.2354,4.1249,ok,1549.0,LGL,,4.1718,6462.1182,54645.0,0.11825634916277793
1653004800,4.3286,4.3511,4.3511,4.3172,ok,13176.0,LGL,,4.339799999999999,57181.20479999999,67821.0,0.8431194585747777
1653264000,4.3474,4.3738,4.4115,4.3474,ok,1666.0,LGL,,4.377566666666667,7293.026066666666,69487.0,0.10495525877742119
1653350400,4.3436,4.3361,4.3436,4.3361,ok,698.0,LGL,,4.3386000000000005,3028.3428000000004,70185.0,0.04314800598418466
1653436800,4.3485,4.336,4.3485,4.336,ok,1577.0,LGL,,4.340166666666667,6844.4428333333335,71762.0,0.09537697992437967
1653523200,4.1723,4.2079,4.336,4.1723,ok,913.0,LGL,,4.238733333333333,3869.963533333333,72675.0,0.05325027221648893
1653609600,4.2003,4.1966,4.2003,4.1966,ok,502.0,LGL,62.8158844765343,4.1978333333333335,2107.3123333333333,73177.0,0.02879746823910974
1653955200,4.2041,4.2041,4.2041,4.2041,ok,1571.0,LGL,63.10965974928896,4.2041,6604.641100000001,74748.0,0.0883587667897469
1654041600,4.2154,4.2229,4.2343,4.2079,ok,2345.0,LGL,64.57984949832775,4.221699999999999,9899.886499999999,77093.0,0.12841485608291284
1654128000,4.2418,4.3323,4.3361,4.2079,ok,3382.0,LGL,79.09733550842847,4.2921000000000005,14515.882200000002,80475.0,0.18037753588070832
1654214400,4.305,4.3455,4.4114,4.2757,ok,5035.0,LGL,73.921302578019,4.344200000000001,21873.047000000002,85510.0,0.2557951935446147
