t,o,c,h,l,s,v,Ticker,RSI
1652140800,5.300000000000001,5.013999999999999,5.4,4.9,ok,75484.6,MARK,
1652227200,5.0,4.0,5.167000000000001,3.8,ok,231297.5,MARK,
1652313600,4.023,4.401,4.54,4.0,ok,146626.1,MARK,
1652400000,4.501,4.7010000000000005,4.9,4.5,ok,129701.1,MARK,
1652659200,4.683,4.461,4.84,4.407,ok,158228.3,MARK,
1652745600,4.3,4.85,5.379,4.3,ok,186742.5,MARK,
1652832000,5.0,4.709,5.1,4.7010000000000005,ok,97065.6,MARK,
1652918400,4.8,5.119,5.5,4.727,ok,116707.3,MARK,
1653004800,5.301,5.101,5.4,4.947,ok,70431.8,MARK,
1653264000,5.0,4.845,5.15,4.71,ok,112725.5,MARK,
1653350400,4.74,4.327,4.8,4.3,ok,80963.5,MARK,
1653436800,4.385,4.524,4.699999999999999,4.35,ok,89535.0,MARK,
1653523200,4.618,4.573,4.699999999999999,4.411,ok,54908.8,MARK,
1653609600,4.66,4.843,4.934,4.537,ok,59016.6,MARK,47.965738758029985
1653955200,5.0,4.8,5.132,4.71,ok,57526.3,MARK,47.479981158737644
1654041600,4.9,4.555,4.949,4.3,ok,50898.5,MARK,57.98101811906815
1654128000,4.5,4.787,4.946,4.5,ok,43948.4,MARK,55.83434099153567
1654214400,4.809,4.699999999999999,4.959,4.6000000000000005,ok,79208.3,MARK,49.983844911146996
1654473600,4.8,4.759,4.9,4.625,ok,62551.8,MARK,55.113246396705556
1654560000,4.625,4.640000000000001,5.099,4.625,ok,85051.1,MARK,46.028744326777634
1654646400,4.72,4.9430000000000005,4.965,4.62,ok,62110.1,MARK,54.16963649322881
1654732800,4.8,5.259,5.75,4.8,ok,181924.0,MARK,52.58112094395281
1654819200,5.324999999999999,4.9990000000000006,5.324999999999999,4.85,ok,82258.1,MARK,48.27352742044686
1655078400,4.75,4.455,4.75,4.41,ok,153224.0,MARK,43.98519432449106
1655164800,4.487,4.41,4.599,4.373,ok,58182.6,MARK,51.498736005778255
1655251200,4.416,4.41,4.6000000000000005,4.4,ok,83076.0,MARK,47.78382581648523
1655337600,4.4,4.050000000000001,4.5,4.0,ok,150305.8,MARK,40.92958723551857
1655424000,4.037,4.24,4.291,3.9,ok,164378.8,MARK,39.2436674991081
1655769600,4.2,4.282,4.497,4.138,ok,81081.6,MARK,40.75660242683798
1655856000,4.101,4.23,4.3,4.03,ok,66454.8,MARK,43.77155998466847
1655942400,4.184,4.319,4.5,4.103,ok,42589.4,MARK,40.51094890510949
1656028800,4.4,3.8,4.49,3.8,ok,102592.5,MARK,34.47204968944099
1656288000,4.225,4.495,4.595000000000001,4.22,ok,289063.7,MARK,46.26485568760611
1656374400,4.534000000000001,4.203,4.534000000000001,4.15,ok,138412.3,MARK,44.10574588616131
1656460800,4.16,3.961,4.454000000000001,3.9,ok,161672.5,MARK,36.533187054306076
1656547200,5.0,4.41,5.008,4.050000000000001,ok,2018264.3,MARK,38.766869542206926
1656633600,4.2,4.114,4.393000000000001,4.1,ok,230473.6,MARK,38.40104849279161
1656979200,4.226,4.1770000000000005,4.3,4.025,ok,189134.0,MARK,45.830833833233356
1657065600,4.1,4.304,4.55,4.1,ok,263269.4,MARK,48.44847775175644
1657152000,4.264,4.49,4.5,4.122,ok,96842.6,MARK,51.11049416990561
1657238400,4.355,4.388,4.5,4.164,ok,202563.1,MARK,55.05382775119616
1657497600,4.699999999999999,4.6000000000000005,4.98,4.5,ok,622137.6,MARK,55.347593582887704
1657584000,4.258,4.363,4.5,4.25,ok,167558.6,MARK,51.13732097725358
1657670400,4.199,4.236,4.455,4.16,ok,76492.1,MARK,50.08250825082508
1657756800,4.215,4.246,4.4,4.121,ok,106837.6,MARK,48.973854371661524
1657843200,4.225,4.276,4.48,4.2,ok,145227.5,MARK,57.75749674054759
1658102400,4.298,4.35,4.444,4.21,ok,101876.1,MARK,47.03718839395177
1658188800,4.273,4.362,4.47,4.251,ok,74428.8,MARK,53.66866635902168
1658275200,4.4,4.41,4.5,4.4,ok,68868.8,MARK,61.37861125190065
1658361600,4.4,4.742,4.976999999999999,4.312,ok,338176.7,MARK,58.94396551724136
1658448000,4.6000000000000005,4.478,4.698,4.42,ok,69551.3,MARK,59.978070175438575
1658707200,4.4,4.3,4.549,4.1,ok,123527.7,MARK,53.17173800928312
