t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1673568000,8.6,4.65,16.61,4.29,ok,14431039.0,MGOL,,8.516666666666666,122904348.81666665,14431039.0,8.516666666666666
1673913600,5.41,4.9,6.7,4.64,ok,16055765.0,MGOL,,5.413333333333334,86915207.86666667,30486804.0,2.8509124100599945
1674000000,4.64,3.7,4.89,3.7,ok,3666745.0,MGOL,,4.096666666666667,15021432.016666668,34153549.0,0.4398205298274176
1674086400,3.46,3.93,4.1,3.31,ok,3009205.0,MGOL,,3.78,11374794.899999999,37162754.0,0.3060805154537255
1674172800,3.55,3.44,3.802,3.4,ok,1346506.0,MGOL,,3.547333333333333,4776505.617333333,38509260.0,0.12403524807626355
1674432000,3.55,3.28,3.65,3.25,ok,1170310.0,MGOL,,3.393333333333333,3971251.933333333,39679570.0,0.10008303853427175
1674518400,3.2,2.85,3.25,2.85,ok,1831735.0,MGOL,,2.983333333333333,5464676.083333333,41511305.0,0.13164308092297589
1674604800,2.8,2.78,3.13,2.71,ok,2463506.0,MGOL,,2.873333333333333,7078473.906666666,43974811.0,0.16096655666505688
1674691200,2.82,2.7,2.92,2.68,ok,893316.0,MGOL,,2.766666666666667,2471507.6000000006,44868127.0,0.0550838148425496
1674777600,2.69,2.57,2.85,2.55,ok,1165149.0,MGOL,,2.6566666666666667,3095412.5100000002,46033276.0,0.06724293335108282
1675036800,2.57,2.38,2.5893,2.35,ok,830007.0,MGOL,,2.439766666666667,2025023.4117,46863283.0,0.043211300661543495
1675123200,2.35,2.4,2.44,2.26,ok,906877.0,MGOL,,2.3666666666666667,2146275.566666667,47770160.0,0.04492921034107206
1675209600,2.6,2.69,2.73,2.4,ok,1581686.0,MGOL,,2.606666666666667,4122928.173333334,49351846.0,0.08354151885895685
1675296000,3.0,2.66,3.0,2.58,ok,3891712.0,MGOL,22.128851540616253,2.7466666666666666,10689235.626666667,53243558.0,0.20076110666132918
1675382400,2.52,2.44,2.6,2.42,ok,522318.0,MGOL,20.844327176780997,2.4866666666666664,1298830.7599999998,53765876.0,0.024157157971349704
1675641600,2.39,2.33,2.5,2.31,ok,623366.0,MGOL,14.794520547945211,2.3800000000000003,1483611.0800000003,54389242.0,0.027277656857214526
1675728000,2.28,2.15,2.33,2.12,ok,579505.0,MGOL,20.532319391634985,2.1999999999999997,1274910.9999999998,54968747.0,0.023193379321526097
1675814400,2.12,1.97,2.15,1.91,ok,719990.0,MGOL,12.015503875968989,2.01,1447179.9,55688737.0,0.02598694059087747
1675900800,2.1,1.99,2.2,1.93,ok,810908.0,MGOL,15.639810426540294,2.04,1654252.32,56499645.0,0.029278986089204633
1675987200,1.95,1.84,1.95,1.77,ok,582575.0,MGOL,15.714285714285708,1.8533333333333333,1079705.6666666667,57082220.0,0.018914920734804407
1676246400,1.81,1.91,1.93,1.75,ok,331075.0,MGOL,22.98850574712644,1.8633333333333333,616903.0833333334,57413295.0,0.010744951728224855
1676332800,1.87,1.85,1.95,1.81,ok,177244.0,MGOL,23.121387283237,1.8699999999999999,331446.27999999997,57590539.0,0.005755221009478657
1676419200,1.84,1.99,2.01,1.78,ok,502606.0,MGOL,30.167597765363126,1.9266666666666667,968354.2266666667,58093145.0,0.016668992988185898
1676505600,1.92,2.19,2.27,1.88,ok,1424594.0,MGOL,39.784946236559136,2.1133333333333333,3010641.986666667,59517739.0,0.05058394416942933
1676592000,2.2,1.97,2.2091,1.95,ok,450390.0,MGOL,39.153439153439145,2.0430333333333333,920161.7829999999,59968129.0,0.01534418028950011
1676937600,1.94,1.835,2.05,1.82,ok,388701.0,MGOL,35.910224438902745,1.9016666666666666,739179.735,60356830.0,0.012246828320837923
1677024000,1.83,1.91,2.04,1.83,ok,495872.0,MGOL,28.21229050279329,1.9266666666666667,955380.0533333333,60852702.0,0.015699878919646547
1677110400,1.96,2.1,2.689,1.9,ok,5706142.0,MGOL,35.641025641025635,2.2296666666666667,12722794.612666667,66558844.0,0.1911510754704013
1677196800,2.1,1.86,2.1,1.85,ok,701798.0,MGOL,35.27918781725889,1.9366666666666668,1359148.7933333335,67260642.0,0.02020719328449665
1677456000,1.95,2.01,2.0799,1.91,ok,538252.0,MGOL,42.03980099502487,1.9999666666666664,1076486.0582666665,67798894.0,0.015877634497498832
1677542400,2.0,1.87,2.04,1.84,ok,460087.0,MGOL,42.893401015228434,1.9166666666666667,881833.4166666667,68258981.0,0.012918936142141745
1677628800,1.89,1.85,1.91,1.81,ok,205753.0,MGOL,46.68508287292818,1.8566666666666667,382014.7366666667,68464734.0,0.0055797300938416955
1677715200,1.82,1.89,1.94,1.8117,ok,177886.0,MGOL,47.267759562841526,1.8805666666666667,334526.48206666665,68642620.0,0.004873451538805871
1677801600,1.89,1.94,1.96,1.85,ok,131621.0,MGOL,52.89017341040463,1.9166666666666667,252273.58333333334,68774241.0,0.0036681405663689308
1678060800,1.95,1.87,1.9599,1.85,ok,151545.0,MGOL,48.84393063583816,1.8933,286920.1485,68925786.0,0.0041627403204368245
1678147200,1.8737,1.8878,1.97,1.82,ok,175944.0,MGOL,51.11980092428012,1.8925999999999998,332991.61439999996,69101730.0,0.004818860749217132
1678233600,1.86,1.85,1.89,1.83,ok,87844.0,MGOL,45.585267406659945,1.8566666666666667,163097.02666666667,69189574.0,0.002357248603187912
1678320000,1.84,1.74,1.88,1.7,ok,161240.0,MGOL,34.95587055362397,1.7733333333333334,285932.26666666666,69350814.0,0.004122983569690568
1678406400,1.67,1.5,1.68,1.4,ok,509834.0,MGOL,34.494589601477955,1.5266666666666666,778346.5733333334,69860648.0,0.011141416457135258
1678665600,1.42,1.395,1.47,1.37,ok,223306.0,MGOL,35.191168551427026,1.4116666666666664,315233.6366666666,70083954.0,0.004497943090748941
1678752000,1.39,1.43,1.56,1.39,ok,175270.0,MGOL,33.397897066961804,1.46,255894.19999999998,70259224.0,0.0036421438414975943
1678838400,1.38,1.28,1.3877,1.27,ok,256908.0,MGOL,20.8309618668184,1.3125666666666669,337208.87720000005,70516132.0,0.004782010408625363
1678924800,1.3,1.26,1.33,1.2201,ok,144325.0,MGOL,24.69635627530361,1.2700333333333333,183297.56083333332,70660457.0,0.002594061355042373
1679011200,1.3,1.21,1.31,1.21,ok,160834.0,MGOL,13.154016212232833,1.2433333333333334,199970.27333333335,70821291.0,0.0028235897780136956
1679270400,1.205,0.959,1.205,0.94,ok,587561.0,MGOL,11.933812468661174,1.0346666666666666,607929.7813333333,71408852.0,0.008513367240987621
1679356800,0.97,1.0,1.0499,0.97,ok,390504.0,MGOL,15.095269382391564,1.0066333333333333,393094.3432,71799356.0,0.0054749006829532005
