t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.1000000000000005,5.1000000000000005,5.1000000000000005,4.518000000000001,ok,3643.9,MICS,,4.9060000000000015,17876.973400000006,3643.9,4.9060000000000015
1652227200,5.4,5.4,5.7,4.95,ok,6475.4,MICS,,5.3500000000000005,34643.39,10119.3,3.4234966845532795
1652313600,6.0,6.0,6.27,5.43,ok,6668.3,MICS,,5.8999999999999995,39342.969999999994,16787.6,2.3435732326240797
1652400000,6.0,5.7,6.0,5.655,ok,1157.8,MICS,,5.785,6697.873,17945.399999999998,0.37323620537853713
1652659200,5.529,5.64,5.64,5.529,ok,673.3,MICS,,5.603000000000001,3772.4999000000003,18618.699999999997,0.20261886705301663
1652745600,5.8500000000000005,7.218,7.95,5.79,ok,28070.066666666666,MICS,,6.986,196097.4857333333,46688.76666666666,4.20009993267474
1652832000,7.29,7.0200000000000005,7.65,6.930000000000001,ok,919.6,MICS,,7.2,6621.12,47608.36666666666,0.13907471445845304
1652918400,6.75,6.0,7.47,5.8500000000000005,ok,11095.666666666666,MICS,,6.44,71456.09333333334,58704.033333333326,1.217226300748217
1653004800,6.3,6.0,6.33,5.88,ok,12004.666666666666,MICS,,6.07,72868.32666666666,70708.7,1.0305425876400875
1653264000,6.105,5.595,6.225,5.55,ok,14215.7,MICS,,5.789999999999999,82308.90299999999,84924.4,0.9692020550042155
1653350400,2.8,2.75,3.85,2.39,ok,1138192.0,MICS,,2.9966666666666666,3410782.0266666664,1223116.4,2.788599700459144
1653436800,3.51,3.21,3.8196,3.11,ok,5457233.0,MICS,,3.3798666666666666,18444719.908933334,6680349.4,2.761041197775274
1653523200,3.23,2.9,3.23,2.85,ok,430275.0,MICS,,2.9933333333333336,1287956.5000000002,7110624.4,0.1811312801165535
1653609600,2.83,2.87,2.97,2.8,ok,263357.0,MICS,36.24475697014557,2.8800000000000003,758468.16,7373981.4,0.10285734650754612
1653955200,2.87,2.91,2.995,2.76,ok,174916.0,MICS,36.55781978885342,2.888333333333333,505215.7133333333,7548897.4,0.06692576234157498
1654041600,3.0,2.84,3.06,2.78,ok,1253608.0,MICS,33.83021728145528,2.893333333333333,3627105.813333333,8802505.4,0.4120538015612388
1654128000,2.78,3.48,3.6399,2.64,ok,551216.0,MICS,34.16289592760181,3.2533,1793271.0128,9353721.4,0.19171738563861865
1654214400,3.34,3.4221,3.69,3.14,ok,360879.0,MICS,35.23509508808773,3.4173666666666667,1233255.8653,9714600.4,0.1269486972722007
1654473600,3.43,3.51,3.6,3.15,ok,141244.0,MICS,36.24350926141208,3.42,483054.48,9855844.4,0.04901198318431244
1654560000,3.52,3.93,4.0,3.309,ok,391059.0,MICS,25.029618153649864,3.7463333333333337,1465037.367,10246903.4,0.14297366822058652
1654646400,3.96,3.57,4.35,3.01,ok,2297587.0,MICS,24.42853330961488,3.643333333333333,8370875.303333333,12544490.4,0.6672949666678634
1654732800,3.37,4.19,4.35,3.37,ok,833465.0,MICS,35.738598758233806,3.97,3308856.0500000003,13377955.4,0.24733645396964024
1654819200,4.08,6.72,8.2,4.08,ok,5351703.0,MICS,54.05597241938754,6.333333333333333,33894119.0,18729658.4,1.809649608985928
1655078400,6.39,6.73,7.49,5.35,ok,1067687.0,MICS,56.69158569946232,6.523333333333333,6964878.196666666,19797345.4,0.3518086923243086
1655164800,6.41,6.05,6.95,5.78,ok,463134.0,MICS,76.12495645840589,6.260000000000001,2899218.8400000003,20260479.4,0.1430972477383729
1655251200,5.74,7.0,7.05,5.61,ok,264903.0,MICS,77.84389785183225,6.553333333333334,1735997.6600000001,20525382.4,0.08457809097870939
1655337600,6.55,6.85,6.85,6.14,ok,149927.0,MICS,79.7180173944446,6.613333333333332,991517.2266666666,20675309.4,0.04795658471097253
1655424000,6.86,7.54,7.79,6.66,ok,135130.0,MICS,81.96090777190724,7.329999999999999,990502.8999999999,20810439.4,0.04759644335044651
1655769600,7.91,7.63,7.99,7.3701,ok,62250.0,MICS,82.0835259251203,7.663366666666666,477044.57499999995,20872689.4,0.022854964487709954
1655856000,7.4,7.74,7.9,7.4,ok,100353.0,MICS,83.12690986776278,7.68,770711.0399999999,20973042.4,0.03674769855993806
1655942400,7.59,7.85,7.9,7.4282,ok,58103.0,MICS,81.82440502199304,7.726066666666667,448907.65153333335,21031145.4,0.021344897911900383
1656028800,7.852,7.8,8.6899,7.65,ok,115355.0,MICS,81.91866314761077,8.046633333333334,928219.3881666667,21146500.4,0.043894704589827395
1656288000,7.66,8.07,8.44,7.65,ok,65248.0,MICS,82.38636363636363,8.053333333333333,525463.8933333333,21211748.4,0.024772304641013626
1656374400,8.06,8.11,8.595,7.9383,ok,96546.0,MICS,81.38138138138137,8.214433333333334,793070.6806000001,21308294.4,0.03721887194312465
