t,o,c,h,l,s,v,Ticker
1652140800,2.46,2.3,2.61,2.29,ok,45721.0,MIMO
1652227200,2.29,2.3,2.6058,2.29,ok,42502.0,MIMO
1652313600,2.3,2.28,2.3933,2.2,ok,69616.0,MIMO
1652400000,2.35,2.43,2.43,2.29,ok,18198.0,MIMO
1652659200,2.4,2.74,2.79,2.37,ok,63705.0,MIMO
1652745600,2.662,2.78,2.81,2.662,ok,115449.0,MIMO
1652832000,2.88,2.75,2.89,2.73,ok,20250.0,MIMO
1652918400,2.85,2.97,3.0473,2.81,ok,40984.0,MIMO
1653004800,2.97,2.92,3.07,2.92,ok,53194.0,MIMO
1653264000,3.07,2.97,3.07,2.9101,ok,48378.0,MIMO
1653350400,2.85,2.95,3.19,2.7841,ok,31440.0,MIMO
1653436800,2.945,3.03,3.06,2.9,ok,6456.0,MIMO
1653523200,3.04,3.11,3.22,3.0,ok,48599.0,MIMO
1653609600,3.22,3.05,3.22,3.05,ok,32128.0,MIMO
1653955200,3.01,3.13,3.19,3.01,ok,22456.0,MIMO
1654041600,3.2,3.0,3.2,3.0,ok,35349.0,MIMO
1654128000,2.6,3.18,3.255,2.1545,ok,77332.0,MIMO
1654214400,3.25,3.12,3.385,3.1,ok,32638.0,MIMO
1654473600,3.15,3.15,3.29,3.08,ok,18545.0,MIMO
1654560000,3.28,3.26,3.55,3.18,ok,55814.0,MIMO
1654646400,3.13,3.03,3.285,3.0,ok,25869.0,MIMO
1654732800,3.095,3.11,3.11,3.07,ok,7806.0,MIMO
1654819200,3.0654,3.13,3.13,3.06,ok,27678.0,MIMO
1655078400,3.22,2.9,3.22,2.9,ok,39467.0,MIMO
1655164800,3.0,2.94,3.24,2.94,ok,127012.0,MIMO
1655251200,2.87,2.92,3.02,2.87,ok,92312.0,MIMO
1655337600,2.55,2.72,2.78,2.55,ok,45531.0,MIMO
1655424000,2.84,2.67,2.84,2.6,ok,18523.0,MIMO
1655769600,2.71,2.61,2.74,2.4,ok,52402.0,MIMO
1655856000,2.63,2.69,2.7,2.489,ok,9340.0,MIMO
1655942400,2.64,2.68,2.86,2.6202,ok,10517.0,MIMO
1656028800,2.6,2.98,3.08,2.6,ok,112672.0,MIMO
1656288000,3.02,2.8,3.02,2.8,ok,22038.0,MIMO
1656374400,2.79,2.72,2.8,2.63,ok,31421.0,MIMO
1656460800,2.68,2.715,2.715,2.68,ok,3206.0,MIMO
1656547200,2.68,2.99,3.0,2.68,ok,11140.0,MIMO
1656633600,2.99,3.04,3.1,2.99,ok,10128.0,MIMO
1656979200,2.96,3.08,3.19,2.96,ok,102565.0,MIMO
1657065600,3.11,3.16,3.24,3.11,ok,8166.0,MIMO
1657152000,3.1,3.27,3.28,3.1,ok,34661.0,MIMO
1657238400,3.17,3.42,3.44,3.17,ok,13309.0,MIMO
1657497600,3.28,3.06,3.31,2.9764,ok,44196.0,MIMO
1657584000,2.98,2.97,3.18,2.9438,ok,2214.0,MIMO
1657670400,2.94,2.85,3.3,2.75,ok,22603.0,MIMO
1657756800,2.92,2.94,3.0,2.92,ok,1513.0,MIMO
1657843200,3.04,3.025,3.04,2.96,ok,3713.0,MIMO
1658102400,2.98,3.04,3.06,2.98,ok,12299.0,MIMO
1658188800,2.87,3.15,3.24,2.85,ok,18564.0,MIMO
1658275200,3.08,3.28,3.3,3.08,ok,15166.0,MIMO
1658361600,3.21,3.38,3.38,3.17,ok,8679.0,MIMO
1658448000,3.39,3.3,3.4,3.24,ok,6954.0,MIMO
1658707200,3.2894,3.39,3.43,3.28,ok,8633.0,MIMO
1658793600,3.24,2.9,3.27,2.89,ok,37062.0,MIMO
1658880000,2.82,2.98,3.03,2.82,ok,29382.0,MIMO
1658966400,3.15,3.05,3.21,2.95,ok,14477.0,MIMO
1659052800,2.98,2.92,3.11,2.92,ok,28545.0,MIMO
1659312000,3.06,3.075,3.13,3.06,ok,3615.0,MIMO
1659398400,3.0,3.21,3.21,3.0,ok,3017.0,MIMO
1659484800,3.25,3.12,3.53,3.12,ok,60902.0,MIMO
1659571200,3.21,3.09,3.3212,3.05,ok,34318.0,MIMO
1659657600,3.16,3.17,3.23,3.08,ok,103933.0,MIMO
1659916800,3.16,3.1,3.1799,3.05,ok,158053.0,MIMO
1660003200,3.33,3.1,3.33,3.0701,ok,58978.0,MIMO
1660089600,3.01,3.11,3.1799,3.01,ok,12895.0,MIMO
1660176000,3.03,3.22,3.235,3.03,ok,9243.0,MIMO
1660262400,3.15,3.25,3.37,3.15,ok,17860.0,MIMO
1660521600,3.17,2.99,3.17,2.95,ok,17734.0,MIMO
1660608000,3.185,2.9,3.185,2.9,ok,18606.0,MIMO
1660694400,2.71,2.77,2.8893,2.71,ok,19645.0,MIMO
1660780800,2.7907,2.68,2.99,2.66,ok,30693.0,MIMO
1660867200,2.54,2.54,2.77,2.54,ok,21290.0,MIMO
1661126400,2.51,2.42,2.6,2.36,ok,52375.0,MIMO
1661212800,2.51,2.4,2.61,2.4,ok,9118.0,MIMO
1661299200,2.5074,2.54,2.56,2.5074,ok,4491.0,MIMO
1661385600,2.52,2.52,2.64,2.51,ok,11117.0,MIMO
1661472000,2.38,2.51,2.6599,2.37,ok,3889.0,MIMO
1661731200,2.42,2.27,2.5364,2.25,ok,30745.0,MIMO
1661817600,2.27,2.2,2.285,2.2,ok,34070.0,MIMO
1661904000,2.25,2.12,2.33,2.12,ok,142792.0,MIMO
1661990400,2.094,2.1,2.16,2.05,ok,32304.0,MIMO
1662076800,2.1259,2.05,2.1259,2.01,ok,19279.0,MIMO
1662422400,2.05,2.12,2.19,1.82,ok,51966.0,MIMO
1662508800,2.06,2.305,2.41,2.06,ok,18478.0,MIMO
1662595200,2.38,2.22,2.38,2.2,ok,29063.0,MIMO
1662681600,2.25,2.2431,2.45,2.2,ok,52583.0,MIMO
1662940800,2.32,2.22,2.32,2.22,ok,7690.0,MIMO
1663027200,2.31,2.4506,2.47,2.2712,ok,12450.0,MIMO
1663113600,2.4966,2.6,2.63,2.4966,ok,20014.0,MIMO
1663200000,2.8,2.86,2.86,2.6,ok,14873.0,MIMO
1663286400,2.84,2.99,3.0,2.57,ok,24601.0,MIMO
1663545600,3.18,3.37,3.39,2.9601,ok,36413.0,MIMO
1663632000,3.32,3.35,3.38,3.1665,ok,42179.0,MIMO
1663718400,3.26,3.08,3.26,3.08,ok,28540.0,MIMO
1663804800,3.04,2.85,3.0472,2.83,ok,32860.0,MIMO
1663891200,2.76,2.6,2.88,2.5095,ok,67619.0,MIMO
1664150400,2.6,2.4,2.6,2.3401,ok,17190.0,MIMO
1664236800,2.4507,2.51,2.57,2.4507,ok,7536.0,MIMO
1664323200,2.5599,2.48,2.5599,2.48,ok,8787.0,MIMO
1664409600,2.45,2.35,2.45,2.3,ok,80282.0,MIMO
1664496000,2.475,2.02,2.475,2.01,ok,38703.0,MIMO
1664755200,2.055,2.23,2.25,2.055,ok,20826.0,MIMO
1664841600,2.25,2.25,2.41,2.2485,ok,28765.0,MIMO
1664928000,2.16,2.18,2.2,2.16,ok,5567.0,MIMO
1665014400,2.23,2.18,2.23,2.18,ok,26195.0,MIMO
1665100800,2.2803,2.3,2.35,2.28,ok,4133.0,MIMO
1665360000,2.3,2.42,2.45,2.3,ok,9517.0,MIMO
1665446400,2.54,2.59,2.63,2.3746,ok,10540.0,MIMO
1665532800,2.55,2.55,2.79,2.53,ok,17136.0,MIMO
1665619200,2.42,2.57,2.59,2.42,ok,16062.0,MIMO
1665705600,2.64,2.83,2.87,2.64,ok,9434.0,MIMO
1665964800,2.97,2.87,2.97,2.83,ok,58645.0,MIMO
1666051200,2.99,2.94,3.1957,2.9,ok,37573.0,MIMO
1666137600,3.025,2.9,3.1078,2.87,ok,24622.0,MIMO
1666224000,2.86,2.575,2.9626,2.575,ok,19234.0,MIMO
1666310400,2.53,2.53,2.595,2.48,ok,31155.0,MIMO
1666569600,2.46,2.365,2.48,2.26,ok,26025.0,MIMO
1666656000,2.29,2.155,2.29,2.15,ok,71574.0,MIMO
1666742400,2.18,2.35,2.43,2.18,ok,16865.0,MIMO
1666828800,2.41,2.87,2.87,2.15,ok,68468.0,MIMO
1666915200,2.87,2.48,2.87,2.48,ok,20139.0,MIMO
1667174400,2.5,2.37,2.5,2.35,ok,6205.0,MIMO
1667260800,2.35,2.28,2.351,2.265,ok,5432.0,MIMO
1667347200,2.5,2.2721,2.5,2.26,ok,12302.0,MIMO
1667433600,2.27,2.265,2.31,2.22,ok,19253.0,MIMO
1667520000,2.39,2.16,2.44,2.0814,ok,59313.0,MIMO
1667779200,2.4599,2.18,2.4599,2.18,ok,4702.0,MIMO
1667865600,2.44,2.19,2.44,2.17,ok,26022.0,MIMO
1667952000,2.2,2.19,2.3101,2.16,ok,6494.0,MIMO
1668038400,2.18,2.08,2.18,2.0625,ok,18602.0,MIMO
1668124800,2.11,2.2,2.25,2.11,ok,28657.0,MIMO
1668384000,2.1286,2.22,2.3,2.1248,ok,23518.0,MIMO
1668470400,2.29,2.21,2.3,2.15,ok,32515.0,MIMO
1668556800,2.02,2.2,2.24,2.02,ok,30049.0,MIMO
1668643200,2.1427,2.15,2.15,2.03,ok,4994.0,MIMO
1668729600,2.06,2.165,2.2152,2.06,ok,2117.0,MIMO
1668988800,2.23,1.96,2.23,1.9561,ok,23361.0,MIMO
1669075200,2.0,1.85,2.0,1.85,ok,35824.0,MIMO
1669161600,1.93,1.7,1.93,1.7,ok,36737.0,MIMO
1669334400,1.63,1.62,1.74,1.62,ok,24637.0,MIMO
1669593600,1.8299,1.96,2.01,1.81,ok,57807.0,MIMO
1669680000,1.95,1.9569,2.01,1.84,ok,46822.0,MIMO
1669766400,1.9,1.84,2.0,1.83,ok,53365.0,MIMO
1669852800,1.79,1.72,1.85,1.72,ok,40015.0,MIMO
1669939200,1.75,1.69,1.8,1.66,ok,52615.0,MIMO
1670198400,1.64,1.5,1.68,1.4,ok,24736.0,MIMO
1670284800,1.48,1.49,1.52,1.47,ok,21478.0,MIMO
1670371200,1.5,1.55,1.55,1.4601,ok,41769.0,MIMO
