t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.0,1.01,1.02,0.96,ok,180517.0,MLSS,
1652227200,1.01,0.873,1.035,0.85,ok,152890.0,MLSS,
1652313600,0.88,0.8475,0.9508,0.75,ok,233947.0,MLSS,
1652400000,0.8475,0.8401,0.9,0.83,ok,173240.0,MLSS,
1652659200,0.8479,0.861,0.89,0.7906,ok,447121.0,MLSS,
1652745600,0.89,0.91,0.92,0.82,ok,111316.0,MLSS,
1652832000,0.9013,0.87,0.9361,0.86,ok,84980.0,MLSS,
1652918400,0.85,0.885,0.9499,0.85,ok,204019.0,MLSS,
1653004800,0.89,0.8701,0.9098,0.85,ok,120791.0,MLSS,
1653264000,0.8929,0.8839,0.9098,0.86,ok,51081.0,MLSS,
1653350400,0.88,0.89,0.8996,0.8715,ok,47090.0,MLSS,
1653436800,0.9,0.9379,0.9955,0.88,ok,80460.0,MLSS,
1653523200,0.9565,0.9601,1.02,0.9504,ok,80659.0,MLSS,
1653609600,1.08,1.0,1.08,0.98,ok,166232.0,MLSS,48.862602365787076
1653955200,1.0,1.01,1.03,0.96,ok,50935.0,MLSS,50.0
1654041600,1.01,0.921,1.01,0.78,ok,258709.0,MLSS,55.97609561752988
1654128000,0.94,0.97,0.99,0.9313,ok,12042.0,MLSS,64.40837450011762
1654214400,0.9899,0.9594,0.9999,0.92,ok,112997.0,MLSS,63.92715386411395
1654473600,1.0,0.96,1.0,0.959,ok,31777.0,MLSS,62.132352941176464
1654560000,0.97,0.98,1.0,0.959,ok,298140.0,MLSS,59.23482849604221
1654646400,0.98,1.05,1.06,0.98,ok,42805.0,MLSS,72.00488997555013
1654732800,1.05,0.9771,1.09,0.9751,ok,52252.0,MLSS,59.86292568001713
1654819200,0.97,0.951,1.0173,0.951,ok,29369.0,MLSS,58.460573101861534
1655078400,0.95,0.821,0.95,0.76,ok,146483.0,MLSS,44.708059902406184
1655164800,0.81,0.8001,0.8237,0.8,ok,90303.0,MLSS,42.62025939911344
1655251200,0.8003,0.807,0.8337,0.8,ok,124813.0,MLSS,38.47914099630348
1655337600,0.8,0.78,0.85,0.75,ok,188447.0,MLSS,34.281724559259914
1655424000,0.78,0.83,0.84,0.78,ok,86570.0,MLSS,35.42024013722127
1655769600,0.84,0.84,0.91,0.79,ok,94041.0,MLSS,35.42024013722127
1655856000,0.824,0.87,0.8944,0.824,ok,21301.0,MLSS,45.13358778625953
1655942400,0.8454,0.95,0.9735,0.8454,ok,175913.0,MLSS,48.1981981981982
1656028800,0.9493,0.96,1.0099,0.92,ok,119918.0,MLSS,50.05411255411255
1656288000,0.95,0.98,1.015,0.9458,ok,89350.0,MLSS,51.74276751481352
1656374400,0.99,0.91,1.01,0.91,ok,30807.0,MLSS,44.38922731644758
1656460800,0.8917,0.94,0.99,0.8917,ok,21820.0,MLSS,40.57896539910928
1656547200,0.93,0.9155,0.9534,0.88,ok,64630.0,MLSS,44.2472917444901
1656633600,0.95,0.9805,1.02,0.93,ok,37807.0,MLSS,52.568344071043015
1656979200,1.0,1.05,1.08,0.9594,ok,133857.0,MLSS,72.2849357726742
1657065600,1.0725,1.16,1.26,1.065,ok,336477.0,MLSS,79.84740421297064
1657152000,1.21,1.14,1.2699,1.1,ok,177698.0,MLSS,77.02922077922078
1657238400,1.15,1.2,1.22,1.0585,ok,75413.0,MLSS,82.35747303543914
1657497600,1.19,1.21,1.24,1.17,ok,62076.0,MLSS,81.19868637110017
1657584000,1.2272,1.17,1.2699,1.13,ok,103218.0,MLSS,75.82159624413146
1657670400,1.11,1.1,1.17,1.09,ok,47677.0,MLSS,66.93667157584684
1657756800,1.1,1.13,1.13,1.1,ok,30215.0,MLSS,64.30842607313197
1657843200,1.1,1.09,1.13,1.07,ok,36972.0,MLSS,59.863429438543264
1658102400,1.12,1.03,1.12,1.03,ok,43118.0,MLSS,53.57653791130186
1658188800,1.05,1.0,1.05,0.91,ok,151234.0,MLSS,56.828528072837635
1658275200,0.98,1.12,1.1294,0.98,ok,193068.0,MLSS,62.01602136181578
1658361600,1.13,1.06,1.1345,1.04,ok,77528.0,MLSS,59.209687699171454
1658448000,1.03,0.9602,1.0317,0.9601,ok,48499.0,MLSS,48.76113755645063
1658707200,1.02,0.94,1.02,0.93,ok,53161.0,MLSS,42.85714285714285
1658793600,0.98,0.96,0.9975,0.96,ok,21081.0,MLSS,35.294117647058826
1658880000,0.94,0.9321,0.99,0.93,ok,31914.0,MLSS,34.88879197557786
1658966400,0.94,0.96,1.0,0.94,ok,12811.0,MLSS,31.701738334858177
1659052800,0.96,0.9481,0.98,0.941,ok,32980.0,MLSS,30.08970655313972
