t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.24,2.44,2.51,2.24,ok,64430.0,MNOV,
1652227200,2.47,2.37,2.499,2.33,ok,25672.0,MNOV,
1652313600,2.28,2.37,2.41,2.25,ok,34873.0,MNOV,
1652400000,2.39,2.41,2.4865,2.38,ok,30013.0,MNOV,
1652659200,2.43,2.4,2.48,2.3913,ok,25200.0,MNOV,
1652745600,2.4,2.43,2.49,2.4,ok,14142.0,MNOV,
1652832000,2.38,2.31,2.46,2.31,ok,23976.0,MNOV,
1652918400,2.32,2.4,2.42,2.32,ok,51783.0,MNOV,
1653004800,2.41,2.39,2.46,2.35,ok,28968.0,MNOV,
1653264000,2.39,2.4,2.43,2.37,ok,15729.0,MNOV,
1653350400,2.39,2.38,2.42,2.33,ok,14547.0,MNOV,
1653436800,2.31,2.39,2.42,2.31,ok,111275.0,MNOV,
1653523200,2.41,2.47,2.578,2.41,ok,59651.0,MNOV,
1653609600,2.6,2.49,2.6,2.46,ok,34361.0,MNOV,54.901960784313744
1653955200,2.51,2.43,2.51,2.4,ok,20176.0,MNOV,49.12280701754388
1654041600,2.43,2.41,2.43,2.39,ok,10642.0,MNOV,53.846153846153854
1654128000,2.4,2.4,2.44,2.38,ok,10242.0,MNOV,52.83018867924527
1654214400,2.38,2.34,2.42,2.27,ok,19137.0,MNOV,43.63636363636361
1654473600,2.39,2.38,2.41,2.37,ok,18553.0,MNOV,48.275862068965516
1654560000,2.34,2.35,2.39,2.31,ok,33280.0,MNOV,43.103448275862064
1654646400,2.7,2.56,2.7699,2.51,ok,81513.0,MNOV,68.65671641791045
1654732800,2.56,2.57,2.66,2.55,ok,27438.0,MNOV,64.40677966101694
1654819200,2.55,2.49,2.6,2.49,ok,17786.0,MNOV,57.575757575757585
1655078400,2.52,2.44,2.6,2.44,ok,120657.0,MNOV,52.857142857142854
1655164800,2.43,2.47,2.52,2.43,ok,34998.0,MNOV,56.338028169014095
1655251200,2.5,2.55,2.57,2.5,ok,17225.0,MNOV,60.256410256410234
1655337600,2.55,2.51,2.5574,2.46,ok,18624.0,MNOV,52.70270270270267
1655424000,2.53,2.55,2.55,2.46,ok,17524.0,MNOV,53.94736842105261
