t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.63,2.49,2.7,2.47,ok,981929.0,MNTS,,2.5533333333333332,2507192.0466666664,981929.0,2.5533333333333332
1652227200,2.54,2.35,2.55,2.35,ok,1212411.0,MNTS,,2.4166666666666665,2929993.25,2194340.0,1.3352503486241878
1652313600,2.2,2.35,2.41,2.12,ok,1550167.0,MNTS,,2.2933333333333334,3555049.6533333333,3744507.0,0.9494039277622751
1652400000,2.35,2.93,2.94,2.35,ok,1195335.0,MNTS,,2.74,3275217.9000000004,4939842.0,0.6630207808265933
1652659200,2.84,2.66,2.92,2.635,ok,570904.0,MNTS,,2.7383333333333333,1563325.4533333334,5510746.0,0.28368671924515
1652745600,2.75,2.76,2.79,2.62,ok,510152.0,MNTS,,2.723333333333333,1389313.9466666665,6020898.0,0.23074862697668463
1652832000,2.75,2.69,2.85,2.6,ok,715541.0,MNTS,,2.7133333333333334,1941501.2466666666,6736439.0,0.28820883654801394
1652918400,2.69,2.79,2.85,2.64,ok,779594.0,MNTS,,2.7600000000000002,2151679.4400000004,7516033.0,0.2862786046841466
1653004800,2.95,2.9,3.1077,2.705,ok,1005942.0,MNTS,,2.9042333333333334,2921490.2878,8521975.0,0.34281845321067006
1653264000,2.93,2.82,3.0,2.72,ok,864523.0,MNTS,,2.846666666666667,2461008.806666667,9386498.0,0.2621860470930337
1653350400,2.74,2.55,2.82,2.54,ok,522919.0,MNTS,,2.6366666666666663,1378763.0966666664,9909417.0,0.13913665119417887
1653436800,2.58,2.71,2.74,2.42,ok,881881.0,MNTS,,2.6233333333333335,2313467.8233333337,10791298.0,0.21438272053402044
1653523200,2.78,2.88,2.93,2.71,ok,534210.0,MNTS,,2.84,1517156.4,11325508.0,0.1339592360890125
1653609600,2.89,3.16,3.275,2.8,ok,869748.0,MNTS,64.37768240343348,3.078333333333333,2677374.26,12195256.0,0.21954227611130098
1653955200,3.28,2.9,3.28,2.89,ok,1536936.0,MNTS,57.9150579150579,3.0233333333333334,4646669.84,13732192.0,0.338377867131482
1654041600,2.88,3.21,3.24,2.85,ok,843389.0,MNTS,65.57971014492753,3.1,2614505.9,14575581.0,0.17937575867473138
1654128000,3.18,3.34,3.34,3.135,ok,719437.0,MNTS,67.1280276816609,3.2716666666666665,2353758.0516666668,15295018.0,0.15389050550098515
1654214400,3.29,3.46,3.48,3.21,ok,516334.0,MNTS,60.90534979423868,3.383333333333333,1746930.033333333,15811352.0,0.11048581002645017
1654473600,3.57,3.73,3.84,3.57,ok,1466858.0,MNTS,72.01646090534979,3.7133333333333334,5446932.706666667,17278210.0,0.31524866908474125
1654560000,3.75,3.58,3.75,3.42,ok,919714.0,MNTS,66.53225806451613,3.5833333333333335,3295641.8333333335,18197924.0,0.181099878938572
1654646400,3.52,3.21,3.675,3.155,ok,723104.0,MNTS,59.35251798561151,3.3466666666666662,2419988.053333333,18921028.0,0.1278993960229504
1654732800,3.2,3.08,3.2,3.03,ok,537753.0,MNTS,55.16014234875445,3.1033333333333335,1668826.81,19458781.0,0.08576214563491927
1654819200,2.98,2.78,3.06,2.755,ok,741115.0,MNTS,47.99999999999999,2.8649999999999998,2123294.4749999996,20199896.0,0.10511412905294164
1655078400,2.57,2.33,2.66,2.32,ok,747995.0,MNTS,42.72997032640949,2.436666666666667,1822614.4833333336,20947891.0,0.08700706354321462
1655164800,2.33,2.28,2.37,2.12,ok,965916.0,MNTS,45.71428571428572,2.2566666666666664,2179750.44,21913807.0,0.09946927250020957
1655251200,2.31,2.36,2.445,2.28,ok,635525.0,MNTS,44.299674267100976,2.3616666666666664,1500898.208333333,22549332.0,0.06656065059192587
1655337600,2.33,2.31,2.43,2.28,ok,724387.0,MNTS,40.33898305084746,2.34,1695065.5799999998,23273719.0,0.07283174554096833
1655424000,2.34,2.61,2.85,2.32,ok,1263729.0,MNTS,40.74074074074074,2.5933333333333333,3277270.54,24537448.0,0.1335619963412658
1655769600,2.61,2.8,3.04,2.61,ok,1416294.0,MNTS,48.27586206896552,2.8166666666666664,3989228.0999999996,25953742.0,0.15370531540307367
1655856000,2.75,2.75,3.01,2.72,ok,873023.0,MNTS,41.28787878787878,2.8266666666666667,2467745.013333333,26826765.0,0.09198816977497411
1655942400,2.75,2.76,2.895,2.68,ok,816410.0,MNTS,38.49206349206349,2.7783333333333338,2268259.116666667,27643175.0,0.08205494183163356
1656028800,2.74,2.46,2.8,2.4,ok,6566951.0,MNTS,31.481481481481467,2.5533333333333332,16767614.886666667,34210126.0,0.4901360166480143
1656288000,2.42,2.04,2.425,2.0,ok,1998071.0,MNTS,20.35087719298244,2.155,4305843.005,36208197.0,0.11891901176410413
1656374400,2.11,2.1,2.145,2.06,ok,1207310.0,MNTS,23.18840579710144,2.1016666666666666,2537363.183333333,37415507.0,0.06781581720470427
1656460800,2.06,1.96,2.07,1.9,ok,872237.0,MNTS,25.29644268774703,1.9766666666666666,1724121.8033333332,38287744.0,0.045030644880339074
1656547200,1.96,2.16,2.2198,1.935,ok,1154712.0,MNTS,32.30769230769231,2.1049333333333333,2430591.7791999998,39442456.0,0.06162374318678329
1656633600,2.17,2.16,2.235,2.085,ok,501410.0,MNTS,36.52173913043479,2.16,1083045.6,39943866.0,0.027114190699518172
1656979200,2.07,2.05,2.07,1.94,ok,642909.0,MNTS,42.85714285714285,2.02,1298676.18,40586775.0,0.03199752086732686
1657065600,2.1,2.0,2.13,1.9,ok,634885.0,MNTS,42.85714285714285,2.01,1276118.8499999999,41221660.0,0.030957483274569726
1657152000,2.0,2.04,2.1659,2.0,ok,613731.0,MNTS,41.66666666666667,2.0686333333333335,1269584.4043,41835391.0,0.030347138486168327
1657238400,2.05,2.01,2.09,1.95,ok,566933.0,MNTS,42.10526315789473,2.0166666666666666,1143314.8833333333,42402324.0,0.026963495758707313
1657497600,2.0,1.81,2.0,1.8,ok,760349.0,MNTS,27.77777777777777,1.8699999999999999,1421852.63,43162673.0,0.032941718646572235
1657584000,1.85,1.9,1.95,1.8285,ok,324895.0,MNTS,23.529411764705884,1.8928333333333331,614972.0858333333,43487568.0,0.014141330824325088
1657670400,1.9,2.02,2.03,1.855,ok,444566.0,MNTS,29.378531073446325,1.968333333333333,875054.0766666665,43932134.0,0.019918314841402118
1657756800,1.96,1.88,2.0,1.86,ok,479877.0,MNTS,26.842105263157904,1.9133333333333333,918164.66,44412011.0,0.020673791601105388
1657843200,1.95,1.92,1.96,1.8,ok,605485.0,MNTS,33.53658536585367,1.8933333333333333,1146384.9333333333,45017496.0,0.025465319824393016
1658102400,1.952,1.96,2.09,1.94,ok,421814.0,MNTS,46.82539682539683,1.9966666666666664,842221.9533333333,45439310.0,0.018535095566665365
1658188800,2.01,2.14,2.16,2.0,ok,486111.0,MNTS,51.44927536231884,2.1,1020833.1000000001,45925421.0,0.022228061883199722
1658275200,2.11,2.1,2.24,2.085,ok,1010414.0,MNTS,55.46875,2.141666666666667,2163969.983333334,46935835.0,0.046104857479010095
1658361600,2.1,1.98,2.11,1.95,ok,797661.0,MNTS,42.49999999999999,2.013333333333333,1605957.48,47733496.0,0.03364424596094952
1658448000,1.97,1.88,2.0,1.83,ok,534606.0,MNTS,39.230769230769226,1.9033333333333333,1017533.42,48268102.0,0.021080866614560483
1658707200,1.86,1.83,1.9,1.81,ok,452520.0,MNTS,41.12903225806452,1.8466666666666667,835653.6,48720622.0,0.017151948511658986
1658793600,1.8,1.69,1.84,1.69,ok,774243.0,MNTS,38.34586466165414,1.7400000000000002,1347182.82,49494865.0,0.02721863813549143
1658880000,1.75,1.65,1.76,1.61,ok,631602.0,MNTS,35.33834586466166,1.6733333333333331,1056880.68,50126467.0,0.021084284276408308
1658966400,1.68,1.74,1.75,1.61,ok,833390.0,MNTS,40.287769784172674,1.7000000000000002,1416763.0000000002,50959857.0,0.027801549757096065
1659052800,1.77,1.76,1.8,1.71,ok,382303.0,MNTS,47.933884297520656,1.7566666666666666,671578.9366666666,51342160.0,0.013080457399273163
1659312000,1.73,1.77,1.83,1.66,ok,413328.0,MNTS,44.24778761061948,1.7533333333333332,724701.7599999999,51755488.0,0.014002413811652204
1659398400,1.77,1.97,2.065,1.77,ok,827079.0,MNTS,47.933884297520656,1.9349999999999998,1600397.8649999998,52582567.0,0.030435902168869006
1659484800,2.01,1.98,2.025,1.91,ok,338921.0,MNTS,54.629629629629626,1.9716666666666665,668239.2383333333,52921488.0,0.012626992618448924
1659571200,1.98,2.15,2.17,1.98,ok,509525.0,MNTS,59.50413223140496,2.1,1070002.5,53431013.0,0.02002586961995274
1659657600,2.09,2.13,2.197,2.08,ok,385231.0,MNTS,57.14285714285714,2.135666666666667,822725.0056666668,53816244.0,0.015287670497158196
1659916800,2.13,2.06,2.2897,1.99,ok,1140805.0,MNTS,46.29629629629629,2.1132333333333335,2410787.1528333337,54957049.0,0.04386675042965523
1660003200,2.06,2.02,2.11,1.98,ok,585659.0,MNTS,46.29629629629629,2.0366666666666666,1192792.1633333333,55542708.0,0.021475225214682245
1660089600,2.09,2.13,2.2488,2.04,ok,1036928.0,MNTS,57.00934579439252,2.1396,2218611.1488,56579636.0,0.03921218490695133
1660176000,2.18,2.18,2.54,2.0,ok,1513032.0,MNTS,64.70588235294119,2.24,3389191.68,58092668.0,0.05834112628464577
1660262400,2.27,2.5,2.51,2.1499,ok,850880.0,MNTS,75.96899224806201,2.3866333333333336,2030738.5706666668,58943548.0,0.03445226219953144
1660521600,2.5,2.33,2.6,2.25,ok,728619.0,MNTS,74.24242424242425,2.393333333333333,1743828.14,59672167.0,0.029223475996774172
1660608000,2.28,2.35,2.41,2.21,ok,524615.0,MNTS,76.92307692307693,2.3233333333333337,1218855.5166666668,60196782.0,0.020247851731786375
1660694400,2.32,2.05,2.32,2.02,ok,866283.0,MNTS,60.26490066225165,2.13,1845182.7899999998,61063065.0,0.030217657597108823
1660780800,2.14,2.1,2.14,2.02,ok,385626.0,MNTS,61.03896103896104,2.0866666666666664,804672.9199999999,61448691.0,0.01309503761438954
1660867200,2.05,2.01,2.06,1.97,ok,453258.0,MNTS,57.4074074074074,2.013333333333333,912559.44,61901949.0,0.014742014665806403
1661126400,1.96,1.88,2.02,1.83,ok,603811.0,MNTS,47.096774193548384,1.9100000000000001,1153279.01,62505760.0,0.01845076373761394
1661212800,1.87,1.92,1.95,1.83,ok,326725.0,MNTS,48.10126582278481,1.9000000000000001,620777.5,62832485.0,0.009879881402112298
1661299200,1.89,1.93,2.01,1.89,ok,240956.0,MNTS,42.25352112676057,1.9433333333333331,468257.8266666666,63073441.0,0.0074240095235436196
1661385600,1.93,1.98,2.05,1.93,ok,340008.0,MNTS,44.82758620689656,1.9866666666666664,675482.5599999999,63413449.0,0.010652039443557153
1661472000,1.99,1.9,1.99,1.86,ok,467402.0,MNTS,44.52054794520548,1.9166666666666667,895853.8333333334,63880851.0,0.014023824343437963
1661731200,1.87,1.83,1.92,1.81,ok,447486.0,MNTS,43.62416107382551,1.8533333333333335,829340.7200000001,64328337.0,0.012892307786535816
1661817600,1.87,1.75,1.87,1.73,ok,413731.0,MNTS,36.98630136986303,1.7833333333333332,737820.2833333333,64742068.0,0.01139630391993863
1661904000,1.76,1.77,1.855,1.75,ok,242654.0,MNTS,35.66433566433567,1.7916666666666667,434755.0833333334,64984722.0,0.006690112228737908
1661990400,1.75,1.71,1.77,1.7,ok,300714.0,MNTS,16.239316239316267,1.7266666666666666,519232.83999999997,65285436.0,0.007953272150928118
1662076800,1.7,1.71,1.77,1.6689,ok,217229.0,MNTS,19.00000000000003,1.7163000000000002,372830.1327,65502665.0,0.005691831510977454
1662422400,1.73,1.71,1.7499,1.68,ok,289509.0,MNTS,17.346938775510225,1.7133,496015.7697,65792174.0,0.007539130257346413
1662508800,1.71,1.76,1.8,1.695,ok,227098.0,MNTS,30.1369863013699,1.7516666666666667,397799.9966666667,66019272.0,0.006025513226905421
1662595200,1.7,1.74,1.8,1.7,ok,298866.0,MNTS,24.28571428571429,1.7466666666666668,522019.28,66318138.0,0.00787144054014303
