t,o,c,h,l,s,v,Ticker
1652140800,12.6,12.198,13.596,12.0,ok,7007.1,NAOV
1652227200,12.3,10.953999999999999,12.914000000000001,9.86,ok,17052.55,NAOV
1652313600,10.354000000000001,11.0,11.200000000000001,9.622,ok,28771.6,NAOV
1652400000,11.414,12.702,14.299999999999999,11.202000000000002,ok,43990.15,NAOV
1652659200,12.7,12.745999999999999,12.86,12.367999999999999,ok,5306.75,NAOV
1652745600,13.4,13.404,13.600000000000001,13.0,ok,8012.25,NAOV
1652832000,13.616,13.628,14.356,13.616,ok,8803.35,NAOV
1652918400,14.0,14.396,14.399999999999999,13.602,ok,4403.4,NAOV
1653004800,14.399999999999999,13.700000000000001,14.399999999999999,13.600000000000001,ok,3635.35,NAOV
1653264000,13.776,15.0,15.0,13.700000000000001,ok,5344.65,NAOV
1653350400,14.8,14.26,14.825999999999999,14.0,ok,3927.3,NAOV
1653436800,14.299999999999999,14.014,14.588000000000001,13.398000000000001,ok,5676.4,NAOV
1653523200,13.604000000000001,14.0,14.63,13.600000000000001,ok,5327.85,NAOV
1653609600,13.620000000000001,14.596,14.8,13.620000000000001,ok,3904.4,NAOV
1653955200,14.341999999999999,14.154,14.341999999999999,13.774,ok,5410.1,NAOV
1654041600,14.117999999999999,13.799999999999999,14.2,13.606,ok,2958.4,NAOV
1654128000,13.956,13.857999999999999,14.193999999999999,13.38,ok,4256.3,NAOV
1654214400,14.383999999999999,13.751999999999999,14.383999999999999,13.46,ok,3760.35,NAOV
1654473600,13.4,13.700000000000001,13.804,13.202,ok,4096.45,NAOV
1654560000,13.200000000000001,13.398000000000001,13.799999999999999,12.9,ok,2956.75,NAOV
1654646400,13.466000000000001,13.196000000000002,13.548,12.6,ok,2379.0,NAOV
1654732800,13.19,13.146,13.899999999999999,12.6,ok,6561.3,NAOV
1654819200,12.6,12.796000000000001,13.198,12.1,ok,6970.45,NAOV
1655078400,12.668,11.402000000000001,12.668,11.0,ok,10880.25,NAOV
1655164800,11.666,11.478,11.666,11.102,ok,1841.45,NAOV
1655251200,11.338,11.764,12.4,11.14,ok,5372.5,NAOV
1655337600,12.0,11.798,12.0,11.19,ok,1545.5,NAOV
1655424000,10.9,11.0,11.7,10.468,ok,10000.8,NAOV
1655769600,11.996,12.21,12.21,11.002,ok,5530.25,NAOV
1655856000,11.876,14.694,14.694,11.876,ok,17688.65,NAOV
1655942400,14.6,13.600000000000001,14.6,12.888,ok,6108.6,NAOV
1656028800,14.0,13.202,14.0,13.200000000000001,ok,4870.0,NAOV
1656288000,13.600000000000001,12.962,13.600000000000001,12.492,ok,7187.55,NAOV
1656374400,12.774000000000001,12.702,12.96,12.472000000000001,ok,6548.3,NAOV
1656460800,12.902000000000001,12.612000000000002,12.902000000000001,12.078,ok,4695.8,NAOV
1656547200,12.3,12.6,12.66,12.02,ok,3872.45,NAOV
1656633600,12.6,12.404,12.8,12.02,ok,3943.65,NAOV
1656979200,12.694,13.772,14.6,12.4,ok,20256.45,NAOV
1657065600,14.1,14.0,14.193999999999999,13.700000000000001,ok,3930.25,NAOV
1657152000,13.700000000000001,14.796,14.8,13.700000000000001,ok,10378.25,NAOV
1657238400,14.8,14.315999999999999,15.4,14.312000000000001,ok,8828.25,NAOV
1657497600,14.136,14.604,14.670000000000002,14.016,ok,4780.15,NAOV
1657584000,14.6,14.546,14.798,14.033999999999999,ok,5198.55,NAOV
1657670400,14.2,14.508000000000001,15.398,14.014,ok,2408.35,NAOV
1657756800,14.2,14.296,14.588000000000001,14.0,ok,2190.6,NAOV
1657843200,14.399999999999999,14.604,14.998000000000001,14.026,ok,5941.3,NAOV
1658102400,14.604,14.6,15.0,14.504,ok,2480.15,NAOV
1658188800,14.6,14.528,14.998000000000001,14.399999999999999,ok,6505.35,NAOV
1658275200,14.399999999999999,14.623999999999999,15.298,14.201999999999998,ok,10007.7,NAOV
1658361600,14.74,14.803999999999998,15.2,14.402,ok,8233.75,NAOV
1658448000,14.879999999999999,14.399999999999999,14.998000000000001,14.399999999999999,ok,5011.55,NAOV
1658707200,14.014,13.658,14.5,13.658,ok,3165.55,NAOV
1658793600,13.658,13.4,13.66,12.8,ok,5639.4,NAOV
1658880000,13.994,13.536,13.995999999999999,13.111999999999998,ok,2539.1,NAOV
1658966400,13.264,13.111999999999998,13.696,13.111999999999998,ok,4923.8,NAOV
1659052800,13.696,13.238000000000001,13.697999999999999,12.658000000000001,ok,6483.95,NAOV
1659312000,12.8,13.193999999999999,13.376,12.8,ok,2527.25,NAOV
1659398400,13.200000000000001,12.842,13.597999999999999,12.8,ok,4317.25,NAOV
1659484800,13.600000000000001,12.9,13.600000000000001,12.822,ok,5553.65,NAOV
1659571200,13.0,13.166,13.260000000000002,12.76,ok,4490.4,NAOV
1659657600,13.200000000000001,13.71,14.154,13.166,ok,7090.35,NAOV
1659916800,13.600000000000001,14.001999999999999,14.288,13.4,ok,7974.75,NAOV
1660003200,13.624,13.4,14.0,12.8,ok,5743.1,NAOV
1660089600,13.546,13.292,13.724,13.0,ok,2655.0,NAOV
1660176000,13.612,13.55,13.799999999999999,13.204,ok,2014.6,NAOV
1660262400,13.55,14.152000000000001,14.54,13.502,ok,12274.55,NAOV
