t,o,c,h,l,s,v,Ticker
1652140800,1.9,1.94,1.9826,1.86,ok,59674.0,OCUP
1652227200,1.89,1.87,2.0,1.85,ok,110251.0,OCUP
1652313600,1.82,1.99,1.99,1.8,ok,80806.0,OCUP
1652400000,1.94,2.15,2.1608,1.94,ok,65812.0,OCUP
1652659200,2.11,2.16,2.2299,2.0,ok,46623.0,OCUP
1652745600,2.19,2.21,2.2816,2.13,ok,60405.0,OCUP
1652832000,2.21,2.12,2.2292,2.09,ok,42142.0,OCUP
1652918400,1.85,2.04,2.1,1.85,ok,1043507.0,OCUP
1653004800,1.99,2.01,2.04,1.9176,ok,301017.0,OCUP
1653264000,1.98,2.01,2.18,1.92,ok,167077.0,OCUP
1653350400,2.08,2.01,2.08,1.96,ok,124180.0,OCUP
1653436800,2.009,2.06,2.06,2.009,ok,111190.0,OCUP
1653523200,2.04,2.14,2.1499,2.0251,ok,122439.0,OCUP
1653609600,2.1398,2.15,2.17,2.09,ok,167162.0,OCUP
1653955200,2.14,2.12,2.14,2.05,ok,48002.0,OCUP
1654041600,2.14,2.09,2.14,2.025,ok,72125.0,OCUP
1654128000,2.07,2.09,2.11,2.04,ok,48040.0,OCUP
1654214400,2.0615,2.09,2.11,2.0,ok,101244.0,OCUP
1654473600,2.12,2.08,2.13,2.02,ok,45177.0,OCUP
1654560000,2.04,2.08,2.1,2.04,ok,102167.0,OCUP
1654646400,2.1,2.14,2.15,2.0528,ok,143420.0,OCUP
1654732800,2.0969,2.17,2.2,2.09,ok,221130.0,OCUP
1654819200,2.1351,2.1,2.1456,2.07,ok,80112.0,OCUP
1655078400,2.03,1.93,2.07,1.9,ok,139458.0,OCUP
1655164800,1.9899,1.9,1.9899,1.9,ok,74722.0,OCUP
1655251200,1.9,1.84,1.9374,1.84,ok,105136.0,OCUP
1655337600,1.83,1.8,1.8599,1.7801,ok,84547.0,OCUP
1655424000,1.83,1.96,2.04,1.83,ok,131233.0,OCUP
1655769600,1.96,2.03,2.05,1.96,ok,68073.0,OCUP
1655856000,2.04,1.99,2.07,1.975,ok,61407.0,OCUP
1655942400,1.97,2.02,2.04,1.92,ok,71338.0,OCUP
1656028800,2.07,1.9,2.08,1.9,ok,286621.0,OCUP
1656288000,1.93,2.01,2.02,1.925,ok,46941.0,OCUP
1656374400,1.995,1.96,2.03,1.96,ok,25362.0,OCUP
1656460800,2.0,1.88,2.0039,1.88,ok,265030.0,OCUP
1656547200,1.88,1.92,1.93,1.86,ok,96635.0,OCUP
1656633600,1.85,1.89,1.92,1.85,ok,124854.0,OCUP
1656979200,1.8785,1.97,2.0,1.87,ok,40759.0,OCUP
