t,o,c,h,l,s,v,Ticker,RSI
1652140800,38.0,37.624,38.708,34.0,ok,31656.8,OIG,
1652227200,36.8,35.872,38.684,35.808,ok,17822.35,OIG,
1652313600,34.36,35.192,37.46,33.6,ok,24194.675,OIG,
1652400000,37.564,37.496,39.676,35.88,ok,56857.15,OIG,
1652659200,40.4,40.0,44.0,39.6,ok,59854.225,OIG,
1652745600,40.0,42.0,42.8,39.824,ok,32179.4,OIG,
1652832000,42.0,38.408,42.0,37.704,ok,32848.05,OIG,
1652918400,38.4,39.6,40.4,37.296,ok,25966.175,OIG,
1653004800,40.0,38.244,40.4,37.664,ok,19917.925,OIG,
1653264000,38.416,38.792,40.4,37.376,ok,19318.8,OIG,
1653350400,39.312,37.6,39.32,37.1,ok,14130.975,OIG,
1653436800,36.8,37.568,37.996,36.5,ok,10219.375,OIG,
1653523200,37.2,37.796,38.8,36.808,ok,15171.1,OIG,
1653609600,38.8,44.0,44.400000000000006,38.8,ok,28188.15,OIG,63.517639077340554
1653955200,45.2,43.6,45.2,41.6,ok,25959.525,OIG,62.45830553702468
1654041600,43.2,42.400000000000006,43.6,40.0,ok,31411.6,OIG,63.929668828951876
1654128000,41.2,40.4,42.8,39.988,ok,74699.55,OIG,60.520361990950214
1654214400,40.4,38.768,40.8,38.04,ok,54256.375,OIG,52.64119601328903
1654473600,40.0,38.796,41.164,37.556,ok,52041.575,OIG,47.21347898537307
1654560000,38.532,37.404,39.348,37.0,ok,62892.575,OIG,39.05505810630598
1654646400,37.94,38.288,39.12,37.0,ok,71444.025,OIG,49.67191601049868
1654732800,38.0,35.548,38.0,34.0,ok,53148.3,OIG,39.78624722726355
1654819200,35.272,33.424,35.436,32.716,ok,40562.925,OIG,38.30324208891477
1655078400,33.2,31.076,33.2,30.396,ok,30187.05,OIG,32.77986073915372
1655164800,31.24,31.188,31.6,30.056,ok,20863.075,OIG,34.96529731757643
1655251200,31.200000000000003,32.416,32.896,30.996,ok,30283.15,OIG,38.561278863232666
1655337600,31.4,31.996,32.368,30.792,ok,42938.825,OIG,37.23141951391334
1655424000,31.6,30.84,32.864,30.444,ok,41931.5,OIG,12.74909420289849
1655769600,30.8,31.196,32.988,29.2,ok,50270.1,OIG,14.801362088535711
1655856000,30.4,29.984,31.572,29.44,ok,43252.75,OIG,14.791288566243153
1655942400,29.6,29.664,29.948,28.52,ok,56098.2,OIG,16.349047141424236
1656028800,29.2,30.8,31.200000000000003,29.2,ok,49559.15,OIG,24.22360248447201
1656288000,30.8,29.896,31.18,29.424,ok,25652.9,OIG,22.752877785941678
1656374400,30.0,26.116,30.276,26.0,ok,223028.375,OIG,19.850427350427324
1656460800,27.164,25.048,27.164,23.56,ok,40824.575,OIG,14.980956411341495
1656547200,24.6,25.192,25.364,24.04,ok,23603.275,OIG,18.24871228844738
1656633600,25.54,24.964,25.58,24.636,ok,19680.875,OIG,20.64945878434638
1656979200,25.14,25.388,25.6,24.14,ok,24692.475,OIG,27.226137091607953
1657065600,25.5,26.1,26.296,25.5,ok,17253.2,OIG,30.562347188264084
1657152000,26.32,27.4,27.608,26.24,ok,20445.35,OIG,30.942249240121598
1657238400,27.5,27.6,27.7,26.844,ok,16473.975,OIG,33.013910355486885
1657497600,27.4,25.24,27.8,25.24,ok,19742.175,OIG,30.20361990950228
1657584000,25.2,24.0,25.492,23.24,ok,34276.35,OIG,26.05802501996274
1657670400,24.0,22.68,24.700000000000003,21.664,ok,74538.85,OIG,25.872093023255815
1657756800,22.52,21.096,22.52,20.856,ok,41154.7,OIG,23.878048780487816
1657843200,21.096,21.200000000000003,21.328,20.428,ok,32274.275,OIG,18.766267568974527
1658102400,21.4,21.200000000000003,22.188,21.0,ok,32899.8,OIG,19.939159292035427
1658188800,21.856,23.396,23.556,21.4,ok,46934.675,OIG,39.44099378881989
1658275200,23.86,21.604,24.62,21.4,ok,66005.375,OIG,37.34195824757425
1658361600,22.4,21.9,22.464,21.204,ok,30258.15,OIG,38.03431230008723
1658448000,21.748,21.8,22.08,21.3,ok,22406.825,OIG,38.39154681538011
1658707200,21.848,21.288,21.848,20.836,ok,17331.575,OIG,35.05395158938465
1658793600,21.096,20.656,21.6,20.512,ok,18983.9,OIG,30.038134350249337
1658880000,21.6,20.992,21.6,20.44,ok,17231.875,OIG,24.715909090909108
1658966400,22.324,23.8,23.8,21.656,ok,64919.85,OIG,37.56544502617801
1659052800,24.0,25.724,27.8,23.2,ok,75602.55,OIG,51.630288331985994
1659312000,28.628,26.292,31.184,26.28,ok,52209.6,OIG,58.08636748518205
1659398400,32.0,29.6,32.0,26.4,ok,49010.775,OIG,71.41089108910892
1659484800,31.6,29.524,31.880000000000003,29.0,ok,32325.05,OIG,78.76057876057875
1659571200,30.0,29.448,30.32,28.4,ok,24411.5,OIG,78.20021881838073
1659657600,30.0,29.524,30.0,27.6,ok,22998.125,OIG,78.31292517006801
1659916800,30.0,36.128,36.796,29.64,ok,88983.775,OIG,83.31588863303327
1660003200,35.708,34.8,36.0,33.2,ok,29481.15,OIG,85.38940141600513
1660089600,36.0,37.656,39.2,33.64,ok,56323.75,OIG,87.15336728919071
1660176000,40.4,38.0,43.2,36.4,ok,105935.175,OIG,87.7657590451324
1660262400,40.0,42.8,42.8,38.0,ok,60348.475,OIG,91.79359651849548
1660521600,42.8,46.0,49.2,42.400000000000006,ok,78347.05,OIG,94.7710570944036
1660608000,48.0,44.0,48.8,42.0,ok,82837.375,OIG,88.3876134543513
1660694400,42.8,42.0,43.6,39.608,ok,38438.975,OIG,81.20713305898491
1660780800,41.2,37.28,41.6,36.804,ok,54852.2,OIG,68.08111152835149
1660867200,35.088,33.184,35.6,32.204,ok,46179.5,OIG,59.71141923120279
1661126400,31.128,34.72,36.8,30.0,ok,33747.5,OIG,57.593735168486
1661212800,35.0,33.6,36.94,33.2,ok,19042.375,OIG,55.86373575785476
1661299200,33.304,33.6,33.996,32.048,ok,22425.975,OIG,55.98615916955018
1661385600,33.772000000000006,33.48,34.396,32.404,ok,12459.425,OIG,55.696348346964626
1661472000,32.864,32.204,33.196,31.8,ok,12190.025,OIG,43.32562253367806
1661731200,31.6,34.24,34.296,30.608,ok,20312.25,OIG,49.06989104437949
1661817600,34.244,31.6,34.244,31.148,ok,14771.8,OIG,39.86884368308352
1661904000,31.6,32.0,33.196,31.6,ok,11793.85,OIG,39.98129842372428
1661990400,32.0,27.76,32.004000000000005,27.28,ok,55074.65,OIG,24.40784100190581
1662076800,28.0,27.436,28.0,25.76,ok,17007.4,OIG,14.984155726573121
1662422400,28.4,28.82,30.4,26.8,ok,33109.05,OIG,20.685926154796846
1662508800,28.0,27.480000000000004,29.2,27.24,ok,20371.1,OIG,21.227013316423594
1662595200,27.92,28.696,29.0,26.48,ok,17232.45,OIG,30.246686303387335
1662681600,29.032,28.284,29.2,28.136000000000003,ok,9958.9,OIG,36.422079361560634
1662940800,28.4,27.360000000000003,29.18,27.22,ok,13067.1,OIG,28.889398806792116
1663027200,27.200000000000003,26.6,27.6,25.8,ok,17212.525,OIG,29.498594189315824
1663113600,26.04,25.64,26.732,25.64,ok,9393.75,OIG,27.928127772848256
1663200000,25.64,25.2,26.520000000000003,25.128,ok,25173.65,OIG,27.4411508282476
1663286400,24.6,24.2,25.956000000000003,24.04,ok,13506.025,OIG,27.860146050011053
1663545600,24.22,23.4,25.152,23.2,ok,16247.175,OIG,17.8147268408551
1663632000,23.88,22.916,24.4,22.8,ok,16265.15,OIG,20.430400435848526
1663718400,23.6,21.880000000000003,23.992,21.568,ok,22484.7,OIG,16.971279373368134
1663804800,21.92,21.132,22.28,19.404,ok,38214.75,OIG,21.98173824822453
1663891200,20.0,20.54,21.08,20.0,ok,11103.15,OIG,21.494708994708986
1664150400,20.8,19.84,21.152,19.404,ok,13869.75,OIG,10.655450403084444
1664236800,20.2,20.212,20.544,19.6,ok,18080.35,OIG,15.204902336269598
1664323200,20.4,20.084,21.92,19.68,ok,56172.375,OIG,3.9760581445061973
1664409600,20.4,18.908,20.76,17.708,ok,39603.525,OIG,3.675889328063249
1664496000,18.8,19.0,19.872,18.404,ok,10574.875,OIG,4.995693367786387
1664755200,19.4,18.48,20.0,18.08,ok,21135.05,OIG,5.128205128205124
1664841600,18.848,19.996,20.0,18.8,ok,34563.5,OIG,20.616409829237796
1664928000,19.112,19.624,19.996,18.8,ok,26527.525,OIG,20.763422818791923
1665014400,19.92,18.484,20.0,18.46,ok,20178.25,OIG,20.46300124018188
1665100800,18.4,17.768,19.064,17.6,ok,17941.175,OIG,20.642201834862362
1665360000,18.268,17.596,18.336,16.488,ok,16969.725,OIG,21.3362068965517
1665446400,17.6,16.804,18.0,16.596,ok,15963.35,OIG,21.91235059760953
1665532800,16.808,16.56,17.06,16.492,ok,15962.925,OIG,23.20675105485229
1665619200,16.048000000000002,16.212,17.0,15.6,ok,30207.975,OIG,23.889961389961385
1665705600,15.956,15.1,16.8,14.872,ok,23795.65,OIG,22.758620689655146
1665964800,15.884,15.552,15.988,14.824,ok,22282.725,OIG,23.46241457858767
1666051200,15.6,15.588,16.0,14.82,ok,31199.525,OIG,24.125230202578237
1666137600,15.588,16.004,16.732,15.28,ok,15894.8,OIG,31.68516649848638
1666224000,15.988,16.8,18.488,15.96,ok,27013.025,OIG,37.25671918443004
1666310400,16.4,16.0,17.564,16.0,ok,18120.425,OIG,36.08617594254937
1666569600,16.324,15.596,16.52,15.2,ok,17826.55,OIG,21.794871794871796
1666656000,16.0,16.504,16.8,15.604,ok,17216.2,OIG,31.285988483685244
1666742400,16.599999999999998,16.355999999999998,17.2,16.200000000000003,ok,19082.6,OIG,35.5119825708061
1666828800,16.4,15.996,16.756,15.6,ok,16523.875,OIG,37.321121923297085
1666915200,15.6,16.16,16.536,15.6,ok,18551.45,OIG,39.713467048710605
1667174400,16.0,15.936,16.532,15.6,ok,11222.275,OIG,43.231441048034945
