t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1683057600,5.47,5.47,5.47,5.47,ok,4931,OLMA,,5.47,26972.57,4931,5.47
1683118800,5.4,5.7,5.7,5.4,ok,52465,OLMA,,5.6000000000000005,293804.0,57396,5.118893302669176
1683122400,5.74,5.74,5.88,5.74,ok,18858,OLMA,,5.786666666666666,109124.95999999999,76254,1.4310719437668842
1683126000,5.67,5.93,5.99,5.67,ok,80504,OLMA,,5.863333333333333,472021.7866666667,156758,3.0111495851354744
1683129600,5.9,5.95,5.95,5.83,ok,24783,OLMA,,5.91,146467.53,181541,0.8068013837094651
1683133200,5.99,5.95,6.065,5.82,ok,43349,OLMA,,5.945,257709.80500000002,224890,1.1459371470496689
1683136800,6.08,5.95,6.08,5.93,ok,42309,OLMA,,5.986666666666667,253289.88000000003,267199,0.9479447153619588
1683140400,5.98,6.0,6.0,5.86,ok,88024,OLMA,,5.953333333333333,524036.2133333333,355223,1.475231652605077
1683205200,6.02,5.9,6.07,5.87,ok,5938,OLMA,,5.946666666666668,35311.30666666668,361161,0.09777164939366842
1683208800,5.98,6.42,6.42,5.98,ok,21555,OLMA,,6.273333333333333,135221.7,382716,0.3533212617188725
1683212400,6.37,6.4,6.44,6.35,ok,38552,OLMA,,6.396666666666666,246604.2933333333,421268,0.5853857718443682
1683216000,6.41,6.55,6.58,6.33,ok,81826,OLMA,,6.486666666666667,530777.9866666667,503094,1.0550274633898769
1683219600,6.52,6.4,6.54,6.4,ok,11135,OLMA,,6.446666666666668,71783.63333333335,514229,0.1395946812282725
1683223200,6.4,6.4,6.44,6.38,ok,22752,OLMA,81.63265306122454,6.406666666666666,145764.47999999998,536981,0.27145183907810516
1683226800,6.38,6.32,6.52,6.31,ok,45169,OLMA,77.41935483870972,6.383333333333333,288328.7833333333,582150,0.49528263047897164
1683291600,6.64,6.6,6.7,6.6,ok,13024,OLMA,78.12500000000003,6.633333333333333,86392.53333333333,595174,0.14515508629969273
1683295200,6.65,6.61,6.85,6.61,ok,24870,OLMA,77.7070063694268,6.69,166380.30000000002,620044,0.2683362793608196
1683298800,6.5,6.62,6.64,6.44,ok,31894,OLMA,74.82014388489213,6.566666666666666,209437.26666666666,651938,0.321253350267459
1683302400,6.6,6.69,6.735,6.6,ok,21185,OLMA,75.6944444444445,6.675000000000001,141409.87500000003,673123,0.2100802899321521
1683306000,6.69,6.68,6.69,6.65,ok,9891,OLMA,75.17241379310346,6.673333333333333,66005.94,683014,0.09663921969388622
1683309600,6.69,6.71,6.88,6.68,ok,31548,OLMA,75.67567567567569,6.756666666666667,213159.32,714562,0.29830766259610786
1683313200,6.71,6.68,6.71,6.62,ok,40408,OLMA,73.28767123287672,6.669999999999999,269521.36,754970,0.3569961190510881
1683543600,6.66,6.66,6.66,6.66,ok,300,OLMA,77.53623188405798,6.66,1998.0,755270,0.0026454115746686615
1683550800,6.45,6.62,6.68,6.33,ok,35324,OLMA,61.11111111111113,6.543333333333333,231136.70666666667,790594,0.2923582858795623
1683554400,6.65,6.58,6.74,6.54,ok,15245,OLMA,59.78260869565216,6.62,100921.90000000001,805839,0.12523829201614717
1683558000,6.57,6.7,6.81,6.57,ok,17496,OLMA,58.42696629213484,6.6933333333333325,117106.55999999998,823335,0.14223440033522197
1683561600,6.7,6.75,6.75,6.51,ok,13681,OLMA,72.15189873417717,6.669999999999999,91252.26999999999,837016,0.10902093866783907
