t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,1.03,1.03,1.07,1.01,ok,317706.0,PLX,,1.0366666666666668,329355.22000000003,317706.0,1.0366666666666668,,0
1652227200,1.03,1.04,1.04,1.0,ok,526065.0,PLX,,1.0266666666666666,540093.4,843771.0,0.6400947650488107,,0
1652313600,1.0,1.02,1.04,0.9829,ok,355236.0,PLX,,1.0143,360315.8748,1199007.0,0.3005119025994009,,0
1652400000,1.02,1.06,1.09,1.01,ok,331907.0,PLX,,1.0533333333333337,349608.7066666667,1530914.0,0.2283660000931905,,0
1652659200,1.05,1.07,1.14,1.05,ok,155552.0,PLX,,1.086666666666667,169033.17333333334,1686466.0,0.1002292209468399,,0
1652745600,1.1,1.07,1.11,1.06,ok,558940.0,PLX,,1.08,603655.2000000001,2245406.0,0.2688401117659791,,0
1652832000,1.06,1.06,1.1,1.055,ok,233242.0,PLX,,1.0716666666666668,249957.6766666667,2478648.0,0.1008443621953043,0.029126213592232997,0
1652918400,1.06,1.09,1.1,1.06,ok,130121.0,PLX,,1.0833333333333333,140964.41666666666,2608769.0,0.0540348404426251,0.04807692307692313,0
1653004800,1.09,1.14,1.14,1.0801,ok,383461.0,PLX,,1.1200333333333334,429489.1020333334,2992230.0,0.1435347891149187,0.11764705882352922,0
1653264000,1.15,1.1,1.15,1.1,ok,150276.0,PLX,,1.1166666666666667,167808.2,3142506.0,0.0533994843605708,0.037735849056603765,0
1653350400,1.1,1.06,1.11,1.06,ok,251501.0,PLX,,1.0766666666666669,270782.74333333335,3394007.0,0.0797826119195786,-0.009345794392523366,0
1653436800,1.06,1.08,1.1099,1.06,ok,349063.0,PLX,,1.0833000000000002,378139.9479,3743070.0,0.1010240118138319,0.009345794392523477,0
1653523200,1.08,1.1,1.11,1.06,ok,182550.0,PLX,,1.09,198979.50000000003,3925620.0,0.0506874073394775,0.037735849056603765,0
1653609600,1.1,1.14,1.15,1.1,ok,218077.0,PLX,66.66666666666666,1.13,246427.01,4143697.0,0.0594703256536373,0.04587155963302725,0
1653955200,1.14,1.18,1.22,1.1201,ok,664537.0,PLX,70.27027027027027,1.173366666666667,779745.5645666667,4808234.0,0.1621688055462082,0.03508771929824572,0
1654041600,1.21,1.2,1.21,1.17,ok,184169.0,PLX,71.05263157894737,1.1933333333333334,219775.00666666668,4992403.0,0.0440218881902496,0.09090909090909083,0
1654128000,1.16,1.24,1.25,1.16,ok,267304.0,PLX,77.50000000000001,1.2166666666666668,325219.8666666667,5259707.0,0.0618323162614698,0.16981132075471694,0
1654214400,1.23,1.24,1.26,1.21,ok,286303.0,PLX,75.00000000000001,1.2366666666666666,354061.37666666665,5546010.0,0.063840738957677,0.14814814814814814,0
1654473600,1.22,1.17,1.25,1.14,ok,181196.0,PLX,61.90476190476189,1.1866666666666663,215019.2533333333,5727206.0,0.0375434816441618,0.06363636363636349,0
1654560000,1.14,1.14,1.17,1.13,ok,300965.0,PLX,57.77777777777776,1.1466666666666665,345106.53333333327,6028171.0,0.0572489621368294,0.0,0
1654646400,1.14,1.16,1.1799,1.14,ok,99381.0,PLX,60.8695652173913,1.1599666666666666,115278.6473,6127552.0,0.0188131650779952,-0.016949152542372947,0
1654732800,1.14,1.12,1.155,1.12,ok,309431.0,PLX,53.19148936170213,1.1316666666666668,350172.7483333334,6436983.0,0.054400135643256,-0.06666666666666654,0
1654819200,1.12,1.12,1.145,1.09,ok,152751.0,PLX,47.61904761904764,1.1183333333333334,170826.535,6589734.0,0.0259231305846336,-0.09677419354838701,0
1655078400,1.08,1.09,1.11,1.07,ok,213319.0,PLX,48.78048780487804,1.09,232517.71,6803053.0,0.0341784357699403,-0.12096774193548376,0
1655164800,1.08,1.07,1.088,1.06,ok,192702.0,PLX,51.28205128205128,1.0726666666666669,206705.012,6995755.0,0.0295472056983127,-0.08547008547008539,0
1655251200,1.09,1.08,1.0902,1.07,ok,96996.0,PLX,50.0,1.0800666666666667,104762.1464,7092751.0,0.0147703121680149,-0.05263157894736825,0
1655337600,1.07,1.06,1.08,1.04,ok,188036.0,PLX,44.73684210526315,1.06,199318.16,7280787.0,0.0273759086758066,-0.08620689655172398,0
1655424000,1.1,1.09,1.1,1.08,ok,82594.0,PLX,43.24324324324327,1.09,90027.46,7363381.0,0.0122263753566466,-0.0267857142857143,0
1655769600,1.07,1.081,1.12,1.06,ok,231139.0,PLX,35.39823008849558,1.087,251248.093,7594520.0,0.0330828140553978,-0.03482142857142867,0
1655856000,1.07,1.09,1.12,1.07,ok,81518.0,PLX,33.2317073170732,1.0933333333333335,89126.34666666668,7676038.0,0.0116109829923544,0.0,0
1655942400,1.0989,1.1,1.11,1.08,ok,114375.0,PLX,26.510067114094,1.096666666666667,125431.25000000004,7790413.0,0.0161007189220905,0.028037383177570208,0
1656028800,1.08,1.09,1.1299,1.0799,ok,137113.0,PLX,25.64935064935069,1.0999333333333334,150815.15913333333,7927526.0,0.0190242402400614,0.0092592592592593,0
1656288000,1.1,1.11,1.11,1.09,ok,75830.0,PLX,38.37209302325585,1.1033333333333335,83665.76666666668,8003356.0,0.0104538354493623,0.04716981132075482,0
1656374400,1.1,1.07,1.12,1.07,ok,106633.0,PLX,36.94029850746273,1.086666666666667,115874.52666666669,8109989.0,0.014287877168103,-0.01834862385321101,0
1656460800,1.07,1.08,1.08,1.05,ok,161893.0,PLX,34.496124031007795,1.07,173225.51,8271882.0,0.0209414870763388,-0.0009250693802034249,0
1656547200,1.08,1.09,1.09,1.04,ok,146359.0,PLX,43.42105263157895,1.0733333333333333,157091.99333333332,8418241.0,0.0186609047345322,0.0,0
1656633600,1.0799,1.085,1.09,1.07,ok,17329.0,PLX,42.48927038626608,1.0816666666666668,18744.201666666668,8435570.0,0.0022220432841724,-0.01363636363636378,0
1656979200,1.05,1.09,1.1,1.05,ok,106361.0,PLX,50.0,1.08,114869.88,8541931.0,0.0134477649140457,0.0,0
1657065600,1.07,1.09,1.1,1.07,ok,112099.0,PLX,55.319148936170194,1.086666666666667,121814.24666666667,8654030.0,0.0140760139110526,-0.018018018018018056,0
1657152000,1.08,1.12,1.13,1.072,ok,87387.0,PLX,59.61538461538459,1.1073333333333333,96766.538,8741417.0,0.0110698915290278,0.04672897196261694,0
1657238400,1.11,1.11,1.13,1.09,ok,534476.0,PLX,62.6262626262626,1.11,593268.3600000001,9275893.0,0.0639580857605839,0.0277777777777779,0
1657497600,1.11,1.105,1.12,1.09,ok,112823.0,PLX,54.335260115606886,1.105,124669.415,9388716.0,0.0132786437463866,0.013761467889908063,0
1657584000,1.1003,1.1,1.11,1.09,ok,30440.0,PLX,55.62130177514795,1.1,33484.0,9419156.0,0.0035548832613028,0.01382488479262678,0
1657670400,1.09,1.09,1.12,1.08,ok,111540.0,PLX,50.0,1.096666666666667,122322.2,9530696.0,0.0128345505931571,0.0,0
1657756800,1.07,1.08,1.09,1.07,ok,30629.0,PLX,44.117647058823536,1.08,33079.32,9561325.0,0.0034597004076317,-0.00917431192660556,0
1657843200,1.09,1.08,1.11,1.07,ok,88851.0,PLX,46.875000000000014,1.086666666666667,96551.42,9650176.0,0.0100051460201347,-0.0357142857142857,0
1658102400,1.08,1.1,1.1,1.08,ok,18419.0,PLX,46.875000000000014,1.0933333333333335,20138.10666666667,9668595.0,0.0020828369237377,-0.009009009009009028,0
1658188800,1.1,1.095,1.11,1.09,ok,41223.0,PLX,59.99999999999993,1.0983333333333334,45276.595,9709818.0,0.0046629705108787,-0.009049773755656076,0
1658275200,1.1,1.09,1.11,1.09,ok,86728.0,PLX,54.16666666666666,1.096666666666667,95111.70666666668,9796546.0,0.0097086980111833,-0.00909090909090915,0
1658361600,1.1,1.08,1.11,1.07,ok,75859.0,PLX,45.833333333333336,1.086666666666667,82433.44666666667,9872405.0,0.0083498850246385,-0.00917431192660556,0
1658448000,1.07,1.06,1.08,1.05,ok,117542.0,PLX,40.74074074074079,1.0633333333333332,124986.32666666666,9989947.0,0.0125112101862669,-0.01851851851851849,0
1658707200,1.08,1.1,1.1,1.04,ok,177652.0,PLX,52.94117647058823,1.08,191864.16,10167599.0,0.0188701541042285,0.0185185185185186,0
1658793600,1.07,1.07,1.08,1.06,ok,49310.0,PLX,45.0,1.07,52761.7,10216909.0,0.005164154833913,-0.027272727272727337,0
1658880000,1.07,1.07,1.09,1.05,ok,93238.0,PLX,35.294117647058826,1.07,99764.66,10310147.0,0.0096763566998608,-0.022831050228310446,0
1658966400,1.06,1.07,1.08,1.05,ok,82707.0,PLX,37.5,1.0666666666666669,88220.8,10392854.0,0.0084886018797146,-0.01834862385321101,0
1659052800,1.06,1.06,1.07,1.05,ok,106629.0,PLX,36.36363636363639,1.06,113026.74,10499483.0,0.0107649814757545,-0.01851851851851849,0
1659312000,1.06,1.055,1.07,1.02,ok,87496.0,PLX,36.36363636363634,1.0483333333333331,91724.97333333331,10586979.0,0.0086639421248812,-0.004716981132075526,0
1659398400,1.04,1.05,1.07,1.04,ok,85340.0,PLX,37.5,1.0533333333333337,89891.46666666667,10672319.0,0.0084228616729566,-0.045454545454545525,0
1659484800,1.05,1.0599,1.07,1.05,ok,98793.0,PLX,43.71482176360226,1.0599666666666667,104717.2869,10771112.0,0.009722049766078,-0.0094392523364486,0
1659571200,1.061,1.1,1.11,1.05,ok,187813.0,PLX,55.0,1.086666666666667,204090.12666666668,10958925.0,0.0186231885578801,0.028037383177570208,0
1659657600,1.08,1.1,1.14,1.08,ok,132596.0,PLX,50.0,1.106666666666667,146739.57333333333,11091521.0,0.0132298873466798,0.028037383177570208,0
1659916800,1.09,1.11,1.12,1.09,ok,587750.0,PLX,54.054054054054085,1.106666666666667,650443.3333333334,11679271.0,0.055692117541697,0.04716981132075482,0
1660003200,1.13,1.18,1.21,1.11,ok,268086.0,PLX,67.99999999999997,1.1666666666666667,312767.0,11947357.0,0.0261787607083307,0.11848341232227488,0
1660089600,1.2,1.21,1.25,1.19,ok,254610.0,PLX,74.07407407407405,1.2166666666666666,309775.5,12201967.0,0.0253873412376873,0.15238095238095228,0
1660176000,1.21,1.23,1.24,1.2,ok,80088.0,PLX,81.48148148148147,1.2233333333333334,97974.32,12282055.0,0.0079770299025692,0.1604868383809792,0
1660262400,1.21,1.225,1.24,1.21,ok,99318.0,PLX,76.59574468085108,1.225,121664.55,12381373.0,0.0098264182817204,0.11363636363636354,0
1660521600,1.21,1.24,1.24,1.21,ok,116069.0,PLX,88.63636363636367,1.2300000000000002,142764.87000000002,12497442.0,0.0114235273106288,0.1272727272727272,0
1660608000,1.24,1.22,1.2553,1.2,ok,253704.0,PLX,81.25000000000001,1.2251,310812.77040000004,12751146.0,0.0243752812806001,0.09909909909909898,0
1660694400,1.21,1.23,1.25,1.21,ok,111843.0,PLX,82.00000000000001,1.23,137566.88999999998,12862989.0,0.010694784081678,0.04237288135593231,0
1660780800,1.25,1.23,1.26,1.17,ok,171378.0,PLX,85.41666666666669,1.22,209081.16,13034367.0,0.0160407605524687,0.016528925619834656,0
1660867200,1.24,1.2,1.2401,1.175,ok,108824.0,PLX,77.35849056603777,1.2050333333333334,131136.54746666667,13143191.0,0.0099775273346226,-0.024390243902439046,0
1661126400,1.16,1.13,1.1959,1.12,ok,95017.0,PLX,62.1212121212121,1.1486333333333334,109139.69343333332,13238208.0,0.0082442951065078,-0.07755102040816342,0
1661212800,1.13,1.14,1.15,1.13,ok,45563.0,PLX,62.13268706452588,1.14,51941.81999999999,13283771.0,0.0039101712909685,-0.08064516129032262,0
1661299200,1.13,1.17,1.17,1.13,ok,71203.0,PLX,60.93749999999998,1.1566666666666665,82358.13666666666,13354974.0,0.0061668511422535,-0.040983606557377095,0
1661385600,1.17,1.17,1.19,1.16,ok,32898.0,PLX,60.93749999999998,1.1733333333333331,38600.31999999999,13387872.0,0.0028832304342318,-0.04878048780487809,0
1661472000,1.17,1.18,1.18,1.1527,ok,31607.0,PLX,60.93749999999998,1.1708999999999998,37008.63629999999,13419479.0,0.0027578295923411,-0.04065040650406504,0
1661731200,1.17,1.15,1.18,1.14,ok,22050.0,PLX,44.64285714285713,1.1566666666666665,25504.5,13441529.0,0.0018974403879201,-0.04166666666666674,0
1661817600,1.12,1.12,1.1405,1.11,ok,108382.0,PLX,33.928571428571445,1.1235000000000002,121767.17700000004,13549911.0,0.0089865665538319,-0.008849557522123686,0
1661904000,1.12,1.11,1.1202,1.11,ok,77918.0,PLX,27.77777777777777,1.1134000000000002,86753.90120000001,13627829.0,0.0063659370248922,-0.02631578947368407,0
1661990400,1.07,1.085,1.1,1.07,ok,58255.0,PLX,25.862068965517224,1.085,63206.675,13686084.0,0.0046183170437942,-0.07264957264957261,0
1662076800,1.1,1.09,1.12,1.09,ok,45704.0,PLX,23.214285714285765,1.1,50274.4,13731788.0,0.0036611692519575,-0.06837606837606824,0
1662422400,1.04,1.05,1.08,1.03,ok,150294.0,PLX,21.6666666666667,1.0533333333333337,158309.68000000002,13882082.0,0.0114038859588929,-0.11016949152542366,0
1662508800,1.059,1.03,1.06,1.02,ok,128303.0,PLX,17.741935483871003,1.0366666666666668,133007.44333333336,14010385.0,0.0094934895317532,-0.10434782608695647,0
1662595200,1.02,1.04,1.06,1.02,ok,52976.0,PLX,20.312500000000043,1.04,55095.04,14063361.0,0.0039176296477065,-0.07142857142857151,0
