t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.3,1.33,1.35,1.28,ok,1303416.0,POL,
1652227200,1.3,1.44,1.49,1.3,ok,2420877.0,POL,
1652313600,1.41,1.55,1.58,1.38,ok,1099469.0,POL,
1652400000,1.56,1.64,1.65,1.54,ok,1450759.0,POL,
1652659200,1.74,1.67,1.8,1.65,ok,2588542.0,POL,
1652745600,1.71,1.75,1.825,1.705,ok,2659106.0,POL,
1652832000,1.73,1.6,1.73,1.57,ok,1439662.0,POL,
1652918400,1.55,1.6,1.63,1.53,ok,988584.0,POL,
1653004800,1.63,1.52,1.64,1.48,ok,1322842.0,POL,
1653264000,1.54,1.41,1.55,1.39,ok,1557902.0,POL,
1653350400,1.4,1.39,1.425,1.36,ok,987633.0,POL,
1653436800,1.41,1.4,1.44,1.37,ok,1049453.0,POL,
1653523200,1.39,1.47,1.5,1.39,ok,1052364.0,POL,
1653609600,1.47,1.49,1.51,1.46,ok,741204.0,POL,59.090909090909086
1653955200,1.49,1.56,1.595,1.43,ok,775939.0,POL,62.10526315789473
1654041600,1.58,1.52,1.59,1.49,ok,457136.0,POL,54.54545454545455
1654128000,1.51,1.54,1.56,1.51,ok,644237.0,POL,49.36708860759494
1654214400,1.51,1.62,1.63,1.51,ok,637820.0,POL,48.71794871794874
1654473600,1.65,1.65,1.664,1.6001,ok,465370.0,POL,48.71794871794872
1654560000,1.65,1.67,1.7,1.58,ok,696707.0,POL,44.444444444444436
1654646400,1.67,1.68,1.7,1.65,ok,277272.0,POL,56.89655172413792
1654732800,1.66,1.63,1.74,1.63,ok,1072216.0,POL,52.38095238095237
1654819200,1.6,1.52,1.62,1.48,ok,1030356.0,POL,50.0
1655078400,1.45,1.36,1.45,1.35,ok,1503698.0,POL,46.47887323943663
1655164800,1.37,1.31,1.3999,1.29,ok,834291.0,POL,44.594594594594604
1655251200,1.31,1.31,1.3417,1.275,ok,1233595.0,POL,43.83561643835617
1655337600,1.28,1.24,1.295,1.23,ok,973174.0,POL,34.246575342465746
1655424000,1.25,1.22,1.275,1.21,ok,1852570.0,POL,31.506849315068493
1655769600,1.27,1.27,1.28,1.22,ok,1132240.0,POL,29.577464788732385
1655856000,1.28,1.29,1.31,1.25,ok,510488.0,POL,33.33333333333333
1655942400,1.3,1.29,1.33,1.27,ok,575081.0,POL,31.343283582089555
1656028800,1.31,1.33,1.38,1.29,ok,1422845.0,POL,26.984126984126974
1656288000,1.32,1.32,1.35,1.2845,ok,599653.0,POL,22.95081967213116
1656374400,1.41,1.31,1.48,1.31,ok,2699435.0,POL,20.000000000000014
1656460800,1.3,1.25,1.31,1.24,ok,1123326.0,POL,16.923076923076934
1656547200,1.25,1.22,1.26,1.2,ok,780894.0,POL,17.46031746031747
1656633600,1.25,1.24,1.27,1.21,ok,920665.0,POL,24.07407407407409
1656979200,1.21,1.22,1.255,1.2,ok,806318.0,POL,32.5
1657065600,1.24,1.21,1.25,1.19,ok,1212124.0,POL,36.111111111111114
1657152000,1.21,1.21,1.24,1.21,ok,1419419.0,POL,36.111111111111114
1657238400,1.22,1.23,1.24,1.205,ok,424698.0,POL,48.38709677419355
1657497600,1.21,1.22,1.25,1.18,ok,880205.0,POL,50.0
1657584000,1.22,1.2,1.235,1.18,ok,957943.0,POL,37.037037037037045
1657670400,1.2,1.2,1.22,1.19,ok,695586.0,POL,32.0
1657756800,1.19,1.2,1.21,1.16,ok,782738.0,POL,32.0
