t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,0.842,0.7815,0.8698,0.77,ok,22935.0,PRFX,,0.8071,18510.8385,22935.0,0.8071
1652227200,0.77,0.7399,0.8389,0.71,ok,53883.0,PRFX,,0.7629333333333334,41109.1368,76818.0,0.5351497930172616
1652313600,0.7194,0.725,0.7599,0.705,ok,10409.0,PRFX,,0.7299666666666668,7598.223033333335,87227.0,0.08710861354091433
1652400000,0.7497,0.7832,0.8051,0.7333,ok,23550.0,PRFX,,0.7738666666666667,18224.56,110777.0,0.16451573882665174
1652659200,0.81,0.7704,0.81,0.7704,ok,1410.0,PRFX,,0.7836,1104.876,112187.0,0.009848520773351636
1652745600,0.7955,0.8693,0.9278,0.7955,ok,88111.0,PRFX,,0.8642,76145.5262,200298.0,0.38016119082566974
1652832000,0.85,0.7962,0.8839,0.74,ok,11878.0,PRFX,,0.8066999999999999,9581.982599999998,212176.0,0.045160539363547234
1652918400,0.8002,0.838,0.84,0.735,ok,28305.0,PRFX,,0.8043333333333332,22766.655,240481.0,0.09467132538537347
1653004800,0.85,0.854,0.8966,0.747,ok,18053.0,PRFX,,0.8325333333333332,15029.724266666664,258534.0,0.058134420488858966
1653264000,0.78,0.86,0.8625,0.75,ok,19597.0,PRFX,,0.8241666666666667,16151.194166666668,278131.0,0.058070456607378064
1653350400,0.86,0.8547,0.86,0.82,ok,3571.0,PRFX,,0.8449,3017.1378999999997,281702.0,0.010710388637638355
1653436800,0.8201,0.822,0.8497,0.82,ok,2367.0,PRFX,,0.8305666666666666,1965.9512999999997,284069.0,0.006920682299018899
1653523200,0.8999,0.8685,0.9,0.7197,ok,82398.0,PRFX,,0.8294,68340.90120000001,366467.0,0.18648582600889033
1653609600,0.8251,0.8779,0.8878,0.7645,ok,4806.0,PRFX,60.54243219597551,0.8433999999999999,4053.3803999999996,371273.0,0.01091751999202743
1653955200,0.9572,0.8998,0.9572,0.78,ok,15201.0,PRFX,62.34606553955334,0.879,13361.679,386474.0,0.03457329341689221
1654041600,0.8759,0.9325,0.95,0.8079,ok,24819.0,PRFX,70.48064653339004,0.8967999999999999,22257.6792,411293.0,0.054116357924885665
1654128000,0.93,0.91,0.9397,0.91,ok,6311.0,PRFX,69.35956467141064,0.9199,5805.4889,417604.0,0.01390189964655511
1654214400,0.9497,0.9124,0.9497,0.86,ok,12635.0,PRFX,65.30805687203792,0.9073666666666665,11464.577833333331,430239.0,0.02664699814134314
