t,o,c,h,l,s,v,Ticker
1652140800,5.095,4.94,5.29,4.8001,ok,148812.0,QUIK
1652227200,5.095,5.08,5.3,4.955,ok,90802.0,QUIK
1652313600,5.01,5.42,5.49,5.01,ok,68705.0,QUIK
1652400000,5.48,5.67,5.849,5.15,ok,91333.0,QUIK
1652659200,5.58,5.94,6.13,5.57,ok,50139.0,QUIK
1652745600,5.97,6.05,6.2211,5.96,ok,90831.0,QUIK
1652832000,6.05,5.69,6.05,5.6601,ok,59920.0,QUIK
1652918400,5.63,5.89,6.099,5.3946,ok,50370.0,QUIK
1653004800,5.77,5.78,6.0,5.62,ok,74059.0,QUIK
1653264000,5.8,5.85,5.95,5.7,ok,39040.0,QUIK
1653350400,5.8,5.775,5.945,5.62,ok,48524.0,QUIK
1653436800,5.777,5.88,5.95,5.745,ok,47756.0,QUIK
1653523200,5.86,6.32,6.56,5.7601,ok,114535.0,QUIK
1653609600,6.31,6.66,6.755,6.31,ok,101938.0,QUIK
1653955200,6.59,6.54,6.7,6.5158,ok,22593.0,QUIK
1654041600,6.61,6.58,6.85,6.21,ok,38198.0,QUIK
1654128000,6.54,7.38,7.5,6.54,ok,130723.0,QUIK
1654214400,7.32,7.63,7.77,7.2,ok,85620.0,QUIK
1654473600,7.54,7.58,7.77,7.54,ok,99070.0,QUIK
1654560000,7.51,7.85,7.97,7.5057,ok,58545.0,QUIK
1654646400,7.73,7.72,7.8893,7.56,ok,41878.0,QUIK
1654732800,7.63,7.71,7.9,7.62,ok,53709.0,QUIK
1654819200,7.33,7.2,7.47,6.9612,ok,59677.0,QUIK
1655078400,6.99,6.88,7.08,6.5801,ok,127702.0,QUIK
1655164800,6.87,7.04,7.66,6.6017,ok,118993.0,QUIK
1655251200,7.11,7.4,7.59,7.015,ok,64075.0,QUIK
1655337600,7.22,7.32,7.42,7.11,ok,54522.0,QUIK
1655424000,7.22,7.62,7.87,7.1164,ok,88881.0,QUIK
1655769600,7.51,8.5,8.82,7.51,ok,295089.0,QUIK
1655856000,8.5,8.28,8.79,8.25,ok,192112.0,QUIK
1655942400,8.34,7.98,8.53,7.9168,ok,107264.0,QUIK
1656028800,8.12,8.54,8.74,7.76,ok,93006.0,QUIK
1656288000,8.61,8.47,8.7999,8.41,ok,88958.0,QUIK
1656374400,8.61,8.57,8.85,8.44,ok,107094.0,QUIK
1656460800,8.66,8.23,8.789,8.0683,ok,101260.0,QUIK
1656547200,8.08,8.48,8.7381,7.99,ok,101755.0,QUIK
1656633600,8.39,7.84,8.66,7.7476,ok,134155.0,QUIK
