t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,1.4,1.39,1.49,1.39,ok,152611.0,RVLP,,1.4233333333333331,217216.3233333333,152611.0,1.4233333333333331,,0
1652227200,1.49,1.41,1.49,1.39,ok,83026.0,RVLP,,1.43,118727.18,235637.0,0.5038562704498869,,0
1652313600,1.45,1.39,1.45,1.38,ok,115095.0,RVLP,,1.4066666666666665,161900.3,350732.0,0.461606867921946,,0
1652400000,1.4124,1.45,1.49,1.38,ok,83646.0,RVLP,,1.4400000000000002,120450.24000000002,434378.0,0.2772936014254866,,0
1652659200,1.47,1.41,1.47,1.41,ok,23736.0,RVLP,,1.43,33942.48,458114.0,0.0740917762827593,,0
1652745600,1.4,1.42,1.47,1.4,ok,20049.0,RVLP,,1.43,28670.07,478163.0,0.0599587797466554,,0
1652832000,1.47,1.4,1.47,1.4,ok,45556.0,RVLP,,1.4233333333333331,64841.37333333332,523719.0,0.1238094728916333,0.007194244604316502,0
1652918400,1.45,1.38,1.45,1.38,ok,18472.0,RVLP,,1.403333333333333,25922.373333333333,542191.0,0.0478104087550943,-0.021276595744680882,0
1653004800,1.39,1.38,1.4,1.38,ok,34894.0,RVLP,,1.3866666666666667,48386.34666666667,577085.0,0.083846134740405,-0.007194244604316502,0
1653264000,1.38,1.37,1.39,1.37,ok,45446.0,RVLP,,1.3766666666666667,62563.99333333333,622531.0,0.1004994021716723,-0.055172413793103336,0
1653350400,1.37,1.39,1.399,1.37,ok,90998.0,RVLP,,1.3863333333333332,126153.56066666666,713529.0,0.176802289278595,-0.014184397163120588,0
1653436800,1.37,1.49,1.52,1.37,ok,74739.0,RVLP,,1.46,109118.94,788268.0,0.1384287323600602,0.04929577464788748,0
1653523200,1.37,1.61,1.71,1.37,ok,155148.0,RVLP,,1.5633333333333337,242548.04,943416.0,0.2570955336776141,0.15000000000000013,0
1653609600,1.54,1.53,1.6199,1.53,ok,43454.0,RVLP,63.46153846153848,1.5599666666666667,67786.79153333334,986870.0,0.0686886738205977,0.10869565217391308,0
