t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,3.79,3.48,3.87,3.42,ok,85448.0,RZLT,,3.59,306758.32,85448.0,3.5900000000000003,,0
1652227200,3.41,3.38,3.57,3.32,ok,77144.0,RZLT,,3.4233333333333333,264089.62666666665,162592.0,1.624247359443679,,0
1652313600,3.365,3.25,3.5,3.23,ok,39105.0,RZLT,,3.3266666666666667,130089.3,201697.0,0.6449738964882968,,0
1652400000,3.3429,3.45,3.56,3.215,ok,30889.0,RZLT,,3.4083333333333337,105280.00833333336,232586.0,0.4526498083862887,,0
1652659200,3.36,3.53,3.53,3.35,ok,12237.0,RZLT,,3.47,42462.39,244823.0,0.1734411799544977,,0
1652745600,3.31,3.35,3.544,3.31,ok,54004.0,RZLT,,3.401333333333333,183685.6053333333,298827.0,0.6146887842575582,,0
1652832000,3.34,2.86,3.35,2.745,ok,74712.0,RZLT,,2.985,223015.32,373539.0,0.5970335627605149,-0.17816091954022995,0
1652918400,2.86,3.0,3.07,2.86,ok,64934.0,RZLT,,2.9766666666666666,193286.8733333333,438473.0,0.4408181879690045,-0.1124260355029586,0
1653004800,3.05,3.09,3.14,2.94,ok,35875.0,RZLT,,3.056666666666666,109657.91666666669,474348.0,0.2311760915333608,-0.0492307692307693,0
1653264000,3.09,2.91,3.2,2.87,ok,55882.0,RZLT,,2.9933333333333336,167273.45333333334,530230.0,0.3154733857634108,-0.15652173913043477,0
1653350400,2.96,3.03,3.03,2.92,ok,10991.0,RZLT,,2.9933333333333327,32899.72666666666,541221.0,0.060787971395542,-0.14164305949008504,0
1653436800,3.07,3.08,3.14,3.07,ok,9517.0,RZLT,,3.0966666666666662,29470.976666666666,550738.0,0.0535117908454957,-0.08059701492537319,0
1653523200,3.01,3.0,3.15,2.97,ok,36675.0,RZLT,,3.0400000000000005,111492.0,587413.0,0.1898017238297416,0.04895104895104896,0
1653609600,2.95,3.09,3.2,2.95,ok,11995.0,RZLT,39.89637305699482,3.08,36944.6,599408.0,0.0616351466780556,0.030000000000000027,0
1653955200,3.09,2.8,3.09,2.76,ok,35570.0,RZLT,34.68468468468468,2.883333333333333,102560.16666666666,634978.0,0.1615176693785716,-0.09385113268608414,0
1654041600,3.0,2.83,3.0,2.81,ok,20589.0,RZLT,37.2093023255814,2.8800000000000003,59296.32000000001,655567.0,0.0904504345093636,-0.027491408934707917,0
1654128000,2.77,2.96,3.0,2.58,ok,77786.0,RZLT,43.25581395348837,2.8466666666666662,221430.8133333333,733353.0,0.3019430115283271,-0.02310231023102305,0
1654214400,3.15,2.82,3.15,2.75,ok,117547.0,RZLT,34.92822966507177,2.9066666666666667,341669.94666666666,850900.0,0.4015394836839425,-0.0844155844155845,0
1654473600,2.92,3.09,3.22,2.875,ok,61207.0,RZLT,40.35087719298246,3.061666666666667,187395.4316666667,912107.0,0.2054533422796521,0.030000000000000027,0
1654560000,3.04,3.01,3.25,2.735,ok,49590.0,RZLT,42.20183486238532,2.998333333333333,148687.34999999998,961697.0,0.1546093520100405,-0.02588996763754048,0
1654646400,2.98,2.6,3.14,2.58,ok,45438.0,RZLT,43.80952380952382,2.773333333333333,126014.72,1007135.0,0.125121974710441,-0.07142857142857129,0
1654732800,2.54,2.78,2.86,2.54,ok,25946.0,RZLT,44.85981308411214,2.7266666666666666,70746.09333333334,1033081.0,0.0684806838315033,-0.017667844522968323,0
1654819200,2.72,3.0,3.05,2.72,ok,40951.0,RZLT,48.017621145374456,2.9233333333333333,119713.42333333334,1074032.0,0.1114616913959112,0.013513513513513598,0
1655078400,2.85,2.94,3.11,2.68,ok,102947.0,RZLT,50.69767441860465,2.91,299575.77,1176979.0,0.2545294096156346,0.042553191489361764,0
1655164800,3.07,3.03,3.2,2.78,ok,231213.0,RZLT,50.0,3.0033333333333334,694409.71,1408192.0,0.4931214706517293,-0.01941747572815533,0
