t,o,c,h,l,s,v,Ticker
1652140800,6.1,5.89,6.275,5.5,ok,453904.0,SATL
1652227200,5.68,5.58,6.0044,5.49,ok,179755.0,SATL
1652313600,5.42,5.69,6.0,5.18,ok,214412.0,SATL
1652400000,5.88,5.5,5.9399,5.41,ok,130813.0,SATL
1652659200,5.5,5.47,5.7,5.21,ok,146858.0,SATL
1652745600,5.52,5.54,5.6347,5.352,ok,187384.0,SATL
1652832000,5.45,5.46,5.84,5.3601,ok,216509.0,SATL
1652918400,5.62,5.42,5.62,5.2,ok,208632.0,SATL
1653004800,5.45,5.34,5.505,5.21,ok,188278.0,SATL
1653264000,5.33,5.14,5.35,5.12,ok,99425.0,SATL
1653350400,5.17,5.03,5.185,4.95,ok,178558.0,SATL
1653436800,4.99,4.96,5.13,4.85,ok,135369.0,SATL
1653523200,4.95,4.78,5.0,4.71,ok,198267.0,SATL
1653609600,4.82,4.77,5.102,4.76,ok,106269.0,SATL
1653955200,4.75,4.73,4.89,4.64,ok,110329.0,SATL
1654041600,4.78,4.78,4.8721,4.71,ok,48557.0,SATL
1654128000,4.7,4.73,4.93,4.7,ok,90964.0,SATL
1654214400,4.72,4.72,4.895,4.69,ok,50919.0,SATL
1654473600,5.01,4.94,5.15,4.7501,ok,353580.0,SATL
1654560000,4.84,5.64,5.69,4.8,ok,186694.0,SATL
1654646400,5.6,6.61,7.18,5.6,ok,274759.0,SATL
1654732800,6.16,5.01,6.2,4.98,ok,358930.0,SATL
1654819200,4.87,4.84,5.1,4.8,ok,117423.0,SATL
1655078400,4.65,4.18,4.65,4.08,ok,176716.0,SATL
1655164800,4.35,3.35,4.546,3.25,ok,256430.0,SATL
1655251200,3.36,3.69,4.21,3.36,ok,386345.0,SATL
1655337600,3.5,3.89,3.95,3.5,ok,81902.0,SATL
1655424000,3.89,5.04,5.04,3.89,ok,360416.0,SATL
1655769600,4.74,4.25,5.0,4.2,ok,144012.0,SATL
1655856000,4.35,3.97,4.36,3.89,ok,126552.0,SATL
1655942400,3.91,3.86,4.06,3.75,ok,70718.0,SATL
1656028800,4.09,3.59,4.09,3.59,ok,141450.0,SATL
1656288000,3.6,3.61,3.8412,3.41,ok,70083.0,SATL
1656374400,3.58,3.82,3.8687,3.58,ok,60497.0,SATL
1656460800,3.77,3.94,3.95,3.51,ok,46097.0,SATL
1656547200,3.91,4.09,4.29,3.7,ok,58339.0,SATL
1656633600,4.22,3.99,4.27,3.83,ok,66258.0,SATL
1656979200,4.04,4.02,4.11,3.76,ok,25899.0,SATL
1657065600,4.06,3.9,4.22,3.9,ok,17463.0,SATL
1657152000,3.92,4.06,4.3,3.92,ok,14121.0,SATL
1657238400,3.99,4.04,4.07,3.9201,ok,16754.0,SATL
1657497600,3.99,3.92,4.065,3.89,ok,35510.0,SATL
1657584000,3.98,3.82,3.99,3.8089,ok,24445.0,SATL
1657670400,3.82,3.89,3.89,3.82,ok,10231.0,SATL
1657756800,3.84,3.79,3.87,3.7,ok,16069.0,SATL
1657843200,3.78,3.89,3.95,3.7297,ok,19496.0,SATL
1658102400,3.9986,3.9,4.0,3.88,ok,12256.0,SATL
1658188800,3.89,4.01,4.0499,3.89,ok,16404.0,SATL
1658275200,3.9536,4.01,4.0999,3.9536,ok,13542.0,SATL
1658361600,4.02,4.01,4.02,3.91,ok,17759.0,SATL
1658448000,4.02,3.79,4.03,3.7,ok,15731.0,SATL
1658707200,3.73,4.1,4.21,3.7084,ok,53878.0,SATL
1658793600,4.28,4.29,4.3,3.81,ok,41815.0,SATL
1658880000,4.29,4.4,4.4,4.21,ok,20446.0,SATL
1658966400,4.4494,4.38,4.5,4.37,ok,9139.0,SATL
1659052800,4.31,4.19,4.42,4.12,ok,23853.0,SATL
1659312000,4.13,4.13,4.38,4.1,ok,17992.0,SATL
1659398400,4.16,4.33,4.44,3.9695,ok,23336.0,SATL
1659484800,4.4,4.74,4.877,4.4,ok,62600.0,SATL
1659571200,4.5,4.545,4.7,4.25,ok,68708.0,SATL
1659657600,4.2906,4.83,5.0,4.223,ok,44321.0,SATL
1659916800,5.0,4.98,5.19,4.9027,ok,39309.0,SATL
1660003200,4.96,4.76,5.09,4.54,ok,35933.0,SATL
1660089600,4.94,4.86,4.98,4.65,ok,12993.0,SATL
1660176000,4.69,4.96,5.0,4.69,ok,28523.0,SATL
1660262400,4.88,4.89,5.0299,4.75,ok,17467.0,SATL
1660521600,5.38,4.92,5.38,4.7701,ok,28297.0,SATL
1660608000,5.03,5.08,5.17,4.8801,ok,33563.0,SATL
1660694400,5.08,4.83,5.08,4.74,ok,22186.0,SATL
1660780800,5.21,4.79,5.21,4.78,ok,39783.0,SATL
1660867200,4.87,4.36,4.87,4.3,ok,65058.0,SATL
