t,o,c,h,l,s,v,Ticker
1652140800,0.7994,0.796,0.8789,0.78,ok,1652137.0,SELB
1652227200,0.7736,0.6743,0.8,0.6469,ok,2669737.0,SELB
1652313600,0.69,0.6937,0.7359,0.6786,ok,2384789.0,SELB
1652400000,0.6949,0.7296,0.7451,0.6859,ok,2999581.0,SELB
1652659200,0.72,0.7703,0.8,0.6998,ok,1714715.0,SELB
1652745600,0.8,0.8414,0.855,0.7501,ok,2695498.0,SELB
1652832000,0.84,0.7552,0.8598,0.755,ok,1482024.0,SELB
1652918400,0.76,0.7744,0.8114,0.7471,ok,1280561.0,SELB
1653004800,0.8,0.7958,0.8425,0.755,ok,1892013.0,SELB
1653264000,0.7958,0.7494,0.8174,0.7438,ok,1644863.0,SELB
1653350400,0.748,0.6906,0.765,0.6784,ok,1839270.0,SELB
1653436800,0.68,0.7063,0.7182,0.6701,ok,923674.0,SELB
1653523200,0.7028,0.7016,0.7479,0.6786,ok,2315084.0,SELB
1653609600,0.711,0.7674,0.78,0.67,ok,2146488.0,SELB
1653955200,0.7982,0.8822,0.9384,0.7801,ok,2488162.0,SELB
1654041600,1.01,0.8421,1.02,0.7903,ok,2613679.0,SELB
1654128000,0.86,0.8207,0.8699,0.81,ok,1212696.0,SELB
1654214400,0.81,0.8825,0.8999,0.81,ok,1585760.0,SELB
1654473600,0.9332,0.9984,1.0,0.8851,ok,2751628.0,SELB
1654560000,0.981,1.17,1.26,0.9458,ok,4409091.0,SELB
1654646400,1.25,1.25,1.375,1.2,ok,3984843.0,SELB
1654732800,1.24,1.23,1.27,1.13,ok,2545347.0,SELB
1654819200,1.14,1.14,1.15,1.04,ok,2413685.0,SELB
1655078400,1.05,1.12,1.17,1.04,ok,2550636.0,SELB
1655164800,1.1,1.05,1.13,1.05,ok,2363717.0,SELB
1655251200,1.06,1.15,1.16,1.02,ok,2601669.0,SELB
1655337600,1.13,1.34,1.37,1.09,ok,3891387.0,SELB
1655424000,1.34,1.24,1.38,1.21,ok,4690394.0,SELB
1655769600,1.31,1.26,1.35,1.25,ok,2359869.0,SELB
1655856000,1.21,1.26,1.34,1.19,ok,1724411.0,SELB
1655942400,1.28,1.4,1.4474,1.27,ok,4140039.0,SELB
1656028800,1.41,1.33,1.5,1.31,ok,14821143.0,SELB
1656288000,1.33,1.34,1.37,1.28,ok,2101175.0,SELB
1656374400,1.38,1.3,1.38,1.24,ok,1830440.0,SELB
1656460800,1.27,1.24,1.29,1.22,ok,1648805.0,SELB
1656547200,1.23,1.31,1.34,1.17,ok,2120163.0,SELB
1656633600,1.29,1.33,1.35,1.24,ok,1771992.0,SELB
1656979200,1.32,1.35,1.39,1.28,ok,1203847.0,SELB
1657065600,1.33,1.38,1.41,1.32,ok,1507576.0,SELB
1657152000,1.39,1.53,1.58,1.37,ok,1623048.0,SELB
1657238400,1.52,1.58,1.6,1.48,ok,1297493.0,SELB
1657497600,1.58,1.61,1.67,1.51,ok,1512214.0,SELB
1657584000,1.61,1.74,1.76,1.56,ok,2184027.0,SELB
1657670400,1.7,1.77,1.89,1.7,ok,3374411.0,SELB
1657756800,1.77,1.64,1.77,1.59,ok,1695670.0,SELB
1657843200,1.64,1.71,1.72,1.57,ok,1355279.0,SELB
1658102400,1.715,1.63,1.755,1.59,ok,1889212.0,SELB
