t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.6859,1.6654,1.755,1.6,ok,76465.0,SGBX,,1.6734666666666669,127961.62866666669,76465.0,1.6734666666666669
1652227200,1.69,1.625,1.75,1.595,ok,91075.0,SGBX,,1.6566666666666665,150880.91666666666,167540.0,0.9005665313755918
1652313600,1.6,1.61,1.69,1.6,ok,55170.0,SGBX,,1.6333333333333335,90111.00000000001,222710.0,0.40461137802523467
1652400000,1.62,1.72,1.746,1.62,ok,25256.0,SGBX,,1.6953333333333334,42817.33866666667,247966.0,0.17267423222000866
1652659200,1.67,1.72,1.85,1.67,ok,74352.0,SGBX,,1.7466666666666668,129868.16000000002,322318.0,0.40291935293716147
1652745600,1.77,1.86,1.9,1.77,ok,20222.0,SGBX,,1.8433333333333335,37275.88666666667,342540.0,0.10882199645783462
1652832000,1.85,1.88,1.92,1.85,ok,32528.0,SGBX,,1.8833333333333335,61261.06666666667,375068.0,0.1633332266860054
1652918400,1.9,1.91,1.94,1.84,ok,36455.0,SGBX,,1.8966666666666667,69142.98333333334,411523.0,0.16801729996460305
1653004800,1.87,1.79,1.89,1.77,ok,30481.0,SGBX,,1.8166666666666667,55373.816666666666,442004.0,0.12527899445857202
1653264000,1.77,1.94,1.94,1.7601,ok,42089.0,SGBX,,1.8800333333333334,79128.72296666667,484093.0,0.16345768884628917
1653350400,1.88,1.93,1.93,1.78,ok,31452.0,SGBX,,1.88,59129.759999999995,515545.0,0.11469369308207818
1653436800,1.86,1.99,2.01,1.78,ok,38805.0,SGBX,,1.9266666666666667,74764.3,554350.0,0.13486840443762965
1653523200,2.01,2.01,2.04,1.95,ok,22756.0,SGBX,,2.0,45512.0,577106.0,0.07886246200871244
1653609600,2.01,2.04,2.0999,2.0028,ok,48599.0,SGBX,75.12744834987927,2.047566666666667,99509.69243333334,625705.0,0.15903611515543803
1653955200,2.0,2.13,2.13,1.99,ok,26297.0,SGBX,77.80703854440988,2.0833333333333335,54785.41666666667,652002.0,0.08402645492907487
1654041600,2.08,2.06,2.1,2.0,ok,14885.0,SGBX,75.14450867052025,2.0533333333333332,30563.866666666665,666887.0,0.045830652969193676
1654128000,2.05,2.14,2.15,1.9984,ok,17502.0,SGBX,78.494623655914,2.096133333333333,36686.52559999999,684389.0,0.053604785582468444
1654214400,2.16,2.14,2.25,2.06,ok,61052.0,SGBX,75.60975609756099,2.1500000000000004,131261.80000000002,745441.0,0.17608610205234218
1654473600,2.07,2.08,2.15,2.0,ok,54669.0,SGBX,70.45454545454547,2.0766666666666667,113529.29,800110.0,0.1418921023359288
1654560000,2.03,2.07,2.145,2.02,ok,41060.0,SGBX,63.99999999999999,2.078333333333333,85336.36666666665,841170.0,0.10144960788742663
1654646400,2.03,2.1,2.14,2.03,ok,43868.0,SGBX,64.47368421052633,2.09,91684.12,885038.0,0.10359342762683636
1654732800,2.0108,1.91,2.0939,1.85,ok,64871.0,SGBX,50.0,1.9513,126582.7823,949909.0,0.13325779869440127
1654819200,1.91,1.8,1.922,1.77,ok,47535.0,SGBX,50.54945054945055,1.8306666666666667,87020.74,997444.0,0.08724373498662583
1655078400,1.81,1.76,1.81,1.6668,ok,38836.0,SGBX,38.75000000000001,1.7455999999999998,67792.1216,1036280.0,0.06541873007295325
1655164800,1.66,1.74,1.7799,1.66,ok,41560.0,SGBX,38.27160493827161,1.7266333333333332,71758.88133333332,1077840.0,0.06657656176550632
1655251200,1.74,1.85,1.95,1.705,ok,47028.0,SGBX,41.86046511627907,1.8350000000000002,86296.38,1124868.0,0.07671689478232113
1655337600,1.79,1.77,1.85,1.7589,ok,20022.0,SGBX,36.95652173913045,1.7929666666666666,35898.7786,1144890.0,0.03135565739940081
1655424000,1.82,1.82,1.9,1.67,ok,44321.0,SGBX,38.29787234042554,1.7966666666666666,79630.06333333334,1189211.0,0.06696041605176317
1655769600,1.82,1.78,1.88,1.77,ok,53175.0,SGBX,30.337078651685417,1.8099999999999998,96246.74999999999,1242386.0,0.07746928088371889
1655856000,1.7,1.76,1.83,1.7,ok,20744.0,SGBX,32.14285714285715,1.7633333333333334,36578.58666666667,1263130.0,0.028958687282121927
1655942400,1.74,1.75,1.7999,1.702,ok,40483.0,SGBX,24.67532467532469,1.7506333333333333,70870.88923333334,1303613.0,0.05436497582743754
1656028800,1.7755,1.76,1.8321,1.711,ok,31518.0,SGBX,25.64102564102565,1.7676999999999998,55714.368599999994,1335131.0,0.04172951463189754
1656288000,1.8,1.7,1.8426,1.65,ok,52482.0,SGBX,25.64102564102565,1.7308666666666666,90839.34439999999,1387613.0,0.06546446624527155
1656374400,1.67,1.64,1.72,1.61,ok,59979.0,SGBX,24.096385542168704,1.6566666666666665,99365.20999999999,1447592.0,0.06864172363483632
1656460800,1.64,1.63,1.6499,1.55,ok,42075.0,SGBX,20.98765432098766,1.6099666666666668,67739.3475,1489667.0,0.045472812044571036
1656547200,1.59,1.66,1.69,1.56,ok,17665.0,SGBX,30.769230769230774,1.6366666666666667,28911.716666666667,1507332.0,0.01918072240665405
1656633600,1.6573,1.68,1.7399,1.62,ok,23734.0,SGBX,39.285714285714285,1.6799666666666668,39872.32886666667,1531066.0,0.02604220122886059
1656979200,1.6822,1.73,1.738,1.65,ok,11279.0,SGBX,47.368421052631575,1.7060000000000002,19241.974000000002,1542345.0,0.012475791084355318
1657065600,1.71,1.7,1.77,1.69,ok,26048.0,SGBX,46.55172413793104,1.72,44802.56,1568393.0,0.028565901531057585
1657152000,1.77,1.73,1.771,1.71,ok,31318.0,SGBX,37.99999999999999,1.737,54399.366,1599711.0,0.03400574603787809
1657238400,1.7,1.69,1.7,1.6231,ok,31466.0,SGBX,41.30434782608696,1.6710333333333331,52580.73486666666,1631177.0,0.0322348432246572
1657497600,1.69,1.625,1.7,1.61,ok,53448.0,SGBX,29.473684210526315,1.6450000000000002,87921.96,1684625.0,0.05219081991541145
1657584000,1.6915,1.62,1.6915,1.6108,ok,16550.0,SGBX,31.818181818181827,1.6407666666666667,27154.688333333335,1701175.0,0.015962313303060142
1657670400,1.65,1.58,1.65,1.58,ok,31126.0,SGBX,30.43478260869567,1.6033333333333335,49905.35333333334,1732301.0,0.028808707801550273
1657756800,1.65,1.5301,1.67,1.52,ok,68316.0,SGBX,28.005601120224057,1.5733666666666668,107486.11720000001,1800617.0,0.059694047762516966
1657843200,1.62,1.74,1.7899,1.58,ok,926383.0,SGBX,48.57102029151186,1.7033000000000003,1577908.1639000003,2727000.0,0.5786241891822517
1658102400,1.85,1.66,1.85,1.58,ok,441942.0,SGBX,47.221450402889694,1.6966666666666665,749828.2599999999,3168942.0,0.2366178554230402
1658188800,1.64,1.63,1.71,1.6,ok,142092.0,SGBX,49.27515221803421,1.6466666666666665,233978.15999999997,3311034.0,0.0706661906824273
1658275200,1.6,1.66,1.7,1.6,ok,53367.0,SGBX,52.11327134404058,1.6533333333333333,88233.44,3364401.0,0.026225601526096324
1658361600,1.66,1.66,1.6814,1.6,ok,38934.0,SGBX,50.0,1.6471333333333333,64129.4892,3403335.0,0.018843131575351824
1658448000,1.64,1.6,1.65,1.54,ok,88342.0,SGBX,44.4429008057794,1.5966666666666667,141052.72666666665,3491677.0,0.040396842739653945
1658707200,1.63,1.61,1.63,1.545,ok,59954.0,SGBX,41.17387466902031,1.595,95626.63,3551631.0,0.02692470867609839
