t,o,c,h,l,s,v,Ticker,RSI
1652140800,0.9607,0.9737,1.06,0.96,ok,53579.0,SGTX,
1652227200,0.96,0.8266,1.03,0.8049,ok,82171.0,SGTX,
1652313600,0.8915,0.8101,0.9253,0.81,ok,87803.0,SGTX,
1652400000,0.86,0.7511,0.86,0.7452,ok,105220.0,SGTX,
1652659200,0.7826,0.762,0.7868,0.7601,ok,91548.0,SGTX,
1652745600,0.79,0.859,0.87,0.788,ok,213333.0,SGTX,
1652832000,0.86,0.7977,0.8688,0.7977,ok,85437.0,SGTX,
1652918400,0.8,0.8461,0.975,0.8,ok,247323.0,SGTX,
1653004800,0.8271,0.8077,0.91,0.7617,ok,106284.0,SGTX,
1653264000,0.8697,0.8043,0.9,0.77,ok,111879.0,SGTX,
1653350400,0.7902,0.772,0.83,0.761,ok,46042.0,SGTX,
1653436800,0.81,0.7404,0.82,0.74,ok,57878.0,SGTX,
1653523200,0.75,0.7632,0.7865,0.7303,ok,137551.0,SGTX,
1653609600,0.8084,0.8077,0.817,0.771,ok,100104.0,SGTX,36.464448793215915
1653955200,0.82,0.758,0.85,0.7397,ok,81017.0,SGTX,33.73057776436869
1654041600,0.7841,0.7623,0.84,0.7623,ok,70761.0,SGTX,43.81849644299173
1654128000,0.7801,0.8024,0.8098,0.7677,ok,50827.0,SGTX,49.291888909324996
1654214400,0.8,0.8916,0.9322,0.7753,ok,146530.0,SGTX,62.240808503223555
1654473600,0.89,0.8724,0.95,0.8277,ok,75440.0,SGTX,59.48127791137066
1654560000,0.97,0.9154,0.9709,0.8822,ok,223167.0,SGTX,55.33888678530859
1654646400,0.86,0.979,0.9893,0.86,ok,236604.0,SGTX,67.08765315739868
1654732800,0.979,0.9642,0.9875,0.9154,ok,144776.0,SGTX,61.883678808613396
1654819200,0.96,0.933,0.973,0.88,ok,91647.0,SGTX,62.79354706963448
1655078400,0.91,0.9719,0.9955,0.9,ok,102810.0,SGTX,65.95582635186597
1655164800,0.96,0.99,0.99,0.94,ok,52998.0,SGTX,71.33072407045009
1655251200,0.9538,0.9147,0.9875,0.871,ok,133132.0,SGTX,65.71119524067063
1655337600,0.91,0.8501,0.9424,0.7872,ok,97064.0,SGTX,57.28415758591785
1655424000,0.8501,0.8557,0.875,0.8424,ok,64139.0,SGTX,54.30416068866572
1655769600,0.89,0.8666,0.98,0.85,ok,62387.0,SGTX,60.46646106399383
1655856000,0.9377,0.8699,0.9377,0.78,ok,154835.0,SGTX,60.39011201235999
1655942400,0.81,1.04,1.04,0.81,ok,202001.0,SGTX,68.33899351651745
1656028800,1.03,0.8927,1.07,0.8501,ok,1596958.0,SGTX,50.07791471879871
1656288000,0.9282,0.912,0.9758,0.8607,ok,58773.0,SGTX,52.804532577903686
1656374400,0.86,0.83,0.9534,0.79,ok,211001.0,SGTX,44.26845637583892
1656460800,0.8051,0.8309,0.8711,0.79,ok,94831.0,SGTX,39.14700278469881
1656547200,0.85,0.83,0.88,0.781,ok,18803.0,SGTX,39.961101137043684
1656633600,0.86,0.765,0.86,0.75,ok,122037.0,SGTX,38.0375961264597
1656979200,0.78,0.82,0.86,0.7531,ok,173164.0,SGTX,39.426423499930394
1657065600,0.8374,0.8255,0.8638,0.81,ok,116945.0,SGTX,38.34490576732323
1657152000,0.8151,0.855,0.86,0.8081,ok,60875.0,SGTX,45.47658736172148
1657238400,0.82,0.817,0.854,0.8092,ok,43833.0,SGTX,47.38670456339807
1657497600,0.81,0.7902,0.82,0.7534,ok,9843.0,SGTX,44.996180290297936
1657584000,0.7902,0.8079,0.86,0.78,ok,161781.0,SGTX,45.56177226674731
1657670400,0.81,0.8368,0.8473,0.7901,ok,60298.0,SGTX,47.5906245450575
1657756800,0.89,0.8385,0.89,0.8,ok,61024.0,SGTX,30.568948891031823
1657843200,0.86,0.85,0.88,0.7637,ok,51360.0,SGTX,44.421217663966544
1658102400,0.8428,0.7878,0.8429,0.75,ok,79539.0,SGTX,35.408834586466156
1658188800,0.82,0.8,0.84,0.77,ok,76109.0,SGTX,45.7841483979764
1658275200,0.7738,0.8,0.8379,0.7738,ok,27134.0,SGTX,45.64666103127643
1658361600,0.8285,0.7921,0.83,0.75,ok,24230.0,SGTX,44.76374689140647
1658448000,0.7802,0.7502,0.7983,0.7502,ok,50521.0,SGTX,47.81582054309327
1658707200,0.7502,0.7734,0.7936,0.7502,ok,15033.0,SGTX,42.41042345276873
1658793600,0.781,0.76,0.7886,0.7536,ok,15664.0,SGTX,39.5998729755478
1658880000,0.75,0.7515,0.7798,0.75,ok,13602.0,SGTX,32.39197005784281
1658966400,0.7511,0.7034,0.7599,0.68,ok,100682.0,SGTX,31.31578947368422
1659052800,0.7491,0.71,0.7491,0.7,ok,44871.0,SGTX,35.87033121916842
1659312000,0.74,0.71,0.74,0.71,ok,9315.0,SGTX,31.604659902292383
1659398400,0.706,0.7474,0.76,0.706,ok,11870.0,SGTX,33.72177713037145
1659484800,0.7401,0.78,0.7936,0.7401,ok,61510.0,SGTX,40.425531914893625
