t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,8.37,5.92,8.725,5.8,ok,206932,SKYX,,6.815,1410241.58,206932,6.815,,0.0
1652227200,6.0,3.73,6.1,3.41,ok,421186,SKYX,,4.413333333333333,1858834.213333333,628118,2.9593710311332155,-0.36993243243243246,0.0
1652313600,4.11,4.85,4.97,3.75,ok,330284,SKYX,,4.5233333333333325,1493984.6266666665,958402,1.5588287865286867,0.3002680965147453,0.0
1652400000,5.33,5.41,5.7,4.71,ok,181427,SKYX,,5.273333333333333,956725.0466666666,1139829,0.8393584008361488,0.11546391752577323,0.0
1652659200,5.65,4.21,5.7591,4.14,ok,169946,SKYX,,4.703033333333334,799261.7028666667,1309775,0.61022824749798,-0.22181146025878007,0.0
1652745600,4.5,4.3,4.65,4.21,ok,126503,SKYX,,4.386666666666667,554926.4933333333,1436278,0.3863642646711384,0.0213776722090262,0.0
1652832000,4.1,4.15,4.555,4.07,ok,89501,SKYX,,4.258333333333334,381125.09166666673,1525779,0.2497904949974188,-0.0348837209302324,0.0
1652918400,4.07,3.81,4.62,3.7,ok,101583,SKYX,,4.043333333333334,410733.93000000005,1627362,0.2523924793623054,-0.08192771084337358,0.0
1653004800,3.6,3.89,3.9,3.5,ok,143481,SKYX,,3.7633333333333336,539966.8300000001,1770843,0.3049207806677385,0.0209973753280841,0.0
1653264000,3.96,3.89,4.33,3.68,ok,113470,SKYX,,3.966666666666667,450097.6666666667,1884313,0.238865659084593,0.0,0.0
1653350400,3.76,3.51,4.2678,3.5,ok,112536,SKYX,,3.7592666666666665,423052.8336,1996849,0.2118602025491161,-0.09768637532133684,0.0
1653436800,3.5,3.45,4.05,3.44,ok,76514,SKYX,,3.646666666666667,279021.05333333334,2073363,0.1345741451609454,-0.017094017094017033,0.0
1653523200,3.45,3.45,3.595,3.2283,ok,85252,SKYX,,3.424433333333333,291939.7905333333,2158615,0.1352440294046568,0.0,0.0
1653609600,3.44,3.42,3.5099,3.26,ok,36867,SKYX,29.83870967741936,3.3966333333333334,125223.6811,2195482,0.0570369882786558,-0.008695652173913104,0.0
1653955200,3.57,3.76,3.76,3.22,ok,109362,SKYX,33.48623853211009,3.58,391515.96,2304844,0.169866576653344,0.09941520467836251,0.0
1654041600,3.76,3.8,3.96,3.5,ok,75490,SKYX,50.79726651480638,3.753333333333333,283339.13333333336,2380334,0.1190333513420105,0.010638297872340496,0.0
