t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,9.88,9.88,9.89,9.88,ok,178513.0,SLNA,,9.883333333333335,1764303.4833333336,178513.0,9.883333333333335
1652227200,9.88,9.88,9.88,9.88,ok,14829.0,SLNA,,9.88,146510.52000000002,193342.0,0.7577790650763933
1652313600,9.88,9.89,9.89,9.88,ok,59018.0,SLNA,,9.886666666666668,583491.2933333335,252360.0,2.3121385850900835
1652400000,9.89,9.89,9.89,9.88,ok,13688.0,SLNA,,9.886666666666668,135328.69333333336,266048.0,0.5086626974581029
1652659200,9.88,9.87,9.89,9.87,ok,562775.0,SLNA,,9.876666666666665,5558341.083333332,828823.0,6.7063065133729785
1652745600,9.87,9.83,9.87,9.83,ok,72448.0,SLNA,,9.843333333333334,713129.8133333334,901271.0,0.7912490397819671
1652832000,9.84,9.84,9.84,9.83,ok,30046.0,SLNA,,9.836666666666668,295552.4866666667,931317.0,0.3173489656762055
1652918400,9.82,9.85,9.85,9.82,ok,7910.0,SLNA,,9.840000000000002,77834.40000000001,939227.0,0.0828707011191118
1653004800,9.88,9.89,9.89,9.84,ok,2197.0,SLNA,,9.873333333333333,21691.713333333333,941424.0,0.02304138553227168
1653264000,9.89,9.84,9.89,9.84,ok,4332.0,SLNA,,9.856666666666667,42699.08,945756.0,0.045148093165679096
1653350400,9.84,9.83,9.84,9.83,ok,22644.0,SLNA,,9.833333333333334,222666.0,968400.0,0.22993184634448574
1653436800,9.84,9.84,9.85,9.84,ok,150787.0,SLNA,,9.843333333333332,1484246.7033333331,1119187.0,1.326182937554969
1653523200,9.87,9.89,9.89,9.85,ok,2525.0,SLNA,,9.876666666666667,24938.583333333336,1121712.0,0.022232608132331057
1653609600,9.83,9.85,9.89,9.81,ok,23289.0,SLNA,44.827586206896406,9.850000000000001,229396.65000000002,1145001.0,0.20034624423908803
1653955200,9.835,9.83,9.85,9.83,ok,48439.0,SLNA,41.93548387096769,9.836666666666666,476478.29666666663,1193440.0,0.3992478018724583
1654041600,9.865,9.84,9.89,9.84,ok,27675.0,SLNA,43.7499999999999,9.856666666666667,272783.25,1221115.0,0.22338866527722614
1654473600,9.8883,9.8883,9.8883,9.8883,ok,1036.0,SLNA,49.76276862963977,9.8883,10244.2788,1222151.0,0.008382171106516298
1654560000,9.84,9.8824,9.8824,9.84,ok,34746.0,SLNA,48.95661724327292,9.868266666666667,342882.79360000003,1256897.0,0.2728010279283028
1654646400,9.86,9.86,9.8851,9.8461,ok,1859.0,SLNA,48.63611565739229,9.863733333333334,18336.68026666667,1258756.0,0.014567303168101418
1654732800,9.8699,9.85,9.87,9.85,ok,1662.0,SLNA,52.97088532382642,9.856666666666667,16381.78,1260418.0,0.012997100961744437
1654819200,9.84,9.83,9.84,9.83,ok,40781.0,SLNA,48.5574148874784,9.833333333333334,401013.1666666667,1301199.0,0.3081874230357283
1655078400,9.83,9.81,9.84,9.81,ok,22641.0,SLNA,44.39147504206405,9.82,222334.62,1323840.0,0.16794674583031183
1655164800,9.8143,9.79,9.82,9.79,ok,52754.0,SLNA,35.14557338086732,9.799999999999999,516989.19999999995,1376594.0,0.3755567727303765
1655251200,9.81,9.83,9.83,9.8,ok,36272.0,SLNA,48.469075321494216,9.82,356191.04000000004,1412866.0,0.2521053235055554
1655337600,9.83,9.81,9.83,9.8,ok,18968.0,SLNA,47.02911467617357,9.813333333333334,186139.3066666667,1431834.0,0.13000061925241801
1655424000,9.84,9.83,9.84,9.79,ok,195959.0,SLNA,48.5574148874784,9.82,1924317.3800000001,1627793.0,1.1821634446148865
1655769600,9.84,9.79,9.84,9.79,ok,13348.0,SLNA,35.14557338086732,9.806666666666667,130899.38666666667,1641141.0,0.07976120678641668
1655856000,9.81,9.8,9.81,9.8,ok,369.0,SLNA,41.846053489889314,9.803333333333333,3617.43,1641510.0,0.00220372096423415
1655942400,9.79,9.77,9.79,9.76,ok,16700.0,SLNA,40.5243209096652,9.773333333333332,163214.66666666663,1658210.0,0.09842822481269961
1656028800,9.79,9.79,9.79,9.77,ok,2158.0,SLNA,42.34537660747087,9.783333333333333,21112.433333333334,1660368.0,0.012715514472293693
1656288000,9.77,9.815,9.815,9.765,ok,13383.0,SLNA,37.91625453346541,9.798333333333332,131131.09499999997,1673751.0,0.07834564101828764
1656374400,9.78,9.79,9.79,9.7785,ok,12589.0,SLNA,35.66997518610424,9.786166666666666,123198.05216666666,1686340.0,0.07305647269629295
1656460800,9.7807,9.84,9.84,9.78,ok,30999.0,SLNA,47.142857142857245,9.819999999999999,304410.17999999993,1717339.0,0.177256895697355
1656547200,9.84,9.79,9.85,9.79,ok,16157.0,SLNA,42.30769230769236,9.81,158500.17,1733496.0,0.09143382505641778
1656633600,9.8299,9.81,9.8299,9.77,ok,9888.0,SLNA,47.43589743589754,9.8033,96935.0304,1743384.0,0.05560165195963712
1656979200,9.795,9.79,9.81,9.78,ok,36209.0,SLNA,47.43589743589733,9.793333333333333,354606.80666666664,1779593.0,0.19926286890691672
1657152000,9.79,9.8,9.81,9.78,ok,2967.0,SLNA,51.31578947368439,9.796666666666667,29066.71,1782560.0,0.016306160802441433
1657238400,9.82,9.83,9.83,9.81,ok,17171.0,SLNA,50.0,9.823333333333332,168676.45666666664,1799731.0,0.09372314899652595
1657497600,9.82,9.8,9.82,9.79,ok,61167.0,SLNA,48.68421052631584,9.803333333333333,599640.49,1860898.0,0.3222317880937053
1657584000,9.81,9.81,9.8199,9.8001,ok,1123.0,SLNA,47.29729729729741,9.81,11016.630000000001,1862021.0,0.005916490737752153
1657670400,9.81,9.81,9.81,9.81,ok,129.0,SLNA,53.030303030303166,9.81,1265.49,1862150.0,0.0006795854254490777
1657756800,9.81,9.81,9.81,9.81,ok,230.0,SLNA,51.562499999999936,9.81,2256.3,1862380.0,0.0012115142989078491
1657843200,9.81,9.8,9.81,9.79,ok,1205.0,SLNA,55.00000000000012,9.8,11809.0,1863585.0,0.006336711231309546
1658102400,9.81,9.81,9.81,9.81,ok,100.0,SLNA,53.448275862069146,9.81,981.0,1863685.0,0.0005263765067594577
1658275200,9.81,9.81,9.815,9.81,ok,2230.0,SLNA,49.05660377358511,9.811666666666667,21880.01666666667,1865915.0,0.011726159373104707
1658361600,9.81,9.81,9.81,9.81,ok,135.0,SLNA,54.166666666666885,9.81,1324.3500000000001,1866050.0,0.0007097076712842636
1658448000,9.81,9.82,9.82,9.77,ok,93775.0,SLNA,45.00000000000018,9.803333333333333,919307.5833333333,1959825.0,0.4690763631106519
1658707200,9.82,9.8101,9.82,9.81,ok,4641.0,SLNA,56.28517823639801,9.813366666666667,45543.8347,1964466.0,0.023183824357357163
1658793600,9.81,9.81,9.8101,9.81,ok,7684.0,SLNA,50.0,9.810033333333335,75380.29613333335,1972150.0,0.03822239491587017
1658880000,9.81,9.825,9.83,9.81,ok,624446.0,SLNA,62.96296296296321,9.821666666666667,6133100.463333334,2596596.0,2.361977166772703
1658966400,9.83,9.83,9.83,9.83,ok,300.0,SLNA,61.53846153846154,9.83,2949.0,2596896.0,0.001135586484787993
1659052800,9.83,9.83,9.8301,9.83,ok,3050.0,SLNA,50.0,9.830033333333333,29981.601666666666,2599946.0,0.011531624759386027
1659312000,9.83,9.839,9.839,9.82,ok,1936.0,SLNA,74.68354430379765,9.832666666666666,19036.042666666664,2601882.0,0.007316259025838476
1659398400,9.84,9.84,9.84,9.83,ok,3240.0,SLNA,71.42857142857143,9.836666666666668,31870.800000000003,2605122.0,0.012233899218539478
1659484800,9.85,9.86,9.86,9.84,ok,9125.0,SLNA,77.77777777777777,9.853333333333333,89911.66666666667,2614247.0,0.03439295011782233
1659571200,9.845,9.86,9.87,9.845,ok,9270.0,SLNA,77.77777777777777,9.858333333333333,91386.74999999999,2623517.0,0.034833679370097466
1659657600,9.85,9.87,9.87,9.84,ok,207466.0,SLNA,88.88888888888889,9.86,2045614.7599999998,2830983.0,0.7225810822601194
1659916800,9.87,9.85,9.87,9.85,ok,391147.0,SLNA,70.0,9.856666666666667,3855405.596666667,3222130.0,1.1965394309561275
1660003200,9.87,9.86,9.87,9.83,ok,76503.0,SLNA,72.72727272727273,9.853333333333333,753809.56,3298633.0,0.22852180281953163
1660089600,9.86,9.8686,9.8686,9.86,ok,96630.0,SLNA,74.70489038785865,9.865733333333333,953325.8119999999,3395263.0,0.2807811388985183
1660176000,9.86,9.845,9.87,9.84,ok,1293239.0,SLNA,59.455370650529694,9.851666666666667,12740559.548333334,4688502.0,2.717405164449825
1660262400,9.84,9.85,9.85,9.84,ok,86248.0,SLNA,65.67164179104475,9.846666666666666,849255.3066666666,4774750.0,0.17786382672740284
1660521600,9.85,9.86,9.8719,9.85,ok,2711.0,SLNA,68.22157434402317,9.860633333333332,26732.176966666666,4777461.0,0.005595477800167634
1660608000,9.87,9.8685,9.87,9.85,ok,3466.0,SLNA,66.64116296863051,9.862833333333333,34184.58033333333,4780927.0,0.007150199183826344
1660694400,9.85,9.85,9.86,9.85,ok,188718.0,SLNA,56.93481276005543,9.853333333333333,1859501.36,4969645.0,0.37417186941924424
1660780800,9.85,9.8499,9.85,9.845,ok,65230.0,SLNA,56.89535689535694,9.8483,642404.609,5034875.0,0.127590974751111
1660867200,9.85,9.85,9.85,9.85,ok,101281.0,SLNA,54.062038404726536,9.85,997617.85,5136156.0,0.19423433595085507
1661212800,9.85,9.85,9.85,9.85,ok,31685.0,SLNA,53.72023809523808,9.85,312097.25,5167841.0,0.06039219279385724
1661299200,9.84,9.84,9.84,9.84,ok,1330.0,SLNA,41.96141479099681,9.84,13087.199999999999,5169171.0,0.0025317792736978518
1661385600,9.87,9.84,9.87,9.84,ok,5182.0,SLNA,41.96141479099681,9.85,51042.7,5174353.0,0.009864556979394331
1661731200,9.84,9.84,9.85,9.84,ok,60443.0,SLNA,36.88811188811194,9.843333333333332,594960.5966666666,5234796.0,0.11365497273755588
1661817600,9.84,9.85,9.85,9.84,ok,1263.0,SLNA,50.0,9.846666666666666,12436.339999999998,5236059.0,0.0023751336644602357
1661904000,9.87,9.85,9.87,9.85,ok,1049.0,SLNA,44.703389830508506,9.856666666666667,10339.643333333333,5237108.0,0.001974304011552432
1661990400,9.84,9.83,10.04,9.79,ok,1413347.0,SLNA,31.758034026464173,9.886666666666665,13973290.67333333,6650455.0,2.1011029581184038
1662076800,9.84,9.83,9.87,9.83,ok,68083.0,SLNA,40.87591240875842,9.843333333333334,670163.6633333333,6718538.0,0.09974843683749847
1662422400,9.84,9.84,9.84,9.84,ok,1606.0,SLNA,44.26605504587151,9.84,15803.039999999999,6720144.0,0.0023515924658757312
1662508800,9.84,9.84,9.85,9.84,ok,125330.0,SLNA,37.04663212435222,9.843333333333332,1233664.9666666666,6845474.0,0.18021614962918076
1662595200,9.84,9.84,9.84,9.84,ok,102.0,SLNA,29.257641921397266,9.84,1003.68,6845576.0,0.00014661731898090095
1662681600,9.84,9.84,9.84,9.84,ok,5753.0,SLNA,40.039840637450105,9.84,56609.52,6851329.0,0.008262560446301732
1662940800,9.86,9.84,9.86,9.84,ok,702.0,SLNA,40.119760479041645,9.846666666666666,6912.36,6852031.0,0.0010088045427698736
1663027200,9.84,9.85,9.85,9.84,ok,435555.0,SLNA,50.0,9.846666666666666,4288764.899999999,7287586.0,0.5885028183543906
1663113600,9.84,9.84,9.85,9.84,ok,19152.0,SLNA,42.85714285714285,9.843333333333332,188519.51999999996,7306738.0,0.02580077730992954
1663200000,9.84,9.84,9.85,9.84,ok,1730.0,SLNA,50.0,9.843333333333332,17028.966666666664,7308468.0,0.002330032322323456
1663286400,9.84,9.84,9.85,9.84,ok,1121.0,SLNA,50.0,9.843333333333332,11034.376666666665,7309589.0,0.0015095755269778732
1663545600,9.84,9.84,9.845,9.84,ok,1407.0,SLNA,50.0,9.841666666666667,13847.225,7310996.0,0.0018940271612787095
1663632000,9.84,9.85,9.85,9.84,ok,13013.0,SLNA,50.0,9.846666666666666,128134.67333333332,7324009.0,0.017495155089696547
1663718400,9.84,9.855,9.855,9.84,ok,25189.0,SLNA,53.84615384615448,9.85,248111.65,7349198.0,0.033760370859514194
1663804800,9.85,9.86,9.86,9.85,ok,341.0,SLNA,80.0,9.856666666666667,3361.1233333333334,7349539.0,0.00045732437549257627
1663891200,9.855,9.85,9.855,9.85,ok,518.0,SLNA,66.66666666666666,9.851666666666667,5103.163333333333,7350057.0,0.0006943025521207976
1664150400,9.85,9.85,9.85,9.85,ok,122.0,SLNA,60.0,9.85,1201.7,7350179.0,0.00016349261698252518
1664236800,9.85,9.85,9.855,9.85,ok,2165.0,SLNA,60.0,9.851666666666667,21328.858333333334,7352344.0,0.002900960337728122
1664323200,9.85,9.85,9.86,9.85,ok,14818.0,SLNA,60.0,9.853333333333333,146006.69333333333,7367162.0,0.019818580524404557
1664409600,9.87,9.86,9.87,9.86,ok,51272.0,SLNA,66.66666666666666,9.863333333333332,505712.8266666666,7418434.0,0.06816975478472499
1664496000,9.89,9.94,9.94,9.88,ok,410153.0,SLNA,85.7142857142859,9.92,4068717.76,7828587.0,0.5197256874069356
1664755200,9.94,9.985,9.99,9.94,ok,128172.0,SLNA,88.57142857142874,9.971666666666666,1278088.46,7956759.0,0.16062927883074
1664841600,9.99,9.99,10.0,9.98,ok,136573.0,SLNA,94.11764705882364,9.99,1364364.27,8093332.0,0.1685788090739389
1664928000,9.98,9.99,9.99,9.97,ok,214631.0,SLNA,94.11764705882364,9.983333333333334,2142732.816666667,8307963.0,0.25791313907713204
1665014400,9.99,9.985,9.99,9.98,ok,258316.0,SLNA,91.42857142857112,9.985,2579285.26,8566279.0,0.3010975080312
1665100800,9.985,9.985,9.99,9.98,ok,53576.0,SLNA,91.42857142857112,9.985,534956.36,8619855.0,0.06206094650084021
1665360000,10.0,9.995,10.13,9.99,ok,11292.0,SLNA,91.42857142857112,10.038333333333334,113352.86,8631147.0,0.013133000747177635
1665446400,10.05,10.0,10.05,9.99,ok,23594.0,SLNA,91.42857142857112,10.013333333333334,236254.58666666667,8654741.0,0.02729770731055576
1665532800,10.0,10.01,10.01,10.0,ok,1001401.0,SLNA,91.66666666666642,10.006666666666666,10020686.006666666,9656142.0,1.0377525523823765
1665619200,10.0,10.0,10.01,9.99,ok,129819.0,SLNA,91.66666666666642,10.0,1298190.0,9785961.0,0.1326584072836587
1665705600,10.11,10.04,10.11,10.0,ok,42317.0,SLNA,93.18181818181796,10.049999999999999,425285.85,9828278.0,0.043271654505499337
1665964800,9.98,9.9,10.05,9.49,ok,135908.0,SLNA,56.94444444444456,9.813333333333333,1333710.5066666666,9964186.0,0.13385042257005908
1666051200,9.2,7.9,9.69,7.85,ok,217310.0,SLNA,8.686440677966104,8.479999999999999,1842788.7999999998,10181496.0,0.18099391287881464
1666137600,7.96,8.34,8.77,7.91,ok,275756.0,SLNA,22.759856630824373,8.34,2299805.04,10457252.0,0.2199244160894277
1666224000,8.57,8.2,8.57,7.9501,ok,43175.0,SLNA,19.4736842105263,8.240033333333333,355763.43916666665,10500427.0,0.03388085448017177
1666310400,8.02,9.2,9.3,8.02,ok,110286.0,SLNA,39.68462549277267,8.84,974928.24,10610713.0,0.09188150127140372
1666569600,9.11,8.66,9.11,8.51,ok,35172.0,SLNA,34.67741935483869,8.76,308106.72,10645885.0,0.02894139096937455
1666656000,8.5,8.78,9.23,8.46,ok,89346.0,SLNA,36.434977578475326,8.823333333333332,788329.5399999999,10735231.0,0.0734338683536479
1666742400,9.45,9.13,9.8997,8.65,ok,105930.0,SLNA,41.10301768990636,9.226566666666669,977370.2070000002,10841161.0,0.09015364747373461
1666828800,9.75,40.9,49.49,8.37,ok,735859.0,SLNA,92.26247436773752,32.919999999999995,24224478.279999997,11577020.0,2.0924623331392707
1666915200,36.97,15.09,40.84,14.82,ok,335216.0,SLNA,54.08416833667334,23.583333333333332,7905510.666666666,11912236.0,0.6636462429611591
1667174400,18.0,12.89,18.0,12.5,ok,482861.0,SLNA,52.23788136905684,14.463333333333333,6983779.596666667,12395097.0,0.5634308143507604
1667260800,13.0,9.94,13.22,9.5,ok,264777.0,SLNA,49.9481558287661,10.886666666666665,2882538.9399999995,12659874.0,0.22769096596064065
1667347200,9.0,6.28,9.17,6.21,ok,385362.0,SLNA,47.38617200674536,7.22,2782313.64,13045236.0,0.21328197052165251
1667433600,6.2,4.4999,8.16,4.4,ok,923486.0,SLNA,46.2002109736475,5.686633333333333,5251526.270466667,13968722.0,0.37594894296462245
1667520000,4.8,3.61,5.15,3.52,ok,722680.0,SLNA,45.72980312287849,4.093333333333333,2958170.133333333,14691402.0,0.2013538349391932
1667779200,4.0,3.88,6.67,3.8,ok,6575923.0,SLNA,47.20522803114572,4.783333333333332,31454831.683333326,21267325.0,1.479021535775342
1667865600,4.06,4.29,4.95,4.06,ok,1272366.0,SLNA,47.18319655028516,4.433333333333334,5640822.600000001,22539691.0,0.2502617538102009
1667952000,4.6,3.93,4.92,3.82,ok,654352.0,SLNA,47.03924559700457,4.223333333333334,2763546.6133333333,23194043.0,0.11914898206118413
1668038400,4.28,4.55,4.77,4.14,ok,557316.0,SLNA,46.75867837724801,4.486666666666667,2500491.12,23751359.0,0.10527781252432757
1668124800,4.79,4.84,4.8783,4.31,ok,338724.0,SLNA,47.32792389479575,4.6761,1583907.2963999999,24090083.0,0.06574934990468899
1668384000,5.0,4.49,5.0,4.4,ok,169608.0,SLNA,47.00878538558081,4.63,785285.04,24259691.0,0.03236995228010118
1668470400,4.75,4.5904,4.75,4.22,ok,261769.0,SLNA,46.82369536134698,4.520133333333333,1183230.7825333332,24521460.0,0.048252868407237304
1668556800,4.43,4.4093,4.65,4.25,ok,241900.0,SLNA,4.239619778538568,4.4364333333333335,1073173.2233333334,24763360.0,0.04333714097494578
1668643200,4.5,4.1,4.5,3.96,ok,209437.0,SLNA,11.762741113925472,4.1866666666666665,876842.9066666666,24972797.0,0.03511192225150697
1668729600,4.14,4.29,4.4,4.02,ok,240788.0,SLNA,15.212607598213708,4.236666666666667,1020138.4933333335,25213585.0,0.04045987483863693
1668988800,4.22,4.1,4.4977,4.01,ok,143642.0,SLNA,19.585867844346296,4.202566666666667,603665.0811333334,25357227.0,0.023806431244762425
1669075200,4.29,3.94,4.29,3.88,ok,225001.0,SLNA,30.8221872541306,4.036666666666666,908254.0366666665,25582228.0,0.035503320377985315
1669161600,3.91,3.99,4.12,3.86,ok,349271.0,SLNA,44.16683826389367,3.99,1393591.29,25931499.0,0.05374125460313729
1669334400,4.1,3.84,4.1,3.77,ok,45231.0,SLNA,53.16734603944034,3.903333333333333,176551.66999999998,25976730.0,0.0067965317420629915
1669593600,3.88,3.53,3.98,3.42,ok,198674.0,SLNA,45.2326468344775,3.643333333333333,723835.6066666666,26175404.0,0.027653273533683246
1669680000,3.66,3.51,3.68,3.4,ok,114885.0,SLNA,38.11265544989026,3.53,405544.05,26290289.0,0.01542562160499643
1669766400,3.45,3.3,3.59,3.1731,ok,110885.0,SLNA,39.9386738213875,3.354366666666666,371948.9478333333,26401174.0,0.01408834879211558
