t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,9.88,9.88,9.89,9.88,ok,178513.0,SLNA,,9.883333333333336,1764303.4833333336,178513.0,9.883333333333336,,0.0
1652227200,9.88,9.88,9.88,9.88,ok,14829.0,SLNA,,9.88,146510.52000000002,193342.0,0.7577790650763933,,0.0
1652313600,9.88,9.89,9.89,9.88,ok,59018.0,SLNA,,9.886666666666668,583491.2933333335,252360.0,2.3121385850900835,,0.0
1652400000,9.89,9.89,9.89,9.88,ok,13688.0,SLNA,,9.886666666666668,135328.69333333336,266048.0,0.5086626974581029,,0.0
1652659200,9.88,9.87,9.89,9.87,ok,562775.0,SLNA,,9.876666666666663,5558341.083333332,828823.0,6.7063065133729785,,0.0
1652745600,9.87,9.83,9.87,9.83,ok,72448.0,SLNA,,9.843333333333334,713129.8133333334,901271.0,0.7912490397819671,,0.0
1652832000,9.84,9.84,9.84,9.83,ok,30046.0,SLNA,,9.836666666666668,295552.4866666667,931317.0,0.3173489656762055,-0.004048582995951455,0.0
1652918400,9.82,9.85,9.85,9.82,ok,7910.0,SLNA,,9.840000000000002,77834.40000000001,939227.0,0.0828707011191118,-0.0030364372469636747,0.0
1653004800,9.88,9.89,9.89,9.84,ok,2197.0,SLNA,,9.873333333333331,21691.713333333333,941424.0,0.0230413855322716,0.0,0.0
1653264000,9.89,9.84,9.89,9.84,ok,4332.0,SLNA,,9.856666666666667,42699.08,945756.0,0.045148093165679,-0.005055611729019249,0.0
1653350400,9.84,9.83,9.84,9.83,ok,22644.0,SLNA,,9.833333333333334,222666.0,968400.0,0.2299318463444857,-0.00405268490374866,0.0
1653436800,9.84,9.84,9.85,9.84,ok,150787.0,SLNA,,9.843333333333332,1484246.7033333331,1119187.0,1.326182937554969,0.0010172939979653517,0.0
1653523200,9.87,9.89,9.89,9.85,ok,2525.0,SLNA,,9.876666666666669,24938.583333333336,1121712.0,0.022232608132331,0.005081300813008172,0.0
1653609600,9.83,9.85,9.89,9.81,ok,23289.0,SLNA,44.827586206896406,9.85,229396.65,1145001.0,0.200346244239088,0.0,0.0
1653955200,9.835,9.83,9.85,9.83,ok,48439.0,SLNA,41.93548387096769,9.836666666666666,476478.2966666666,1193440.0,0.3992478018724583,-0.006066734074823055,0.0
1654041600,9.865,9.84,9.89,9.84,ok,27675.0,SLNA,43.7499999999999,9.856666666666667,272783.25,1221115.0,0.2233886652772261,0.0,0.0
1654473600,9.8883,9.8883,9.8883,9.8883,ok,1036.0,SLNA,49.76276862963977,9.8883,10244.2788,1222151.0,0.0083821711065162,0.005930824008138158,0.0
1654560000,9.84,9.8824,9.8824,9.84,ok,34746.0,SLNA,48.95661724327292,9.868266666666669,342882.79360000003,1256897.0,0.2728010279283028,0.004308943089430972,0.0
1654646400,9.86,9.86,9.8851,9.8461,ok,1859.0,SLNA,48.63611565739229,9.863733333333334,18336.68026666667,1258756.0,0.0145673031681014,-0.0030333670374116384,0.0
1654732800,9.8699,9.85,9.87,9.85,ok,1662.0,SLNA,52.97088532382642,9.856666666666667,16381.78,1260418.0,0.0129971009617444,0.0,0.0
1654819200,9.84,9.83,9.84,9.83,ok,40781.0,SLNA,48.5574148874784,9.833333333333334,401013.1666666667,1301199.0,0.3081874230357283,0.0,0.0
1655078400,9.83,9.81,9.84,9.81,ok,22641.0,SLNA,44.39147504206405,9.82,222334.62,1323840.0,0.1679467458303118,-0.0030487804878047697,0.0
1655164800,9.8143,9.79,9.82,9.79,ok,52754.0,SLNA,35.14557338086732,9.8,516989.2,1376594.0,0.3755567727303765,-0.009941041432804387,0.0
1655251200,9.81,9.83,9.83,9.8,ok,36272.0,SLNA,48.469075321494216,9.82,356191.04000000004,1412866.0,0.2521053235055554,-0.00530235570306814,0.0
1655337600,9.83,9.81,9.83,9.8,ok,18968.0,SLNA,47.02911467617357,9.813333333333334,186139.3066666667,1431834.0,0.130000619252418,-0.0050709939148071426,0.0
1655424000,9.84,9.83,9.84,9.79,ok,195959.0,SLNA,48.5574148874784,9.82,1924317.38,1627793.0,1.1821634446148863,-0.0020304568527917954,0.0
1655769600,9.84,9.79,9.84,9.79,ok,13348.0,SLNA,35.14557338086732,9.806666666666668,130899.38666666669,1641141.0,0.0797612067864166,-0.00406917599186174,0.0
1655856000,9.81,9.8,9.81,9.8,ok,369.0,SLNA,41.846053489889314,9.803333333333333,3617.43,1641510.0,0.0022037209642341,-0.0010193679918449883,0.0
1655942400,9.79,9.77,9.79,9.76,ok,16700.0,SLNA,40.5243209096652,9.773333333333332,163214.66666666663,1658210.0,0.0984282248126996,-0.002042900919305368,0.0
1656028800,9.79,9.79,9.79,9.77,ok,2158.0,SLNA,42.34537660747087,9.783333333333331,21112.43333333333,1660368.0,0.0127155144722936,-0.00406917599186174,0.0
1656288000,9.77,9.815,9.815,9.765,ok,13383.0,SLNA,37.91625453346541,9.798333333333332,131131.09499999997,1673751.0,0.0783456410182876,0.0005096839959224386,0.0
1656374400,9.78,9.79,9.79,9.7785,ok,12589.0,SLNA,35.66997518610424,9.786166666666666,123198.05216666666,1686340.0,0.0730564726962929,-0.00406917599186174,0.0
1656460800,9.7807,9.84,9.84,9.78,ok,30999.0,SLNA,47.142857142857245,9.82,304410.17999999993,1717339.0,0.177256895697355,0.005107252298263587,0.0
1656547200,9.84,9.79,9.85,9.79,ok,16157.0,SLNA,42.30769230769236,9.81,158500.17,1733496.0,0.0914338250564177,-0.0010204081632654294,0.0
