t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.07,2.45,3.12,2.16,ok,35110.0,STG,,2.5766666666666667,90466.76666666666,35110.0,2.5766666666666667
1652227200,2.69,3.29,3.3,2.63,ok,53072.0,STG,,3.073333333333333,163107.94666666663,88182.0,1.8496739319437825
1652313600,3.6,3.45,3.7013,3.2822,ok,21319.0,STG,,3.477833333333333,74143.92883333332,109501.0,0.6771073216987363
1652400000,3.4538,3.45,3.6891,3.45,ok,9051.0,STG,,3.5297,31947.3147,118552.0,0.26947933986773737
1652659200,3.57,3.68,3.68,3.49,ok,3868.0,STG,,3.6166666666666667,13989.266666666666,122420.0,0.11427272232206066
1652745600,3.59,3.94,3.9478,3.59,ok,4071.0,STG,,3.8259333333333334,15575.374600000001,126491.0,0.12313425144871969
1652832000,4.25,4.8,5.48,4.11,ok,71527.0,STG,,4.796666666666667,343091.1766666667,198018.0,1.7326262090651694
1652918400,5.15,4.5,5.4204,4.39,ok,32768.0,STG,,4.770133333333333,156307.72906666665,230786.0,0.6772842766314536
1653004800,5.0,4.77,5.26,4.6394,ok,9492.0,STG,,4.8898,46413.9816,240278.0,0.19316783725517941
1653264000,4.94,4.85,4.94,4.65,ok,9958.0,STG,,4.8133333333333335,47931.17333333333,250236.0,0.19154387591447006
1653350400,4.75,4.87,5.1111,4.75,ok,6316.0,STG,,4.910366666666667,31013.875866666673,256552.0,0.1208872893864272
1653436800,4.87,4.93,4.93,4.86,ok,4799.0,STG,,4.906666666666666,23547.09333333333,261351.0,0.09009758268892536
1653523200,4.8993,5.2,5.3,4.8153,ok,4263.0,STG,,5.1051,21763.0413,265614.0,0.08193484266642571
1653609600,5.2,4.73,5.2,4.5208,ok,10936.0,STG,79.84293193717278,4.816933333333334,52677.98293333334,276550.0,0.1904826719701079
1653955200,4.6786,4.8485,4.8485,4.6786,ok,1789.0,STG,80.44940967373365,4.7918666666666665,8572.649466666666,278339.0,0.030799311151749
1654041600,4.7563,4.85,5.23,4.7563,ok,1043.0,STG,75.16129032258064,4.945433333333333,5158.086966666666,279382.0,0.01846248851632054
1654128000,4.74,4.63,4.85,4.4,ok,3097.0,STG,68.67088607594937,4.626666666666666,14328.786666666665,282479.0,0.05072513944989421
1654214400,4.51,4.815,4.815,4.51,ok,1438.0,STG,70.40358744394621,4.713333333333334,6777.773333333334,283917.0,0.023872375846931797
1654473600,4.71,4.845,5.0,4.71,ok,6747.0,STG,68.5214626391097,4.851666666666667,32734.195,290664.0,0.11261867654749126
1654560000,4.72,4.51,4.7401,4.4538,ok,2263.0,STG,58.85093167701863,4.567966666666666,10337.308566666665,292927.0,0.03528970892634228
1654646400,4.61,4.97,5.0,4.51,ok,14116.0,STG,53.01418439716312,4.826666666666667,68133.22666666667,307043.0,0.2219012537874717
1654732800,4.84,4.95,5.07,4.62,ok,6917.0,STG,58.85826771653544,4.88,33754.96,313960.0,0.10751356860746591
1654819200,5.09,4.76,5.23,4.76,ok,10105.0,STG,49.79674796747968,4.916666666666667,49682.91666666667,324065.0,0.153311578438482
1655078400,4.52,4.75,4.9099,4.45,ok,10572.0,STG,47.90794979079499,4.7033,49723.287599999996,334637.0,0.14858873226809946
1655164800,4.95,5.02,5.05,4.95,ok,9531.0,STG,52.840909090909086,5.006666666666667,47718.54,344168.0,0.1386489737570024
1655251200,5.15,5.18,5.3,5.02,ok,7154.0,STG,54.56204379562045,5.166666666666667,36962.333333333336,351322.0,0.10520927620056056
1655337600,5.18,5.24,5.3,5.14,ok,7982.0,STG,50.79051383399211,5.226666666666667,41719.253333333334,359304.0,0.11611129665501452
1655424000,5.06,5.29,5.3,4.9912,ok,10235.0,STG,63.27014218009479,5.193733333333333,53157.86066666667,369539.0,0.14384912192398278
1655769600,5.39,5.2704,5.39,4.9671,ok,11013.0,STG,60.48928447118495,5.2091666666666665,57368.5525,380552.0,0.15075088949736173
1655856000,5.135,5.4691,5.49,5.0407,ok,8485.0,STG,64.01757007652947,5.333266666666667,45252.76766666667,389037.0,0.11631995842726185
