t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.66,5.69,6.1191,5.1001,ok,110109.0,TACT,,5.636400000000001,620618.3676000001,110109.0,5.636400000000001
1652227200,5.25,5.0101,5.47,5.01,ok,225637.0,TACT,,5.1633666666666675,1165046.564566667,335746.0,3.470023662431323
1652313600,5.07,4.97,5.8,4.91,ok,80198.0,TACT,,5.226666666666667,419168.2133333333,415944.0,1.0077515562992454
1652400000,4.98,4.89,5.23,4.81,ok,75865.0,TACT,,4.976666666666667,377554.81666666665,491809.0,0.7676858631433476
1652659200,4.89,4.76,5.09,4.76,ok,33424.0,TACT,,4.87,162774.88,525233.0,0.3099098495334452
1652745600,4.77,4.92,5.22,4.76,ok,115175.0,TACT,,4.966666666666667,572035.8333333334,640408.0,0.8932365512818912
1652832000,4.85,4.9,5.08,4.76,ok,55703.0,TACT,,4.913333333333333,273687.4066666667,696111.0,0.39316632931625367
1652918400,4.76,4.7,4.9499,4.66,ok,74340.0,TACT,,4.769966666666666,354599.3219999999,770451.0,0.46024902557073705
1653004800,4.6986,4.46,4.73,4.31,ok,120821.0,TACT,,4.5,543694.5,891272.0,0.6100208466102379
1653264000,4.46,4.41,4.67,4.31,ok,176159.0,TACT,,4.463333333333334,786256.3366666668,1067431.0,0.7365875046412056
1653350400,4.4951,4.22,4.4951,4.21,ok,16744.0,TACT,,4.308366666666667,72139.29146666668,1084175.0,0.0665384199660264
1653436800,4.31,4.27,4.37,4.16,ok,15220.0,TACT,,4.266666666666667,64938.666666666664,1099395.0,0.05906763871644556
1653523200,4.2,4.24,4.419,4.15,ok,451755.0,TACT,,4.269666666666667,1928843.2650000001,1551150.0,1.2434924185281888
1653609600,4.21,4.315,4.4,4.19,ok,69819.0,TACT,14.652956298200522,4.301666666666667,300338.065,1620969.0,0.18528304057634662
1653955200,4.3,4.22,4.44,4.12,ok,142380.0,TACT,13.97058823529413,4.260000000000001,606538.8,1763349.0,0.34396979837797287
1654041600,4.244,4.26,4.4,4.21,ok,88176.0,TACT,23.21262766945217,4.29,378275.04,1851525.0,0.2043045813586098
1654128000,4.29,4.32,4.4,4.2,ok,75731.0,TACT,27.11267605633806,4.3066666666666675,326148.1733333334,1927256.0,0.16922929456872018
1654214400,4.3,4.45,4.45,4.25,ok,70671.0,TACT,35.0340136054422,4.383333333333333,309774.55,1997927.0,0.1550479822335851
1654473600,4.47,4.74,4.8,4.47,ok,68033.0,TACT,49.38650306748468,4.67,317714.11,2065960.0,0.1537852184940657
1654560000,4.77,4.77,4.8,4.63,ok,84678.0,TACT,44.99999999999999,4.733333333333333,400809.2,2150638.0,0.18636758022503092
1654646400,4.75,4.71,4.8,4.58,ok,45967.0,TACT,43.83116883116882,4.696666666666666,215891.67666666664,2196605.0,0.098284250771835
1654732800,4.7,4.53,4.72,4.4683,ok,36560.0,TACT,44.40789473684211,4.572766666666666,167180.34933333332,2233165.0,0.07486251545825469
1654819200,4.65,4.3,4.65,4.3,ok,9223.0,TACT,44.70198675496688,4.416666666666667,40734.91666666667,2242388.0,0.01816586454559455
