t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.8,1.81,1.84,1.74,ok,40427.0,TCON,,1.7966666666666669,72633.84333333334,40427.0,1.7966666666666669
1652227200,1.94,1.78,1.94,1.62,ok,95365.0,TCON,,1.78,169749.7,135792.0,1.2500714327795452
1652313600,1.75,1.64,1.75,1.63,ok,43964.0,TCON,,1.6733333333333331,73566.42666666665,179756.0,0.40925714116172285
1652400000,1.7043,1.67,1.71,1.6071,ok,83040.0,TCON,,1.6623666666666665,138042.92799999999,262796.0,0.5252854990182498
1652659200,1.7,1.93,1.9991,1.62,ok,197644.0,TCON,,1.8497000000000001,365582.1068,460440.0,0.7939842472417687
1652745600,1.95,1.92,2.04,1.85,ok,74444.0,TCON,,1.9366666666666668,144173.21333333335,534884.0,0.2695410842974053
1652832000,1.88,1.88,1.99,1.85,ok,45317.0,TCON,,1.9066666666666665,86404.41333333333,580201.0,0.14892151742815565
1652918400,1.92,1.86,1.945,1.86,ok,9577.0,TCON,,1.8883333333333334,18084.568333333333,589778.0,0.03066334846897194
1653004800,1.89,1.77,1.89,1.74,ok,45929.0,TCON,,1.8,82672.2,635707.0,0.1300476477370864
1653264000,1.79,1.81,1.82,1.7701,ok,28213.0,TCON,,1.8000333333333334,50784.34043333333,663920.0,0.07649165627384825
1653350400,1.83,1.8,1.87,1.77,ok,54615.0,TCON,,1.8133333333333335,99035.20000000001,718535.0,0.1378293332962208
1653436800,1.76,1.8,1.8099,1.76,ok,58448.0,TCON,,1.7899666666666667,104619.97173333334,776983.0,0.1346489842549108
1653523200,1.79,1.8,1.8374,1.785,ok,66122.0,TCON,,1.8074666666666666,119513.31093333333,843105.0,0.14175376843137372
1653609600,1.79,1.81,1.84,1.7801,ok,38734.0,TCON,50.0,1.8100333333333332,70109.83113333333,881839.0,0.07950411711586051
1653955200,1.83,1.72,1.83,1.66,ok,71751.0,TCON,44.15584415584416,1.7366666666666666,124607.56999999999,953590.0,0.1306720603194245
1654041600,1.7,1.65,1.72,1.64,ok,30342.0,TCON,41.9753086419753,1.67,50671.14,983932.0,0.05149861982332112
1654128000,1.65,1.6,1.65,1.6,ok,105335.0,TCON,47.22222222222224,1.6166666666666665,170291.5833333333,1089267.0,0.1563359427333549
1654214400,1.61,1.6,1.6378,1.58,ok,49695.0,TCON,44.92753623188408,1.6059333333333334,79806.857,1138962.0,0.07006981532307488
1654473600,1.6,1.48,1.65,1.46,ok,158937.0,TCON,9.090909090909092,1.53,243173.61000000002,1297899.0,0.18735942473181658
1654560000,1.5,1.5,1.53,1.47,ok,106816.0,TCON,12.500000000000014,1.5,160224.0,1404715.0,0.11406157120839458
1654646400,1.48,1.51,1.51,1.48,ok,44924.0,TCON,15.094339622641527,1.5,67386.0,1449639.0,0.046484676529811905
1654732800,1.51,1.43,1.5499,1.43,ok,93419.0,TCON,13.559322033898312,1.4699666666666664,137322.8160333333,1543058.0,0.08899394321751568
1654819200,1.36,1.47,1.47,1.32,ok,95218.0,TCON,22.22222222222223,1.42,135209.56,1638276.0,0.08253161249996947
1655078400,1.45,1.32,1.45,1.31,ok,80039.0,TCON,12.30769230769232,1.36,108853.04000000001,1718315.0,0.06334871080098818
1655164800,1.27,1.3,1.32,1.2553,ok,92097.0,TCON,12.121212121212125,1.2917666666666667,118967.8347,1810412.0,0.06571312756433342
1655251200,1.33,1.34,1.4195,1.31,ok,71025.0,TCON,17.142857142857153,1.3564999999999998,96345.41249999999,1881437.0,0.05120841808681342
1655337600,1.37,1.31,1.37,1.2434,ok,67286.0,TCON,16.438356164383578,1.3078,87996.6308,1948723.0,0.04515604875603151
1655424000,1.27,1.33,1.37,1.27,ok,58615.0,TCON,17.56756756756758,1.3233333333333335,77567.18333333333,2007338.0,0.0386418148479894
1655769600,1.34,1.39,1.44,1.34,ok,132256.0,TCON,26.76056338028168,1.39,183835.84,2139594.0,0.08592089901168165
1655856000,1.36,1.34,1.4249,1.33,ok,61749.0,TCON,27.536231884057983,1.3649666666666667,84285.3267,2201343.0,0.038288138967893695
