t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,16.613999999999997,16.425,16.767,15.894,ok,1235.888888888889,THMO,,16.362,20221.613999999998,1235.888888888889,16.362
1652227200,16.425,15.659999999999998,16.425,14.625,ok,1825.8666666666663,THMO,,15.57,28428.743999999995,3061.7555555555555,9.28511224497202
1652313600,16.8705,16.2,16.8705,13.968,ok,1034.6888888888889,THMO,,15.679499999999999,16223.404433333331,4096.444444444444,3.960362371161983
1652400000,15.975,16.263,17.1675,14.9445,ok,2147.0222222222224,THMO,,16.125,34620.73333333334,6243.466666666667,5.5451138256524155
1652659200,16.38,17.325,18.0,15.39,ok,968.0888888888888,THMO,,16.905,16365.542666666666,7211.555555555556,2.2693498705780843
1652745600,18.9,17.1,18.9,17.1,ok,1268.7777777777778,THMO,,17.7,22457.366666666665,8480.333333333334,2.6481702763256156
1652832000,17.019,17.4825,18.81,16.65,ok,953.6,THMO,,17.647499999999997,16828.656,9433.933333333334,1.7838430064518862
1652918400,18.0,17.108999999999998,18.45,16.2,ok,2756.688888888889,THMO,,17.253,47561.1534,12190.622222222224,3.9014541286744997
1653004800,18.0,15.525,18.45,15.322500000000002,ok,1164.5555555555557,THMO,,16.4325,19136.55916666667,13355.177777777779,1.4328943788759416
1653264000,15.749999999999998,15.975,17.892,15.749999999999998,ok,1065.8,THMO,,16.538999999999998,17627.2662,14420.977777777778,1.2223350227446435
1653350400,15.93,17.001,17.865000000000002,14.931,ok,1025.2888888888888,THMO,,16.599,17018.770266666666,15446.266666666666,1.1018047683582657
1653436800,17.55,16.2675,17.55,15.399,ok,899.2888888888889,THMO,,16.4055,14753.283866666667,16345.555555555555,0.902586872408402
1653523200,16.2,15.525,17.37,15.525,ok,991.0,THMO,,16.14,15994.74,17336.555555555555,0.9226019522011935
1653609600,15.525,16.101,17.1,14.931,ok,1012.7111111111112,THMO,48.09926082365364,16.044,16247.93706666667,18349.266666666666,0.8854815487630752
1653955200,18.45,16.515,18.45,16.2135,ok,938.4,THMO,50.50352467270896,17.0595,16008.6348,19287.666666666668,0.8299933359832707
1654041600,15.921,17.320500000000003,17.9955,15.921,ok,1205.4,THMO,59.2481203007519,17.079,20587.0266,20493.06666666667,1.004584962068472
1654128000,17.145,19.35,20.52,17.145,ok,4515.8,THMO,65.04729148753225,19.005,85822.779,25008.86666666667,3.431694052509376
1654214400,19.8,18.0,19.8,17.46,ok,1281.088888888889,THMO,57.38897396630934,18.42,23597.657333333336,26289.955555555556,0.8975921348922445
1654473600,17.2125,16.56,17.4555,16.515,ok,4069.688888888889,THMO,46.84718100890208,16.843500000000002,68547.80480000001,30359.644444444446,2.257859275178161
1654560000,16.875,16.398,18.4455,16.2,ok,996.5555555555557,THMO,47.09172259507829,17.014499999999998,16955.8945,31356.2,0.5407509360190329
1654646400,16.2,15.741,17.46,15.48,ok,1354.6,THMO,42.94567991250455,16.227,21981.0942,32710.8,0.6719827763307531
1654732800,16.848,16.1955,16.848,13.446,ok,2560.7555555555555,THMO,46.32379572618617,15.496499999999997,39682.74846666666,35271.555555555555,1.1250637473066114
1654819200,15.111,15.2055,16.209,15.1065,ok,735.7777777777778,THMO,48.64967668314949,15.507,11409.706,36007.333333333336,0.3168717298328118
1655078400,15.137999999999998,14.620500000000002,15.749999999999998,13.761,ok,3622.6222222222223,THMO,44.339977435126,14.710499999999998,53290.58419999999,39629.955555555556,1.3447046168218426
1655164800,15.4035,13.868999999999998,15.7455,13.68,ok,1664.3777777777775,THMO,36.60508083140877,14.4315,24019.467899999996,41294.333333333336,0.5816649879321617
1655251200,15.12,16.65,17.685000000000002,15.12,ok,81322.6888888889,THMO,51.39207337045529,16.485,1340604.5263333335,122617.02222222224,10.933266050970628
1655337600,17.1,16.2,17.145,15.749999999999998,ok,34626.95555555556,THMO,52.51004016064257,16.365,566670.1276666668,157243.9777777778,3.603763626912969
1655424000,16.65,15.4845,16.875,14.985,ok,2296.2,THMO,47.73103676714145,15.7815,36237.480299999996,159540.1777777778,0.227137018428517
1655769600,16.2,15.525,17.1315,15.3,ok,22868.555555555555,THMO,46.25340599455041,15.9855,365565.29483333335,182408.73333333337,2.004099738828294
1655856000,15.345,14.4,15.525,13.95,ok,5315.977777777778,THMO,39.20851346857332,14.625,77746.175,187724.71111111116,0.4141499248545032
1655942400,14.355,13.491,14.4,13.4235,ok,7463.466666666666,THMO,26.395939086294405,13.771500000000001,102783.1312,195188.17777777783,0.5265848186616037
1656028800,13.5,13.14,13.95,12.735,ok,6595.177777777778,THMO,28.706624605678243,13.275,87550.985,201783.3555555556,0.43388605942721176
1656288000,13.95,12.699,13.95,12.1815,ok,11417.777777777776,THMO,31.460674157303373,12.9435,147786.00666666665,213201.1333333334,0.6931764590369592
1656374400,13.5,12.6,13.5,12.6,ok,22232.222222222223,THMO,31.652173913043484,12.9,286795.6666666667,235433.3555555556,1.2181607231902662
1656460800,12.915,12.6,13.95,12.145499999999998,ok,173810.0,THMO,33.79758588672237,12.898499999999999,2241888.2849999997,409243.3555555556,5.478129955113367
1656547200,13.05,12.4155,16.2,11.655,ok,297468.86666666664,THMO,29.94269340974212,13.423499999999999,3993073.3316999995,706712.2222222222,5.650211226210259
1656633600,11.7945,10.7955,12.15,9.198,ok,56326.688888888886,THMO,28.06624888093107,10.714500000000001,603512.3081,763038.9111111112,0.790932545263237
1656979200,10.5795,10.395,11.25,9.0585,ok,49022.95555555556,THMO,28.590971272229808,10.2345,501725.4386333334,812061.8666666667,0.6178413975930243
1657065600,10.89,13.599,22.779,10.395,ok,1356562.5555555555,THMO,48.90430971512053,15.591,21150166.803666666,2168624.422222222,9.752803015099207
