t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.12,1.16,1.19,1.0877,ok,198895.0,TRIB,,1.1459,227913.7805,198895.0,1.1459
1652227200,1.12,1.13,1.18,1.1,ok,40559.0,TRIB,,1.1366666666666667,46102.06333333333,239454.0,0.19252993616032027
1652313600,1.18,1.15,1.19,1.1101,ok,48512.0,TRIB,,1.1500333333333332,55790.41706666666,287966.0,0.1937395979617964
1652400000,1.15,1.17,1.1865,1.15,ok,127198.0,TRIB,,1.1688333333333334,148673.26233333335,415164.0,0.3581073077948313
1652659200,1.17,1.18,1.2199,1.17,ok,80434.0,TRIB,,1.1899666666666666,95713.77886666666,495598.0,0.19312785537202867
1652745600,1.2176,1.21,1.27,1.19,ok,58016.0,TRIB,,1.2233333333333334,70972.90666666668,553614.0,0.12819926278357607
1652832000,1.21,1.2,1.26,1.19,ok,32042.0,TRIB,,1.2166666666666668,38984.433333333334,585656.0,0.06656541268822198
1652918400,1.19,1.22,1.22,1.16,ok,35513.0,TRIB,,1.2,42615.6,621169.0,0.068605484175804
1653004800,1.3,1.26,1.3,1.15,ok,215239.0,TRIB,,1.2366666666666666,266178.89666666667,836408.0,0.31824049586645115
1653264000,1.33,1.24,1.3395,1.22,ok,74154.0,TRIB,,1.2665,93916.041,910562.0,0.10314074275008181
1653350400,1.24,1.29,1.34,1.23,ok,95427.0,TRIB,,1.2866666666666668,122782.74000000002,1005989.0,0.12205177193786415
1653436800,1.33,1.31,1.33,1.24,ok,43085.0,TRIB,,1.2933333333333334,55723.26666666667,1049074.0,0.053116621579284845
1653523200,1.25,1.38,1.4199,1.24,ok,98151.0,TRIB,,1.3466333333333331,132173.40829999998,1147225.0,0.11521140866002744
1653609600,1.45,1.38,1.45,1.35,ok,93402.0,TRIB,82.35294117647058,1.3933333333333333,130140.12,1240627.0,0.10489866817343166
1653955200,1.38,1.42,1.4699,1.34,ok,67514.0,TRIB,84.21052631578947,1.4099666666666666,95192.48953333333,1308141.0,0.07276928827498971
1654041600,1.4,1.35,1.4299,1.35,ok,37748.0,TRIB,76.19047619047622,1.3766333333333334,51965.155066666666,1345889.0,0.038610282918328825
