t,o,c,h,l,s,v,Ticker,RSI
1652140800,4.98,4.65,4.995,4.5735,ok,137523.0,VANI,
1652227200,4.5,4.71,4.83,4.5,ok,118167.0,VANI,
1652313600,4.68,4.26,4.68,4.199999999999999,ok,126745.66666666669,VANI,
1652400000,4.32,4.41,4.41,4.29,ok,74971.0,VANI,
1652659200,4.41,4.44,4.68,4.41,ok,55517.66666666666,VANI,
1652745600,4.53,4.71,4.71,4.4703,ok,56558.0,VANI,
1652832000,4.71,5.25,5.28,4.41,ok,320700.0,VANI,
1652918400,5.22,5.550000000000001,5.58,5.13,ok,166502.0,VANI,
1653004800,5.61,6.0,6.029999999999999,5.4003,ok,202086.0,VANI,
1653264000,6.300000000000001,6.029999999999999,6.300000000000001,5.64,ok,371074.0,VANI,
1653350400,6.0,6.029999999999999,6.029999999999999,5.82,ok,68457.66666666667,VANI,
1653436800,6.029999999999999,5.34,6.029999999999999,5.34,ok,98433.0,VANI,
1653523200,5.64,6.36,6.449999999999999,5.595,ok,234182.66666666663,VANI,
1653609600,6.18,6.525,6.540000000000001,6.0600000000000005,ok,115586.0,VANI,72.56317689530687
1653955200,6.57,7.050000000000001,7.199999999999999,6.4803,ok,180027.0,VANI,75.64102564102565
1654041600,7.02,6.87,7.17,6.63,ok,152621.0,VANI,72.5
1654128000,6.87,7.050000000000001,7.14,6.84,ok,74556.66666666667,VANI,80.79470198675497
1654214400,7.17,7.709999999999999,7.83,7.034400000000001,ok,246048.0,VANI,82.73809523809523
1654473600,7.800000000000001,7.439999999999999,8.100000000000001,7.23,ok,145611.66666666666,VANI,78.40909090909089
1654560000,7.41,7.23,7.62,7.050000000000001,ok,112616.66666666669,VANI,74.13793103448278
1654646400,7.14,7.38,7.89,7.08,ok,131561.0,VANI,72.0496894409938
1654732800,7.35,7.11,7.38,7.08,ok,47060.0,VANI,66.25
1654819200,6.885,6.66,7.050000000000001,6.6000000000000005,ok,92005.66666666669,VANI,56.87500000000001
1655078400,6.33,6.18,6.449999999999999,6.0,ok,128752.0,VANI,51.42857142857142
1655164800,6.209999999999999,6.0,6.36,6.0,ok,59017.66666666666,VANI,49.723756906077355
1655251200,6.09,6.42,6.6000000000000005,6.09,ok,101311.0,VANI,60.465116279069775
1655337600,6.449999999999999,6.15,6.456,6.0600000000000005,ok,83992.66666666667,VANI,47.61904761904762
1655424000,6.15,6.36,6.57,6.12,ok,62995.0,VANI,48.148148148148145
1655769600,6.36,6.48,6.8997,6.36,ok,72127.0,VANI,42.962962962962955
1655856000,6.42,6.57,6.779999999999999,6.39,ok,76799.66666666667,VANI,46.21212121212121
