t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,6.92,6.84,6.93,6.6401,ok,114748.0,VOC,,6.803366666666666,780672.7182666666,114748.0,6.803366666666666
1652227200,6.82,7.05,7.35,6.753,ok,178166.0,VOC,,7.050999999999999,1256248.4659999998,292914.0,4.2887962541906495
1652313600,7.05,6.76,7.268,6.66,ok,118117.0,VOC,,6.896000000000001,814534.832,411031.0,1.9816871038924073
1652400000,7.17,7.1,7.3,6.9901,ok,205451.0,VOC,,7.130033333333333,1464872.4783666665,616482.0,2.3761804535520366
1652659200,7.17,7.43,7.4699,7.1315,ok,125515.0,VOC,,7.343799999999999,921757.0569999999,741997.0,1.2422652072717273
1652745600,7.58,7.54,7.78,7.48,ok,136465.0,VOC,,7.6000000000000005,1037134.0000000001,878462.0,1.1806247737523081
1652832000,7.6,7.3,7.6,7.12,ok,132752.0,VOC,,7.34,974399.6799999999,1011214.0,0.9635939375839337
1652918400,7.22,7.13,7.22,6.95,ok,82596.0,VOC,,7.1000000000000005,586431.6000000001,1093810.0,0.5361366233623757
1653004800,7.19,7.2,7.2,7.11,ok,94966.0,VOC,,7.170000000000001,680906.2200000001,1188776.0,0.5727792452068347
1653264000,7.23,7.07,7.25,7.05,ok,152482.0,VOC,,7.123333333333334,1086180.1133333335,1341258.0,0.8098219084869082
1653350400,7.07,7.18,7.2,6.9778,ok,83658.0,VOC,,7.119266666666667,595583.6108,1424916.0,0.4179780497938124
1653436800,7.19,7.39,7.45,7.12,ok,222344.0,VOC,,7.32,1627558.08,1647260.0,0.9880395808797641
1653523200,7.47,7.45,7.6999,7.3501,ok,170056.0,VOC,,7.5,1275420.0,1817316.0,0.7018152044003354
1653609600,7.44,7.41,7.45,7.35,ok,108886.0,VOC,62.33766233766234,7.403333333333333,806119.3533333333,1926202.0,0.4185019812736843
1653955200,7.67,7.78,7.94,7.58,ok,328845.0,VOC,67.53731343283582,7.766666666666667,2554029.5,2255047.0,1.1325837111155554
1654041600,7.93,8.04,8.15,7.86,ok,507253.0,VOC,68.13186813186812,8.016666666666667,4066478.2166666673,2762300.0,1.4721348936272916
1654128000,8.07,7.89,8.15,7.85,ok,249013.0,VOC,71.81467181467183,7.963333333333334,1982973.5233333334,3011313.0,0.6585079409989375
1654214400,7.92,8.15,8.15,7.845,ok,212346.0,VOC,70.9163346613546,8.048333333333334,1709031.3900000001,3223659.0,0.5301526588265074
1654473600,8.15,8.15,8.15,7.9796,ok,172627.0,VOC,66.51376146788992,8.093200000000001,1397104.8364000001,3396286.0,0.4113625402572104
1654560000,8.13,8.32,8.81,8.05,ok,657723.0,VOC,67.4107142857143,8.393333333333333,5520488.38,4054009.0,1.3617356004883068
1654646400,8.42,8.68,8.86,8.41,ok,321152.0,VOC,79.23728813559323,8.65,2777964.8000000003,4375161.0,0.634940017064515
1654732800,8.6,8.64,8.79,8.5,ok,164431.0,VOC,83.85650224215252,8.643333333333333,1421231.9433333331,4539592.0,0.3130748189117729
1654819200,8.64,8.3,8.64,8.2001,ok,178031.0,VOC,72.00000000000003,8.380033333333333,1491905.7143666667,4717623.0,0.3162409786383242
1655078400,8.03,7.47,8.04,7.22,ok,362167.0,VOC,56.25,7.576666666666665,2744018.6366666663,5079790.0,0.5401834793695539
1655164800,7.51,7.59,7.82,7.5,ok,181904.0,VOC,56.386292834890966,7.636666666666667,1389140.2133333334,5261694.0,0.2640100722948414
1655251200,7.6,7.68,7.82,7.43,ok,167968.0,VOC,54.69255663430421,7.6433333333333335,1283835.4133333333,5429662.0,0.23644849593461495
1655337600,7.5,6.93,7.5966,6.85,ok,415365.0,VOC,43.12169312169311,7.125533333333333,2959697.153,5845027.0,0.5063615878934349
1655424000,6.96,6.62,7.01,6.37,ok,334546.0,VOC,40.24691358024691,6.666666666666667,2230306.666666667,6179573.0,0.3609159834614248
1655769600,6.59,6.94,7.05,6.57,ok,169336.0,VOC,39.49999999999999,6.853333333333334,1160516.0533333335,6348909.0,0.18278983890513054
1655856000,6.58,6.82,6.93,6.41,ok,323608.0,VOC,34.19689119170987,6.72,2174645.76,6672517.0,0.3259108609239961
1655942400,6.85,6.21,6.8796,6.11,ok,265844.0,VOC,30.55555555555556,6.399866666666667,1701366.1541333334,6938361.0,0.24521153542361565
1656028800,6.39,6.23,6.6199,6.1356,ok,138407.0,VOC,26.47058823529412,6.328500000000001,875908.6995000001,7076768.0,0.12377241976845929
1656288000,6.41,6.56,6.58,6.29,ok,148747.0,VOC,31.97278911564625,6.476666666666667,963384.7366666667,7225515.0,0.13333094411494084
1656374400,6.74,6.69,6.8985,6.56,ok,112339.0,VOC,31.35011441647597,6.716166666666667,754487.4471666667,7337854.0,0.10282126724879873
1656460800,6.7,6.55,6.77,6.3706,ok,76305.0,VOC,24.33734939759036,6.563533333333333,500830.41099999996,7414159.0,0.06755053553612755
1656547200,6.53,6.49,6.59,6.2701,ok,134609.0,VOC,24.220623501199043,6.450033333333333,868232.5369666666,7548768.0,0.11501645526351673
1656633600,6.53,6.81,6.82,6.5,ok,105597.0,VOC,32.04819277108433,6.71,708555.87,7654365.0,0.09256886364838886
1656979200,6.83,6.44,6.8499,6.28,ok,200562.0,VOC,36.04336043360434,6.5233,1308326.0946,7854927.0,0.1665612035095934
1657065600,6.42,6.12,6.54,5.75,ok,288068.0,VOC,31.105398457583547,6.136666666666667,1767777.2933333335,8142995.0,0.21709178175024466
1657152000,6.19,6.48,6.56,6.1708,ok,150576.0,VOC,35.57692307692308,6.4036,964228.4736,8293571.0,0.11626215940033552
1657238400,6.52,6.77,6.8075,6.52,ok,115558.0,VOC,47.83783783783783,6.699166666666667,774142.3016666666,8409129.0,0.09205974859782347
