t,o,c,h,l,s,v,Ticker
1652140800,6.16,6.04,6.39,5.8,ok,246108,VRCA
1652227200,6.07,5.65,6.15,5.5,ok,256702,VRCA
1652313600,5.59,5.42,5.7793,5.2,ok,242455,VRCA
1652400000,5.5,5.66,5.71,5.43,ok,142345,VRCA
1652659200,5.71,6.05,6.2,5.7,ok,185006,VRCA
1652745600,6.28,6.3,6.43,6.05,ok,194529,VRCA
1652832000,6.3,6.095,6.364,6.09,ok,259591,VRCA
1652918400,6.1,5.92,6.16,5.88,ok,195495,VRCA
1653004800,6.05,5.94,6.12,5.82,ok,330690,VRCA
1653264000,5.95,6.3,6.515,5.95,ok,534738,VRCA
1653350400,6.24,5.56,6.25,5.45,ok,777066,VRCA
1653436800,2.61,2.01,2.76,1.88,ok,6727405,VRCA
1653523200,1.8,1.955,2.1,1.8,ok,2791707,VRCA
1653609600,2.2,2.0,2.2,1.95,ok,916646,VRCA
1653955200,1.97,1.93,2.06,1.89,ok,513134,VRCA
1654041600,1.94,1.81,1.94,1.77,ok,442425,VRCA
1654128000,1.82,1.95,1.95,1.78,ok,398892,VRCA
1654214400,1.97,2.27,2.29,1.97,ok,910223,VRCA
1654473600,2.26,2.29,2.36,2.17,ok,353087,VRCA
1654560000,2.26,2.5,2.52,2.19,ok,439948,VRCA
1654646400,2.47,2.27,2.52,2.26,ok,254897,VRCA
1654732800,2.23,2.15,2.32,2.135,ok,169320,VRCA
1654819200,2.14,2.1,2.1407,1.98,ok,275535,VRCA
1655078400,2.02,2.08,2.14,2.0,ok,181400,VRCA
1655164800,2.09,2.1,2.115,2.01,ok,153862,VRCA
1655251200,2.1,2.22,2.2686,2.08,ok,144319,VRCA
1655337600,2.22,2.07,2.22,2.04,ok,174415,VRCA
1655424000,2.09,2.25,2.31,2.08,ok,321950,VRCA
1655769600,2.25,2.17,2.28,2.15,ok,165622,VRCA
1655856000,2.14,2.08,2.28,2.06,ok,178469,VRCA
1655942400,2.03,2.25,2.28,2.03,ok,251741,VRCA
1656028800,2.26,2.11,2.41,2.1,ok,1657211,VRCA
1656288000,2.09,2.18,2.26,2.05,ok,257103,VRCA
1656374400,2.37,2.33,2.37,2.1591,ok,213857,VRCA
