t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.43,1.5356,1.58,1.42,ok,160803.0,WLMS,
1652227200,1.5,1.5,1.5684,1.4815,ok,42703.0,WLMS,
1652313600,1.5,1.39,1.5,1.37,ok,255730.0,WLMS,
1652400000,1.45,1.44,1.61,1.43,ok,137414.0,WLMS,
1652659200,1.49,1.37,1.49,1.35,ok,75070.0,WLMS,
1652745600,1.39,1.485,1.5,1.38,ok,49386.0,WLMS,
1652832000,1.5,1.5,1.54,1.47,ok,159307.0,WLMS,
1652918400,1.545,1.56,1.56,1.52,ok,38360.0,WLMS,
1653004800,1.59,1.6,1.6473,1.5771,ok,34612.0,WLMS,
1653264000,1.61,1.76,1.77,1.6,ok,117210.0,WLMS,
1653350400,1.76,1.67,1.76,1.6302,ok,55154.0,WLMS,
1653436800,1.63,1.69,1.76,1.63,ok,16890.0,WLMS,
1653523200,1.69,1.57,1.757,1.57,ok,71326.0,WLMS,
1653609600,1.6,1.5901,1.6599,1.59,ok,30177.0,WLMS,53.00872253505576
1653955200,1.62,1.67,1.6984,1.6001,ok,48219.0,WLMS,56.81818181818181
1654041600,1.7,1.591,1.7,1.58,ok,43852.0,WLMS,54.42176870748299
1654128000,1.65,1.68,1.7,1.6201,ok,40277.0,WLMS,64.38492063492063
1654214400,1.64,1.655,1.655,1.62,ok,17792.0,WLMS,60.935910478128186
1654473600,1.6301,1.6138,1.72,1.585,ok,24246.0,WLMS,62.7750995598407
1654560000,1.58,1.66,1.74,1.58,ok,63334.0,WLMS,59.882538965439345
1654646400,1.6868,1.64,1.69,1.62,ok,51486.0,WLMS,57.86163522012578
1654732800,1.62,1.5819,1.62,1.58,ok,39281.0,WLMS,51.232414181204284
1654819200,1.58,1.57,1.5931,1.56,ok,42026.0,WLMS,48.256624825662485
1655078400,1.56,1.53,1.57,1.52,ok,64181.0,WLMS,34.46785521339815
1655164800,1.54,1.52,1.555,1.52,ok,27099.0,WLMS,38.64324651726227
1655251200,1.57,1.52,1.57,1.5,ok,25373.0,WLMS,36.72704559650218
1655337600,1.47,1.4,1.51,1.37,ok,160213.0,WLMS,36.72704559650217
1655424000,1.44,1.38,1.47,1.36,ok,53298.0,WLMS,33.59362798688113
