date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-09,4.44,4.53,4.38,4.42,4.42,504926,0.0000,1.0,BZUN
2023-05-08,4.75,4.75,4.53,4.63,4.63,300588,0.0000,1.0,BZUN
2023-05-05,4.65,4.69,4.565,4.63,4.63,335457,0.0000,1.0,BZUN
2023-05-04,4.5,4.58,4.45,4.55,4.55,264937,0.0000,1.0,BZUN
2023-05-03,4.35,4.51,4.25,4.41,4.41,344685,0.0000,1.0,BZUN
2023-05-02,4.58,4.58,4.23,4.36,4.36,496265,0.0000,1.0,BZUN
2023-05-01,4.56,4.7,4.56,4.68,4.68,177134,0.0000,1.0,BZUN
2023-04-28,4.49,4.675,4.44,4.63,4.63,387268,0.0000,1.0,BZUN
2023-04-27,4.4,4.55,4.36,4.52,4.52,295090,0.0000,1.0,BZUN
2023-04-26,4.49,4.49,4.285,4.38,4.38,342608,0.0000,1.0,BZUN
2023-04-25,4.45,4.47,4.26,4.28,4.28,1450510,0.0000,1.0,BZUN
2023-04-24,4.78,4.78,4.485,4.49,4.49,514422,0.0000,1.0,BZUN
2023-04-21,4.75,4.82,4.74,4.77,4.77,332021,0.0000,1.0,BZUN
2023-04-20,4.83,5.0,4.75,4.81,4.81,339811,0.0000,1.0,BZUN
2023-04-19,4.8,4.9,4.75,4.87,4.87,347964,0.0000,1.0,BZUN
2023-04-18,4.91,4.94,4.82,4.92,4.92,361153,0.0000,1.0,BZUN
2023-04-17,4.9,4.92,4.8,4.89,4.89,344366,0.0000,1.0,BZUN
2023-04-14,5.02,5.085,4.75,4.79,4.79,609721,0.0000,1.0,BZUN
2023-04-13,5.13,5.2,5.02,5.06,5.06,496545,0.0000,1.0,BZUN
2023-04-12,5.21,5.275,5.01,5.02,5.02,639019,0.0000,1.0,BZUN
2023-04-11,5.34,5.3701,5.24,5.25,5.25,247549,0.0000,1.0,BZUN
2023-04-10,5.16,5.27,5.135,5.215,5.215,203238,0.0000,1.0,BZUN
2023-04-06,5.19,5.285,5.11,5.25,5.25,256272,0.0000,1.0,BZUN
2023-04-05,5.29,5.3,5.11,5.17,5.17,400874,0.0000,1.0,BZUN
2023-04-04,5.42,5.495,5.205,5.35,5.35,340576,0.0000,1.0,BZUN
2023-04-03,6.0,6.1,5.335,5.44,5.44,733784,0.0000,1.0,BZUN
2023-03-31,5.67,6.04,5.63,6.02,6.02,1046154,0.0000,1.0,BZUN
2023-03-30,5.61,5.75,5.46,5.71,5.71,440225,0.0000,1.0,BZUN
2023-03-29,5.22,5.47,5.18,5.46,5.46,304989,0.0000,1.0,BZUN
2023-03-28,5.15,5.28,5.07,5.25,5.25,430578,0.0000,1.0,BZUN
2023-03-27,5.13,5.162,5.01,5.03,5.03,545020,0.0000,1.0,BZUN
2023-03-24,5.34,5.47,5.17,5.22,5.22,430255,0.0000,1.0,BZUN
2023-03-23,5.41,5.65,5.26,5.51,5.51,646878,0.0000,1.0,BZUN
2023-03-22,5.26,5.54,4.92,5.2,5.2,956766,0.0000,1.0,BZUN
2023-03-21,5.58,5.77,5.5,5.74,5.74,421874,0.0000,1.0,BZUN
2023-03-20,5.47,5.59,5.36,5.43,5.43,276349,0.0000,1.0,BZUN
2023-03-17,5.79,5.81,5.553,5.66,5.66,225991,0.0000,1.0,BZUN
2023-03-16,5.47,5.69,5.3319,5.67,5.67,318452,0.0000,1.0,BZUN
2023-03-15,5.36,5.5,5.19,5.48,5.48,379840,0.0000,1.0,BZUN
2023-03-14,5.33,5.55,5.22,5.47,5.47,406569,0.0000,1.0,BZUN
2023-03-13,5.28,5.42,5.18,5.38,5.38,1248801,0.0000,1.0,BZUN
2023-03-10,5.4,5.53,5.3,5.4,5.4,516835,0.0000,1.0,BZUN
2023-03-09,5.77,5.87,5.46,5.49,5.49,909146,0.0000,1.0,BZUN
2023-03-08,6.18,6.42,5.91,5.94,5.94,324391,0.0000,1.0,BZUN
2023-03-07,6.27,6.43,6.22,6.25,6.25,552309,0.0000,1.0,BZUN
2023-03-06,6.5,6.6,6.25,6.26,6.26,384172,0.0000,1.0,BZUN
2023-03-03,6.64,6.6825,6.5,6.55,6.55,584717,0.0000,1.0,BZUN
2023-03-02,6.31,6.54,6.31,6.52,6.52,336335,0.0000,1.0,BZUN
2023-03-01,6.82,6.96,6.3954,6.49,6.49,400430,0.0000,1.0,BZUN
2023-02-28,6.22,6.37,6.18,6.29,6.29,272646,0.0000,1.0,BZUN
2023-02-27,6.48,6.57,6.23,6.26,6.26,478165,0.0000,1.0,BZUN
2023-02-24,6.18,6.25,5.98,6.04,6.04,407369,0.0000,1.0,BZUN
2023-02-23,6.76,6.76,6.32,6.43,6.43,482977,0.0000,1.0,BZUN
2023-02-22,6.35,6.5935,6.33,6.47,6.47,989120,0.0000,1.0,BZUN
2023-02-21,6.49,6.57,6.25,6.4,6.4,438500,0.0000,1.0,BZUN
2023-02-17,6.8,6.82,6.61,6.7,6.7,525350,0.0000,1.0,BZUN
2023-02-16,7.19,7.28,6.91,6.96,6.96,439014,0.0000,1.0,BZUN
2023-02-15,6.85,7.2,6.835,7.19,7.19,2134970,0.0000,1.0,BZUN
2023-02-14,6.99,7.16,6.89,7.03,7.03,530019,0.0000,1.0,BZUN
2023-02-13,6.95,7.36,6.855,7.25,7.25,601250,0.0000,1.0,BZUN
2023-02-10,7.02,7.055,6.7006,6.9,6.9,1221340,0.0000,1.0,BZUN
2023-02-09,7.76,7.76,7.25,7.28,7.28,601453,0.0000,1.0,BZUN
2023-02-08,7.49,7.55,7.17,7.23,7.23,492673,0.0000,1.0,BZUN
2023-02-07,7.51,7.6585,7.26,7.5,7.5,722841,0.0000,1.0,BZUN
2023-02-06,7.61,7.6585,7.34,7.43,7.43,713729,0.0000,1.0,BZUN
2023-02-03,8.08,8.28,7.75,7.83,7.83,640979,0.0000,1.0,BZUN
2023-02-02,8.28,8.53,8.175,8.34,8.34,975596,0.0000,1.0,BZUN
2023-02-01,7.73,8.6199,7.73,8.21,8.21,1420812,0.0000,1.0,BZUN
2023-01-31,7.37,7.61,7.27,7.61,7.61,784382,0.0000,1.0,BZUN
2023-01-30,7.67,7.865,7.35,7.4,7.4,1022055,0.0000,1.0,BZUN
2023-01-27,8.16,8.305,8.06,8.13,8.13,391223,0.0000,1.0,BZUN
2023-01-26,8.03,8.21,7.87,8.18,8.18,612761,0.0000,1.0,BZUN
2023-01-25,7.81,7.84,7.54,7.81,7.81,346301,0.0000,1.0,BZUN
2023-01-24,7.95,8.07,7.835,7.89,7.89,489070,0.0000,1.0,BZUN
