1. open,2. high,3. low,4. close,5. adjusted close,6. volume,ticker
6.45,6.63,6.21,6.5,6.5,233054,EYPT
6.54,6.845,6.39,6.47,6.47,308964,EYPT
7.14,7.47,6.38,6.54,6.54,431405,EYPT
7.79,7.79,6.67,6.78,6.78,559168,EYPT
7.38,8.3399,7.022,7.9,7.9,1149487,EYPT
6.59,7.08,6.45,6.49,6.49,564073,EYPT
6.29,6.96,6.2,6.64,6.64,781680,EYPT
6.32,6.56,5.8906,6.28,6.28,738202,EYPT
7.5,7.6818,6.25,6.265,6.265,1064011,EYPT
6.99,8.97,6.82,7.665,7.665,3671688,EYPT
7.25,7.6599,6.69,6.88,6.88,1353503,EYPT
8.31,8.39,6.2601,7.76,7.76,3665306,EYPT
6.04,10.41,6.04,9.0,9.0,22622873,EYPT
5.38,5.87,5.32,5.68,5.68,726018,EYPT
4.81,5.48,4.73,5.39,5.39,587996,EYPT
4.89,5.02,4.445,4.92,4.92,500184,EYPT
4.48,4.87,4.22,4.85,4.85,632393,EYPT
3.89,4.39,3.7119,4.33,4.33,931264,EYPT
3.37,3.9,3.36,3.87,3.87,283173,EYPT
3.45,3.62,3.32,3.35,3.35,232923,EYPT
3.33,3.5,3.26,3.4,3.4,138771,EYPT
3.25,3.37,3.22,3.32,3.32,227637,EYPT
3.02,3.35,2.95,3.26,3.26,220442,EYPT
3.25,3.26,2.93,3.025,3.025,214479,EYPT
3.15,3.38,3.1,3.245,3.245,219597,EYPT
2.93,3.21,2.87,3.15,3.15,283947,EYPT
3.2,3.3,2.89,2.94,2.94,291377,EYPT
3.47,3.5,3.0101,3.2,3.2,439724,EYPT
2.93,3.48,2.89,3.4,3.4,587370,EYPT
2.85,3.02,2.72,2.85,2.85,334577,EYPT
2.35,2.9185,2.2808,2.83,2.83,816193,EYPT
2.32,2.44,2.21,2.28,2.28,250134,EYPT
2.42,2.49,2.28,2.33,2.33,188569,EYPT
2.58,2.63,2.38,2.39,2.39,233793,EYPT
2.49,2.6,2.44,2.545,2.545,185849,EYPT
2.37,2.44,2.3086,2.43,2.43,167307,EYPT
2.36,2.4699,2.29,2.35,2.35,393548,EYPT
2.38,2.4,2.25,2.37,2.37,315536,EYPT
2.44,2.47,2.28,2.39,2.39,279939,EYPT
2.65,2.65,2.46,2.52,2.52,208479,EYPT
2.4,2.64,2.35,2.57,2.57,358434,EYPT
2.71,3.1,2.4001,2.42,2.42,680460,EYPT
2.87,2.92,2.65,2.69,2.69,463193,EYPT
3.17,3.3199,2.82,2.825,2.825,278628,EYPT
3.25,3.27,3.11,3.14,3.14,124770,EYPT
3.3,3.38,3.19,3.24,3.24,233181,EYPT
2.95,3.315,2.865,3.26,3.26,330805,EYPT
3.5,3.5,2.8,2.89,2.89,386785,EYPT
3.36,3.4,3.1,3.17,3.17,308784,EYPT
3.34,3.48,3.3,3.34,3.34,182456,EYPT
3.32,3.3901,3.29,3.37,3.37,84759,EYPT
3.45,3.48,3.25,3.28,3.28,156592,EYPT
3.74,3.76,3.44,3.5,3.5,115686,EYPT
3.58,3.7399,3.5,3.71,3.71,145908,EYPT
3.45,3.7,3.42,3.54,3.54,217123,EYPT
3.58,3.58,3.435,3.45,3.45,286458,EYPT
3.89,3.945,3.55,3.555,3.555,140358,EYPT
3.8,4.02,3.455,3.7,3.7,357272,EYPT
4.08,4.08,3.72,3.86,3.86,225182,EYPT
4.07,4.23,3.96,4.08,4.08,193346,EYPT
4.16,4.28,4.02,4.06,4.06,146630,EYPT
4.2,4.295,4.11,4.17,4.17,151548,EYPT
4.5,4.68,4.17,4.18,4.18,140748,EYPT
4.6,4.7,4.47,4.54,4.54,196141,EYPT
4.62,4.95,4.52,4.59,4.59,167436,EYPT
4.77,4.8933,4.5801,4.64,4.64,157771,EYPT
4.76,5.07,4.66,4.89,4.89,165348,EYPT
4.71,4.89,4.55,4.75,4.75,220548,EYPT
4.56,4.69,4.46,4.66,4.66,191858,EYPT
4.68,4.83,4.53,4.56,4.56,144053,EYPT
4.48,4.76,4.44,4.73,4.73,98802,EYPT
4.84,4.86,4.38,4.49,4.49,259251,EYPT
4.48,4.9799,4.45,4.81,4.81,369894,EYPT
4.21,4.68,4.175,4.55,4.55,292552,EYPT
4.18,4.33,4.0702,4.22,4.22,163161,EYPT
4.22,4.35,4.03,4.21,4.21,186009,EYPT
4.2,4.24,3.9201,4.19,4.19,240630,EYPT
4.45,4.6999,4.2,4.21,4.21,330959,EYPT
5.26,5.26,4.31,4.49,4.49,747293,EYPT
5.06,5.8,4.93,5.04,5.04,1185694,EYPT
3.92,5.006,3.85,4.95,4.95,1796012,EYPT
3.31,3.84,3.26,3.8,3.8,662814,EYPT
3.29,3.4292,3.2,3.31,3.31,197751,EYPT
3.32,3.38,3.24,3.27,3.27,108515,EYPT
3.33,3.33,3.1,3.26,3.26,101365,EYPT
3.36,3.38,3.15,3.28,3.28,146810,EYPT
3.71,3.78,3.28,3.33,3.33,193841,EYPT
3.55,3.78,3.54,3.65,3.65,115172,EYPT
3.48,3.56,3.32,3.5,3.5,423164,EYPT
3.26,3.54,3.245,3.5,3.5,177087,EYPT
3.05,3.29,3.02,3.24,3.24,157670,EYPT
2.9,3.05,2.87,3.01,3.01,110930,EYPT
2.85,2.977,2.73,2.89,2.89,205438,EYPT
2.71,2.91,2.71,2.88,2.88,127474,EYPT
2.69,2.82,2.64,2.73,2.73,204895,EYPT
2.35,2.84,2.32,2.71,2.71,440925,EYPT
2.48,2.54,2.26,2.37,2.37,272104,EYPT
2.63,2.725,2.19,2.47,2.47,652972,EYPT
2.83,2.835,2.66,2.68,2.68,146702,EYPT
2.93,2.97,2.83,2.85,2.85,98993,EYPT
2.97,3.12,2.8601,2.93,2.93,177324,EYPT
2.9,2.99,2.84,2.9,2.9,83796,EYPT
3.01,3.06,2.82,2.91,2.91,224024,EYPT
3.05,3.2,2.99,3.03,3.03,95339,EYPT
3.16,3.16,3.03,3.05,3.05,46790,EYPT
3.31,3.31,3.09,3.14,3.14,70326,EYPT
3.38,3.4293,3.2,3.33,3.33,136444,EYPT
3.18,3.46,3.0887,3.39,3.39,124245,EYPT
3.2,3.24,3.09,3.2,3.2,123121,EYPT
3.2,3.23,2.97,3.2,3.2,288441,EYPT
3.2,3.31,3.15,3.18,3.18,118481,EYPT
3.34,3.4,3.16,3.2,3.2,132378,EYPT
