t,o,c,h,l,s,v,Ticker
1652140800,4.2475,4.0,4.2475,3.8125,ok,39220.96,ABEO
1652227200,3.895,3.4125,4.2475,3.2575,ok,145158.16,ABEO
1652313600,3.5749999999999997,3.9274999999999998,4.24,3.35,ok,156273.28,ABEO
1652400000,3.9699999999999998,4.047499999999999,4.2075000000000005,3.8074999999999997,ok,56063.28,ABEO
1652659200,4.2475,4.5,4.725,4.0024999999999995,ok,65201.68,ABEO
1652745600,5.4975000000000005,4.3725,5.6225,4.125,ok,103309.2,ABEO
1652832000,4.865,4.0649999999999995,4.865,4.0125,ok,34246.4,ABEO
1652918400,4.2,4.237500000000001,4.2725,4.095,ok,37804.04,ABEO
1653004800,4.25,3.9,4.5,3.8375,ok,46261.64,ABEO
1653264000,4.045,3.9125,4.17,3.8225000000000002,ok,35249.2,ABEO
1653350400,4.0,3.8175,4.1375,3.775,ok,40218.8,ABEO
1653436800,3.775,3.8324999999999996,3.9974999999999996,3.6824999999999997,ok,28027.72,ABEO
1653523200,4.095,3.8524999999999996,4.095,3.7624999999999997,ok,39427.28,ABEO
1653609600,3.8375,4.2,4.25,3.75,ok,45286.68,ABEO
1653955200,4.25,4.2075000000000005,4.49,4.0675,ok,25851.44,ABEO
1654041600,4.4875,3.8774999999999995,4.4875,3.8,ok,46912.56,ABEO
1654128000,4.075,3.875,4.1000000000000005,3.8625,ok,34585.12,ABEO
1654214400,4.0,3.9849999999999994,4.025,3.875,ok,28290.96,ABEO
1654473600,4.025,3.9425000000000003,4.0825,3.85,ok,20322.0,ABEO
1654560000,4.0,3.9175,4.085,3.8625,ok,29927.16,ABEO
1654646400,4.245,4.25,4.3999999999999995,3.9175,ok,39413.44,ABEO
1654732800,4.25,4.25,4.625,3.94,ok,136623.76,ABEO
1654819200,4.237500000000001,4.2475,4.5725,4.0,ok,91722.6,ABEO
1655078400,4.3625,3.9849999999999994,4.3625,3.85,ok,62731.76,ABEO
1655164800,4.0125,3.8850000000000002,4.117500000000001,3.85,ok,52825.48,ABEO
1655251200,3.875,4.0425,4.375,3.8,ok,97921.96,ABEO
1655337600,4.05,3.9050000000000002,4.05,3.7875,ok,43529.6,ABEO
1655424000,4.0625,4.0,4.25,3.7875,ok,63683.4,ABEO
1655769600,4.0375000000000005,4.19,4.375,4.0,ok,129568.12,ABEO
1655856000,4.375,4.3175,4.5,4.0024999999999995,ok,64545.6,ABEO
1655942400,4.205,4.6675,4.7475000000000005,4.075,ok,102907.76,ABEO
1656028800,4.6425,4.25,4.875,4.25,ok,68454.64,ABEO
1656288000,4.35,4.577500000000001,4.75,4.35,ok,56620.64,ABEO
1656374400,4.387499999999999,4.605,5.092499999999999,4.387499999999999,ok,112634.0,ABEO
1656460800,4.8075,5.0,5.33,4.5,ok,92403.76,ABEO
1656547200,5.0175,5.2,5.2,4.6875,ok,90231.64,ABEO
1656633600,5.045,4.79,5.125,4.625,ok,113255.04,ABEO
1656979200,3.76,4.08,4.55,3.7,ok,474873.0,ABEO
1657065600,3.97,3.8,4.18,3.75,ok,192573.0,ABEO
1657152000,3.84,4.52,4.84,3.8,ok,298193.0,ABEO
1657238400,4.44,5.49,5.63,4.4,ok,560423.0,ABEO
1657497600,5.63,5.56,6.1299,5.51,ok,363427.0,ABEO
1657584000,5.47,5.46,5.7401,5.1401,ok,447682.0,ABEO
1657670400,5.33,5.05,5.53,5.0,ok,134320.0,ABEO
1657756800,5.0,4.76,5.0018,4.75,ok,105433.0,ABEO
1657843200,4.76,4.85,5.0899,4.7301,ok,188359.0,ABEO
1658102400,5.0,4.7,5.0,4.65,ok,54876.0,ABEO
1658188800,4.72,4.86,4.91,4.7001,ok,78216.0,ABEO
1658275200,4.9,5.08,5.1499,4.8686,ok,120549.0,ABEO
1658361600,5.12,5.1,5.15,4.96,ok,59296.0,ABEO
1658448000,5.14,4.84,5.14,4.79,ok,55419.0,ABEO
1658707200,4.77,4.29,4.77,4.27,ok,85172.0,ABEO
1658793600,4.24,4.0,4.24,3.985,ok,56112.0,ABEO
1658880000,4.0,3.91,4.11,3.85,ok,85078.0,ABEO
1658966400,3.91,4.14,4.2699,3.91,ok,112339.0,ABEO
1659052800,4.09,3.96,4.185,3.9101,ok,99188.0,ABEO
1659312000,3.9,3.9,4.07,3.8101,ok,36148.0,ABEO
1659398400,3.9,3.91,4.2,3.831,ok,131369.0,ABEO
1659484800,3.95,4.01,4.2,3.95,ok,429740.0,ABEO
1659571200,4.26,4.26,4.8,4.25,ok,995197.0,ABEO
1659657600,4.2,4.2,4.4199,4.1,ok,488075.0,ABEO
1659916800,4.25,4.02,4.3899,3.97,ok,351899.0,ABEO
1660003200,4.0,3.95,4.0339,3.88,ok,163671.0,ABEO
1660089600,4.1,4.16,4.21,3.9,ok,267232.0,ABEO
1660176000,3.97,4.66,5.29,3.97,ok,1479239.0,ABEO
1660262400,4.62,4.43,4.99,4.38,ok,340110.0,ABEO
1660521600,4.5,4.65,4.7319,4.26,ok,135354.0,ABEO
1660608000,4.58,4.77,4.83,4.46,ok,172956.0,ABEO
1660694400,4.79,4.6,4.81,4.5,ok,79975.0,ABEO
1660780800,4.61,4.36,4.61,4.23,ok,111531.0,ABEO
1660867200,4.37,4.05,4.41,4.02,ok,131477.0,ABEO
1661126400,4.03,4.01,4.11,3.88,ok,96385.0,ABEO
1661212800,4.01,4.1,4.2331,4.0,ok,61682.0,ABEO
1661299200,4.23,4.36,4.38,4.05,ok,129856.0,ABEO
1661385600,4.37,4.51,4.67,4.3,ok,149201.0,ABEO
1661472000,4.48,4.08,4.48,4.05,ok,71575.0,ABEO
1661731200,4.0,4.08,4.2499,4.0,ok,75257.0,ABEO
1661817600,4.08,3.83,4.08,3.77,ok,106420.0,ABEO
1661904000,3.84,3.64,3.92,3.62,ok,105421.0,ABEO
1661990400,3.68,3.48,3.68,3.35,ok,138522.0,ABEO
1662076800,3.52,3.57,3.725,3.44,ok,96470.0,ABEO
1662422400,3.65,3.73,3.87,3.55,ok,151221.0,ABEO
1662508800,3.73,3.76,3.85,3.65,ok,38726.0,ABEO
1662595200,3.7,3.85,3.85,3.7,ok,37395.0,ABEO
1662681600,3.82,3.92,4.08,3.82,ok,92081.0,ABEO
1662940800,3.95,3.94,3.97,3.7193,ok,62934.0,ABEO
1663027200,3.86,3.85,3.8719,3.72,ok,61141.0,ABEO
1663113600,3.84,3.73,3.896,3.7,ok,74798.0,ABEO
1663200000,4.1,4.07,4.23,3.8,ok,141174.0,ABEO
1663286400,4.0,4.0,4.07,3.77,ok,95209.0,ABEO
1663545600,3.9,3.86,3.95,3.77,ok,71197.0,ABEO
1663632000,3.78,3.72,3.85,3.62,ok,92628.0,ABEO
1663718400,3.71,3.58,3.7916,3.53,ok,92607.0,ABEO
1663804800,3.58,3.25,3.58,3.2,ok,119632.0,ABEO
1663891200,3.23,3.03,3.29,2.96,ok,69398.0,ABEO
1664150400,2.99,2.79,3.02,2.7001,ok,83379.0,ABEO
1664236800,2.79,3.0,3.3899,2.79,ok,78308.0,ABEO
1664323200,3.0,3.08,3.24,2.9401,ok,144238.0,ABEO
1664409600,3.04,2.96,3.08,2.9045,ok,73507.0,ABEO
1664496000,2.95,3.04,3.09,2.95,ok,48332.0,ABEO
1664755200,3.1,3.28,3.3399,3.01,ok,475672.0,ABEO
1664841600,3.5,3.41,3.96,3.38,ok,604397.0,ABEO
1664928000,3.49,3.21,3.63,3.18,ok,1130974.0,ABEO
1665014400,3.2,3.52,3.79,3.2,ok,1115543.0,ABEO
1665100800,3.5,4.41,4.87,3.5,ok,4541049.0,ABEO
1665360000,4.38,4.95,5.05,3.95,ok,1319651.0,ABEO
1665446400,4.91,5.65,5.8,4.9,ok,1414974.0,ABEO
1665532800,5.63,5.6,5.7395,4.68,ok,870599.0,ABEO
1665619200,5.42,5.2,5.73,4.96,ok,433626.0,ABEO
1665705600,5.2,4.3,5.42,4.29,ok,625267.0,ABEO
1665964800,4.3,4.04,4.51,3.9614,ok,565423.0,ABEO
1666051200,4.1,3.71,4.16,3.64,ok,638388.0,ABEO
1666137600,3.75,3.41,3.77,3.37,ok,350260.0,ABEO
1666224000,3.43,3.94,3.9899,3.33,ok,709968.0,ABEO
1666310400,3.97,3.61,3.97,3.58,ok,242384.0,ABEO
1666569600,3.55,3.82,3.86,3.3515,ok,348844.0,ABEO
