t,o,c,h,l,s,v,Ticker
1652140800,0.72,0.72,0.7697,0.6808,ok,38739.0,AGE
1652227200,0.72,0.7057,0.733,0.7,ok,65900.0,AGE
1652313600,0.7,0.69,0.717,0.66,ok,35516.0,AGE
1652400000,0.7,0.75,0.75,0.67,ok,172529.0,AGE
1652659200,0.77,0.6911,0.77,0.6907,ok,10984.0,AGE
1652745600,0.698,0.71,0.735,0.698,ok,22138.0,AGE
1652832000,0.72,0.71,0.74,0.6828,ok,23549.0,AGE
1652918400,0.704,0.727,0.727,0.7015,ok,3165.0,AGE
1653004800,0.8799,0.7899,0.9,0.71,ok,84488.0,AGE
1653264000,0.839,0.771,0.85,0.71,ok,46264.0,AGE
1653350400,0.7295,0.73,0.8128,0.71,ok,10970.0,AGE
1653436800,0.71,0.7737,0.7793,0.68,ok,28194.0,AGE
1653523200,0.888,0.7,0.9,0.7,ok,39920.0,AGE
1653609600,0.735,0.78,0.8157,0.7104,ok,65950.0,AGE
1653955200,0.7566,0.7247,0.7751,0.71,ok,34456.0,AGE
1654041600,0.7347,0.702,0.7347,0.701,ok,25824.0,AGE
1654128000,0.702,0.711,0.7293,0.6814,ok,22689.0,AGE
1654214400,0.7,0.7186,0.7751,0.69,ok,34270.0,AGE
1654473600,0.77,0.8,0.8,0.7151,ok,18502.0,AGE
1654560000,0.79,0.7308,0.79,0.719,ok,27803.0,AGE
1654646400,0.76,0.78,0.78,0.7308,ok,12731.0,AGE
1654732800,0.7425,0.7466,0.78,0.71,ok,14070.0,AGE
1654819200,0.77,0.7702,0.773,0.7275,ok,33451.0,AGE
1655078400,0.76,0.73,0.7706,0.718,ok,11027.0,AGE
1655164800,0.72,0.6828,0.78,0.62,ok,95577.0,AGE
1655251200,0.6428,0.6795,0.7382,0.6428,ok,35114.0,AGE
1655337600,0.6926,0.63,0.6926,0.63,ok,32612.0,AGE
1655424000,0.625,0.6202,0.6636,0.61,ok,24657.0,AGE
1655769600,0.61,0.6,0.645,0.6,ok,22596.0,AGE
1655856000,0.6,0.658,0.658,0.6,ok,9564.0,AGE
1655942400,0.6601,0.6093,0.6775,0.5949,ok,47430.0,AGE
1656028800,0.6,0.5738,0.64,0.5738,ok,52023.0,AGE
1656288000,0.6,0.5701,0.6,0.5701,ok,43685.0,AGE
1656374400,0.59,0.58,0.6,0.57,ok,5818.0,AGE
1656460800,0.6,0.6001,0.614,0.5796,ok,12937.0,AGE
1656547200,0.6002,0.5762,0.609,0.5539,ok,29272.0,AGE
1656633600,0.6019,0.5707,0.6019,0.56,ok,46153.0,AGE
1656979200,0.61,0.7,0.7042,0.61,ok,31364.0,AGE
1657065600,0.813,0.6772,0.813,0.6533,ok,66087.0,AGE
1657152000,0.7448,0.6987,0.774,0.6748,ok,26115.0,AGE
1657238400,0.7039,0.7424,0.775,0.6987,ok,33732.0,AGE
1657497600,0.77,0.6501,0.77,0.65,ok,12801.0,AGE
1657584000,0.595,0.6439,0.6712,0.595,ok,10633.0,AGE
1657670400,0.5761,0.66,0.7248,0.5761,ok,42331.0,AGE
1657756800,0.6879,0.692,0.7196,0.6879,ok,3723.0,AGE
1657843200,0.7004,0.724,0.724,0.689,ok,3742.0,AGE
1658102400,0.72,0.7252,0.735,0.7,ok,11495.0,AGE
1658188800,0.7252,0.7114,0.7252,0.7,ok,16179.0,AGE
1658275200,0.7,0.7,0.7113,0.7,ok,3881.0,AGE
1658361600,0.715,0.7088,0.7252,0.6833,ok,9958.0,AGE
1658448000,0.694,0.71,0.7252,0.694,ok,23018.0,AGE
1658707200,0.71,0.73,0.75,0.71,ok,25331.0,AGE
1658793600,0.7,0.71,0.75,0.6602,ok,12027.0,AGE
1658880000,0.7,0.727,0.727,0.7,ok,4464.0,AGE
1658966400,0.74,0.71,0.75,0.6885,ok,15039.0,AGE
1659052800,0.72,0.708,0.72,0.6562,ok,10906.0,AGE
1659312000,0.67,0.6754,0.7272,0.67,ok,6986.0,AGE
1659398400,0.6499,0.66,0.725,0.646,ok,13257.0,AGE
1659484800,0.64,0.655,0.7,0.64,ok,22199.0,AGE
