t,o,c,h,l,s,v,Ticker,RSI
1652140800,11.75,9.8,11.75,9.25,ok,644877,ALXO,
1652227200,9.71,8.58,10.04,8.47,ok,882390,ALXO,
1652313600,8.41,9.0,9.61,8.3101,ok,600072,ALXO,
1652400000,9.36,9.66,9.89,9.01,ok,650552,ALXO,
1652659200,9.68,9.58,10.1899,9.47,ok,273615,ALXO,
1652745600,9.95,9.75,10.15,9.55,ok,488298,ALXO,
1652832000,9.32,8.64,9.61,8.42,ok,344903,ALXO,
1652918400,8.66,8.76,9.1,8.42,ok,354884,ALXO,
1653004800,9.02,8.75,9.14,8.155,ok,396893,ALXO,
1653264000,8.85,8.46,8.99,8.36,ok,234110,ALXO,
1653350400,8.24,7.75,8.43,7.65,ok,369058,ALXO,
1653436800,7.73,7.9,8.08,7.59,ok,311458,ALXO,
1653523200,7.86,7.94,8.14,7.7,ok,346292,ALXO,
1653609600,7.92,8.05,8.18,7.6004,ok,418625,ALXO,32.80943025540276
1653955200,8.0,7.67,8.24,7.22,ok,760627,ALXO,30.530164533820837
1654041600,7.79,7.42,7.93,7.3825,ok,436904,ALXO,37.11111111111111
1654128000,7.35,7.48,7.63,7.24,ok,287461,ALXO,31.642512077294697
1654214400,7.48,7.6,7.71,7.26,ok,470699,ALXO,21.388888888888886
1654473600,7.72,7.15,7.84,7.03,ok,505275,ALXO,19.39546599496221
1654560000,7.06,7.75,7.84,7.01,ok,533614,ALXO,27.272727272727266
1654646400,7.68,7.98,8.26,7.66,ok,510360,ALXO,40.625
1654732800,7.87,7.78,8.01,7.6,ok,606903,ALXO,36.38888888888889
1654819200,7.6,6.785,7.64,6.78,ok,580579,ALXO,28.571428571428584
1655078400,6.46,6.46,6.58,5.82,ok,881501,ALXO,28.354978354978357
1655164800,6.54,6.63,6.65,6.25,ok,457152,ALXO,36.274509803921575
1655251200,6.57,6.67,6.88,6.39,ok,985451,ALXO,34.5088161209068
1655337600,6.43,5.89,6.67,5.83,ok,777356,ALXO,28.237791932059437
1655424000,6.0,6.47,6.61,6.0,ok,3420797,ALXO,34.74903474903475
1655769600,6.59,6.74,6.98,6.59,ok,733158,ALXO,40.82840236686391
1655856000,6.56,6.79,7.16,6.56,ok,426734,ALXO,43.531827515400416
1655942400,6.85,7.45,7.45,6.85,ok,202923,ALXO,49.72577696526508
1656028800,7.55,8.0,8.11,7.26,ok,1944121,ALXO,53.389830508474574
1656288000,7.89,8.18,8.31,7.55,ok,331447,ALXO,59.14742451154528
1656374400,8.17,8.06,8.2855,7.84,ok,288043,ALXO,53.00970873786409
1656460800,8.12,8.1,8.225,7.72,ok,338699,ALXO,51.209677419354826
1656547200,8.06,8.09,8.19,7.81,ok,229663,ALXO,53.249475890985316
1656633600,8.07,8.23,8.31,8.05,ok,197141,ALXO,68.45466155810985
1656979200,8.07,9.15,9.17,7.9903,ok,320450,ALXO,79.82261640798228
1657065600,9.13,9.41,9.48,9.0206,ok,256329,ALXO,80.21739130434784
1657152000,9.45,9.76,9.95,9.31,ok,220986,ALXO,81.4663951120163
1657238400,9.46,9.75,9.84,9.36,ok,173385,ALXO,96.61835748792274
1657497600,9.74,9.26,9.98,9.14,ok,208174,ALXO,84.44444444444446
1657584000,9.31,10.14,10.24,8.78,ok,790494,ALXO,86.48068669527899
1657670400,9.93,10.86,10.93,9.72,ok,224678,ALXO,88.18011257035648
1657756800,10.67,10.47,11.28,10.24,ok,161742,ALXO,79.8418972332016
1657843200,10.71,10.36,10.71,10.04,ok,151423,ALXO,75.54112554112555
1658102400,10.5,10.37,10.74,10.33,ok,190050,ALXO,74.60674157303372
1658188800,10.59,10.62,10.88,10.27,ok,156720,ALXO,77.9475982532751
1658275200,10.77,11.51,11.55,10.62,ok,197042,ALXO,81.39963167587477
1658361600,11.51,11.98,12.16,11.405,ok,220984,ALXO,83.02207130730051
1658448000,12.09,11.65,12.09,11.32,ok,324742,ALXO,78.125
1658707200,11.59,11.55,11.59,11.08,ok,210342,ALXO,72.81368821292776
1658793600,11.42,11.81,11.95,11.12,ok,175252,ALXO,72.81368821292776
1658880000,12.0,11.97,12.16,11.755,ok,130368,ALXO,71.79487179487181
1658966400,11.93,11.04,11.96,10.74,ok,312809,ALXO,60.767946577629374
1659052800,10.92,9.68,10.94,9.65,ok,239976,ALXO,53.06122448979592
1659312000,9.88,9.42,10.02,9.31,ok,250355,ALXO,44.230769230769226
1659398400,9.27,9.83,9.9252,9.16,ok,134701,ALXO,41.31534569983137
1659484800,10.03,10.19,10.54,9.98,ok,144669,ALXO,47.62711864406779
1659571200,10.26,10.86,11.02,10.26,ok,252484,ALXO,53.869969040247675
1659657600,10.59,11.47,11.685,10.05,ok,674180,ALXO,57.79036827195468
1659916800,11.59,11.76,11.94,11.33,ok,257595,ALXO,58.02816901408451
1660003200,11.39,11.77,11.89,11.09,ok,321277,ALXO,52.09003215434083
1660089600,12.07,12.79,12.84,11.62,ok,200533,ALXO,55.98227474150663
1660176000,13.17,12.98,13.98,12.72,ok,140129,ALXO,60.030165912518854
1660262400,13.18,14.52,14.57,13.047,ok,141601,ALXO,68.40148698884758
1660521600,14.31,15.14,15.29,14.31,ok,168695,ALXO,69.7508896797153
1660608000,15.02,14.62,15.39,14.5,ok,321101,ALXO,65.0739476678043
1660694400,14.33,14.38,14.85,13.71,ok,271831,ALXO,70.61728395061729
1660780800,14.22,14.44,14.605,13.3558,ok,468803,ALXO,85.0
1660867200,14.13,13.86,14.32,13.66,ok,161069,ALXO,81.17977528089887
1661126400,13.5,13.41,13.8825,13.17,ok,132341,ALXO,75.0
1661212800,13.44,13.66,13.99,13.33,ok,121216,ALXO,74.60992907801419
1661299200,13.58,13.95,14.145,13.18,ok,135003,ALXO,73.16341829085458
1661385600,14.09,13.93,14.35,13.62,ok,222683,ALXO,70.23026315789474
1661472000,13.9,13.25,13.94,13.22,ok,220898,ALXO,61.51468315301391
1661731200,13.22,13.3,13.57,12.8,ok,298729,ALXO,61.751152073732726
1661817600,13.52,12.9,13.71,12.73,ok,148691,ALXO,50.93378607809848
1661904000,13.0,13.0,13.1281,12.66,ok,157371,ALXO,50.17241379310344
1661990400,12.94,13.19,13.3492,12.7,ok,276659,ALXO,35.056179775280896
1662076800,13.46,13.34,13.89,13.08,ok,224622,ALXO,27.38693467336681
1662422400,13.3,11.88,13.3,11.845,ok,183933,ALXO,22.154471544715435
1662508800,11.73,12.11,12.37,11.73,ok,116388,ALXO,26.88391038696534
1662595200,11.89,13.6,13.63,11.89,ok,195385,ALXO,43.375394321766564
1662681600,13.7,13.08,13.97,13.06,ok,121917,ALXO,43.789808917197455
1662940800,13.02,13.01,13.26,12.47,ok,94648,ALXO,46.610169491525426
1663027200,12.46,12.45,12.565,12.185,ok,161128,ALXO,40.25764895330111
1663113600,12.36,12.44,12.885,12.27,ok,143281,ALXO,37.2681281618887
1663200000,12.28,12.64,12.94,11.955,ok,124663,ALXO,39.443535188216046
1663286400,12.24,12.18,12.99,11.88,ok,223054,ALXO,40.916808149405774
1663545600,12.03,11.02,12.03,10.97,ok,192713,ALXO,33.71428571428571
1663632000,10.87,10.99,11.22,10.33,ok,78284,ALXO,35.59577677224736
1663718400,10.99,10.54,11.18,10.47,ok,75100,ALXO,32.378223495702
1663804800,10.41,10.58,10.68,9.89,ok,110463,ALXO,30.893118594436316
1663891200,10.33,9.79,10.56,9.71,ok,152326,ALXO,26.238286479250334
1664150400,9.75,9.63,10.28,9.59,ok,154458,ALXO,31.766612641815243
1664236800,9.82,9.48,9.91,9.1,ok,200386,ALXO,28.407224958949115
1664323200,9.71,9.94,10.205,9.71,ok,118644,ALXO,13.833992094861685
1664409600,9.71,9.5,9.93,9.2,ok,115810,ALXO,14.056224899598405
1664496000,9.59,9.57,10.26,9.35,ok,163564,ALXO,15.461847389558258
1664755200,9.75,9.72,9.845,9.33,ok,161911,ALXO,20.131291028446427
1664841600,9.94,10.52,10.76,9.94,ok,190110,ALXO,32.08955223880598
1664928000,10.28,10.5,10.55,9.89,ok,93679,ALXO,29.34362934362933
1665014400,10.45,10.53,10.7,10.17,ok,82411,ALXO,32.63157894736841
1665100800,10.34,10.01,10.685,9.96,ok,237140,ALXO,37.71289537712895
1665360000,10.08,9.88,10.15,9.7644,ok,95095,ALXO,36.81710213776722
1665446400,9.79,10.44,10.605,9.75,ok,174548,ALXO,48.842592592592595
1665532800,10.51,10.85,10.91,9.81,ok,400467,ALXO,52.87846481876332
1665619200,10.52,11.4,11.51,10.355,ok,110414,ALXO,68.08988764044948
1665705600,11.52,10.99,11.7,10.92,ok,81910,ALXO,64.46808510638299
1665964800,11.12,11.49,11.62,11.0,ok,95663,ALXO,69.90099009900992
1666051200,11.87,11.8,12.04,11.39,ok,69895,ALXO,68.97959183673471
1666137600,11.66,11.39,12.01,11.05,ok,180102,ALXO,69.40451745379879
1666224000,11.47,11.38,11.675,11.28,ok,109649,ALXO,68.81496881496884
1666310400,11.45,11.71,11.85,11.43,ok,222138,ALXO,69.93987975951906
