t,o,c,h,l,s,v,Ticker
1683057600,6.63,6.63,6.63,6.63,ok,31929,AMPY
1683100800,6.59,6.59,6.59,6.58,ok,4935,AMPY
1683108000,6.6,6.6,6.6,6.6,ok,1200,AMPY
1683118800,6.6,6.61,6.66,6.54,ok,101112,AMPY
1683122400,6.64,6.57,6.65,6.535,ok,60321,AMPY
1683126000,6.57,6.535,6.575,6.495,ok,75395,AMPY
1683129600,6.545,6.61,6.615,6.545,ok,41980,AMPY
1683133200,6.61,6.57,6.615,6.545,ok,24082,AMPY
1683136800,6.6,6.525,6.61,6.5,ok,97040,AMPY
1683140400,6.53,6.46,6.56,6.44,ok,225724,AMPY
1683144000,6.68,6.68,6.68,6.68,ok,2034,AMPY
1683147600,6.6,6.6,6.6,6.6,ok,571,AMPY
1683151200,6.6,6.6,6.6,6.6,ok,100,AMPY
1683154800,6.76,6.76,6.76,6.76,ok,500,AMPY
1683201600,6.6,6.6,6.6,6.6,ok,100,AMPY
1683205200,6.77,6.85,7.01,6.77,ok,123151,AMPY
1683208800,6.8,6.71,6.87,6.69,ok,179390,AMPY
1683212400,6.725,6.72,6.79,6.67,ok,100786,AMPY
1683216000,6.7,6.82,6.82,6.69,ok,87716,AMPY
1683219600,6.85,6.985,7.155,6.8,ok,375497,AMPY
1683223200,6.99,6.95,6.99,6.87,ok,61187,AMPY
1683226800,6.95,7.01,7.08,6.875,ok,345643,AMPY
1683291600,7.27,7.34,7.37,7.25,ok,110367,AMPY
1683295200,7.35,7.24,7.37,7.23,ok,80572,AMPY
1683298800,7.25,7.14,7.26,7.14,ok,32993,AMPY
1683302400,7.165,7.15,7.165,7.125,ok,46331,AMPY
1683306000,7.145,7.15,7.16,7.105,ok,35402,AMPY
1683309600,7.15,7.21,7.22,7.15,ok,40351,AMPY
1683313200,7.2,7.16,7.22,7.13,ok,70452,AMPY
1683324000,7.17,7.17,7.17,7.17,ok,1000,AMPY
1683550800,7.16,7.18,7.35,7.16,ok,76047,AMPY
1683554400,7.14,7.14,7.18,7.11,ok,20029,AMPY
1683558000,7.13,7.09,7.18,7.08,ok,44053,AMPY
1683561600,7.07,7.07,7.095,7.04,ok,26843,AMPY
1683565200,7.075,7.08,7.105,7.06,ok,29663,AMPY
1683568800,7.07,7.025,7.07,7.005,ok,28997,AMPY
1683572400,7.01,6.95,7.01,6.925,ok,83347,AMPY
1683630000,6.96,6.95,6.96,6.95,ok,340,AMPY
1683637200,6.87,6.94,7.04,6.78,ok,33601,AMPY
1683640800,6.92,6.98,6.98,6.88,ok,29151,AMPY
1683644400,6.99,6.93,6.99,6.895,ok,25179,AMPY
