t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,8.41,7.9,8.56,7.405,ok,928223.0,AMTX,,7.955000000000001,7384013.965000001,928223.0,7.955000000000001
1652227200,7.82,7.01,8.169,7.0,ok,754419.0,AMTX,,7.393000000000001,5577419.667,1682642.0,3.314679930133683
1652313600,6.41,6.88,7.0394,5.6701,ok,1617024.0,AMTX,,6.5298333333333325,10558897.215999998,3299666.0,3.1999897007757747
1652400000,7.19,7.66,8.19,7.15,ok,1120436.0,AMTX,,7.666666666666667,8590009.333333334,4420102.0,1.9433961780369173
1652659200,7.58,7.35,7.9844,7.31,ok,857916.0,AMTX,,7.5481333333333325,6475664.356799999,5278018.0,1.226912139519039
1652745600,7.65,8.21,8.36,7.52,ok,745045.0,AMTX,,8.03,5982711.35,6023063.0,0.9933004768503998
1652832000,8.13,7.8,8.89,7.63,ok,999115.0,AMTX,,8.106666666666667,8099492.266666668,7022178.0,1.1534159724613458
1652918400,7.8,7.63,8.16,7.59,ok,782785.0,AMTX,,7.793333333333333,6100504.433333333,7804963.0,0.7816186230906326
1653004800,7.66,7.45,7.9,7.12,ok,597687.0,AMTX,,7.489999999999999,4476675.63,8402650.0,0.5327694989080826
1653264000,7.49,7.39,7.58,6.845,ok,741666.0,AMTX,,7.271666666666667,5393147.930000001,9144316.0,0.5897814478414789
1653350400,7.16,7.08,7.21,6.76,ok,538204.0,AMTX,,7.016666666666666,3776398.066666666,9682520.0,0.39002223250421025
1653436800,7.05,7.49,7.575,7.05,ok,637833.0,AMTX,,7.371666666666667,4701892.265000001,10320353.0,0.4555941318092512
1653523200,7.5,7.88,7.93,7.4,ok,738854.0,AMTX,,7.736666666666667,5716267.113333334,11059207.0,0.5168785712513867
1653609600,7.94,8.5,8.58,7.835,ok,545837.0,AMTX,55.43478260869564,8.305,4533176.285,11605044.0,0.3906212061755216
1653955200,8.44,8.11,8.7035,7.9061,ok,852863.0,AMTX,51.77664974619289,8.239866666666666,7027477.404933332,12457907.0,0.5640977577480176
1654041600,8.26,8.3,8.82,8.135,ok,908404.0,AMTX,62.38003838771593,8.418333333333333,7647247.673333333,13366311.0,0.5721285157388103
1654128000,8.25,9.21,9.3,8.2,ok,816713.0,AMTX,69.449081803005,8.903333333333334,7271468.076666667,14183024.0,0.5126881317176554
1654214400,9.09,8.53,9.2399,8.43,ok,771849.0,AMTX,57.385398981324265,8.7333,6740788.8717,14954873.0,0.4507419669628756
1654473600,8.64,8.0,8.809,7.81,ok,678134.0,AMTX,55.319148936170215,8.206333333333333,5564993.648666667,15633007.0,0.35597717372394616
1654560000,7.99,8.04,8.09,7.75,ok,786732.0,AMTX,48.39319470699431,7.96,6262386.72,16419739.0,0.38139380412806806
1654646400,8.05,8.37,8.49,7.99,ok,524634.0,AMTX,55.47024952015355,8.283333333333333,4345718.3,16944373.0,0.2564697023607778
1654732800,8.22,7.96,8.4272,7.95,ok,450205.0,AMTX,53.02752293577981,8.1124,3652243.0419999994,17394578.0,0.2099644522563295
1654819200,7.81,7.31,7.99,7.21,ok,476784.0,AMTX,48.817567567567565,7.503333333333333,3577469.28,17871362.0,0.20017888284060273
1655078400,6.89,6.31,6.98,6.07,ok,1117126.0,AMTX,42.12827988338192,6.453333333333333,7209186.453333333,18988488.0,0.3796609005063138
