t,o,c,h,l,s,v,Ticker,RSI
1652140800,3.1,2.73,3.1,2.65,ok,2378817.0,APPH,
1652227200,2.72,2.53,2.78,2.49,ok,1877610.0,APPH,
1652313600,2.5,2.65,2.66,2.4,ok,1869382.0,APPH,
1652400000,2.76,2.99,3.065,2.75,ok,1953636.0,APPH,
1652659200,3.15,3.02,3.2,2.945,ok,1778491.0,APPH,
1652745600,3.04,3.17,3.23,2.98,ok,1161634.0,APPH,
1652832000,3.15,2.87,3.2,2.86,ok,1386858.0,APPH,
1652918400,2.9,2.92,2.99,2.78,ok,1142252.0,APPH,
1653004800,2.97,2.94,3.05,2.8,ok,1182258.0,APPH,
1653264000,3.05,3.06,3.13,2.8,ok,1069980.0,APPH,
1653350400,2.97,2.92,2.97,2.8,ok,929089.0,APPH,
1653436800,2.87,3.29,3.37,2.87,ok,2258751.0,APPH,
1653523200,3.26,3.14,3.35,3.0619,ok,2342788.0,APPH,
1653609600,3.14,3.26,3.28,3.14,ok,861229.0,APPH,62.55924170616114
1653955200,3.27,3.16,3.29,3.02,ok,1203085.0,APPH,59.728506787330325
1654041600,3.13,2.88,3.2014,2.81,ok,1831118.0,APPH,57.641921397379924
1654128000,2.89,2.9,3.01,2.86,ok,833124.0,APPH,55.70776255707762
1654214400,2.87,2.87,2.9,2.78,ok,1032806.0,APPH,46.80851063829787
1654473600,2.95,2.86,2.97,2.8,ok,866383.0,APPH,45.69892473118279
1654560000,2.84,2.89,2.9,2.76,ok,525498.0,APPH,41.954022988505756
1654646400,2.88,2.89,2.97,2.81,ok,886348.0,APPH,50.69444444444444
1654732800,2.84,2.72,2.85,2.69,ok,1332243.0,APPH,43.5897435897436
1654819200,2.69,2.66,2.795,2.585,ok,1467142.0,APPH,41.25000000000001
1655078400,2.51,2.77,2.84,2.51,ok,2704273.0,APPH,40.880503144654085
1655164800,2.77,2.67,2.78,2.625,ok,1771397.0,APPH,41.935483870967744
1655251200,2.75,2.97,3.0,2.65,ok,1555869.0,APPH,39.18918918918919
1655337600,2.97,2.93,2.99,2.73,ok,1530520.0,APPH,42.33576642335766
1655424000,3.0,3.12,3.3,2.91,ok,4316055.0,APPH,45.1388888888889
1655769600,3.16,3.49,4.0,3.15,ok,2025734.0,APPH,59.649122807017534
1655856000,3.35,3.5,3.595,3.34,ok,871697.0,APPH,71.52777777777777
1655942400,3.55,4.07,4.1,3.54,ok,2019260.0,APPH,79.39698492462311
1656028800,4.1,3.92,4.1708,3.815,ok,3528231.0,APPH,74.88151658767771
1656288000,3.95,3.72,3.99,3.69,ok,970543.0,APPH,68.69565217391305
1656374400,3.72,3.76,4.05,3.72,ok,1015350.0,APPH,68.83116883116882
1656460800,3.76,3.51,3.76,3.42,ok,878317.0,APPH,62.10937499999999
1656547200,3.49,3.49,3.5299,3.34,ok,803345.0,APPH,65.97510373443984
1656633600,3.43,3.65,3.75,3.14,ok,1487019.0,APPH,69.7211155378486
1656979200,3.65,4.05,4.07,3.5701,ok,1472761.0,APPH,72.85714285714286
1657065600,4.05,4.25,4.26,3.78,ok,1299138.0,APPH,77.24137931034484
1657152000,4.32,4.18,4.5368,3.99,ok,1125660.0,APPH,72.65917602996254
1657238400,4.12,4.67,4.8379,4.115,ok,2363128.0,APPH,77.88461538461539
1657497600,4.51,4.18,4.52,4.155,ok,1385316.0,APPH,65.4970760233918
1657584000,4.19,4.14,4.34,4.09,ok,1016875.0,APPH,60.5177993527508
1657670400,4.06,3.88,4.24,3.865,ok,1490343.0,APPH,55.688622754491014
1657756800,3.85,3.95,4.03,3.62,ok,917053.0,APPH,47.88732394366197
1657843200,4.01,4.14,4.19,3.93,ok,743038.0,APPH,53.81944444444444
1658102400,4.12,3.98,4.3,3.98,ok,612079.0,APPH,54.57746478873239
1658188800,4.0,4.15,4.15,3.99,ok,589780.0,APPH,56.565656565656575
1658275200,4.15,4.22,4.23,3.82,ok,1826665.0,APPH,62.72401433691756
1658361600,4.12,4.4,4.4,4.06,ok,1301550.0,APPH,65.42372881355934
1658448000,4.34,4.16,4.34,4.11,ok,573933.0,APPH,58.41584158415842
1658707200,4.18,3.98,4.18,3.9,ok,826825.0,APPH,48.754448398576514
1658793600,3.93,3.68,3.94,3.67,ok,814193.0,APPH,40.206185567010316
1658880000,3.75,3.95,3.98,3.655,ok,719508.0,APPH,46.30225080385853
1658966400,3.88,3.91,3.9473,3.73,ok,622799.0,APPH,35.71428571428572
1659052800,3.86,3.84,3.88,3.77,ok,514673.0,APPH,42.410714285714285
1659312000,3.91,4.02,4.15,3.837,ok,1075186.0,APPH,47.47899159663865
1659398400,3.94,3.93,4.07,3.89,ok,1057574.0,APPH,51.131221719457024
1659484800,3.96,4.03,4.05,3.84,ok,1702666.0,APPH,51.78571428571429
1659571200,3.85,3.8,3.99,3.6,ok,1345445.0,APPH,42.543859649122815
1659657600,3.74,3.83,3.84,3.65,ok,478466.0,APPH,46.511627906976756
1659916800,3.81,4.02,4.07,3.8,ok,1659220.0,APPH,47.004608294930854
1660003200,4.01,3.64,4.01,3.6,ok,1265151.0,APPH,38.306451612903224
1660089600,3.74,3.59,3.74,3.56,ok,749171.0,APPH,32.7659574468085
1660176000,3.64,3.26,3.78,3.23,ok,1539323.0,APPH,31.557377049180317
1660262400,3.31,3.32,3.37,3.21,ok,909375.0,APPH,35.77586206896552
1660521600,3.302,3.18,3.48,3.14,ok,3337422.0,APPH,38.425925925925924
1660608000,3.18,3.45,3.52,3.03,ok,1678269.0,APPH,38.425925925925924
1660694400,3.35,3.24,3.35,3.12,ok,991522.0,APPH,35.62231759656652
1660780800,3.2,3.2,3.305,3.18,ok,887151.0,APPH,36.086956521739125
1660867200,3.19,3.1,3.215,3.07,ok,947499.0,APPH,29.27927927927928
1661126400,3.1,3.02,3.15,3.01,ok,990258.0,APPH,29.411764705882348
1661212800,3.06,3.11,3.17,3.05,ok,686723.0,APPH,29.09090909090908
1661299200,3.12,3.15,3.3299,3.105,ok,778679.0,APPH,33.83084577114428
1661385600,3.29,3.09,3.3,3.06,ok,547360.0,APPH,31.8627450980392
1661472000,3.1,2.99,3.16,2.98,ok,718777.0,APPH,23.589743589743605
1661731200,2.95,2.94,3.0003,2.89,ok,906833.0,APPH,28.395061728395063
1661817600,2.95,2.89,2.96,2.87,ok,706921.0,APPH,28.395061728395063
1661904000,2.91,2.88,3.0,2.85,ok,500229.0,APPH,35.38461538461539
1661990400,2.83,2.8,2.87,2.74,ok,938545.0,APPH,30.303030303030297
1662076800,2.88,2.74,2.89,2.73,ok,731856.0,APPH,32.258064516129025
1662422400,2.8,2.72,2.8,2.62,ok,1746825.0,APPH,13.13131313131312
1662508800,2.72,2.66,2.79,2.6,ok,1203356.0,APPH,15.476190476190453
1662595200,2.68,2.65,2.7546,2.56,ok,706087.0,APPH,16.049382716049365
1662681600,2.67,2.74,2.785,2.66,ok,941180.0,APPH,27.500000000000014
1662940800,2.77,2.7,2.82,2.68,ok,981259.0,APPH,28.94736842105266
1663027200,2.61,2.51,2.64,2.49,ok,1357230.0,APPH,15.116279069767458
1663113600,2.5127,2.46,2.55,2.45,ok,867419.0,APPH,10.344827586206918
1663200000,2.43,2.31,2.5,2.3,ok,1720381.0,APPH,9.375000000000028
1663286400,2.31,2.14,2.3399,2.11,ok,3192671.0,APPH,8.737864077669926
1663545600,2.13,1.99,2.18,1.99,ok,1420810.0,APPH,7.964601769911539
1663632000,2.02,2.02,2.15,1.925,ok,1614758.0,APPH,10.810810810810835
1663718400,2.04,2.09,2.26,2.01,ok,1676509.0,APPH,16.239316239316253
1663804800,2.1,1.97,2.1,1.95,ok,1834331.0,APPH,15.702479338842991
1663891200,1.95,1.92,1.99,1.86,ok,1265305.0,APPH,15.833333333333343
1664150400,1.92,1.89,1.9701,1.84,ok,1078509.0,APPH,15.702479338842977
1664236800,1.93,1.93,2.02,1.82,ok,3081512.0,APPH,19.32773109243699
1664323200,1.98,1.93,2.0,1.88,ok,1663949.0,APPH,19.491525423728817
1664409600,1.93,1.91,1.93,1.82,ok,1613082.0,APPH,12.612612612612608
1664496000,1.89,1.97,2.085,1.88,ok,1570129.0,APPH,17.699115044247776
1664755200,2.0,1.94,2.0,1.84,ok,1241099.0,APPH,20.61855670103094
1664841600,1.98,2.0,2.07,1.94,ok,1279600.0,APPH,26.530612244897966
1664928000,1.95,1.98,2.01,1.8942,ok,1160117.0,APPH,30.588235294117638
1665014400,1.95,1.89,2.0,1.86,ok,1157444.0,APPH,33.76623376623377
1665100800,1.89,1.79,1.902,1.77,ok,1473368.0,APPH,36.111111111111114
1665360000,1.82,1.72,1.82,1.68,ok,1084452.0,APPH,30.263157894736835
1665446400,1.72,1.68,1.76,1.62,ok,1252470.0,APPH,21.9178082191781
1665532800,1.69,1.7,1.71,1.65,ok,722199.0,APPH,28.571428571428584
