t,o,c,h,l,s,v,Ticker,RSI
1652140800,6.36,5.66,6.6555,5.61,ok,336415.0,ARQQ,
1652227200,5.49,5.93,6.49,5.32,ok,451615.0,ARQQ,
1652313600,5.46,5.94,6.3,5.3,ok,386207.0,ARQQ,
1652400000,6.17,6.65,7.2,5.918,ok,459889.0,ARQQ,
1652659200,6.65,6.36,6.7799,6.3,ok,130549.0,ARQQ,
1652745600,6.54,6.68,6.73,6.22,ok,129884.0,ARQQ,
1652832000,6.53,6.84,7.01,6.4055,ok,107099.0,ARQQ,
1652918400,6.84,7.07,7.47,6.7965,ok,124854.0,ARQQ,
1653004800,7.13,6.43,7.75,6.22,ok,170398.0,ARQQ,
1653264000,6.63,6.7,6.7,6.3208,ok,109514.0,ARQQ,
1653350400,6.27,5.96,6.4981,5.92,ok,130429.0,ARQQ,
1653436800,6.01,6.35,6.4426,5.77,ok,98934.0,ARQQ,
1653523200,6.24,6.35,6.53,6.2,ok,85731.0,ARQQ,
1653609600,6.49,6.65,6.85,6.32,ok,181429.0,ARQQ,61.431870669745955
1653955200,6.64,7.77,7.77,5.965,ok,403053.0,ARQQ,69.35779816513761
1654041600,7.44,7.68,8.1,7.0601,ok,372845.0,ARQQ,66.60341555977229
1654128000,7.46,7.14,7.54,7.13,ok,127827.0,ARQQ,60.34482758620689
1654214400,7.21,6.62,7.21,6.46,ok,208279.0,ARQQ,49.73262032085562
1654473600,6.67,6.5,6.735,6.25,ok,181619.0,ARQQ,51.286764705882355
1654560000,6.28,7.17,7.24,6.15,ok,121784.0,ARQQ,54.23143350604491
1654646400,7.29,6.97,7.46,6.93,ok,73062.0,ARQQ,51.11492281303601
1654732800,7.15,6.44,7.15,6.21,ok,106873.0,ARQQ,44.86133768352366
1654819200,6.14,6.0,6.5498,6.0,ok,145808.0,ARQQ,46.3743676222597
1655078400,5.87,5.1,5.87,5.1,ok,317528.0,ARQQ,37.80487804878048
1655164800,5.0,5.21,5.37,5.0,ok,188096.0,ARQQ,43.676222596964585
1655251200,5.15,5.53,5.74,5.067,ok,228464.0,ARQQ,43.003412969283275
1655337600,5.48,5.65,5.81,4.98,ok,272505.0,ARQQ,44.147157190635454
1655424000,5.54,5.97,6.13,5.31,ok,1259235.0,ARQQ,44.33333333333332
1655769600,6.22,6.02,6.44,6.0,ok,132629.0,ARQQ,32.25152129817444
1655856000,5.89,6.64,6.64,5.875,ok,72303.0,ARQQ,40.47619047619048
1655942400,6.73,6.31,6.8,6.15,ok,70794.0,ARQQ,42.095238095238095
1656028800,6.4,6.19,6.55,6.11,ok,59515.0,ARQQ,45.56701030927836
1656288000,6.27,6.04,6.45,6.0,ok,75704.0,ARQQ,45.28688524590164
1656374400,6.19,5.61,6.28,5.55,ok,78643.0,ARQQ,33.189655172413794
1656460800,5.52,5.6,5.89,5.37,ok,76572.0,ARQQ,34.6067415730337
1656547200,5.62,6.31,6.5711,5.36,ok,211526.0,ARQQ,48.59611231101511
1656633600,6.21,6.16,6.63,6.04,ok,95664.0,ARQQ,51.84331797235024
1656979200,6.23,6.67,6.71,6.035,ok,59425.0,ARQQ,69.87341772151899
1657065600,6.82,6.3,6.82,6.14,ok,60578.0,ARQQ,62.94536817102138
1657152000,6.32,6.68,6.88,6.32,ok,88907.0,ARQQ,63.46604215456674
1657238400,6.64,6.34,6.79,6.31,ok,64447.0,ARQQ,57.6837416481069
1657497600,6.44,6.07,6.45,6.0,ok,75651.0,ARQQ,51.12612612612614
1657584000,6.14,5.96,6.15,5.8,ok,68069.0,ARQQ,49.333333333333336
1657670400,5.9,5.98,6.24,5.7701,ok,32495.0,ARQQ,41.53846153846155
1657756800,5.98,5.51,6.1239,5.38,ok,153508.0,ARQQ,40.099009900990104
1657843200,5.71,5.46,5.73,5.25,ok,102879.0,ARQQ,40.806045340050375
1658102400,5.49,5.59,5.73,5.49,ok,48683.0,ARQQ,44.30379746835443
1658188800,5.83,5.7,5.89,5.48,ok,57919.0,ARQQ,51.2396694214876
1658275200,5.77,5.83,6.08,5.53,ok,69446.0,ARQQ,53.06666666666667
1658361600,5.89,6.19,6.2,5.7519,ok,67293.0,ARQQ,48.23529411764707
1658448000,6.24,6.3,6.35,6.1,ok,48142.0,ARQQ,52.08333333333332
1658707200,6.41,5.96,6.41,5.67,ok,84229.0,ARQQ,38.87147335423198
1658793600,5.81,5.42,5.81,5.41,ok,108122.0,ARQQ,36.904761904761905
1658880000,5.43,5.27,5.76,5.24,ok,88304.0,ARQQ,27.476038338658157
1658966400,5.25,5.48,5.5259,5.13,ok,50394.0,ARQQ,35.666666666666686
1659052800,5.52,5.45,5.57,5.22,ok,38148.0,ARQQ,38.768115942029
1659312000,5.32,5.22,5.43,5.16,ok,86333.0,ARQQ,37.152777777777786
1659398400,5.18,5.14,5.4,5.06,ok,92090.0,ARQQ,35.71428571428572
1659484800,5.4,5.28,5.4,5.17,ok,63634.0,ARQQ,45.59386973180078
1659571200,5.15,5.1,5.4,5.07,ok,103834.0,ARQQ,43.43065693430656
1659657600,5.15,5.53,5.56,5.11,ok,192661.0,ARQQ,49.01315789473684
1659916800,5.6,5.74,5.97,5.48,ok,123955.0,ARQQ,50.636942675159226
1660003200,5.82,5.4,5.82,5.25,ok,114871.0,ARQQ,43.58208955223882
1660089600,5.59,5.65,5.7836,5.5,ok,48045.0,ARQQ,41.66666666666667
1660176000,5.76,5.97,6.3,5.65,ok,129712.0,ARQQ,45.21739130434783
1660262400,5.95,6.31,6.31,5.81,ok,53434.0,ARQQ,55.07246376811594
1660521600,6.25,6.52,6.64,6.25,ok,47268.0,ARQQ,67.62820512820511
1660608000,6.58,6.83,6.85,6.4,ok,102376.0,ARQQ,73.78048780487804
1660694400,6.8,6.15,6.8,6.05,ok,141619.0,ARQQ,58.93333333333332
1660780800,6.14,6.35,6.5064,6.14,ok,75422.0,ARQQ,61.479591836734684
1660867200,6.18,5.72,6.19,5.71,ok,78506.0,ARQQ,55.78703703703704
1661126400,5.67,5.67,5.99,5.66,ok,49968.0,ARQQ,56.17715617715618
1661212800,5.74,5.58,5.98,5.55,ok,26508.0,ARQQ,53.5377358490566
1661299200,5.68,5.46,5.869,5.41,ok,44092.0,ARQQ,54.30622009569378
1661385600,5.61,5.9,5.92,5.5,ok,66745.0,ARQQ,54.415274463007165
1661472000,5.84,5.75,6.12,5.64,ok,65622.0,ARQQ,50.121065375302656
1661731200,5.59,5.78,5.8,5.35,ok,53347.0,ARQQ,54.973821989528794
1661817600,5.79,5.94,5.984,5.5864,ok,50740.0,ARQQ,53.887399463806965
1661904000,5.87,6.08,6.219,5.8107,ok,39124.0,ARQQ,51.54929577464789
1661990400,6.07,6.72,6.86,5.75,ok,141381.0,ARQQ,55.324675324675326
1662076800,6.51,6.25,6.705,5.89,ok,194174.0,ARQQ,46.7153284671533
1662422400,6.32,5.68,6.35,5.61,ok,316045.0,ARQQ,36.84210526315789
1662508800,5.59,5.68,5.82,5.22,ok,244967.0,ARQQ,43.631436314363135
1662595200,5.32,5.49,6.2505,5.32,ok,174290.0,ARQQ,38.31521739130435
