t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,5.97,6.0,6.07,5.805,ok,73821.0,ASUR,,5.958333333333333,439850.125,73821.0,5.958333333333333
1652227200,6.09,6.0,6.11,5.89,ok,35846.0,ASUR,,6.0,215076.0,109667.0,1.9611733702937073
1652313600,5.95,5.95,6.02,5.94,ok,12938.0,ASUR,,5.97,77239.86,122605.0,0.6299894784062641
1652400000,5.94,6.0,6.095,5.94,ok,8545.0,ASUR,,6.011666666666667,51369.691666666666,131150.0,0.39168655483543013
1652659200,5.94,5.94,6.1,5.93,ok,45803.0,ASUR,,5.989999999999999,274359.97,176953.0,1.5504680338847037
1652745600,6.06,5.97,6.0799,5.95,ok,31692.0,ASUR,,5.9999666666666664,190150.9436,208645.0,0.9113611330249946
1652832000,6.0136,6.1,6.15,5.9075,ok,12705.0,ASUR,,6.052499999999999,76897.0125,221350.0,0.3474001016489722
1652918400,6.14,6.04,6.22,6.02,ok,8892.0,ASUR,,6.093333333333333,54181.92,230242.0,0.23532596137976564
1653004800,6.11,6.13,6.15,5.9701,ok,10592.0,ASUR,,6.083366666666667,64435.019733333334,240834.0,0.26754951432660395
1653264000,6.07,5.95,6.0998,5.92,ok,28287.0,ASUR,,5.989933333333333,169437.2442,269121.0,0.6295950304881447
1653350400,5.875,5.99,6.02,5.7956,ok,47745.0,ASUR,,5.935199999999999,283376.12399999995,316866.0,0.8943090265285639
1653436800,6.04,5.94,6.04,5.93,ok,88331.0,ASUR,,5.97,527336.07,405197.0,1.3014313284649195
1653523200,6.2,6.0,6.2,5.92,ok,39816.0,ASUR,,6.04,240488.64,445013.0,0.5404081229087689
1653609600,5.95,6.1,6.1899,5.95,ok,22506.0,ASUR,55.55555555555556,6.0799666666666665,136835.7298,467519.0,0.29268485302201624
1653955200,6.12,5.94,6.12,5.9,ok,42081.0,ASUR,47.169811320754725,5.986666666666667,251924.92,509600.0,0.4943581632653061
1654041600,5.95,5.95,6.06,5.87,ok,58856.0,ASUR,47.66355140186916,5.96,350781.76,568456.0,0.6170781203822284
1654128000,5.96,5.93,6.02,5.78,ok,48968.0,ASUR,49.03846153846152,5.91,289400.88,617424.0,0.46872308170722227
1654214400,6.06,5.95,6.06,5.9,ok,19760.0,ASUR,47.52475247524752,5.97,117967.2,637184.0,0.18513835877862594
1654473600,5.9693,5.88,6.01,5.86,ok,44826.0,ASUR,47.05882352941173,5.916666666666667,265220.5,682010.0,0.38888066157387724
1654560000,5.82,5.91,6.06,5.82,ok,64933.0,ASUR,47.058823529411775,5.93,385052.69,746943.0,0.5155047841669311
1654646400,5.93,5.95,6.015,5.8146,ok,59736.0,ASUR,41.93548387096776,5.9265333333333325,354027.39519999997,806679.0,0.4388702261990209
1654732800,5.98,5.9,5.9964,5.85,ok,35080.0,ASUR,42.39130434782609,5.915466666666667,207514.5706666667,841759.0,0.24652492063246925
1654819200,5.85,5.95,5.99,5.766,ok,39016.0,ASUR,39.77272727272727,5.902,230272.432,880775.0,0.2614429701115495
1655078400,5.9,5.63,5.94,5.53,ok,53044.0,ASUR,34.31372549019606,5.7,302350.8,933819.0,0.323778805100346
1655164800,5.6839,5.79,5.8444,5.5882,ok,26285.0,ASUR,41.22807017543858,5.740866666666666,150898.68033333332,960104.0,0.1571690986948636
1655251200,5.8388,5.67,5.86,5.5101,ok,88711.0,ASUR,38.84297520661155,5.680033333333334,503881.4370333334,1048815.0,0.4804292816496078
1655337600,5.51,5.57,5.72,5.5,ok,28911.0,ASUR,32.80000000000001,5.596666666666667,161805.23,1077726.0,0.15013577662596989
1655424000,5.51,5.59,5.59,5.5,ok,36618.0,ASUR,28.20512820512822,5.56,203596.08,1114344.0,0.18270487389890375
