t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1661904000,27.0,656.54,656.54,12.954,ok,516105.0,ATXG,,442.0113333333333,228124259.19,516105.0,442.0113333333333
1661990400,571.76,30.0,575.0,22.65,ok,992372.0,ATXG,,209.21666666666667,207620761.93333334,1508477.0,137.6360142934452
1662076800,29.53,9.59,29.53,8.61,ok,5113043.0,ATXG,,15.910000000000002,81348514.13000001,6621520.0,12.285474351810462
1662422400,9.12,5.8,9.8,4.51,ok,11801778.0,ATXG,,6.703333333333333,79111251.86,18423298.0,4.294087402809204
1662508800,5.54,6.19,6.94,5.025,ok,17548566.0,ATXG,,6.051666666666667,106198071.91,35971864.0,2.952253792297224
1662595200,5.9,5.22,6.3,5.15,ok,6978858.0,ATXG,,5.556666666666666,38779187.62,42950722.0,0.9028762687621409
1662681600,5.26,4.69,5.2949,4.53,ok,3866205.0,ATXG,,4.8383,18705859.6515,46816927.0,0.39955334213841076
1662940800,4.62,4.5,4.71,4.13,ok,3619250.0,ATXG,,4.446666666666666,16093598.333333332,50436177.0,0.3190883863646789
1663027200,4.33,4.08,4.49,4.01,ok,2024509.0,ATXG,,4.193333333333333,8489441.073333334,52460686.0,0.16182482008209603
1663113600,4.03,4.78,6.24,3.81,ok,29055322.0,ATXG,,4.943333333333334,143630141.75333336,81516008.0,1.7619869431453679
1663200000,5.7,5.4,7.51,5.3,ok,42744202.0,ATXG,,6.07,259457306.14000002,124260210.0,2.0880159959491458
1663286400,4.91,4.47,5.34,4.38,ok,4166843.0,ATXG,,4.7299999999999995,19709167.389999997,128427053.0,0.15346585419195127
1663545600,4.23,4.84,5.15,4.0,ok,3950736.0,ATXG,,4.663333333333333,18423598.88,132377789.0,0.13917439639364274
1663632000,4.74,4.39,4.7909,4.23,ok,738284.0,ATXG,0.3169234050982084,4.470300000000001,3300350.9652000004,133116073.0,0.02479303130584389
1663718400,4.31,4.14,4.64,4.1,ok,1480696.0,ATXG,0.3168027293773718,4.293333333333333,6357121.493333333,134596769.0,0.047230862527861524
1663804800,4.1,3.93,4.2499,3.62,ok,1448285.0,ATXG,6.880582203109498,3.9333000000000005,5696539.390500001,136045054.0,0.04187244756799465
1663891200,3.68,3.76,3.835,3.44,ok,1355168.0,ATXG,20.820820820820828,3.6783333333333332,4984759.626666667,137400222.0,0.03627912352766553
1664150400,3.71,3.32,3.99,3.32,ok,934464.0,ATXG,31.325301204819283,3.5433333333333334,3311117.44,138334686.0,0.023935554673540083
1664236800,3.35,3.2,3.477,3.09,ok,839653.0,ATXG,26.530612244897966,3.2556666666666665,2733630.2836666666,139174339.0,0.019641769476387932
1664323200,3.12,3.26,3.27,3.01,ok,844548.0,ATXG,32.051282051282044,3.1799999999999997,2685662.6399999997,140018887.0,0.019180716955706122
1664409600,3.13,2.98,3.18,2.91,ok,773316.0,ATXG,33.58925143953934,3.0233333333333334,2337992.04,140792203.0,0.01660597668181952
1664496000,3.01,2.83,3.05,2.69,ok,517569.0,ATXG,33.849129593810446,2.856666666666667,1478522.11,141309772.0,0.010462985603005574
1664755200,2.83,2.61,2.85,2.61,ok,388672.0,ATXG,35.21126760563381,2.69,1045527.6799999999,141698444.0,0.007378540303519494
1664841600,2.72,2.64,2.8,2.6,ok,710741.0,ATXG,25.116279069767444,2.68,1904785.8800000001,142409185.0,0.013375442602245075
1664928000,2.68,2.68,2.79,2.53,ok,526362.0,ATXG,13.44086021505376,2.6666666666666665,1403632.0,142935547.0,0.009820034480296214
1665014400,2.69,3.44,4.29,2.6501,ok,15834907.0,ATXG,35.49295774647888,3.4600333333333335,54789306.050233334,158770454.0,0.34508502476306663
1665100800,3.14,2.85,3.2944,2.81,ok,1382864.0,ATXG,23.607427055702917,2.9848,4127572.4672,160153318.0,0.025772631617910033
1665360000,2.75,2.61,2.8367,2.53,ok,526220.0,ATXG,25.0,2.6588999999999996,1399166.3579999998,160679538.0,0.008707806702804933
1665446400,2.61,2.72,3.06,2.6,ok,1353054.0,ATXG,29.239766081871338,2.7933333333333334,3779530.8400000003,162032592.0,0.02332574448972587
1665532800,2.72,2.82,3.229,2.72,ok,679122.0,ATXG,33.23262839879153,2.923,1985073.6060000001,162711714.0,0.01219994281419714
1665619200,2.75,2.77,2.88,2.62,ok,495887.0,ATXG,34.48275862068965,2.7566666666666664,1366995.163333333,163207601.0,0.008375805752658132
