t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,0.925,0.8562,0.925,0.85,ok,431810.0,AYRO,,0.8770666666666666,378726.1573333333,431810.0,0.8770666666666666
1652227200,0.8162,0.7753,0.87,0.7706,ok,374527.0,AYRO,,0.8053,301606.5931,806337.0,0.3740453347669771
1652313600,0.74,0.81,0.8555,0.735,ok,327133.0,AYRO,,0.8001666666666667,261760.92216666669,1133470.0,0.2309376711925915
1652400000,0.8424,0.9435,0.96,0.8356,ok,511413.0,AYRO,,0.9130333333333333,466937.1161,1644883.0,0.2838725405393575
1652659200,0.97,0.93,0.97,0.906,ok,226566.0,AYRO,,0.9353333333333333,211914.73200000002,1871449.0,0.11323564361091326
1652745600,0.95,1.01,1.01,0.94,ok,392880.0,AYRO,,0.9866666666666667,387641.60000000003,2264329.0,0.17119491028026407
1652832000,0.96,0.9602,1.01,0.94,ok,246486.0,AYRO,,0.9700666666666667,239107.85240000003,2510815.0,0.09523117091462335
1652918400,0.9588,1.02,1.02,0.94,ok,335462.0,AYRO,,0.9933333333333333,333225.58666666667,2846277.0,0.11707419434814906
1653004800,1.02,0.9807,1.02,0.941,ok,230282.0,AYRO,,0.9805666666666667,225806.85313333335,3076559.0,0.07339591183960176
1653264000,1.0,1.01,1.02,0.9501,ok,136168.0,AYRO,,0.9933666666666667,135264.75226666668,3212727.0,0.04210278441544105
1653350400,0.9958,0.9685,1.0002,0.9424,ok,258003.0,AYRO,,0.9703666666666667,250357.5111,3470730.0,0.07213396348894902
1653436800,0.95,1.0,1.02,0.94,ok,176013.0,AYRO,,0.9866666666666667,173666.16,3646743.0,0.047622264579653684
1653523200,1.0,1.0,1.04,0.9912,ok,774506.0,AYRO,,1.0104,782560.8624,4421249.0,0.17699995236640143
1653609600,1.02,1.04,1.04,1.0,ok,235478.0,AYRO,64.49984222152099,1.0266666666666666,241757.41333333333,4656727.0,0.05191573681114081
1653955200,1.04,1.05,1.06,1.03,ok,234019.0,AYRO,65.05125815470643,1.0466666666666666,244939.88666666666,4890746.0,0.05008231600387071
1654041600,1.032,1.04,1.06,1.03,ok,248466.0,AYRO,73.10176296037704,1.0433333333333332,259232.86,5139212.0,0.050442141713554524
1654128000,1.05,1.03,1.07,1.01,ok,320430.0,AYRO,70.06566946369938,1.0366666666666668,332179.10000000003,5459642.0,0.06084265232042688
1654214400,1.03,1.03,1.04,1.02,ok,181532.0,AYRO,60.42922594646733,1.03,186977.96,5641174.0,0.033145221189773616
1654473600,1.0,1.03,1.04,0.99,ok,248498.0,AYRO,62.46261216350948,1.0200000000000002,253467.96000000005,5889672.0,0.04303600607979528
1654560000,1.02,1.015,1.04,0.9811,ok,359189.0,AYRO,50.74360499702557,1.0120333333333333,363511.24096666666,6248861.0,0.058172399892823135
1654646400,1.0,1.07,1.07,1.0,ok,306521.0,AYRO,66.08084358523725,1.0466666666666669,320825.3133333334,6555382.0,0.04894075026189677
1654732800,1.05,1.04,1.05,1.03,ok,149444.0,AYRO,53.20924261874198,1.04,155421.76,6704826.0,0.0231805806742785
1654819200,1.01,1.0,1.03,1.0,ok,121341.0,AYRO,53.08997758565481,1.01,122554.41,6826167.0,0.01795362023812192
1655078400,0.96,0.8998,0.9735,0.8998,ok,325898.0,AYRO,35.62108559498958,0.9243666666666667,301249.24793333333,7152065.0,0.042120597049010784
1655164800,0.9,0.8651,0.911,0.86,ok,184540.0,AYRO,36.26461211477153,0.8786999999999999,162155.29799999998,7336605.0,0.022102225484403205
1655251200,0.89,0.8805,0.9113,0.87,ok,137278.0,AYRO,33.416597280044414,0.8872666666666666,121802.19346666666,7473883.0,0.016297043112217125
1655337600,0.8831,0.8211,0.8831,0.7884,ok,285999.0,AYRO,28.687157493447728,0.8308666666666666,237627.03579999998,7759882.0,0.030622506347390333
1655424000,0.84,0.8695,0.91,0.8321,ok,298073.0,AYRO,30.086428404578385,0.8705333333333334,259482.4822666667,8057955.0,0.03220202672597038
1655769600,0.8925,0.89,0.9301,0.88,ok,189079.0,AYRO,31.76014591883265,0.9000333333333334,170177.40263333335,8247034.0,0.02063498254443153
1655856000,0.8902,0.8967,0.9257,0.87,ok,206771.0,AYRO,33.54008729611763,0.8974666666666667,185570.08013333334,8453805.0,0.02195107175210847
1655942400,0.9106,0.9101,0.915,0.894,ok,100836.0,AYRO,36.33462502849328,0.9063666666666667,91394.3892,8554641.0,0.0106836031108728
1656028800,0.91,0.9488,0.9587,0.91,ok,93703.0,AYRO,41.49560117302053,0.9391666666666666,88002.73416666666,8648344.0,0.010175674576157779
1656288000,0.96,0.945,0.96,0.93,ok,85905.0,AYRO,41.16791354945968,0.945,81180.22499999999,8734249.0,0.00929447111022367
1656374400,0.94,0.9144,0.9499,0.9056,ok,80973.0,AYRO,39.87520128824477,0.9232999999999999,74762.3709,8815222.0,0.0084810536705712
1656460800,0.9226,0.86,0.9226,0.8522,ok,69602.0,AYRO,28.83917775090687,0.8782666666666666,61129.116533333334,8884824.0,0.006880171912615639
1656547200,0.85,0.8379,0.8998,0.76,ok,275830.0,AYRO,29.30575465902109,0.8325666666666667,229646.86366666667,9160654.0,0.025068828455552045
1656633600,0.8451,0.845,0.8576,0.8214,ok,65064.0,AYRO,32.98199385155907,0.8413333333333334,54740.512,9225718.0,0.0059334690264757715
1656979200,0.84,0.8704,0.8788,0.8295,ok,63483.0,AYRO,46.13767735155017,0.8595666666666667,54567.8707,9289201.0,0.005874334154250726
1657065600,0.88,0.8872,0.9,0.875,ok,81175.0,AYRO,53.04659498207886,0.8874,72034.69499999999,9370376.0,0.007687492476289104
1657152000,0.87,0.9158,0.942,0.87,ok,106230.0,AYRO,54.69539771215749,0.9092666666666666,96591.39799999999,9476606.0,0.010192615162010532
1657238400,0.93,0.9315,0.96,0.9086,ok,153777.0,AYRO,66.61649608669475,0.9333666666666666,143530.3259,9630383.0,0.014903906303622608
1657497600,0.905,0.9193,0.93,0.89,ok,45356.0,AYRO,58.41216216216216,0.9131,41414.5636,9675739.0,0.004280248113348242
1657584000,0.98,0.9113,1.0,0.9,ok,263665.0,AYRO,53.75661375661376,0.9371,247080.4715,9939404.0,0.02485868081224991
1657670400,0.92,0.9113,0.92,0.8901,ok,98711.0,AYRO,52.63728323699421,0.9071333333333333,89544.03846666667,10038115.0,0.008920403727857936
1657756800,0.9289,0.9482,0.96,0.8932,ok,104312.0,AYRO,56.34365634365634,0.9338000000000001,97406.54560000001,10142427.0,0.009603869527480949
1657843200,0.96,0.9116,0.96,0.9016,ok,81291.0,AYRO,43.76257545271629,0.9244,75145.4004,10223718.0,0.007350104961815261
1658102400,0.9281,0.9148,0.9391,0.9034,ok,85096.0,AYRO,44.9260752688172,0.9190999999999999,78211.73359999999,10308814.0,0.00758687988744389
1658188800,0.93,0.9422,0.96,0.9162,ok,156441.0,AYRO,54.72146739130435,0.9394666666666667,146971.1048,10465255.0,0.0140437194124749
1658275200,0.9386,0.973,1.02,0.93,ok,454414.0,AYRO,70.86410635155094,0.9743333333333334,442750.7073333334,10919669.0,0.04054616557821793
1658361600,0.9629,1.01,1.02,0.9507,ok,194127.0,AYRO,80.1190059502975,0.9935666666666666,192878.1163,11113796.0,0.01735483684422496
1658448000,1.02,0.9791,1.02,0.97,ok,124882.0,AYRO,71.66397415185781,0.9897,123595.7154,11238678.0,0.010997353549946
1658707200,0.974,0.942,1.0,0.942,ok,63789.0,AYRO,61.14570361145702,0.9613333333333333,61322.492,11302467.0,0.005425584697570893
1658793600,0.96,0.9,0.9799,0.9,ok,73203.0,AYRO,51.847575057736734,0.9266333333333333,67832.33989999999,11375670.0,0.00596293140535898
1658880000,0.92,0.875,0.929,0.86,ok,219534.0,AYRO,44.04900816802802,0.888,194946.192,11595204.0,0.016812657371099292
1658966400,0.88,0.8994,0.92,0.88,ok,130947.0,AYRO,45.43385490753912,0.8997999999999999,117826.11059999999,11726151.0,0.010048148842702092
1659052800,0.9,0.9139,0.918,0.86,ok,123453.0,AYRO,49.236856981345404,0.8973,110774.3769,11849604.0,0.009348361084471684
1659312000,0.91,0.9299,0.9375,0.9,ok,130051.0,AYRO,52.57048092868988,0.9224666666666667,119967.71246666666,11979655.0,0.01001428776259973
1659398400,0.928,0.9535,0.9589,0.9023,ok,119214.0,AYRO,55.47483134405812,0.9382333333333334,111850.54860000001,12098869.0,0.00924471110481484
1659484800,0.98,1.02,1.03,0.9601,ok,408443.0,AYRO,58.65060240963855,1.0033666666666667,409818.09143333335,12507312.0,0.03276628035131236
1659571200,1.03,1.02,1.03,1.0,ok,223491.0,AYRO,64.32346723044398,1.0166666666666668,227215.85000000003,12730803.0,0.017847723352564644
1659657600,1.02,1.024,1.03,0.9909,ok,64893.0,AYRO,64.3987341772152,1.0149666666666668,65864.23190000001,12795696.0,0.005147373921668662
1659916800,1.03,1.08,1.09,1.02,ok,820620.0,AYRO,66.89553702795489,1.0633333333333335,872592.6000000001,13616316.0,0.06408433823069325
1660003200,1.1,1.08,1.13,1.0712,ok,309945.0,AYRO,64.19098143236076,1.0937333333333334,338997.178,13926261.0,0.02434229675862028
1660089600,1.08,1.09,1.14,1.08,ok,466773.0,AYRO,61.42857142857144,1.1033333333333333,515006.20999999996,14393034.0,0.03578162950216056
1660176000,1.11,1.005,1.1425,1.0,ok,269369.0,AYRO,53.2046523137837,1.0491666666666666,282612.97583333333,14662403.0,0.01927466976820466
1660262400,1.03,1.12,1.12,1.03,ok,300550.0,AYRO,68.46473029045643,1.09,327599.5,14962953.0,0.021894040568061664
1660521600,1.13,1.13,1.15,1.1,ok,258673.0,AYRO,75.55555555555553,1.1266666666666667,291438.2466666667,15221626.0,0.019146328169320853
1660608000,1.15,1.07,1.15,1.05,ok,259648.0,AYRO,70.10309278350516,1.09,283016.32,15481274.0,0.018281203472013997
1660694400,1.04,1.03,1.1012,1.03,ok,164641.0,AYRO,63.04434678385937,1.0537333333333334,173487.70973333335,15645915.0,0.011088370973083603
1660780800,1.02,1.01,1.0389,1.0,ok,124186.0,AYRO,59.494171112428376,1.0163,126210.2318,15770101.0,0.008003134019243123
1660867200,1.02,0.96,1.02,0.95,ok,217336.0,AYRO,52.78652101462692,0.9766666666666666,212264.82666666666,15987437.0,0.013276976582717209
1661126400,0.92,0.9149,0.9804,0.91,ok,99472.0,AYRO,46.56339031339032,0.9350999999999999,93016.26719999999,16086909.0,0.0057821093660690185
1661212800,0.9,0.91,0.9498,0.9,ok,83920.0,AYRO,39.0,0.9199333333333334,77200.80533333334,16170829.0,0.004774078393465996
1661299200,0.92,0.9166,0.9567,0.9103,ok,78107.0,AYRO,39.79470983024081,0.9278666666666666,72472.88173333333,16248936.0,0.00446016168279162
1661385600,0.9205,0.93,0.96,0.92,ok,64437.0,AYRO,40.891472868217065,0.9366666666666666,60355.99,16313373.0,0.003699786058959113
1661472000,0.93,0.8906,0.9599,0.8821,ok,129984.0,AYRO,31.03724469363236,0.9108666666666667,118398.09280000001,16443357.0,0.007200360169763389
1661731200,0.88,0.8958,0.9099,0.88,ok,120887.0,AYRO,31.747919143876345,0.8952333333333334,108222.07196666668,16564244.0,0.006533474873146441
1661817600,0.8958,0.8969,0.9214,0.8725,ok,113611.0,AYRO,30.52249344361509,0.8969333333333335,101901.49293333334,16677855.0,0.0061099879410951435
1661904000,0.8949,0.8906,0.9203,0.868,ok,125947.0,AYRO,36.28297362110313,0.8929666666666667,112466.47276666667,16803802.0,0.00669291823163988
1661990400,0.89,0.8459,0.9,0.843,ok,206063.0,AYRO,10.470147101240244,0.8629666666666665,177825.5002333333,17009865.0,0.010454256999296191
1662076800,0.8579,0.8317,0.8851,0.8277,ok,157226.0,AYRO,7.495012824166466,0.8481666666666667,133353.85233333334,17167091.0,0.007767993560081516
1662422400,0.87,0.8256,0.8704,0.8216,ok,167376.0,AYRO,8.855218855218894,0.8392,140461.9392,17334467.0,0.008103043445177748
1662508800,0.84,0.8412,0.87,0.83,ok,81460.0,AYRO,15.3705062362436,0.8470666666666666,69002.05066666666,17415927.0,0.003962008491805613
1662595200,0.85,0.85,0.86,0.8311,ok,69766.0,AYRO,19.39556235654172,0.8470333333333334,59094.12753333334,17485693.0,0.0033795702311217144
1662681600,0.85,0.8392,0.89,0.8301,ok,155005.0,AYRO,22.817281728172844,0.8531,132234.7655,17640698.0,0.007496005288452873
1662940800,0.85,0.8515,0.87,0.84,ok,65789.0,AYRO,33.262935586061275,0.8538333333333333,56172.841166666665,17706487.0,0.0031724441537537436
1663027200,0.84,0.8144,0.8499,0.81,ok,143502.0,AYRO,28.42960288808668,0.8247666666666666,118355.66619999999,17849989.0,0.006630573621081783
1663113600,0.81,0.8288,0.8405,0.81,ok,152542.0,AYRO,30.863121185701857,0.8264333333333335,126065.79353333336,18002531.0,0.0070026705430105
1663200000,0.83,0.8194,0.8407,0.812,ok,75296.0,AYRO,25.465838509316782,0.8240333333333334,62046.41386666667,18077827.0,0.0034321831858810615
1663286400,0.812,0.8098,0.8261,0.8,ok,290006.0,AYRO,29.345603271983663,0.8119666666666667,235475.20513333334,18367833.0,0.012819977464588956
1663545600,0.8,0.7878,0.814,0.77,ok,125663.0,AYRO,24.57627118644068,0.7906,99349.1678,18493496.0,0.0053721139475197115
1663632000,0.79,0.7798,0.79,0.7611,ok,72148.0,AYRO,23.301413588691304,0.7769666666666666,56056.59106666666,18565644.0,0.0030193722914576334
1663718400,0.77,0.7423,0.78,0.7423,ok,163835.0,AYRO,20.399201596806407,0.7548666666666666,123673.58033333332,18729479.0,0.006603151125203927
1663804800,0.75,0.7158,0.76,0.711,ok,137166.0,AYRO,21.997417133017663,0.7289333333333333,99984.8696,18866645.0,0.005299557478290391
1663891200,0.6912,0.678,0.7238,0.66,ok,182143.0,AYRO,19.968737788198524,0.6872666666666666,125180.81246666666,19048788.0,0.006571589356061218
1664150400,0.6707,0.6515,0.6935,0.65,ok,131205.0,AYRO,18.49439015562794,0.665,87251.32500000001,19179993.0,0.004549080127401507
1664236800,0.67,0.635,0.685,0.62,ok,126347.0,AYRO,12.806637806637838,0.6466666666666667,81704.39333333334,19306340.0,0.004231998055215714
1664323200,0.649,0.64,0.6528,0.6195,ok,139536.0,AYRO,11.594732991953194,0.6374333333333334,88944.89760000001,19445876.0,0.004573972270521524
1664409600,0.64,0.6147,0.6578,0.6,ok,158531.0,AYRO,11.010767627648503,0.6241666666666666,98949.76583333332,19604407.0,0.0050473225654483365
1664496000,0.609,0.59,0.62,0.57,ok,172370.0,AYRO,6.46020646020645,0.5933333333333333,102272.86666666665,19776777.0,0.00517136167671136
1664755200,0.6149,0.5906,0.6563,0.58,ok,223263.0,AYRO,7.581501137225175,0.6089666666666667,135959.7249,20000040.0,0.006797972649054702
1664841600,0.6179,0.61,0.62,0.61,ok,118690.0,AYRO,9.30059523809524,0.6133333333333333,72796.53333333333,20118730.0,0.0036183463535388828
1664928000,0.6,0.6033,0.62,0.6,ok,108685.0,AYRO,9.394964299135664,0.6077666666666667,66055.12016666667,20227415.0,0.003265623420821033
1665014400,0.6,0.59,0.615,0.5812,ok,79830.0,AYRO,9.26612305411416,0.5954,47530.78200000001,20307245.0,0.0023405824866937885
1665100800,0.609,0.5736,0.61,0.57,ok,132960.0,AYRO,9.46252838758518,0.5845333333333333,77719.552,20440205.0,0.003802288284290691
1665360000,0.585,0.5742,0.6597,0.56,ok,121680.0,AYRO,9.968847352024936,0.5979666666666666,72760.584,20561885.0,0.0035386144801412907
1665446400,0.58,0.55,0.58,0.55,ok,122173.0,AYRO,10.513347022587284,0.5599999999999999,68416.87999999999,20684058.0,0.003307710701642782
1665532800,0.55,0.525,0.5899,0.519,ok,103718.0,AYRO,10.578512396694222,0.5446333333333334,56488.28006666667,20787776.0,0.002717379678647041
1665619200,0.53,0.5081,0.6,0.504,ok,1158075.0,AYRO,11.578471279963836,0.5373666666666667,622310.9025,21945851.0,0.028356653952494253
1665705600,0.548,0.5198,0.548,0.505,ok,131404.0,AYRO,18.080465341735376,0.5242666666666667,68890.73706666667,22077255.0,0.0031204394326498773
1665964800,0.53,0.5374,0.57,0.525,ok,180039.0,AYRO,26.47058823529413,0.5441333333333334,97965.2212,22257294.0,0.004401488392973558
1666051200,0.58,0.62,0.625,0.56,ok,222472.0,AYRO,46.49122807017543,0.6016666666666667,133853.98666666666,22479766.0,0.00595442081855597
1666137600,0.62,0.5651,0.633,0.565,ok,151448.0,AYRO,42.11697393515576,0.5877,89005.9896,22631214.0,0.00393288621635587
1666224000,0.55,0.5655,0.5849,0.545,ok,95386.0,AYRO,45.7802273510162,0.5651333333333334,53905.80813333334,22726600.0,0.002371925766869366
1666310400,0.5575,0.5607,0.5748,0.5507,ok,70928.0,AYRO,44.92359932088284,0.5620666666666666,39866.26453333333,22797528.0,0.0017487099712448352
1666569600,0.57,0.5677,0.5949,0.56,ok,172567.0,AYRO,42.5026586316909,0.5741999999999999,99087.9714,22970095.0,0.004313781523324131
1666656000,0.5606,0.5822,0.5892,0.5601,ok,70490.0,AYRO,46.36081407381858,0.5771666666666667,40684.47833333334,23040585.0,0.0017657745379873531
1666742400,0.5832,0.6202,0.645,0.58,ok,106902.0,AYRO,54.79974570883662,0.6150666666666668,65751.85680000001,23147487.0,0.002840561344736904
1666828800,0.62,0.585,0.63,0.5815,ok,126921.0,AYRO,51.70965806838632,0.5988333333333333,76004.5255,23274408.0,0.003265583618711161
1666915200,0.5964,0.6019,0.6289,0.5751,ok,102162.0,AYRO,53.96053760366028,0.6019666666666666,61498.1186,23376570.0,0.002630758858121615
1667174400,0.6187,0.613,0.6379,0.5977,ok,107854.0,AYRO,59.35828877005347,0.6162,66459.6348,23484424.0,0.002829945277772195
1667260800,0.5919,0.605,0.63,0.59,ok,116060.0,AYRO,62.51564455569461,0.6083333333333333,70603.16666666666,23600484.0,0.002991598251403092
1667347200,0.5989,0.5998,0.63,0.58,ok,113028.0,AYRO,64.8911984410523,0.6032666666666667,68186.02480000001,23713512.0,0.0028754081133153123
1667433600,0.6115,0.5725,0.6115,0.555,ok,175652.0,AYRO,58.145285935085006,0.5796666666666667,101819.60933333333,23889164.0,0.0042621671203451625
1667520000,0.57,0.5647,0.5974,0.56,ok,107359.0,AYRO,54.3512910423972,0.5740333333333333,61627.64463333333,23996523.0,0.00256819059300105
1667779200,0.58,0.565,0.583,0.5525,ok,85618.0,AYRO,38.11581676750215,0.5668333333333333,48531.13633333333,24082141.0,0.0020152334600704036
1667865600,0.55,0.5475,0.574,0.5474,ok,65957.0,AYRO,45.46391752577318,0.5562999999999999,36691.87909999999,24148098.0,0.0015194521365616452
1667952000,0.5475,0.506,0.5475,0.5,ok,299442.0,AYRO,37.34581029349213,0.5178333333333333,155061.04899999997,24447540.0,0.006342603345776302
1668038400,0.506,0.5501,0.5625,0.5059,ok,144451.0,AYRO,48.068513119533534,0.5395,77931.3145,24591991.0,0.003168971332983978
1668124800,0.5507,0.5947,0.6,0.5507,ok,106774.0,AYRO,54.32692307692308,0.5818,62121.1132,24698765.0,0.0025151505834401034
