t,o,c,h,l,s,v,Ticker
1652140800,3.12,3.11,3.2299,2.95,ok,203829.0,BFRI
1652227200,2.98,2.7,3.12,2.7,ok,328660.0,BFRI
1652313600,2.64,2.85,2.97,2.6255,ok,326205.0,BFRI
1652400000,2.87,2.77,3.1199,2.65,ok,782607.0,BFRI
1652659200,2.6,2.62,2.7,2.59,ok,177574.0,BFRI
1652745600,2.74,2.68,2.74,2.59,ok,312605.0,BFRI
1652832000,2.6,2.61,2.68,2.44,ok,235258.0,BFRI
1652918400,2.59,2.8,2.8,2.56,ok,289513.0,BFRI
1653004800,2.86,2.88,2.91,2.73,ok,265385.0,BFRI
1653264000,2.92,2.88,2.93,2.73,ok,83198.0,BFRI
1653350400,2.89,2.68,3.01,2.655,ok,397974.0,BFRI
1653436800,2.64,2.75,2.8,2.64,ok,106695.0,BFRI
1653523200,2.83,2.87,2.955,2.7506,ok,150137.0,BFRI
1653609600,2.87,2.94,2.95,2.82,ok,107272.0,BFRI
1653955200,2.97,2.87,3.01,2.845,ok,96165.0,BFRI
1654041600,2.87,2.74,2.97,2.73,ok,85086.0,BFRI
1654128000,2.74,2.74,2.84,2.66,ok,90988.0,BFRI
1654214400,2.86,2.69,2.86,2.62,ok,96202.0,BFRI
1654473600,2.69,2.51,2.7686,2.47,ok,227044.0,BFRI
1654560000,2.39,2.54,2.59,2.39,ok,176048.0,BFRI
1654646400,2.53,2.45,2.7118,2.4375,ok,221144.0,BFRI
1654732800,2.43,2.4,2.54,2.38,ok,173415.0,BFRI
1654819200,2.34,2.29,2.46,2.17,ok,415996.0,BFRI
1655078400,2.16,2.07,2.25,1.95,ok,398592.0,BFRI
1655164800,2.11,2.07,2.27,2.0,ok,513410.0,BFRI
1655251200,2.1,2.09,2.21,2.04,ok,186470.0,BFRI
1655337600,2.16,1.99,2.16,1.95,ok,154304.0,BFRI
1655424000,2.07,2.07,2.1,1.99,ok,166252.0,BFRI
1655769600,2.05,2.05,2.25,2.01,ok,484851.0,BFRI
1655856000,2.02,1.99,2.13,1.96,ok,173270.0,BFRI
1655942400,2.05,2.13,2.18,1.99,ok,429518.0,BFRI
1656028800,2.13,2.09,2.2,2.01,ok,469524.0,BFRI
1656288000,2.09,1.95,2.09,1.908,ok,605937.0,BFRI
1656374400,1.97,1.9,1.9899,1.81,ok,483031.0,BFRI
1656460800,1.82,1.88,1.99,1.8,ok,229922.0,BFRI
1656547200,1.91,1.86,1.91,1.8,ok,117156.0,BFRI
1656633600,1.9,1.8,1.94,1.77,ok,113791.0,BFRI
