t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,33.53,32.43,34.49,31.815,ok,1373026,BIG,,32.91166666666667,45188574.03666667,1373026,32.91166666666667,,0
1652227200,32.5,30.97,32.99,30.45,ok,960586,BIG,,31.47,30229641.42,2333612,12.954013529241363,,0
1652313600,31.01,33.39,33.58,30.89,ok,1234775,BIG,,32.62,40278360.5,3568387,11.287553872379874,,0
1652400000,33.58,33.5,34.26,33.1,ok,746266,BIG,,33.62,25089462.92,4314653,5.814943384786679,,0
1652659200,33.5,32.64,34.03,32.55,ok,756428,BIG,,33.07333333333333,25017595.386666663,5071081,4.933385088241868,,0
1652745600,32.46,32.86,33.39,32.17,ok,1144897,BIG,,32.806666666666665,37560254.24666666,6215978,6.04253333050192,,0
1652832000,30.06,29.0,30.07,27.48,ok,3058527,BIG,,28.85,88238503.94999999,9274505,9.51409309176069,-0.10576626580326853,0
1652918400,28.8,29.31,30.15,27.8,ok,1477531,BIG,,29.08666666666667,42976451.68666667,10752036,3.9970524360843536,-0.053600258314497884,0
1653004800,29.0,27.54,29.28,26.62,ok,1784166,BIG,,27.813333333333333,49623603.68,12536202,3.958424064960025,-0.17520215633423186,0
1653264000,28.02,27.09,28.3,26.66,ok,1428959,BIG,,27.35,39082028.65,13965161,2.7985376359069543,-0.19134328358208952,0
1653350400,25.42,26.23,26.33,24.87,ok,1631494,BIG,,25.81,42108860.14,15596655,2.69986481973218,-0.19638480392156865,0
1653436800,25.91,29.93,30.38,25.79,ok,2228155,BIG,,28.7,63948048.5,17824810,3.587586543699484,-0.08916615946439443,0
1653523200,31.38,30.65,32.25,30.16,ok,3199681,BIG,,31.02,99254104.62,21024491,4.720880263878922,0.05689655172413799,0
1653609600,26.4,26.94,28.89,25.6,ok,10168489,BIG,36.577017114914426,27.14333333333333,276006686.42333335,31192980,8.848359035376978,-0.08085977482088014,0
1653955200,26.61,24.49,26.61,24.11,ok,4796250,BIG,32.66375545851528,25.07,120241987.5,35989230,3.3410547405432123,-0.11074800290486564,0
1654041600,24.455,22.63,25.0899,22.56,ok,3044205,BIG,32.103004291845494,23.42663333333333,71315474.3265,39033435,1.8270355741558488,-0.1646363971945367,0
1654128000,22.32,23.77,23.8,22.2612,ok,2032511,BIG,28.15622161671208,23.277066666666663,47310894.04773333,41065946,1.1520712087755955,-0.09378574151734653,0
1654214400,23.5,23.91,24.49,23.49,ok,1514468,BIG,28.25396825396824,23.96333333333333,36291701.50666667,42580414,0.8523097381501896,-0.20113598396257937,0
1654473600,23.81,23.81,23.9,22.65,ok,1581233,BIG,29.262564584311875,23.453333333333333,37085184.626666665,44161647,0.8397599986854355,-0.2231647634584013,0
1654560000,23.18,24.2,24.325,22.6,ok,1545953,BIG,29.822926374650507,23.70833333333333,36651969.04166666,45707600,0.801879097604483,-0.1017074981440238,0
1654646400,24.5,24.97,25.64,24.0001,ok,1885007,BIG,39.03102885138813,24.870033333333332,46880186.92356667,47592607,0.9850308667387494,0.019599836668027892,0
1654732800,24.19,24.78,25.2,23.959,ok,1295827,BIG,37.58904109589041,24.64633333333333,31937384.18433333,48888434,0.6532707548851602,0.09500662836942131,0
1654819200,24.02,23.7,24.38,23.2,ok,1419743,BIG,39.066059225512525,23.76,33733093.68,50308177,0.6705290410344227,-0.002944888514934796,0
1655078400,23.01,23.17,23.87,22.55,ok,2062404,BIG,38.88888888888889,23.19666666666667,47840898.120000005,52370581,0.9135071104137646,-0.03094939355918014,0
1655164800,23.21,22.78,23.94,22.555,ok,1512996,BIG,39.95340710541642,23.09166666666667,34937599.300000004,53883577,0.6483904975350839,-0.04325913481730359,0
1655251200,23.16,22.68,23.7,22.35,ok,1360473,BIG,23.28666175386884,22.91,31168436.43,55244050,0.5641953555179244,-0.06280991735537189,0
1655337600,22.08,21.62,22.094,20.76,ok,1746723,BIG,17.54133716750539,21.491333333333333,37539406.234,56990773,0.6586927016062758,-0.13416099319183017,0
1655424000,21.74,21.42,21.83,20.41,ok,2802252,BIG,23.461538461538467,21.22,59463787.44,59793025,0.9944937129372532,-0.13559322033898302,0
