t,o,c,h,l,s,v,Ticker
1683057600,7.36,7.36,7.36,7.36,ok,448,BIVI
1683115200,7.74,7.74,7.74,7.74,ok,202,BIVI
1683118800,7.39,7.53,7.53,7.39,ok,594,BIVI
1683122400,7.51,7.61,7.65,7.5,ok,4459,BIVI
1683129600,7.55,7.55,7.55,7.55,ok,241,BIVI
1683133200,7.5,7.55,7.55,7.5,ok,1424,BIVI
1683136800,7.52,7.41,7.52,7.35,ok,7847,BIVI
1683140400,7.41,7.33,7.41,7.18,ok,17081,BIVI
1683205200,7.35,7.3,7.45,7.3,ok,6964,BIVI
1683208800,7.42,7.37,7.42,7.31,ok,2545,BIVI
1683212400,7.26,7.28,7.28,7.26,ok,1286,BIVI
1683216000,7.38,7.44,7.44,7.38,ok,3145,BIVI
1683219600,7.49,7.42,7.51,7.42,ok,2818,BIVI
1683223200,7.35,7.39,7.42,7.32,ok,14500,BIVI
1683226800,7.37,7.34,7.44,7.27,ok,35637,BIVI
1683291600,7.4,7.55,7.68,7.4,ok,9027,BIVI
1683295200,7.6,7.58,7.65,7.58,ok,8266,BIVI
1683298800,7.6,7.64,7.67,7.6,ok,3070,BIVI
1683302400,7.68,7.79,7.83,7.68,ok,7927,BIVI
1683306000,7.81,7.8,7.87,7.77,ok,8652,BIVI
1683309600,7.89,8.09,8.09,7.89,ok,46559,BIVI
1683313200,8.06,8.18,8.24,7.95,ok,97928,BIVI
1683547200,8.1,8.1,8.1,8.1,ok,100,BIVI
1683550800,8.08,7.82,8.08,7.82,ok,7069,BIVI
1683554400,8.1,7.99,8.1,7.99,ok,6941,BIVI
1683558000,8.02,8.0,8.02,7.85,ok,10627,BIVI
1683561600,8.06,8.18,8.3,8.06,ok,23788,BIVI
1683565200,8.2,8.09,8.235,8.085,ok,13046,BIVI
1683568800,8.06,8.26,8.26,8.05,ok,12018,BIVI
1683572400,8.21,8.33,8.37,8.19,ok,23742,BIVI
1683637200,8.22,8.42,8.5,8.22,ok,23648,BIVI
1683640800,8.23,8.2,8.23,8.16,ok,3269,BIVI
1683644400,8.18,8.14,8.2,8.03,ok,16018,BIVI
1683648000,8.16,8.3,8.3,8.13,ok,10125,BIVI
1683651600,8.32,8.24,8.35,8.24,ok,3970,BIVI
1683655200,8.34,8.35,8.45,8.34,ok,6363,BIVI
1683658800,8.38,8.33,8.4,8.3,ok,30775,BIVI
1683723600,8.44,8.4,8.6,8.4,ok,25046,BIVI
1683727200,8.4,8.27,8.4,8.27,ok,5699,BIVI
1683730800,8.3,8.35,8.35,8.22,ok,2824,BIVI
1683738000,8.34,8.13,8.34,8.07,ok,18524,BIVI
1683741600,8.11,8.14,8.14,8.1,ok,2324,BIVI
1683745200,8.16,8.03,8.16,8.03,ok,9160,BIVI
1683810000,7.95,7.85,7.96,7.85,ok,5638,BIVI
1683813600,7.9,7.93,7.97,7.86,ok,5061,BIVI
1683817200,7.98,8.11,8.11,7.98,ok,1212,BIVI
1683820800,8.1,8.05,8.1,8.05,ok,1343,BIVI
1683824400,7.95,7.75,7.95,7.69,ok,19091,BIVI
1683828000,7.83,7.77,7.85,7.77,ok,3430,BIVI
1683831600,7.75,7.82,7.85,7.75,ok,11112,BIVI
1683896400,7.77,7.85,7.85,7.77,ok,1700,BIVI
1683900000,7.8,7.7,7.8,7.7,ok,18551,BIVI
1683903600,7.645,7.75,7.75,7.645,ok,11522,BIVI
1683907200,7.72,7.605,7.72,7.6,ok,10341,BIVI
1683910800,7.595,7.55,7.63,7.55,ok,5429,BIVI
1683914400,7.53,7.5,7.53,7.455,ok,12586,BIVI
1683918000,7.43,7.4,7.465,7.37,ok,25447,BIVI
1684155600,7.5,7.55,7.55,7.5,ok,840,BIVI
1684159200,7.62,7.66,7.66,7.6,ok,2415,BIVI
1684162800,7.69,7.65,7.72,7.635,ok,12696,BIVI
1684166400,7.68,7.68,7.71,7.65,ok,4674,BIVI
1684170000,7.65,7.55,7.7,7.55,ok,11962,BIVI
1684173600,7.56,7.58,7.63,7.47,ok,22742,BIVI
1684177200,7.57,7.47,7.57,7.44,ok,25642,BIVI
1684242000,7.45,7.295,7.45,7.25,ok,10714,BIVI
1684245600,7.3,7.3,7.3,7.18,ok,17570,BIVI
1684249200,7.29,7.2,7.31,7.2,ok,8445,BIVI
1684252800,7.18,7.2,7.2,7.15,ok,9127,BIVI
1684256400,7.16,7.17,7.19,7.14,ok,8790,BIVI
1684260000,7.15,7.15,7.16,7.15,ok,6220,BIVI
1684263600,7.15,6.97,7.27,6.91,ok,77063,BIVI
1684278000,7.41,7.41,7.41,7.41,ok,500,BIVI
1684324800,7.5985,7.7,7.7,7.5985,ok,1350,BIVI
1684328400,7.21,7.07,7.25,7.03,ok,13197,BIVI
1684332000,7.065,6.9764,7.125,6.93,ok,44674,BIVI
1684335600,6.9745,6.9915,7.07,6.9577,ok,23029,BIVI
1684339200,7.03,7.06,7.09,7.0,ok,11915,BIVI
1684342800,7.03,7.18,7.26,7.03,ok,23043,BIVI
1684346400,7.16,7.215,7.273,7.155,ok,8046,BIVI
1684350000,7.22,7.17,7.2715,7.15,ok,30969,BIVI
