t,o,c,h,l,s,v,Ticker,RSI
1652140800,6.31,7.0,7.18,5.75,ok,333928.0,BLZE,
1652227200,6.89,5.99,7.19,5.855,ok,174102.0,BLZE,
1652313600,6.0,5.96,6.45,5.78,ok,192294.0,BLZE,
1652400000,6.25,6.16,6.47,5.9901,ok,278877.0,BLZE,
1652659200,6.01,6.27,6.43,5.73,ok,235808.0,BLZE,
1652745600,6.48,6.42,6.62,6.15,ok,171507.0,BLZE,
1652832000,6.35,6.04,6.39,5.95,ok,257939.0,BLZE,
1652918400,5.97,6.23,6.4,5.76,ok,135469.0,BLZE,
1653004800,6.23,5.85,6.2732,5.6,ok,166110.0,BLZE,
1653264000,6.0,5.75,6.1,5.675,ok,101322.0,BLZE,
1653350400,5.6038,5.48,5.795,5.28,ok,138444.0,BLZE,
1653436800,5.49,5.78,5.94,5.36,ok,75663.0,BLZE,
1653523200,5.71,6.04,6.16,5.7,ok,65817.0,BLZE,
1653609600,6.04,6.14,6.27,5.98,ok,194036.0,BLZE,37.64367816091953
1653955200,6.11,6.36,6.81,6.03,ok,159211.0,BLZE,41.351351351351354
1654041600,6.4,6.08,6.77,6.03,ok,72688.0,BLZE,51.515151515151516
1654128000,6.01,6.31,6.38,6.01,ok,161084.0,BLZE,55.52050473186119
1654214400,6.3,6.19,6.75,6.15,ok,119165.0,BLZE,50.48543689320388
1654473600,6.31,5.82,6.44,5.68,ok,157949.0,BLZE,43.28358208955225
1654560000,5.83,6.19,6.25,5.67,ok,75309.0,BLZE,46.77871148459385
1654646400,6.13,6.14,6.32,5.8719,ok,85979.0,BLZE,51.5432098765432
1654732800,6.07,5.86,6.07,5.82,ok,76376.0,BLZE,44.444444444444436
1654819200,5.72,5.54,5.7683,5.25,ok,145069.0,BLZE,45.25993883792049
1655078400,5.32,5.15,5.32,5.09,ok,99900.0,BLZE,41.57303370786517
1655164800,5.2,5.2,5.49,5.02,ok,93632.0,BLZE,45.808383233532936
1655251200,5.19,5.29,5.45,5.03,ok,95138.0,BLZE,42.17252396166134
1655337600,5.14,5.03,5.22,4.87,ok,99437.0,BLZE,33.86581469648563
1655424000,5.1,4.94,5.25,4.93,ok,143401.0,BLZE,30.769230769230774
1655769600,5.15,5.13,5.6,5.115,ok,87278.0,BLZE,30.097087378640765
1655856000,5.1,5.13,5.36,5.01,ok,77356.0,BLZE,33.09608540925265
1655942400,5.19,5.2,5.28,4.97,ok,100075.0,BLZE,29.056603773584897
1656028800,5.32,5.54,5.6,5.29,ok,66854.0,BLZE,38.6759581881533
1656288000,5.49,5.2,5.51,5.2,ok,78712.0,BLZE,39.08450704225351
1656374400,5.24,5.18,5.33,4.99,ok,261655.0,BLZE,29.718875502008018
1656460800,5.07,4.95,5.07,4.92,ok,59659.0,BLZE,27.715355805243448
1656547200,4.9,5.23,5.58,4.85,ok,124842.0,BLZE,38.20224719101124
1656633600,5.15,5.07,5.1739,4.85,ok,170335.0,BLZE,40.637450199203194
1656979200,5.0,5.44,5.47,5.0,ok,68680.0,BLZE,55.82329317269076
1657065600,5.38,5.17,5.5,5.15,ok,36404.0,BLZE,49.44649446494465
