t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1679356800,0.189,0.1508,0.1994,0.1125,ok,1646338.0,BNMV,,0.15423333333333333,253920.19753333332,1646338.0,0.15423333333333333
1679443200,0.15,0.1336,0.169899,0.133,ok,573982.0,BNMV,,0.14549966666666667,83514.18967266666,2220320.0,0.037613582579387954
1679529600,0.1537,0.1346,0.169,0.1255,ok,7026164.0,BNMV,,0.14303333333333332,1004975.6574666665,9246484.0,0.10868732995878937
1679616000,0.1338,0.12,0.1338,0.1175,ok,3069733.0,BNMV,,0.12376666666666665,379930.6209666666,12316217.0,0.030847996667050168
1679875200,0.126,0.1175,0.126,0.1005,ok,1674698.0,BNMV,,0.11466666666666665,192032.0373333333,13990915.0,0.013725480951984436
1679961600,0.114,0.1031,0.115,0.101,ok,1508021.0,BNMV,,0.10636666666666668,160403.16703333336,15498936.0,0.010349301851000182
1680048000,0.1145,0.117,0.13,0.1,ok,3346929.0,BNMV,,0.11566666666666668,387128.12100000004,18845865.0,0.020541806969327225
1680134400,0.1275,0.119,0.1299,0.11,ok,2370594.0,BNMV,,0.11963333333333333,283602.0622,21216459.0,0.01336707799355208
1680220800,0.1213,0.1172,0.133999,0.1116,ok,1634854.0,BNMV,,0.120933,197707.798782,22851313.0,0.008651922923728714
1680480000,0.125,0.119,0.125,0.1028,ok,1784453.0,BNMV,,0.1156,206282.76679999998,24635766.0,0.008373304357575079
1680566400,0.1177,0.1071,0.118,0.106,ok,923247.0,BNMV,,0.11036666666666665,101895.69389999998,25559013.0,0.003986683441179829
1680652800,0.107,0.1012,0.107,0.0912,ok,1332886.0,BNMV,,0.0998,133022.0228,26891899.0,0.004946546274028472
1680739200,0.1,0.109,0.11,0.0983,ok,1061428.0,BNMV,,0.10576666666666666,112263.70146666667,27953327.0,0.0040161123384943286
1681084800,0.1123,0.1093,0.1147,0.107,ok,507208.0,BNMV,28.18086225026288,0.11033333333333334,55961.94933333334,28460535.0,0.001966299977612274
1681171200,0.114,0.1096,0.114,0.1095,ok,561424.0,BNMV,28.40670859538784,0.11103333333333333,62336.77813333333,29021959.0,0.0021479176555012475
1681257600,0.1196,0.1161,0.1196,0.1114,ok,556950.0,BNMV,39.6694214876033,0.11569999999999998,64439.11499999999,29578909.0,0.002178549418438658
1681344000,0.1219,0.12,0.1219,0.1128,ok,807907.0,BNMV,41.66666666666666,0.11823333333333334,95521.53763333334,30386816.0,0.003143519137817313
1681430400,0.1164,0.1319,0.1358,0.116,ok,1518979.0,BNMV,57.00824499411072,0.1279,194277.41410000002,31905795.0,0.006089094915202709
1681689600,0.1365,0.134,0.137,0.1226,ok,1215851.0,BNMV,59.76331360946747,0.1312,159519.65120000002,33121646.0,0.004816175234769432
1681776000,0.147,0.117,0.147,0.11,ok,1654574.0,BNMV,57.97933409873709,0.12466666666666666,206270.22533333334,34776220.0,0.005931358420591236
1681862400,0.1119,0.105,0.11655,0.09,ok,7102108.0,BNMV,42.95774647887323,0.10385,737553.9158,41878328.0,0.01761182814652963
1681948800,0.1049,0.1022,0.1053,0.094,ok,1338075.0,BNMV,40.23255813953489,0.10049999999999999,134476.53749999998,43216403.0,0.0031117013023966842
1682035200,0.1022,0.105,0.1075,0.0977,ok,936203.0,BNMV,42.98850574712643,0.10339999999999999,96803.3902,44152606.0,0.002192472856528559
1682294400,0.1028,0.0935,0.103,0.0934,ok,909849.0,BNMV,36.81489141675284,0.09663333333333333,87921.7417,45062455.0,0.0019511085603303238
1682380800,0.0974,0.084,0.1029,0.0818,ok,1797512.0,BNMV,37.75185577942736,0.08956666666666667,160997.15813333335,46859967.0,0.00343570788543947
1682467200,0.0876,0.0909,0.0989,0.0876,ok,767267.0,BNMV,44.59601259181532,0.09246666666666666,70946.62193333333,47627234.0,0.0014896229735561239
1682553600,0.091,0.0728,0.0917,0.07,ok,18256524.0,BNMV,32.859848484848484,0.07816666666666668,1427051.6260000002,65883758.0,0.021660143096269648
1682640000,0.0732,0.0788,0.0807,0.0688,ok,3478062.0,BNMV,36.298292902066486,0.0761,264680.5182,69361820.0,0.0038159396365320284
1682899200,0.0799,0.07,0.0799,0.0683,ok,3047335.0,BNMV,33.47245409015024,0.07273333333333333,221642.83233333332,72409155.0,0.003060978025960023
1682985600,0.0723,0.0699,0.075,0.069,ok,2506612.0,BNMV,29.629629629629637,0.07130000000000002,178721.43560000003,74915767.0,0.002385631793638314
1683072000,0.065,0.0699,0.074,0.065,ok,1588449.0,BNMV,27.123287671232877,0.06963333333333334,110608.99870000001,76504216.0,0.0014457895849818265
1683158400,0.0736,0.067,0.0736,0.0663,ok,1178514.0,BNMV,17.711442786069654,0.06896666666666666,81278.1822,77682730.0,0.0010462838033627293
1683244800,0.0695,0.07,0.0712,0.0625,ok,552334.0,BNMV,18.44181459566073,0.0679,37503.4786,78235064.0,0.0004793691815731115
1683504000,0.0655,0.0702,0.0749,0.0654,ok,757996.0,BNMV,22.340425531914875,0.07016666666666665,53186.052666666656,78993060.0,0.0006733003211505751
1683590400,0.0745,0.074,0.0745,0.06867,ok,762490.0,BNMV,29.712041884816728,0.07239,55196.651099999995,79755550.0,0.0006920728538640884
