t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.29,1.05,1.29,1.02,ok,3022027.0,BODY,,1.12,3384670.24,3022027.0,1.12
1652227200,1.03,1.03,1.09,1.02,ok,1268147.0,BODY,,1.0466666666666669,1327327.1933333336,4290174.0,0.3093877295730508
1652313600,1.0,1.02,1.03,0.9102,ok,1859113.0,BODY,,0.9867333333333334,1834448.7675333333,6149287.0,0.29831893803839915
1652400000,1.02,1.09,1.13,1.02,ok,1198440.0,BODY,,1.08,1294315.2000000002,7347727.0,0.17615178136041257
1652659200,1.04,1.04,1.07,1.0,ok,1438498.0,BODY,,1.0366666666666668,1491242.926666667,8786225.0,0.16972510112894526
1652745600,1.04,1.16,1.16,1.01,ok,1577300.0,BODY,,1.11,1750803.0000000002,10363525.0,0.1689389469316666
1652832000,1.21,1.2,1.22,1.11,ok,1408513.0,BODY,,1.1766666666666667,1657350.2966666669,11772038.0,0.14078703251439273
1652918400,1.19,1.27,1.32,1.17,ok,1499242.0,BODY,,1.2533333333333334,1879049.9733333334,13271280.0,0.14158769714250122
1653004800,1.36,1.61,1.64,1.34,ok,4011996.0,BODY,,1.53,6138353.88,17283276.0,0.3551614798027874
1653264000,1.65,1.58,1.67,1.515,ok,1679856.0,BODY,,1.5883333333333332,2668171.28,18963132.0,0.14070309060760636
1653350400,1.58,1.58,1.6078,1.47,ok,1152789.0,BODY,,1.5526,1789820.2014,20115921.0,0.0889753047548755
1653436800,1.68,1.77,1.78,1.62,ok,1509760.0,BODY,,1.7233333333333334,2601819.7333333334,21625681.0,0.12031157461970023
1653523200,1.77,2.01,2.0599,1.755,ok,1427866.0,BODY,,1.941633333333333,2772392.221133333,23053547.0,0.12025881401822172
1653609600,2.02,2.16,2.2,2.005,ok,1599625.0,BODY,91.72932330827066,2.1216666666666666,3393871.0416666665,24653172.0,0.13766468029617715
1653955200,2.22,2.24,2.33,2.03,ok,2910435.0,BODY,92.19858156028369,2.1999999999999997,6402956.999999999,27563607.0,0.23229750010584604
1654041600,2.29,2.21,2.29,2.095,ok,1483768.0,BODY,91.54929577464787,2.1983333333333333,3261816.6533333333,29047375.0,0.11229299216653255
1654128000,2.2,2.12,2.24,2.1,ok,1134840.0,BODY,86.66666666666666,2.1533333333333333,2443688.8,30182215.0,0.08096452828263266
1654214400,2.15,2.04,2.18,1.97,ok,1331906.0,BODY,81.4569536423841,2.0633333333333335,2748166.046666667,31514121.0,0.0872042741305292
1654473600,2.07,2.0,2.205,1.98,ok,1668555.0,BODY,81.99999999999999,2.061666666666667,3440004.2250000006,33182676.0,0.10366868015707957
1654560000,1.93,1.76,1.94,1.715,ok,2226319.0,BODY,68.51851851851852,1.805,4018505.795,35408995.0,0.11348827593101696
1654646400,1.72,1.71,1.87,1.66,ok,1877960.0,BODY,65.64417177914109,1.7466666666666668,3280170.133333334,37286955.0,0.08797098431162678
1654732800,1.7,1.55,1.7,1.53,ok,939308.0,BODY,58.13953488372093,1.5933333333333335,1496630.7466666668,38226263.0,0.03915189791548985
1654819200,1.5,1.52,1.5972,1.49,ok,653996.0,BODY,46.80851063829787,1.5357333333333336,1004363.4570666668,38880259.0,0.02583222136114543
1655078400,1.44,1.29,1.45,1.29,ok,974138.0,BODY,40.993788819875775,1.3433333333333335,1308592.0466666669,39854397.0,0.03283432055606479
1655164800,1.31,1.35,1.38,1.3,ok,442867.0,BODY,43.11377245508982,1.343333333333333,594918.0033333332,40297264.0,0.014763235621488674
1655251200,1.34,1.38,1.43,1.32,ok,861096.0,BODY,37.08609271523179,1.3766666666666667,1185442.1600000001,41158360.0,0.0288019775326325
1655337600,1.36,1.27,1.38,1.27,ok,1250582.0,BODY,23.188405797101467,1.3066666666666666,1634093.8133333332,42408942.0,0.038531822211771594
1655424000,1.28,1.46,1.49,1.28,ok,1426895.0,BODY,25.352112676056336,1.4100000000000001,2011921.9500000002,43835837.0,0.045896738552066434
1655769600,1.46,1.38,1.4921,1.38,ok,956331.0,BODY,19.718309859154928,1.4173666666666664,1355471.6816999998,44792168.0,0.030261354656912338
1655856000,1.39,1.29,1.42,1.29,ok,802245.0,BODY,18.918918918918905,1.3333333333333333,1069660.0,45594413.0,0.02346033054532361
1655942400,1.34,1.38,1.39,1.295,ok,822702.0,BODY,24.999999999999982,1.3549999999999998,1114761.2099999997,46417115.0,0.024016167527861215
1656028800,1.39,1.39,1.48,1.305,ok,11787351.0,BODY,26.950354609929065,1.3916666666666666,16404063.475,58204466.0,0.28183513400844534
1656288000,1.4,1.29,1.41,1.25,ok,707881.0,BODY,25.8503401360544,1.3166666666666667,932043.3166666667,58912347.0,0.015820848500004026
1656374400,1.31,1.28,1.34,1.2701,ok,646943.0,BODY,30.645161290322577,1.2967000000000002,838890.9881000001,59559290.0,0.014084972942088464
1656460800,1.25,1.17,1.265,1.14,ok,1312185.0,BODY,29.23076923076921,1.1916666666666667,1563687.125,60871475.0,0.025688339653343377
1656547200,1.15,1.2,1.2,1.15,ok,485122.0,BODY,35.04273504273503,1.1833333333333333,574061.0333333333,61356597.0,0.00935614198638385
1656633600,1.19,1.19,1.23,1.15,ok,346561.0,BODY,35.65217391304347,1.19,412407.58999999997,61703158.0,0.006683735539111304
1656979200,1.17,1.33,1.35,1.12,ok,941887.0,BODY,51.886792452830186,1.2666666666666668,1193056.866666667,62645045.0,0.019044712421655487
1657065600,1.32,1.27,1.37,1.23,ok,368486.0,BODY,46.226415094339615,1.29,475346.94,63013531.0,0.007543569332751723
1657152000,1.29,1.32,1.33,1.265,ok,406940.0,BODY,47.22222222222223,1.305,531056.7,63420471.0,0.008373584926545247
1657238400,1.3,1.38,1.39,1.28,ok,632726.0,BODY,55.33980582524271,1.3499999999999999,854180.0999999999,64053197.0,0.013335479570207868
1657497600,1.36,1.25,1.36,1.24,ok,389126.0,BODY,39.175257731958766,1.2833333333333334,499378.3666666667,64442323.0,0.007749229751799399
1657584000,1.26,1.22,1.27,1.21,ok,263952.0,BODY,41.30434782608696,1.2333333333333334,325540.8,64706275.0,0.005031054561555274
1657670400,1.2,1.19,1.222,1.12,ok,388972.0,BODY,44.1860465116279,1.1773333333333333,457949.70133333333,65095247.0,0.007035071260015856
1657756800,1.18,1.12,1.21,1.1,ok,936894.0,BODY,34.52380952380953,1.1433333333333333,1071182.14,66032141.0,0.016222132491508945
1657843200,1.18,1.18,1.22,1.09,ok,664949.0,BODY,38.20224719101124,1.1633333333333333,773557.3366666667,66697090.0,0.011598067272000422
1658102400,1.19,1.17,1.247,1.17,ok,560676.0,BODY,42.49999999999999,1.1956666666666667,670381.604,67257766.0,0.00996734866275517
1658188800,1.21,1.24,1.28,1.21,ok,664980.0,BODY,47.67441860465116,1.2433333333333334,826791.8,67922746.0,0.012172532011588579
1658275200,1.25,1.27,1.31,1.24,ok,810560.0,BODY,56.410256410256416,1.2733333333333332,1032113.0666666665,68733306.0,0.015016199957945665
