t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.6494,1.617,1.6494,1.494,ok,36700.66666666666,BQ,
1652227200,1.5624000000000002,1.446,1.5738,1.446,ok,18427.0,BQ,
1652313600,1.3734,1.4958,1.56,1.3338,ok,47222.66666666666,BQ,
1652400000,1.4874,1.614,1.6800000000000002,1.3866,ok,84895.66666666667,BQ,
1652659200,1.602,1.6362,1.7292,1.5492,ok,7971.666666666667,BQ,
1652745600,1.7399999999999998,1.7039999999999995,1.8444,1.6806,ok,16632.166666666668,BQ,
1652832000,1.7399999999999998,1.713,1.7999999999999998,1.6818,ok,8106.666666666667,BQ,
1652918400,1.62,1.7399999999999998,1.7879999999999998,1.53,ok,17391.5,BQ,
1653004800,1.6787999999999998,1.662,1.7088,1.5606,ok,42178.16666666666,BQ,
1653264000,1.7688,1.6206,1.7688,1.5642,ok,33398.166666666664,BQ,
1653350400,1.578,1.506,1.6163999999999998,1.446,ok,12178.166666666666,BQ,
1653436800,1.542,1.6266,1.656,1.506,ok,39043.16666666666,BQ,
1653523200,1.6793999999999998,1.71,1.7399999999999998,1.626,ok,13205.166666666666,BQ,
1653609600,1.7393999999999998,1.7406,1.7916,1.677,ok,10694.666666666666,BQ,56.61953727506427
1653955200,1.8594,1.908,2.16,1.6860000000000002,ok,26259.0,BQ,63.21525885558584
1654041600,1.98,1.9668,2.04,1.8138,ok,45433.16666666666,BQ,76.33495145631069
1654128000,1.9494,1.956,1.974,1.7496,ok,78471.66666666667,BQ,74.22615287428933
1654214400,2.17,2.1704,2.9,2.05,ok,2547954.0,BQ,76.59655831739961
1654473600,2.17,1.95,2.1904,1.83,ok,317380.0,BQ,62.61051277929593
1654560000,1.91,1.9,1.93,1.81,ok,92452.0,BQ,57.99086757990869
1654646400,1.91,1.91,2.05,1.87,ok,123565.0,BQ,58.02509369398729
1654732800,1.85,1.81,1.9,1.81,ok,63741.0,BQ,52.69147954475547
1654819200,1.82,1.85,1.87,1.79,ok,31743.0,BQ,57.44613434727504
1655078400,1.84,1.53,1.84,1.5089,ok,42838.0,BQ,47.060350421804024
1655164800,1.6,1.52,1.6779,1.51,ok,33118.0,BQ,50.487329434697855
1655251200,1.53,1.75,1.77,1.53,ok,65027.0,BQ,53.99146073230689
1655337600,1.74,1.71,1.81,1.62,ok,80084.0,BQ,50.0
1655424000,1.72,1.7,1.77,1.63,ok,59518.0,BQ,48.6300445404238
1655769600,1.72,1.9,1.9,1.7173,ok,38045.0,BQ,49.73586899101955
1655856000,1.78,1.83,1.85,1.7794,ok,5931.0,BQ,45.516518091242794
1655942400,1.89,1.99,2.29,1.85,ok,220215.0,BQ,51.015046572725105
1656028800,2.05,2.0,2.15,1.97,ok,92135.0,BQ,44.205658324265514
1656288000,2.0,1.99,2.05,1.88,ok,37739.0,BQ,51.58730158730159
1656374400,2.0,1.9107,2.005,1.9107,ok,60870.0,BQ,50.414953850926864
