t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.9,2.92,3.04,2.83,ok,178673.0,BRN,,2.9299999999999997,523511.88999999996,178673.0,2.9299999999999997
1652227200,2.97,2.98,3.1,2.94,ok,243799.0,BRN,,3.0066666666666664,733022.3266666665,422472.0,1.7350790742739555
1652313600,3.02,2.93,3.04,2.89,ok,120933.0,BRN,,2.953333333333333,357155.45999999996,543405.0,0.6572546443260551
1652400000,3.07,3.05,3.07,2.85,ok,343527.0,BRN,,2.9899999999999998,1027145.7299999999,886932.0,1.1580884780343925
1652659200,3.04,3.2,3.4,2.98,ok,920988.0,BRN,,3.1933333333333334,2941021.68,1807920.0,1.626743262976238
1652745600,3.28,3.27,3.34,3.1,ok,311284.0,BRN,,3.2366666666666664,1007522.5466666665,2119204.0,0.47542499290614143
1652832000,3.32,2.95,3.34,2.9163,ok,262744.0,BRN,,3.0687666666666664,806300.0290666666,2381948.0,0.33850446318167593
1652918400,2.86,3.02,3.1,2.85,ok,79493.0,BRN,,2.99,237684.07,2461441.0,0.09656297672785982
1653004800,3.07,2.9,3.11,2.85,ok,76728.0,BRN,,2.953333333333333,226603.36,2538169.0,0.08927827894832849
1653264000,2.93,2.88,3.0,2.85,ok,102104.0,BRN,,2.91,297122.64,2640273.0,0.1125348174222893
1653350400,2.85,2.76,2.94,2.75,ok,92523.0,BRN,,2.8166666666666664,260606.44999999998,2732796.0,0.095362570056455
1653436800,2.74,2.86,2.95,2.73,ok,275619.0,BRN,,2.8466666666666662,784595.4199999999,3008415.0,0.26080026193194755
1653523200,2.88,2.81,2.95,2.7,ok,374926.0,BRN,,2.8200000000000003,1057291.32,3383341.0,0.3124991894107038
1653609600,2.79,2.62,2.82,2.5564,ok,831030.0,BRN,39.58333333333334,2.6654666666666667,2215082.764,4214371.0,0.5256022224906161
1653955200,2.7,2.67,2.85,2.63,ok,472158.0,BRN,41.61073825503355,2.716666666666667,1282695.9000000001,4686529.0,0.27369848772940486
1654041600,2.71,2.65,2.82,2.65,ok,88436.0,BRN,38.620689655172406,2.7066666666666666,239366.77333333332,4774965.0,0.05012953463184198
1654128000,2.68,2.65,2.79,2.6224,ok,296776.0,BRN,39.99999999999999,2.687466666666667,797575.6074666667,5071741.0,0.15725874161686623
1654214400,2.6701,2.78,2.83,2.6,ok,219142.0,BRN,40.42553191489361,2.7366666666666664,599718.6066666666,5290883.0,0.11334943650552594
1654473600,2.86,2.7,2.88,2.7,ok,154259.0,BRN,31.34328358208954,2.7600000000000002,425754.84,5445142.0,0.07818985069627202
1654560000,2.7,2.88,2.95,2.65,ok,784915.0,BRN,36.55172413793102,2.8266666666666667,2218693.066666667,6230057.0,0.35612724998610235
